Country,"Host Species",Latitude,Longitude
Bulgaria,"Cairina moschata x Anas platyrhynchos",41.93,25.56
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",41.93,25.56
Bulgaria,"Cairina moschata x Anas platyrhynchos",41.93,25.56
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Netherlands,"Cygnus olor",52.352892,4.922304
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Netherlands,"Cygnus olor",52.348278,4.896984
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.2,25.467
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Netherlands,"Cygnus olor",52.352892,4.922304
Bulgaria,"Cairina moschata x Anas platyrhynchos",41.94,25.569
Bulgaria,"Cairina moschata x Anas platyrhynchos",41.94,25.569
Bulgaria,"Cairina moschata x Anas platyrhynchos",41.94,25.569
Bulgaria,"Cairina moschata x Anas platyrhynchos",41.94,25.569
Bulgaria,"Cairina moschata x Anas platyrhynchos",41.94,25.569
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.2,25.467
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.43,25.65
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.43,25.65
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.43,25.65
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.43,25.65
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.43,25.65
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.43,25.65
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.43,25.65
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.43,25.65
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.43,25.65
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.43,25.65
Bulgaria,Env,42.49,27.47
Netherlands,"Anser albifrons",51.7865,5.4123
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",41.94,25.569
Bulgaria,"Cairina moschata x Anas platyrhynchos",41.94,25.569
Bulgaria,"Cairina moschata x Anas platyrhynchos",41.94,25.569
Bulgaria,"Cairina moschata x Anas platyrhynchos",41.94,25.569
Bulgaria,"Cairina moschata x Anas platyrhynchos",41.94,25.569
Bulgaria,Env,42.49,27.47
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.15,24.75
Bulgaria,"Cairina moschata x Anas platyrhynchos",41.9,25.6
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.333,25.7667
Bulgaria,"Cairina moschata x Anas platyrhynchos",42.25,25.15
Romania,"Anas sp.",45.1358,28.786
Romania,"Anas sp.",45.1358,28.786
Romania,"Anas sp.",45.1358,28.786
Romania,"Anas sp.",45.1358,28.786
Romania,"Anas sp.",45.1358,28.786
Romania,"Anas sp.",45.1358,28.786
Romania,"Anser sp.",45.1358,28.786
Romania,"Anser sp.",45.1358,28.786
