Country,Host,Latitude,Longitude,id,iba_label
Netherlands,Cygnus olor,52.352892,4.922304,1,NL072
Netherlands,Cygnus olor,52.348278,4.896984,2,NL072
Netherlands,Anser albifrons,51.7865,5.4123,NA,NA
Netherlands,Anas platyrhynchos,51.8667,4.6667,4,NL079
Netherlands,Anas platyrhynchos,51.877339,4.723778,5,NL079
Netherlands,Anas platyrhynchos,51.9564,5.7575,6,NL094
Netherlands,Anas penelope,51.9,4.6833,7,NL079
Netherlands,Anas platyrhynchos,52.8942,4.9426,8,NL013
Netherlands,Anas platyrhynchos,51.9,4.6833,9,NL079
Netherlands,Larus ridibundus,51.1132,5.594,10,BE023
Netherlands,Larus ridibundus,53.215,6.5677,11,NL053
Netherlands,Larus argentatus,53.215,6.5677,12,NL053
Netherlands,Larus ridibundus,51.9833,5.9167,13,NL094
Netherlands,Larus ridibundus,52.2239,5.171,14,NL074
Netherlands,Larus canus,52.2239,5.171,15,NL074
Netherlands,Larus ridibundus,52.3742,4.9014,16,NL072
Netherlands,Larus ridibundus,53.1653,7.0306,NA,NA
Netherlands,Larus ridibundus,52.7667,5.1,18,NL034
Netherlands,Larus ridibundus,52.056739,4.286335,NA,NA
Netherlands,Anas platyrhynchos,51.997922,5.974835,20,NL094
Netherlands,Larus ridibundus,53.165453,7.030478,NA,NA
Netherlands,Larus ridibundus,52.795289,5.234814,22,NL034
Netherlands,Anas strepera,52.795289,5.234814,23,NL034
Netherlands,Larus ridibundus,53.251863,5.249405,24,NL018
Netherlands,Larus ridibundus,51.129061,5.842323,25,BE024
Netherlands,Larus ridibundus,51.972192,5.918155,26,NL094
Lithuania,Anas platyrhynchos,55.3412,21.4599,27,LT006
Lithuania,Larus ridibundus,55.6537,21.1491,28,LT005
Netherlands,Larus ridibundus,53.2508,5.2692,29,NL018
Netherlands,Anas platyrhynchos,52.9628,5.0017,NA,NA
Netherlands,Anas penelope,51.95,4.7167,31,NL079
Netherlands,Anas clypeata,51.95,4.7167,32,NL079
Netherlands,Anas platyrhynchos,51.95,4.7167,33,NL079
Netherlands,Anas crecca,51.95,4.7167,34,NL079
Netherlands,Anas strepera,51.95,4.7167,35,NL079
Netherlands,Anas crecca,51.9,4.6833,36,NL079
Netherlands,Anas platyrhynchos,51.7454,4.5435,37,NL091
Netherlands,Anas crecca,51.7454,4.5435,38,NL091
Netherlands,Arenaria interpres,53.46667,6.2442,39,NL015
Netherlands,Anser albifrons,51.4551,5.2313,40,NL100
Netherlands,Anser anser,51.7865,5.4123,NA,NA
Netherlands,Anser fabalis,51.4551,5.2313,42,NL100
Netherlands,Branta leucopsis,53.3046,6.1894,43,NL015
Hungary,Anser fabalis,47.692663,16.845217,44,AT004
Netherlands,Anser albifrons,52.2525,5.2591,45,NL075
Netherlands,Anser albifrons,52.2542,5.329,46,NL075
Netherlands,Branta leucopsis,52.2225,5.483,47,NL094
Netherlands,Anser albifrons,52.2225,5.483,48,NL094
Netherlands,Branta leucopsis,52.2525,5.2591,49,NL075
Netherlands,Anser fabalis,52.2542,5.329,50,NL075
Netherlands,Branta leucopsis,52.2542,5.329,51,NL075
Netherlands,Anser albifrons,52.240862,5.338147,52,NL075
Lithuania,Cygnus olor,55.6537,21.1491,53,LT005
Lithuania,Anas platyrhynchos,55.6537,21.1491,54,LT005
Lithuania,Fulica atra,55.3412,21.4599,55,LT006
