iba_label,species_name
LT005,Cygnus_olor
NL079,Cygnus_olor
NL077,Cygnus_olor
NL078,Cygnus_olor
NL072,Cygnus_olor
NL013,Anas_platyrhynchos
NL094,Anas_platyrhynchos
NL015,Anas_platyrhynchos
NL048,Anas_platyrhynchos
NL089,Anas_platyrhynchos
NL079,Anas_platyrhynchos
NL107,Anas_platyrhynchos
NL028,Anas_platyrhynchos
LT006,Anas_platyrhynchos
NL091,Anas_platyrhynchos
NL052,Anas_platyrhynchos
NL074,Anas_platyrhynchos
NL077,Anas_penelope
NL079,Anas_penelope
NL076,Anas_penelope
NL013,Anas_penelope
NL063,Anas_penelope
NL090,Anas_penelope
NL089,Anas_penelope
NL073,Anas_penelope
NL058,Anas_penelope
NL048,Larus_ridibundus
NL034,Larus_ridibundus
NL052,Larus_ridibundus
NL094,Larus_ridibundus
NL014,Larus_ridibundus
NL053,Larus_ridibundus
NL089,Larus_ridibundus
BE023,Larus_ridibundus
NL107,Larus_ridibundus
LT005,Larus_ridibundus
NL041,Larus_ridibundus
BE024,Larus_ridibundus
NL072,Larus_ridibundus
NL017,Larus_ridibundus
NL018,Larus_ridibundus
NL074,Larus_ridibundus
NL089,Larus_argentatus
NL015,Larus_argentatus
NL053,Larus_argentatus
NL072,Larus_argentatus
NL074,Larus_canus
NL072,Larus_canus
NL034,Anas_strepera
NL013,Anas_strepera
NL079,Anas_strepera
NL079,Anas_clypeata
NL091,Anas_clypeata
NL013,Anas_crecca
NL038,Anas_crecca
NL091,Anas_crecca
NL079,Anas_crecca
RU180,Anas_crecca
NL015,Anser_albifrons
NL055,Anser_albifrons
NL094,Anser_albifrons
NL073,Anser_albifrons
NL050,Anser_albifrons
NL058,Anser_albifrons
NL075,Anser_albifrons
NL076,Anser_albifrons
NL075,Anser_fabalis
NL094,Anser_fabalis
NL073,Anser_fabalis
NL100,Anser_fabalis
NL015,Branta_leucopsis
NL075,Branta_leucopsis
NL094,Fulica_atra
NL089,Fulica_atra
NL107,Fulica_atra
NL091,Anas_acuta
NL079,Anas_acuta
NL094,Anser_anser
NL015,Branta_bernicla
NL052,Larus_fuscus
NL015,Larus_fuscus
NL034,Larus_marinus
NL015,Calidris_alpina
NL015,Tringa_totanus
NL034,Chlidonias_niger
NL028,Cygnus_columbianus
