Host,n_records,n_locations,n_locations_mapped
Anas platyrhynchos,8171,54,41
Larus ridibundus,1298,40,32
Anas penelope,701,26,25
Anser albifrons,797,24,19
Anas crecca,341,16,15
Larus argentatus,50,15,8
Branta leucopsis,204,13,11
Anser anser,57,12,9
Cygnus olor,28,12,11
Anas strepera,173,10,9
Anser fabalis,43,8,6
Arenaria interpres,34,8,NA
Larus fuscus,37,7,2
Larus marinus,18,6,2
Anas clypeata,43,5,4
Cygnus columbianus,24,4,1
Fulica atra,12,4,4
Anas acuta,7,3,3
Anser cygnoides,91,3,NA
Branta bernicla,11,3,1
Calidris alba,15,3,NA
Larus canus,3,3,3
Gallinula chloropus,2,2,NA
Somateria mollissima,3,2,NA
Anas querquedula,1,1,NA
Anser brachyrhynchus,1,1,NA
Aythya ferina,1,1,NA
Aythya fuligula,1,1,NA
Calidris alpina,4,1,1
Cepphus grylle,3,1,NA
Chlidonias niger,1,1,1
Gallinago gallinago,1,1,NA
Haematopus ostralegus,1,1,NA
Phalacrocorax carbo,1,1,NA
Tadorna tadorna,2,1,NA
Tringa glareola,26,1,NA
Tringa totanus,2,1,1
Uria aalge,2,1,NA
