"species_1","species_2","S","OS","WN","ST","relative_OS","relative_ST"
"Actitis hypoleucos","Alca torda",0.79295154185022,0.956521739130435,0.996899224806202,0.0403774856757668,0.959496923389005,0.0405030766109947
"Actitis hypoleucos","Anas querquedula",0.729166666666667,0.915492957746479,0.981042654028436,0.0655496962819573,0.933183642920324,0.0668163570796763
"Actitis hypoleucos","Anas strepera",0.719745222929936,0.930232558139535,0.990275526742301,0.0600429686027664,0.939367411410955,0.0606325885890456
"Actitis hypoleucos","Anser brachyrhynchus",0.902439024390244,1,1,0,1,0
"Actitis hypoleucos","Anser fabalis",0.808731808731809,0.96078431372549,0.997762863534676,0.0369785498091855,0.962938538644157,0.0370614613558429
"Actitis hypoleucos","Ardea purpurea",0.804545454545454,0.964285714285714,0.99604743083004,0.0317617165443254,0.968112244897958,0.031887755102041
"Actitis hypoleucos","Arenaria interpres",0.744791666666667,0.882352941176471,0.976470588235294,0.0941176470588236,0.903614457831326,0.0963855421686748
"Actitis hypoleucos","Botaurus stellaris",0.834757834757835,1,1,0,1,0
"Actitis hypoleucos","Branta bernicla",0.900662251655629,0.9,0.994764397905759,0.0947643979057593,0.904736842105263,0.095263157894737
"Actitis hypoleucos","Branta canadensis",0.819672131147541,1,1,0,1,0
"Actitis hypoleucos","Branta leucopsis",0.869918699186992,1,1,0,1,0
"Actitis hypoleucos","Bucephala clangula",0.883435582822086,1,1,0,1,0
"Actitis hypoleucos","Calidris alba",0.856677524429967,0.80952380952381,0.989717223650386,0.180193414126576,0.817934446505875,0.182065553494125
"Actitis hypoleucos","Calidris canutus",0.762626262626263,0.875968992248062,0.975,0.0990310077519381,0.898429735639038,0.101570264360962
"Actitis hypoleucos","Calidris ferruginea",0.741379310344828,0.867924528301887,0.968181818181818,0.100257289879931,0.896447869607583,0.103552130392417
"Actitis hypoleucos","Calidris minuta",0.728531855955679,0.872727272727273,0.967889908256881,0.095162635529608,0.901680310211116,0.0983196897888841
"Actitis hypoleucos","Cepphus grylle",0.869688385269122,1,1,0,1,0
"Actitis hypoleucos","Charadrius alexandrinus",0.79874213836478,0.843137254901961,0.979220779220779,0.136083524318819,0.861028761637281,0.13897123836272
"Actitis hypoleucos","Charadrius dubius",0.762162162162162,0.893333333333333,0.979746835443038,0.0864135021097046,0.911800172265288,0.0881998277347114
"Actitis hypoleucos","Chlidonias niger",0.901315789473684,1,1,0,1,0
"Actitis hypoleucos","Cygnus columbianus",0.906832298136646,1,1,0,1,0
"Actitis hypoleucos","Cygnus cygnus",0.82392776523702,1,1,0,1,0
"Actitis hypoleucos","Grus grus",0.914285714285714,0.714285714285714,0.996447602131439,0.282161887845725,0.716832187420422,0.283167812579578
"Actitis hypoleucos","Hydroprogne caspia",0.890547263681592,1,1,0,1,0
"Actitis hypoleucos","Larus melanocephalus",0.776,0.86046511627907,0.989528795811518,0.129063679532449,0.869570567244986,0.130429432755015
"Actitis hypoleucos","Limosa lapponica",0.857142857142857,0.828571428571429,0.985365853658537,0.156794425087108,0.840876944837341,0.159123055162659
"Actitis hypoleucos","Limosa limosa",0.737704918032787,0.915492957746479,0.990163934426229,0.0746709766797506,0.924587258651246,0.0754127413487548
"Actitis hypoleucos","Lymnocryptes minimus",0.746835443037975,0.958333333333333,0.994236311239193,0.0359029779058597,0.963888888888889,0.0361111111111111
"Actitis hypoleucos","Mergus merganser",0.912751677852349,1,1,0,1,0
"Actitis hypoleucos","Mergus serrator",0.846666666666667,0.923076923076923,0.994366197183099,0.0712892741061755,0.928306820658095,0.0716931793419045
"Actitis hypoleucos","Morus bassanus",0.899053627760252,1,1,0,1,0
"Actitis hypoleucos","Numenius phaeopus",0.791044776119403,0.886792452830189,0.985221674876847,0.0984292220466585,0.900094339622642,0.0999056603773584
"Actitis hypoleucos","Nycticorax nycticorax",0.9,0.75,0.994186046511628,0.244186046511628,0.754385964912281,0.245614035087719
"Actitis hypoleucos","Phalacrocorax aristotelis",0.938547486033519,1,1,0,1,0
"Actitis hypoleucos","Platalea leucorodia",0.814432989690722,0.892857142857143,0.988826815642458,0.0959696727853152,0.902945924132365,0.0970540758676351
"Actitis hypoleucos","Pluvialis apricaria",0.774468085106383,0.904761904761905,0.988200589970502,0.0834386852085969,0.915565031982942,0.0844349680170577
"Actitis hypoleucos","Pluvialis squatarola",0.77910447761194,0.916666666666667,0.985576923076923,0.0689102564102564,0.930081300813008,0.0699186991869919
"Actitis hypoleucos","Podiceps cristatus",0.907284768211921,1,1,0,1,0
"Actitis hypoleucos","Rallus aquaticus",0.810344827586207,1,1,0,1,0
"Actitis hypoleucos","Recurvirostra avosetta",0.703703703703704,0.868131868131868,0.966987620357634,0.098855752225766,0.897769371453582,0.102230628546418
"Actitis hypoleucos","Rissa tridactyla",0.875,1,1,0,1,0
"Actitis hypoleucos","Somateria mollissima",0.796909492273731,0.932584269662921,0.990566037735849,0.0579817680729275,0.941466024612092,0.0585339753879078
"Actitis hypoleucos","Stercorarius skua",0.914191419141914,1,1,0,1,0
"Actitis hypoleucos","Sterna paradisaea",0.789976133651551,0.848484848484848,0.983249581239531,0.134764732754683,0.862939445562954,0.137060554437046
"Actitis hypoleucos","Sternula albifrons",0.737704918032787,0.896907216494845,0.979296066252588,0.0823888497577427,0.915869314095159,0.0841306859048409
"Actitis hypoleucos","Tachybaptus ruficollis",0.87220447284345,1,1,0,1,0
"Actitis hypoleucos","Tadorna tadorna",0.736720554272517,0.842424242424243,0.96231884057971,0.119894598155468,0.87541073384447,0.124589266155532
"Actitis hypoleucos","Thalasseus sandvicensis",0.734439834024896,0.82312925170068,0.972310969116081,0.149181717415401,0.846569953282517,0.153430046717483
"Actitis hypoleucos","Tringa erythropus",0.753581661891118,0.888888888888889,0.975186104218362,0.0862972153294734,0.911506926774103,0.0884930732258977
"Actitis hypoleucos","Tringa glareola",0.65,0.739495798319328,0.904173106646059,0.164677308326731,0.817869711987359,0.182130288012641
"Actitis hypoleucos","Tringa nebularia",0.728813559322034,0.833333333333333,0.965432098765432,0.132098765432099,0.863171355498721,0.136828644501279
"Actitis hypoleucos","Tringa ochropus",0.749216300940439,0.938461538461538,0.988603988603989,0.0501424501424501,0.949279538904898,0.0507204610951008
"Alca torda","Anser brachyrhynchus",0.882758620689655,1,1,0,1,0
"Alca torda","Ardea purpurea",0.915422885572139,1,1,0,1,0
"Alca torda","Arenaria interpres",0.61849710982659,0.892307692307692,0.974683544303798,0.0823758519961053,0.915484515484515,0.0845154845154846
"Alca torda","Botaurus stellaris",0.891373801916933,1,1,0,1,0
"Alca torda","Branta bernicla",0.871212121212121,1,1,0,1,0
"Alca torda","Branta canadensis",0.804878048780488,0.875,0.995680345572354,0.120680345572354,0.878796095444686,0.121203904555314
"Alca torda","Branta leucopsis",0.824773413897281,1,1,0,1,0
"Alca torda","Bucephala clangula",0.861111111111111,1,1,0,1,0
"Alca torda","Calidris alba",0.784386617100372,1,1,0,1,0
"Alca torda","Calidris canutus",0.675977653631285,0.981981981981982,0.997071742313324,0.0150897603313416,0.984865923191914,0.0151340768080856
"Alca torda","Calidris ferruginea",0.806451612903226,1,1,0,1,0
"Alca torda","Calidris minuta",0.851393188854489,1,1,0,1,0
"Alca torda","Cepphus grylle",0.650793650793651,0.856209150326797,0.954451345755694,0.0982421954288961,0.897069456849984,0.102930543150015
"Alca torda","Charadrius alexandrinus",0.807142857142857,0.777777777777778,0.990654205607477,0.212876427829699,0.785115303983228,0.214884696016772
"Alca torda","Charadrius dubius",0.885542168674699,0.714285714285714,0.995433789954338,0.281148075668624,0.717562254259502,0.282437745740498
"Alca torda","Chlidonias niger",0.954887218045113,1,1,0,1,0
"Alca torda","Cygnus columbianus",0.915492957746479,1,1,0,1,0
"Alca torda","Cygnus cygnus",0.846913580246914,1,1,0,1,0
"Alca torda","Grus grus",0.961538461538461,1,1,0,1,0
"Alca torda","Hydroprogne caspia",0.791208791208791,0.941176470588235,0.993103448275862,0.0519269776876268,0.947712418300653,0.0522875816993464
"Alca torda","Larus melanocephalus",0.768545994065282,0.96,0.996753246753247,0.0367532467532468,0.963127035830619,0.0368729641693811
"Alca torda","Limosa lapponica",0.774647887323944,0.897435897435897,0.991169977924945,0.0937340804890474,0.905430872023299,0.0945691279767004
"Alca torda","Limosa limosa",0.845758354755784,1,1,0,1,0
"Alca torda","Lymnocryptes minimus",0.863309352517986,0.75,0.994871794871795,0.244871794871795,0.753865979381443,0.246134020618557
"Alca torda","Mergus merganser",0.830769230769231,0.91304347826087,0.994805194805195,0.0817617165443252,0.917811329322284,0.0821886706777159
"Alca torda","Mergus serrator",0.824427480916031,0.857142857142857,0.989949748743719,0.132806891600861,0.865844815083393,0.134155184916606
"Alca torda","Morus bassanus",0.74910394265233,0.368421052631579,0.912195121951219,0.54377406931964,0.40388404165494,0.59611595834506
"Alca torda","Numenius phaeopus",0.797979797979798,1,1,0,1,0
"Alca torda","Nycticorax nycticorax",0.969465648854962,1,1,0,1,0
"Alca torda","Phalacrocorax aristotelis",0.71875,0.785123966942149,0.947154471544716,0.162030504602567,0.828929166814457,0.171070833185543
"Alca torda","Platalea leucorodia",0.822857142857143,0.948717948717949,0.996551724137931,0.0478337754199825,0.952000709786177,0.0479992902138233
