"","Actitis hypoleucos","Alca torda","Anas acuta","Anas clypeata","Anas crecca","Anas penelope","Anas platyrhynchos","Anas querquedula","Anas strepera","Anser albifrons","Anser anser","Anser brachyrhynchus","Anser fabalis","Ardea cinerea","Ardea purpurea","Arenaria interpres","Aythya ferina","Aythya fuligula","Botaurus stellaris","Branta bernicla","Branta canadensis","Branta leucopsis","Bucephala clangula","Calidris alba","Calidris alpina","Calidris canutus","Calidris ferruginea","Calidris minuta","Cepphus grylle","Charadrius alexandrinus","Charadrius dubius","Charadrius hiaticula","Chlidonias niger","Ciconia ciconia","Cygnus columbianus","Cygnus cygnus","Cygnus olor","Fulica atra","Gallinago gallinago","Gallinula chloropus","Grus grus","Haematopus ostralegus","Hydroprogne caspia","Larus argentatus","Larus canus","Larus fuscus","Larus marinus","Larus melanocephalus","Larus ridibundus","Limosa lapponica","Limosa limosa","Lymnocryptes minimus","Mergus merganser","Mergus serrator","Morus bassanus","Numenius arquata","Numenius phaeopus","Nycticorax nycticorax","Phalacrocorax aristotelis","Phalacrocorax carbo","Philomachus pugnax","Platalea leucorodia","Pluvialis apricaria","Pluvialis squatarola","Podiceps cristatus","Rallus aquaticus","Recurvirostra avosetta","Rissa tridactyla","Scolopax rusticola","Somateria mollissima","Stercorarius skua","Sterna hirundo","Sterna paradisaea","Sternula albifrons","Tachybaptus ruficollis","Tadorna tadorna","Thalasseus sandvicensis","Tringa erythropus","Tringa glareola","Tringa nebularia","Tringa ochropus","Tringa totanus","Uria aalge","Vanellus vanellus"
"Actitis hypoleucos",0,0.956521739130435,0.944700460829493,0.932330827067669,0.926521239954076,0.94,0.908101571946796,0.915492957746479,0.930232558139535,0.865921787709497,0.911894273127753,1,0.96078431372549,0.920245398773006,0.964285714285714,0.882352941176471,0.923664122137405,0.90521327014218,1,0.9,1,1,1,0.80952380952381,0.851162790697674,0.875968992248062,0.867924528301887,0.872727272727273,1,0.843137254901961,0.893333333333333,0.84,1,0.945578231292517,1,1,0.867321867321867,0.911439114391144,0.867881548974943,0.86046511627907,0.714285714285714,0.860927152317881,1,0.922272047832586,0.924914675767918,0.928205128205128,0.91304347826087,0.86046511627907,0.92640413169787,0.828571428571429,0.915492957746479,0.958333333333333,1,0.923076923076923,1,0.875776397515528,0.886792452830189,0.75,1,0.913793103448276,0.84688995215311,0.892857142857143,0.904761904761905,0.916666666666667,1,1,0.868131868131868,1,0.952380952380952,0.932584269662921,1,0.898876404494382,0.848484848484848,0.896907216494845,1,0.842424242424243,0.82312925170068,0.888888888888889,0.739495798319328,0.833333333333333,0.938461538461538,0.838427947598253,0.909090909090909,0.906183368869936
"Alca torda",0.956521739130435,0,0.976470588235294,1,0.994764397905759,0.955555555555555,0.955056179775281,1,1,0.8,0.978494623655914,1,1,1,1,0.892307692307692,1,0.938461538461538,1,1,0.875,1,1,1,0.973898858075041,0.981981981981982,1,1,0.856209150326797,0.777777777777778,0.714285714285714,0.935185185185185,1,0.923076923076923,1,1,0.945525291828794,0.970149253731343,0.967479674796748,0.892857142857143,1,0.906735751295337,0.941176470588235,0.85929648241206,0.956709956709957,0.799498746867168,0.894977168949772,0.96,0.977755308392315,0.897435897435897,1,0.75,0.91304347826087,0.857142857142857,0.368421052631579,0.911764705882353,1,1,0.785123966942149,0.92967032967033,0.975609756097561,0.948717948717949,1,1,1,0.75,0.936170212765957,0.821428571428571,0.971428571428572,0.920489296636086,1,0.927272727272727,0.984251968503937,0.896551724137931,1,0.935483870967742,0.985074626865672,1,0.906976744186047,1,1,0.955056179775281,0.663551401869159,0.936842105263158
"Anas acuta",0.944700460829493,0.976470588235294,0,0.799078341013825,0.747478520732163,0.727351164797239,0.836253128351806,0.792792792792793,0.811926605504587,0.863234111021722,0.944606413994169,0.972602739726027,0.89344262295082,0.926289926289926,0.906976744186047,0.865384615384615,0.922779922779923,0.898351648351648,0.929203539823009,0.913978494623656,0.908045977011494,0.941605839416058,1,0.947368421052632,0.906735751295337,0.939393939393939,0.802469135802469,0.921052631578947,1,0.942857142857143,0.941176470588235,0.894039735099338,0.866666666666667,0.957317073170732,0.869822485207101,0.942196531791907,0.917721518987342,0.871165644171779,0.939759036144578,0.9,1,0.911462450592885,1,0.919811320754717,0.930555555555556,0.937864077669903,0.94578313253012,0.929203539823009,0.908527589259368,0.848275862068965,0.926470588235294,0.785714285714286,1,0.902439024390244,0.75,0.911764705882353,0.942028985507246,1,1,0.947723440134907,0.890214797136038,0.81042654028436,0.932307692307692,0.927272727272727,0.882352941176471,0.911111111111111,0.893462469733656,1,0.928251121076233,0.902564102564102,1,0.900793650793651,0.880952380952381,0.931707317073171,0.822222222222222,0.860082304526749,0.92874109263658,0.864864864864865,0.824561403508772,0.922077922077922,0.866666666666667,0.884130982367758,0.953216374269006,0.85204991087344
"Anas clypeata",0.932330827067669,1,0.799078341013825,0,0.824143070044709,0.760775862068966,0.852046564025535,0.833333333333333,0.757785467128028,0.883461868037704,0.89281045751634,0.955056179775281,0.95959595959596,0.904605263157895,0.890909090909091,0.918367346938775,0.745098039215686,0.801226993865031,0.933333333333333,0.96551724137931,0.861111111111111,0.977401129943503,0.92,0.909090909090909,0.914645974781765,0.929203539823009,0.908256880733945,0.942857142857143,0.888888888888889,0.954545454545455,0.901639344262295,0.892703862660944,0.783783783783784,0.948453608247423,0.93006993006993,0.945945945945946,0.869469026548673,0.847953216374269,0.884816753926702,0.860550458715596,1,0.8984375,1,0.945205479452055,0.925750394944708,0.953271028037383,0.913385826771653,0.948275862068966,0.910112359550562,0.815789473684211,0.90745501285347,0.96551724137931,1,0.846153846153846,1,0.90625,0.873015873015873,0.8,1,0.903171953255426,0.882096069868996,0.737556561085973,0.910543130990415,0.883333333333333,0.857142857142857,0.929824561403509,0.886710239651416,0.714285714285714,0.943502824858757,0.894308943089431,1,0.909943714821764,0.855555555555556,0.920398009950249,0.833333333333333,0.849740932642487,0.93491124260355,0.849056603773585,0.862385321100917,0.881578947368421,0.833333333333333,0.881136950904393,1,0.853741496598639
"Anas crecca",0.926521239954076,0.994764397905759,0.747478520732163,0.824143070044709,0,0.764913519237557,0.734259902710215,0.842019543973941,0.804115226337448,0.89239455330455,0.922567498726439,0.920634920634921,0.941463414634146,0.927990135635018,0.922222222222222,0.86892177589852,0.868792152053955,0.828679602460956,0.907407407407407,0.839622641509434,0.941690962099125,0.977272727272727,0.952,0.896296296296296,0.844307270233196,0.872596153846154,0.826086956521739,0.851590106007067,1,0.891891891891892,0.969111969111969,0.894366197183099,0.854545454545454,0.960281870595772,0.893557422969188,0.950819672131147,0.924441900400687,0.865002311604253,0.904929577464789,0.903381642512077,0.97752808988764,0.882624464226838,0.963636363636364,0.928261594928262,0.909090909090909,0.946455131383242,0.96,0.946666666666667,0.896301417213965,0.834355828220859,0.905759162303665,0.857142857142857,1,0.88034188034188,1,0.918232044198895,0.885714285714286,0.75,0.95,0.938667281531012,0.887713588283157,0.739336492890995,0.844827586206897,0.88,0.933333333333333,0.925925925925926,0.853403141361257,0.966942148760331,0.948339483394834,0.87426326129666,1,0.936419408812047,0.873990306946688,0.932142857142857,0.859649122807018,0.860768672951414,0.897518014411529,0.792880258899676,0.867647058823529,0.869848156182213,0.872832369942196,0.836846929422548,0.968098159509202,0.895595432300163
"Anas penelope",0.94,0.955555555555555,0.727351164797239,0.760775862068966,0.764913519237557,0,0.823056300268097,0.7911227154047,0.732283464566929,0.865844255975328,0.9366391184573,0.958904109589041,0.919642857142857,0.92741935483871,0.894736842105263,0.909090909090909,0.869879518072289,0.857142857142857,0.937984496124031,0.897435897435897,0.912280701754386,0.89041095890411,0.885714285714286,0.849056603773585,0.920300751879699,0.894150417827298,0.973333333333333,1,1,0.945945945945946,0.924528301886792,0.888888888888889,0.92,0.932075471698113,0.851851851851852,0.988304093567251,0.918439716312057,0.851289833080425,0.913916786226686,0.9,1,0.908835904628331,1,0.942908926144087,0.945793337097685,0.954022988505747,0.946902654867257,0.935483870967742,0.910714285714286,0.853333333333333,0.897777777777778,1,1,0.904761904761905,1,0.935294117647059,0.875,1,0.91304347826087,0.940729483282675,0.928767123287671,0.896774193548387,0.918238993710692,0.889502762430939,0.916666666666667,0.9,0.870967741935484,1,0.957671957671958,0.910931174089069,1,0.92090395480226,0.895196506550218,0.883495145631068,0.853658536585366,0.865168539325843,0.955465587044534,0.793103448275862,0.896296296296296,0.869047619047619,0.818181818181818,0.87363304981774,0.917431192660551,0.879621668099742
"Anas platyrhynchos",0.908101571946796,0.955056179775281,0.836253128351806,0.852046564025535,0.734259902710215,0.823056300268097,0,0.89527027027027,0.853913043478261,0.83643648362008,0.868002764340014,0.869565217391304,0.927051671732523,0.869664634146341,0.887587822014052,0.825363825363825,0.849669883189436,0.802848575712144,0.904761904761905,0.911290322580645,0.913419913419913,0.907578558225508,0.9375,0.848739495798319,0.839222042139384,0.860975609756098,0.779904306220096,0.898148148148148,0.925675675675676,0.780346820809249,0.921686746987952,0.87490465293669,0.780821917808219,0.934407690132881,0.803846153846154,0.881006864988558,0.87918270654427,0.828877005347594,0.907076483202287,0.862005519779209,0.963636363636364,0.84610967556704,1,0.887189069251431,0.868161284925548,0.94410480349345,0.905848787446505,0.917460317460318,0.863364293085655,0.79672131147541,0.866666666666667,0.883211678832117,0.842105263157895,0.893333333333333,0.833333333333333,0.909536784741144,0.903225806451613,0.866666666666667,0.873684210526316,0.914148857774502,0.879821958456973,0.767313019390582,0.894934333958724,0.84688995215311,0.815126050420168,0.900552486187845,0.854113655640373,0.877862595419847,0.946198830409357,0.850762527233115,1,0.898767605633803,0.808278867102397,0.899135446685879,0.827814569536424,0.844121532364597,0.898611111111111,0.853658536585366,0.89351081530782,0.88295165394402,0.889502762430939,0.853533190578158,0.96579476861167,0.878104993597951
"Anas querquedula",0.915492957746479,1,0.792792792792793,0.833333333333333,0.842019543973941,0.7911227154047,0.89527027027027,0,0.809859154929577,0.914956011730205,0.948717948717949,1,0.959183673469388,0.90530303030303,0.957142857142857,0.909090909090909,0.892086330935252,0.888157894736842,0.970149253731343,0.888888888888889,1,0.9375,1,1,0.934306569343066,1,1,0.948717948717949,1,1,0.8,0.857142857142857,0.91304347826087,0.939393939393939,1,1,0.932307692307692,0.916666666666667,0.916461916461917,0.920289855072464,1,0.926315789473684,1,0.942446043165468,0.922848664688427,0.96,0.929824561403509,0.963636363636364,0.936630602782071,0.8,0.944186046511628,1,1,1,1,0.925373134328358,0.95,1,0,0.862222222222222,0.911439114391144,0.89010989010989,0.885245901639344,0.84,1,0.941176470588235,0.930635838150289,0,0.956521739130435,0.851851851851852,1,0.942528735632184,0.777777777777778,0.884615384615385,0.739130434782609,0.831775700934579,0.943262411347518,0.924528301886792,0.951807228915663,0.851851851851852,0.84,0.954198473282443,0.91304347826087,0.875502008032129
"Anas strepera",0.930232558139535,1,0.811926605504587,0.757785467128028,0.804115226337448,0.732283464566929,0.853913043478261,0.809859154929577,0,0.899253731343284,0.947712418300654,0.888888888888889,0.969230769230769,0.945147679324895,0.863013698630137,0.963636363636364,0.766561514195583,0.762039660056657,0.864406779661017,1,0.666666666666667,0.954545454545455,1,0.636363636363636,0.921671018276762,0.925233644859813,0.9,0.893333333333333,1,1,0.92,0.848648648648649,1,0.947368421052632,0.932203389830508,1,0.904761904761905,0.792048929663609,0.897142857142857,0.861471861471861,0.833333333333333,0.939784946236559,0.866666666666667,0.943887775551102,0.969325153374233,0.888888888888889,1,0.931034482758621,0.923365890308039,0.928571428571429,0.910313901345291,1,1,1,1,0.926829268292683,0.857142857142857,0.714285714285714,0.733333333333333,0.890063424947146,0.936170212765957,0.965811965811966,0.955223880597015,0.924528301886792,0.894736842105263,0.86046511627907,0.888888888888889,0,0.977272727272727,0.929824561403509,1,0.928286852589641,1,0.938461538461538,0.5,0.86013986013986,0.911764705882353,0.902439024390244,0.834862385321101,0.96,0.764705882352941,0.878419452887538,0.944444444444444,0.895372233400402
"Anser albifrons",0.865921787709497,0.8,0.863234111021722,0.883461868037704,0.89239455330455,0.865844255975328,0.83643648362008,0.914956011730205,0.899253731343284,0,0.794937794937795,0.834319526627219,0.826183844011142,0.885446685878962,0.954154727793696,0.810526315789474,0.972850678733032,0.939736346516008,0.923076923076923,0.770491803278688,0.927272727272727,0.787234042553191,1,1,0.93485342019544,0.934210526315789,0.966101694915254,1,1,0.742574257425743,0.892857142857143,0.947540983606557,0.802197802197802,0.889189189189189,0.760663507109005,0.852579852579852,0.843558282208589,0.918937805730259,0.94876660341556,0.918871252204585,0.848739495798319,0.808658471405665,1,0.921241050119332,0.92296148074037,0.877477477477477,0.930817610062893,0.934959349593496,0.841634241245136,0.764705882352941,0.902116402116402,0.931034482758621,1,0.727272727272727,0.764705882352941,0.941653160453809,1,1,1,0.905534351145038,0.914460285132383,0.768211920529801,0.790816326530612,0.929411764705882,0.884615384615385,0.84375,0.761261261261261,1,0.886178861788618,0.866666666666667,1,0.887125220458554,0.933333333333333,0.895522388059701,0.904761904761905,0.912045889101338,0.873469387755102,0.875,0.925925925925926,1,0.964285714285714,0.947483588621444,0.844155844155844,0.842461538461538
