"","Actitis hypoleucos","Alca torda","Anas acuta","Anas clypeata","Anas crecca","Anas penelope","Anas platyrhynchos","Anas querquedula","Anas strepera","Anser albifrons","Anser anser","Anser brachyrhynchus","Anser fabalis","Ardea cinerea","Ardea purpurea","Arenaria interpres","Aythya ferina","Aythya fuligula","Botaurus stellaris","Branta bernicla","Branta canadensis","Branta leucopsis","Bucephala clangula","Calidris alba","Calidris alpina","Calidris canutus","Calidris ferruginea","Calidris minuta","Cepphus grylle","Charadrius alexandrinus","Charadrius dubius","Charadrius hiaticula","Chlidonias niger","Ciconia ciconia","Cygnus columbianus","Cygnus cygnus","Cygnus olor","Fulica atra","Gallinago gallinago","Gallinula chloropus","Grus grus","Haematopus ostralegus","Hydroprogne caspia","Larus argentatus","Larus canus","Larus fuscus","Larus marinus","Larus melanocephalus","Larus ridibundus","Limosa lapponica","Limosa limosa","Lymnocryptes minimus","Mergus merganser","Mergus serrator","Morus bassanus","Numenius arquata","Numenius phaeopus","Nycticorax nycticorax","Phalacrocorax aristotelis","Phalacrocorax carbo","Philomachus pugnax","Platalea leucorodia","Pluvialis apricaria","Pluvialis squatarola","Podiceps cristatus","Rallus aquaticus","Recurvirostra avosetta","Rissa tridactyla","Scolopax rusticola","Somateria mollissima","Stercorarius skua","Sterna hirundo","Sterna paradisaea","Sternula albifrons","Tachybaptus ruficollis","Tadorna tadorna","Thalasseus sandvicensis","Tringa erythropus","Tringa glareola","Tringa nebularia","Tringa ochropus","Tringa totanus","Uria aalge","Vanellus vanellus"
"Actitis hypoleucos",0,0.79295154185022,0.752380952380952,0.648241206030151,0.730268199233717,0.746564885496183,0.760840998685939,0.729166666666667,0.719745222929936,0.783382789317507,0.743740795287187,0.902439024390244,0.808731808731809,0.725085910652921,0.804545454545454,0.744791666666667,0.71658615136876,0.713855421686747,0.834757834757835,0.900662251655629,0.819672131147541,0.869918699186992,0.883435582822086,0.856677524429967,0.660056657223796,0.762626262626263,0.741379310344828,0.728531855955679,0.869688385269122,0.79874213836478,0.762162162162162,0.674418604651163,0.901315789473684,0.784565916398714,0.906832298136646,0.82392776523702,0.772151898734177,0.675236806495264,0.629901960784314,0.635359116022099,0.914285714285714,0.736024844720497,0.890547263681592,0.73719806763285,0.752085816448153,0.718194254445965,0.764102564102564,0.776,0.745341614906832,0.857142857142857,0.737704918032787,0.746835443037975,0.912751677852349,0.846666666666667,0.899053627760252,0.738819320214669,0.791044776119403,0.9,0.938547486033519,0.725151253241141,0.705223880597015,0.814432989690722,0.774468085106383,0.77910447761194,0.907284768211921,0.810344827586207,0.703703703703704,0.875,0.753424657534246,0.796909492273731,0.914191419141914,0.693333333333333,0.789976133651551,0.737704918032787,0.87220447284345,0.736720554272517,0.734439834024896,0.753581661891118,0.65,0.728813559322034,0.749216300940439,0.637770897832817,0.777777777777778,0.692150866462793
"Alca torda",0.79295154185022,0,0.773648648648649,0.749552772808587,0.763220205209155,0.727714748784441,0.819407008086253,0.873303167420814,0.810623556581986,0.871069182389937,0.803432137285491,0.882758620689655,0.896162528216704,0.843694493783304,0.915422885572139,0.61849710982659,0.825042881646655,0.750798722044729,0.891373801916933,0.871212121212121,0.804878048780488,0.824773413897281,0.861111111111111,0.784386617100372,0.640718562874252,0.675977653631285,0.806451612903226,0.851393188854489,0.650793650793651,0.807142857142857,0.885542168674699,0.598326359832636,0.954887218045113,0.922056384742952,0.915492957746479,0.846913580246914,0.803842264914055,0.805991440798859,0.778920308483291,0.774257425742574,0.961538461538461,0.627062706270627,0.791208791208791,0.687061183550652,0.677902621722847,0.601731601731602,0.553930530164534,0.768545994065282,0.786259541984733,0.774647887323944,0.845758354755784,0.863309352517986,0.830769230769231,0.824427480916031,0.74910394265233,0.673704414587332,0.797979797979798,0.969465648854962,0.71875,0.751563896336014,0.775100401606426,0.822857142857143,0.800925925925926,0.71043771043771,0.939393939393939,0.883870967741935,0.730964467005076,0.737588652482269,0.74630021141649,0.653012048192771,0.871698113207547,0.672597864768683,0.664041994750656,0.725609756097561,0.927272727272727,0.721518987341772,0.644144144144144,0.787781350482315,0.846153846153846,0.765822784810127,0.829181494661922,0.684210526315789,0.422319474835886,0.779427359490986
"Anas acuta",0.752380952380952,0.773648648648649,0,0.458503401360544,0.552321552321552,0.452711223203027,0.631325301204819,0.634304207119741,0.622331691297209,0.610837438423645,0.610771113831089,0.793991416309013,0.702746365105008,0.648233486943164,0.754325259515571,0.708812260536398,0.573122529644269,0.586034912718205,0.783231083844581,0.804545454545454,0.805555555555556,0.743589743589744,0.844827586206897,0.838202247191011,0.554502369668247,0.674157303370787,0.802469135802469,0.795591182364729,0.873727087576375,0.802631578947368,0.846456692913386,0.571865443425077,0.882352941176471,0.804630969609262,0.821739130434783,0.762478485370052,0.704721030042919,0.594070695553022,0.607966457023061,0.58590308370044,0.918032786885246,0.567774936061381,0.825925925925926,0.595907928388747,0.572159672466735,0.613348676639816,0.66804979253112,0.785575048732943,0.644164759725401,0.752173913043478,0.60353982300885,0.863436123348018,0.926605504587156,0.858447488584475,0.876923076923077,0.592539454806313,0.758985200845666,0.93607305936073,0.911290322580645,0.626254826254826,0.614243323442137,0.771863117870722,0.671052631578947,0.699788583509514,0.895454545454546,0.818930041152263,0.607017543859649,0.882096069868996,0.694915254237288,0.695431472081218,0.877551020408163,0.577235772357723,0.694793536804309,0.686507936507937,0.858093126385809,0.576182136602452,0.593548387096774,0.765913757700205,0.74757281553398,0.731707317073171,0.864332603938731,0.558673469387755,0.696682464454976,0.606791778373548
"Anas clypeata",0.648241206030151,0.749552772808587,0.458503401360544,0,0.564539007092199,0.5,0.64720344191764,0.606837606837607,0.545138888888889,0.614890885750963,0.566326530612245,0.801385681293302,0.689419795221843,0.605988967691095,0.717431192660551,0.697341513292433,0.517906336088154,0.542262678803641,0.758771929824561,0.832923832923833,0.787685774946921,0.751054852320675,0.870069605568445,0.820388349514563,0.55363748458693,0.660678642714571,0.76158940397351,0.733905579399142,0.882096069868996,0.754137115839244,0.793684210526316,0.568438003220612,0.867970660146699,0.755374351371386,0.807962529274005,0.762773722627737,0.683745583038869,0.533175355450237,0.539630836047774,0.564814814814815,0.912087912087912,0.564753004005341,0.838264299802761,0.601754385964912,0.580508474576271,0.593301435406699,0.626086956521739,0.733333333333333,0.63265306122449,0.775175644028103,0.567669172932331,0.805225653206651,0.900744416873449,0.85679012345679,0.867298578199052,0.593373493975904,0.777272727272727,0.920987654320988,0.909287257019438,0.578446909667195,0.578783151326053,0.724137931034483,0.641739130434783,0.7,0.867321867321867,0.788079470198676,0.553072625698324,0.891764705882353,0.691558441558441,0.71326164874552,0.882352941176471,0.546099290780142,0.706106870229008,0.660297239915074,0.837320574162679,0.587360594795539,0.587734241908007,0.722466960352423,0.702564102564103,0.699346405228758,0.816037735849057,0.525965379494008,0.703333333333333,0.56353591160221
"Anas crecca",0.730268199233717,0.763220205209155,0.552321552321552,0.564539007092199,0,0.540871934604905,0.361884368308351,0.706109822119103,0.718068535825545,0.646267652992603,0.615281501340483,0.868536371603856,0.751159196290572,0.448659585230147,0.792498004788508,0.806182121971596,0.608089260808926,0.561272850372377,0.855670103092784,0.906726457399103,0.838846480067854,0.835871404399323,0.88937664618086,0.903571428571428,0.55892034233048,0.788254755996691,0.86046511627907,0.846678023850085,0.867924528301887,0.893899204244032,0.857988165680473,0.665914221218962,0.930170098478066,0.63150218765192,0.890748898678414,0.762738853503185,0.53695652173913,0.559278350515464,0.480662983425414,0.631268436578171,0.914015477214101,0.593685655456417,0.861728395061728,0.427489177489178,0.468523002421307,0.555699481865285,0.63519313304721,0.846801346801347,0.346264960792406,0.876651982378855,0.754838709677419,0.891939769707706,0.936993699369937,0.917340521114106,0.904424778761062,0.620991253644315,0.865853658536585,0.956873315363881,0.878736122971819,0.431472081218274,0.670867309117865,0.845129059117402,0.73655494933749,0.850174216027874,0.915695067264574,0.862187769164513,0.755823293172691,0.894086496028244,0.712990936555891,0.742496050552923,0.937275985663082,0.607926397735315,0.771103896103896,0.825275657336726,0.911190053285968,0.73354735152488,0.68030888030888,0.857142857142857,0.774168600154679,0.837189374464439,0.899293286219081,0.598355037697053,0.700305810397553,0.442586399108138
"Anas penelope",0.746564885496183,0.727714748784441,0.452711223203027,0.5,0.540871934604905,0,0.614243323442137,0.673405909797823,0.668769716088328,0.634408602150538,0.629453681710214,0.759674134419552,0.720496894409938,0.660889223813112,0.807628524046434,0.692870201096892,0.594387755102041,0.550181378476421,0.801556420233463,0.806451612903226,0.765595463137996,0.75187969924812,0.820040899795501,0.834042553191489,0.53970080552359,0.677996422182469,0.792563600782779,0.812977099236641,0.844961240310077,0.808731808731809,0.842401500938086,0.593519882179676,0.884368308351178,0.82089552238806,0.802061855670103,0.742574257425743,0.657142857142857,0.594235033259424,0.599591419816139,0.597733711048159,0.94541910331384,0.52912019826518,0.826548672566372,0.537562604340568,0.49500998003992,0.550335570469799,0.572192513368984,0.79182156133829,0.620981387478849,0.777319587628866,0.620338983050847,0.874739039665971,0.913232104121475,0.822894168466523,0.866666666666667,0.537396121883656,0.783132530120482,0.94816414686825,0.842610364683301,0.598484848484848,0.590844062947067,0.782214156079855,0.66824644549763,0.714859437751004,0.888172043010753,0.851272015655577,0.640336134453781,0.867494824016563,0.706231454005935,0.675324675324675,0.871244635193133,0.543905635648755,0.687285223367698,0.716446124763705,0.882352941176471,0.567114093959731,0.578294573643411,0.77734375,0.769828926905132,0.760154738878143,0.858921161825726,0.520395550061805,0.644376899696049,0.601398601398601
"Anas platyrhynchos",0.760840998685939,0.819407008086253,0.631325301204819,0.64720344191764,0.361884368308351,0.614243323442137,0,0.765562913907285,0.760159893404397,0.595070422535211,0.581041544763019,0.895434462444772,0.72203838517538,0.367365542388332,0.819047619047619,0.834512022630834,0.617201695941853,0.577331759149941,0.856625633598841,0.918918918918919,0.836676217765043,0.859899928520372,0.889380530973451,0.919222139117427,0.624423963133641,0.821879382889201,0.88243831640058,0.869158878504673,0.869848156182213,0.913946587537092,0.862857142857143,0.719275549805951,0.940029985007496,0.503957783641161,0.890532544378698,0.754243041412084,0.387457462323773,0.518371961560204,0.568797399783315,0.664335664335664,0.891304347826087,0.637992831541219,0.874301675977654,0.396610169491525,0.459604066345639,0.60022714366837,0.659442724458204,0.861921708185053,0.281060606060606,0.894970414201183,0.794097460535347,0.912332838038633,0.924698795180723,0.926315789473684,0.934669636228656,0.671491504090623,0.887179487179487,0.965413533834586,0.930835734870317,0.411065386374028,0.721583652618135,0.871650211565585,0.793333333333333,0.873992673992674,0.923423423423423,0.878084179970972,0.794801641586867,0.922962962962963,0.754704737183647,0.741065407956844,0.947486871717929,0.617177914110429,0.790200138026225,0.849570200573066,0.907669396872673,0.758031442241969,0.724867724867725,0.885424220449601,0.79205298013245,0.871387283236994,0.911045218680504,0.653937947494033,0.736393442622951,0.514669318746892
"Anas querquedula",0.729166666666667,0.873303167420814,0.634304207119741,0.606837606837607,0.706109822119103,0.673405909797823,0.765562913907285,0,0.603485838779956,0.72809667673716,0.697151424287856,0.848101265822785,0.778251599147121,0.734375,0.64018691588785,0.827956989247312,0.67816091954023,0.714723926380368,0.740412979351032,0.882758620689655,0.915254237288136,0.848739495798319,0.89171974522293,0.898305084745763,0.740634005763689,0.8125,0.785714285714286,0.742120343839542,0.953079178885631,0.797385620915033,0.793296089385475,0.734126984126984,0.821917808219178,0.810064935064935,0.806451612903226,0.870069605568445,0.799014778325123,0.656121045392022,0.666666666666667,0.645951035781544,0.964497041420118,0.753164556962025,0.882051282051282,0.763440860215054,0.77509068923821,0.799721835883171,0.835951134380454,0.807162534435262,0.770963704630788,0.858064516129032,0.643373493975904,0.802631578947368,0.951048951048951,0.923611111111111,0.914754098360656,0.758683729433272,0.801857585139319,0.868055555555556,0.982658959537572,0.725764192139738,0.606870229007634,0.787234042553191,0.759825327510917,0.808049535603715,0.841379310344827,0.767857142857143,0.704761904761905,0.941558441558441,0.819639278557114,0.868480725623583,0.917525773195876,0.717687074829932,0.862407862407862,0.76271186440678,0.833887043189369,0.729216152019002,0.782978723404255,0.744807121661721,0.628205128205128,0.736842105263158,0.811074918566775,0.675078864353312,0.855072463768116,0.717234262125903
"Anas strepera",0.719745222929936,0.810623556581986,0.622331691297209,0.545138888888889,0.718068535825545,0.668769716088328,0.760159893404397,0.603485838779956,0,0.718223583460949,0.70516717325228,0.850162866449511,0.756521739130435,0.713035870516185,0.704057279236277,0.746556473829201,0.65,0.679626749611198,0.727272727272727,0.879003558718861,0.855072463768116,0.816091954022989,0.901639344262295,0.874125874125874,0.708029197080292,0.744,0.798165137614679,0.723529411764706,0.939759036144578,0.797979797979798,0.833810888252149,0.668686868686869,0.830388692579505,0.79067865903516,0.813953488372093,0.862559241706161,0.775347912524851,0.629526462395543,0.637735849056604,0.655172413793103,0.933130699088146,0.730337078651685,0.858267716535433,0.745562130177515,0.755501222493888,0.774647887323944,0.822695035460993,0.751412429378531,0.750786658275645,0.833887043189369,0.596059113300493,0.816949152542373,0.927797833935018,0.913978494623656,0.891891891891892,0.721189591078067,0.796178343949045,0.878136200716846,0.928783382789317,0.693661971830986,0.646601941747573,0.727520435967302,0.719376391982183,0.764331210191083,0.814946619217082,0.743119266055046,0.688564476885645,0.933110367892977,0.763265306122449,0.87037037037037,0.936170212765957,0.675302245250432,0.849246231155779,0.756521739130435,0.86986301369863,0.694174757281553,0.75704989154013,0.76219512195122,0.708061002178649,0.75975975975976,0.845637583892617,0.6544,0.827004219409283,0.7125
"Anser albifrons",0.783382789317507,0.871069182389937,0.610837438423645,0.614890885750963,0.646267652992603,0.634408602150538,0.595070422535211,0.72809667673716,0.718223583460949,0,0.565621370499419,0.823529411764706,0.559577677224736,0.62258543833581,0.80064308681672,0.816254416961131,0.678704856787049,0.643026004728132,0.759849906191369,0.859504132231405,0.872262773722628,0.767695099818512,0.905511811023622,0.901840490797546,0.72972972972973,0.782006920415225,0.852830188679245,0.889502762430939,0.928971962616822,0.872,0.876811594202898,0.753581661891118,0.901234567901235,0.692847124824684,0.757936507936508,0.7504,0.553349875930521,0.61129207383279,0.681362725450902,0.608275862068965,0.815789473684211,0.653753026634383,0.904109589041096,0.613804437140509,0.590597453476983,0.721796276013144,0.741851368970013,0.791741472172352,0.652901785714286,0.857142857142857,0.724137931034483,0.879518072289157,0.945833333333333,0.925311203319502,0.895791583166333,0.716599190283401,0.845261121856867,0.954356846473029,0.951851851851852,0.659447348767737,0.724233983286908,0.796491228070175,0.760736196319018,0.825918762088975,0.900826446280992,0.841509433962264,0.736156351791531,0.932270916334661,0.803751803751804,0.798425196850394,0.929896907216495,0.621483375959079,0.820299500831947,0.806569343065694,0.878787878787879,0.67479674796748,0.728915662650602,0.879472693032015,0.836858006042296,0.869402985074627,0.888223552894212,0.705314009661836,0.799113737075332,0.681857265692175
