"","Actitis hypoleucos","Alca torda","Anas acuta","Anas clypeata","Anas crecca","Anas penelope","Anas platyrhynchos","Anas querquedula","Anas strepera","Anser albifrons","Anser anser","Anser brachyrhynchus","Anser fabalis","Ardea cinerea","Ardea purpurea","Arenaria interpres","Aythya ferina","Aythya fuligula","Botaurus stellaris","Branta bernicla","Branta canadensis","Branta leucopsis","Bucephala clangula","Calidris alba","Calidris alpina","Calidris canutus","Calidris ferruginea","Calidris minuta","Cepphus grylle","Charadrius alexandrinus","Charadrius dubius","Charadrius hiaticula","Chlidonias niger","Ciconia ciconia","Cygnus columbianus","Cygnus cygnus","Cygnus olor","Fulica atra","Gallinago gallinago","Gallinula chloropus","Grus grus","Haematopus ostralegus","Hydroprogne caspia","Larus argentatus","Larus canus","Larus fuscus","Larus marinus","Larus melanocephalus","Larus ridibundus","Limosa lapponica","Limosa limosa","Lymnocryptes minimus","Mergus merganser","Mergus serrator","Morus bassanus","Numenius arquata","Numenius phaeopus","Nycticorax nycticorax","Phalacrocorax aristotelis","Phalacrocorax carbo","Philomachus pugnax","Platalea leucorodia","Pluvialis apricaria","Pluvialis squatarola","Podiceps cristatus","Rallus aquaticus","Recurvirostra avosetta","Rissa tridactyla","Scolopax rusticola","Somateria mollissima","Stercorarius skua","Sterna hirundo","Sterna paradisaea","Sternula albifrons","Tachybaptus ruficollis","Tadorna tadorna","Thalasseus sandvicensis","Tringa erythropus","Tringa glareola","Tringa nebularia","Tringa ochropus","Tringa totanus","Uria aalge","Vanellus vanellus"
"Actitis hypoleucos",0,0.0403774856757668,0.0445852534562212,0.0502610491412283,0.0578384863411343,0.0495652173913044,0.0779662557342309,0.0655496962819573,0.0600429686027664,0.126232511080957,0.0750167216366446,0,0.0369785498091855,0.0700131250186762,0.0317617165443254,0.0941176470588236,0.064841624989032,0.0779800071687444,0,0.0947643979057593,0,0,0,0.180193414126576,0.105021599991509,0.0990310077519381,0.100257289879931,0.095162635529608,0,0.136083524318819,0.0864135021097046,0.112774498229044,0,0.0505542318450223,0,0,0.12065943692919,0.0682391243895504,0.089875188097162,0.0986629491160256,0.282161887845725,0.11752333511157,0,0.0688512024234742,0.0618243236293092,0.0611241400875546,0.0768640070208797,0.129063679532449,0.0640071728693776,0.156794425087108,0.0746709766797506,0.0359029779058597,0,0.0712892741061755,0,0.0996535779144474,0.0984292220466585,0.244186046511628,0,0.0765915119363396,0.112241593185332,0.0959696727853152,0.0834386852085969,0.0689102564102564,0,0,0.098855752225766,0,0.0438807298620383,0.0579817680729275,0,0.0818722586072222,0.134764732754683,0.0823888497577427,0,0.119894598155468,0.149181717415401,0.0862972153294734,0.164677308326731,0.132098765432099,0.0501424501424501,0.103212430950643,0.0849655545049304,0.0720559980934665
"Alca torda",0.0403774856757668,0,0.0218097213089878,0,0.00475192615711872,0.0410915525752074,0.0413061337932896,0,0,0.198710509348807,0.0202323018692292,0,0,0,0,0.0823758519961053,0,0.0550502214735791,0,0,0.120680345572354,0,0,0,0.0189391007432225,0.0150897603313416,0,0,0.0982421954288961,0.212876427829699,0.281148075668624,0.0490844777361632,0,0.0764446080235552,0,0,0.0513882884181198,0.0282167593405522,0.0296954664461899,0.0994208494208495,0,0.0751919595480368,0.0519269776876268,0.116978725179873,0.0343641283837655,0.141460662726928,0.0676851687125659,0.0367532467532468,0.0204009101795921,0.0937340804890474,0,0.244871794871795,0.0817617165443252,0.132806891600861,0.54377406931964,0.07423296039536,0,0,0.162030504602567,0.0602126927767141,0.0219689363963858,0.0478337754199825,0,0,0,0.245294117647059,0.0560375794418349,0.154818459450288,0.0251112209589717,0.0597388402460437,0,0.0604573340769661,0.0126230314960629,0.0920414317556051,0,0.0563305901509483,0.0128887132565281,0,0.0872261543646782,0,0,0.035790502146916,0.135331279695087,0.0573467567223143
"Anas acuta",0.0445852534562212,0.0218097213089878,0,0.0604577414604019,0.10588373523313,0.0832003939557586,0.0870684855775432,0.127276711985661,0.115826698460171,0.0892400293193463,0.0368207609813931,0.0253030194362764,0.0881437793154694,0.0454703498318183,0.0813045058139534,0.107378030529782,0.0484016334160426,0.0583228247162675,0.061917436869555,0.0771326164874551,0.0834252383403182,0.0508469907726208,0,0.0504265072825392,0.0533971390701118,0.0433349034385304,0.18082940281966,0.072658060244952,0,0.0527131782945736,0.0566329489079311,0.0707954297358271,0.128740910830463,0.0396754080322759,0.109003308825623,0.0495526431255844,0.0667127256744025,0.0793935082708341,0.0390881346645175,0.0504792332268371,0,0.0431382790382455,0,0.0588586917923346,0.0459825049241107,0.0446495835322829,0.0436720520041503,0.0634637379038474,0.0664865156813907,0.12801724137931,0.0469336670838547,0.207349298100743,0,0.0929790741206382,0.24774011299435,0.0521992580816109,0.0536420101637494,0,0,0.0352342289140206,0.0744277854927089,0.151658767772512,0.0492976588628762,0.0598793069885146,0.11532687320868,0.0844444444444443,0.0711961648044965,0,0.0565541970624184,0.076206847156568,0,0.0647947869214216,0.0921417894512064,0.0543066689408154,0.168582375478927,0.0836263047447743,0.0506686534169551,0.124277371834375,0.158271214516979,0.0649209944984592,0.128730341388569,0.0643572595135409,0.0400665812305743,0.0825957584178982
"Anas clypeata",0.0502610491412283,0,0.0604577414604019,0,0.0715244807952553,0.0988954400802127,0.0810263084052447,0.0859154929577466,0.108754094359103,0.077580813142474,0.0653528077897827,0.0403408282799551,0.0343708579002697,0.0579874488704832,0.089901143632487,0.0688937995580399,0.135086292581549,0.098896310697238,0.05439672801636,0.0320257561636872,0.127151799687011,0.0184920938757991,0.077490589711418,0.0884730373159117,0.0518046542689401,0.0558710870426629,0.080275229357798,0.0502304147465438,0.10881753312946,0.0405585846222321,0.0911055166808732,0.0682030959004318,0.206025133413668,0.0471690662984299,0.0594368904967018,0.0487254572512121,0.106571582588383,0.087570652193617,0.0664297834694203,0.0742694383684517,0,0.0578833735825284,0,0.0408040594986607,0.0491829383886258,0.0352610820543597,0.0730423040118136,0.0457539886773031,0.0613185307992474,0.167583447930991,0.0579960428087176,0.0319153645256962,0,0.14622226566318,0,0.064857544141252,0.117437587604652,0.197422680412371,0,0.0641703890869167,0.0734594856865598,0.202587917758196,0.0642316437843595,0.100157232704402,0.137702503681885,0.0652614336824864,0.0684234963278763,0.283245149911817,0.0461559135073235,0.0904328409481279,0,0.0549428981994509,0.119177194687399,0.0621156512519372,0.156462585034014,0.0985656627229319,0.049042076141891,0.131781719579708,0.109811157119657,0.096915676287493,0.156449553001277,0.0647454020367837,0,0.0761688538496084
"Anas crecca",0.0578384863411343,0.00475192615711872,0.10588373523313,0.0715244807952553,0,0.091551998003822,0.051989398575419,0.110927339363434,0.137934931928926,0.0581322446798751,0.0471415487028155,0.0742721330956624,0.0475876802563646,0.0245995704861051,0.0707707707707708,0.11557822410148,0.0821252791387059,0.0939699701886167,0.0848466592076196,0.151596366755029,0.053193948386808,0.0207431457431457,0.046443579766537,0.100094526080605,0.0757772219336759,0.101737986589682,0.16271711472508,0.13771198263277,0,0.102946817785528,0.0288288288288288,0.0710476833795024,0.143372838454806,0.0315891140639895,0.0969686303840909,0.0434441902015485,0.0424878252663554,0.0724843079632911,0.0395491393766672,0.0540047211242862,0.0219784484790015,0.0519223274628107,0.0358669887351288,0.0257392608697702,0.0327422283944023,0.0310542397121345,0.0284590724513785,0.0493953564689473,0.0256701023906909,0.151798017932987,0.0722896181841399,0.136602256226963,0,0.116017027330421,0,0.0473813387007334,0.107098855969493,0.248956703182055,0.047969027671998,0.0210906609803343,0.0799906008111562,0.233347887541088,0.120623469455291,0.107711213517665,0.0651017214397496,0.0704583715947353,0.106758110713678,0.0320237250762774,0.0412257339964703,0.0988572762925881,0,0.0378178793235464,0.10692478970122,0.0582925820718421,0.136186379535512,0.0932983126945188,0.073581556597728,0.190679977421927,0.114949025295397,0.114747479247826,0.12143995497319,0.0883317170675739,0.0256563444542854,0.0347383848261069
"Anas penelope",0.0495652173913044,0.0410915525752074,0.0832003939557586,0.0988954400802127,0.091551998003822,0,0.088987677742898,0.141138080530948,0.180162887364401,0.0859162097856925,0.0412028853962643,0.0350045198525832,0.0678744798890429,0.0446042696561613,0.0957754918605813,0.0720054992266712,0.0920386765680494,0.0772645076442544,0.0534225930274193,0.089660876757651,0.0773887197332175,0.0949101420133216,0.109904553278047,0.142405509353416,0.0409989925525753,0.0738630501861699,0.0246423751686908,0,0,0.0497668086092522,0.0712299165649573,0.0767025089605735,0.077780244173141,0.0640824792090373,0.125697259467138,0.0100856004746166,0.0633099365346006,0.0920300049762552,0.0548494813422888,0.053198127925117,0,0.0391016204017052,0,0.037422013599903,0.0293747953389421,0.0309232480533925,0.0392804193987193,0.0591637650715087,0.058731722165428,0.123702157272095,0.0624985607369026,0,0,0.0908084163898117,0,0.0324004491664507,0.116614255765199,0,0.0829444856308055,0.0380055221698881,0.0516986918888878,0.088479262672811,0.0605538284752789,0.0897503496022558,0.0810911808669657,0.0956989247311828,0.0913851992409869,0,0.0349411540547275,0.064893001735107,0,0.05077507419302,0.0838427947598253,0.093226483854868,0.139674796747967,0.076673140803398,0.0297395239171334,0.187969106929185,0.0919882225321556,0.107867386198971,0.172919405399939,0.0690982277152996,0.0678267925974347,0.0659036237290518
"Anas platyrhynchos",0.0779662557342309,0.0413061337932896,0.0870684855775432,0.0810263084052447,0.051989398575419,0.088987677742898,0,0.0821267403020958,0.115373976631428,0.0758486528814366,0.0721320107736048,0.120226843100189,0.0562439607713923,0.0394021034234537,0.103455283042862,0.158973299379788,0.0986089915266217,0.110108564780989,0.0872167048637638,0.0845071941337769,0.0789942720532517,0.0831536011813498,0.0598169796857033,0.147826700310036,0.0903634206658401,0.118270703733799,0.211404970182701,0.0976922753723661,0.0701678912995747,0.212398501832981,0.0733589847193654,0.096323417238749,0.216104705318942,0.0397858582542157,0.177173570753772,0.100244261746614,0.0335072142774717,0.0862704921664932,0.0511631570161515,0.0842984000346447,0.0348865314891902,0.0750899715955593,0,0.0226232732002545,0.0354000906710743,0.0351328282989265,0.0613806067938127,0.0777479390822553,0.0180118865822458,0.191498335113988,0.111001281347245,0.11371139809096,0.155584823463857,0.102058371735791,0.165134099616858,0.06117082069383,0.0922105883002409,0.132948495927137,0.124052492604578,0.0274038827246823,0.0914342516210962,0.217102565025003,0.0848161632388893,0.140963530481166,0.180640738111677,0.0960091183966818,0.11506197159977,0.119078715992885,0.0452636788705245,0.104502778889334,0,0.0614950066675104,0.159427554915952,0.0877461125345109,0.167190233537543,0.11330224537309,0.0761817065684469,0.139492148346141,0.0948528210558159,0.10829977245385,0.106654040028707,0.0905935860923202,0.0280524988512325,0.0526586427656852
"Anas querquedula",0.0655496962819573,0,0.127276711985661,0.0859154929577466,0.110927339363434,0.141138080530948,0.0821267403020958,0,0.106807511737089,0.0662737617325777,0.0410190621864772,0,0.036492002206288,0.0761784511784511,0.0316839584996009,0.0872122332381111,0.0746173316618626,0.0839960774171302,0.0250198283942606,0.106268496099005,0,0.0590095986038395,0,0,0.0575926205759263,0,0,0.0469993960357986,0,0,0.181220657276995,0.124633908232997,0.0817481884057971,0.0577269819112429,0,0,0.0628293545534926,0.0585808580858085,0.0593215593215592,0.0509519749928957,0,0.0595427963849016,0,0.0534785620306608,0.0693878238156038,0.0370215934475056,0.0668967500719011,0.0330523780854908,0.0564902025870566,0.19092970521542,0.0370932046584189,0,0,0,0,0.0627925461450145,0.0454233409610985,0,0,0.118101484537537,0.0590768561248265,0.092284476087293,0.0950079770630534,0.151051454138702,0,0.0539809143996581,0.0535330272850671,0,0.0399446919649715,0.142008470481226,0,0.0471192974941101,0.209483368719038,0.103711463633643,0.245203768872744,0.143258973129221,0.04849016597207,0.0662551082514564,0.0363933610548388,0.129799524294937,0.149528795811518,0.0365636514288736,0.0841156126482212,0.0942982842231077
"Anas strepera",0.0600429686027664,0,0.115826698460171,0.108754094359103,0.137934931928926,0.180162887364401,0.115373976631428,0.106807511737089,0,0.0831795803027802,0.0419181714595538,0.106686332350049,0.0285690107472285,0.0451652863979073,0.117792443404412,0.0325541125541127,0.149822666595377,0.168250796374878,0.11549271782642,0,0.301149425287356,0.041863881181655,0,0.353735373537354,0.0647297070178885,0.0625526146821715,0.0912087912087913,0.0889283074648928,0,0,0.0751219512195123,0.118868752743463,0,0.0497414055369638,0.0603339236023275,0,0.0868086364980776,0.151094883045422,0.0769205434335116,0.0958045070194602,0.16320645905421,0.0459584346188382,0.129710144927536,0.0513446439959777,0.027674546595764,0.0990538390689106,0,0.0587614356087263,0.0680655613048642,0.0667226890756303,0.0576860986547085,0,0,0,0,0.0586954602959782,0.138106549032915,0.280143255073617,0.258045977011494,0.0933496532027742,0.04879219324908,0.0269416573764401,0.0361181107449764,0.0661909556538107,0.0996921272540685,0.124421533594986,0.0895477687930519,0,0.019090909090909,0.0670674354884881,0,0.0527657789893059,0,0.0535063330244052,0.478201634877384,0.111491345533899,0.0819459859415463,0.0879915976193255,0.137947282352615,0.0352380952380953,0.224365155898425,0.0904036180399757,0.0526485788113695,0.0791000297316546
"Anser albifrons",0.126232511080957,0.198710509348807,0.0892400293193463,0.077580813142474,0.0581322446798751,0.0859162097856925,0.0758486528814366,0.0662737617325777,0.0831795803027802,0,0.0851123932679767,0.146330093276029,0.0807096206262796,0.0525166383504563,0.0404453397054598,0.183406950135703,0.0217390417358592,0.0427149833441514,0.0670639219934994,0.224576882878409,0.0713369355705122,0.176087064482487,0,0,0.0565407278252144,0.0625605424604456,0.0332079357371446,0,0,0.248277255593258,0.105039070326588,0.047616401381336,0.19139650385202,0.0735041684086271,0.171505733992406,0.128378573316688,0.0683841638345766,0.049176542812897,0.0371341798742575,0.052297660362008,0.139339974400356,0.110088691553935,0,0.0470091002113959,0.0503718525929633,0.104480601588588,0.0631483800632726,0.0624003863801013,0.101625203896367,0.231108557828433,0.0737557856892712,0.0682522504796104,0,0.270593560067244,0.232461256457257,0.0473410309249744,0,0,0,0.0589626902750802,0.0725767519046541,0.208407985949825,0.183027373628877,0.0684998259658893,0.113242523274655,0.152727632969355,0.205447281452307,0,0.109141993826355,0.126897291499061,0,0.0751389304848424,0.0640471512770138,0.0997157071783938,0.0931021037820612,0.0733370152520141,0.108273839571164,0.122902097902098,0.0721410843833525,0,0.035002035002035,0.0396305053382875,0.152010290029459,0.100382846445807
