"","Actitis hypoleucos","Alca torda","Anas acuta","Anas clypeata","Anas crecca","Anas penelope","Anas platyrhynchos","Anas querquedula","Anas strepera","Anser albifrons","Anser anser","Anser brachyrhynchus","Anser fabalis","Ardea cinerea","Ardea purpurea","Arenaria interpres","Aythya ferina","Aythya fuligula","Botaurus stellaris","Branta bernicla","Branta canadensis","Branta leucopsis","Bucephala clangula","Calidris alba","Calidris alpina","Calidris canutus","Calidris ferruginea","Calidris minuta","Cepphus grylle","Charadrius alexandrinus","Charadrius dubius","Charadrius hiaticula","Chlidonias niger","Ciconia ciconia","Cygnus columbianus","Cygnus cygnus","Cygnus olor","Fulica atra","Gallinago gallinago","Gallinula chloropus","Grus grus","Haematopus ostralegus","Hydroprogne caspia","Larus argentatus","Larus canus","Larus fuscus","Larus marinus","Larus melanocephalus","Larus ridibundus","Limosa lapponica","Limosa limosa","Lymnocryptes minimus","Mergus merganser","Mergus serrator","Morus bassanus","Numenius arquata","Numenius phaeopus","Nycticorax nycticorax","Phalacrocorax aristotelis","Phalacrocorax carbo","Philomachus pugnax","Platalea leucorodia","Pluvialis apricaria","Pluvialis squatarola","Podiceps cristatus","Rallus aquaticus","Recurvirostra avosetta","Rissa tridactyla","Scolopax rusticola","Somateria mollissima","Stercorarius skua","Sterna hirundo","Sterna paradisaea","Sternula albifrons","Tachybaptus ruficollis","Tadorna tadorna","Thalasseus sandvicensis","Tringa erythropus","Tringa glareola","Tringa nebularia","Tringa ochropus","Tringa totanus","Uria aalge","Vanellus vanellus"
"Actitis hypoleucos",0,0.996899224806202,0.989285714285714,0.982591876208897,0.98435972629521,0.989565217391304,0.986067827681027,0.981042654028436,0.990275526742301,0.992154298790454,0.986910994764398,1,0.997762863534676,0.990258523791682,0.99604743083004,0.976470588235294,0.988505747126437,0.983193277310924,1,0.994764397905759,1,1,1,0.989717223650386,0.956184390689183,0.975,0.968181818181818,0.967889908256881,1,0.979220779220779,0.979746835443038,0.952774498229044,1,0.996132463137539,1,1,0.987981304251057,0.979678238780694,0.957756737072105,0.959128065395095,0.996447602131439,0.978450487429451,1,0.99112325025606,0.986738999397227,0.989329268292683,0.989907485281749,0.989528795811518,0.990411304567247,0.985365853658537,0.990163934426229,0.994236311239193,1,0.994366197183099,1,0.975429975429975,0.985221674876847,0.994186046511628,1,0.990384615384615,0.959131545338442,0.988826815642458,0.988200589970502,0.985576923076923,1,1,0.966987620357634,1,0.996261682242991,0.990566037735849,1,0.980748663101604,0.983249581239531,0.979296066252588,1,0.96231884057971,0.972310969116081,0.975186104218362,0.904173106646059,0.965432098765432,0.988603988603989,0.941640378548896,0.99405646359584,0.978239366963403
"Alca torda",0.996899224806202,0,0.998280309544282,1,0.999516324062878,0.996647108130763,0.99636231356857,1,1,0.998710509348807,0.998726925525143,1,1,1,1,0.974683544303798,1,0.993511759935118,1,1,0.995680345572354,1,1,1,0.992837958818263,0.997071742313324,1,1,0.954451345755694,0.990654205607477,0.995433789954338,0.984269662921348,1,0.999521531100478,1,1,0.996913580246914,0.998366013071895,0.997175141242938,0.992277992277992,1,0.981927710843373,0.993103448275862,0.976275207591934,0.991074085093722,0.940959409594096,0.962662337662338,0.996753246753247,0.998156218571908,0.991169977924945,1,0.994871794871795,0.994805194805195,0.989949748743719,0.912195121951219,0.985997666277713,1,1,0.947154471544716,0.989883022447044,0.997578692493947,0.996551724137931,1,1,1,0.995294117647059,0.992207792207792,0.97624703087886,0.996539792387543,0.980228136882129,1,0.987730061349693,0.996875,0.988593155893536,1,0.99181446111869,0.9979633401222,1,0.994202898550725,1,1,0.990846681922197,0.798882681564246,0.994188861985472
"Anas acuta",0.989285714285714,0.998280309544282,0,0.859536082474227,0.853362255965293,0.810551558752998,0.923321613929349,0.920069504778454,0.927753303964758,0.952474140341068,0.981427174975562,0.997905759162304,0.981586402266289,0.971760276121745,0.98828125,0.972762645914397,0.971181556195965,0.956674473067916,0.991120976692564,0.991111111111111,0.991471215351812,0.992452830188679,1,0.997794928335171,0.960132890365448,0.98272884283247,0.983298538622129,0.993710691823899,1,0.995570321151716,0.997809419496166,0.964835164835165,0.99540757749713,0.996992481203008,0.978825794032724,0.991749174917492,0.984434244661744,0.950559152442613,0.978847170809096,0.950479233226837,1,0.954600729631131,1,0.978670012547052,0.976538060479666,0.982513661202186,0.989455184534271,0.992667277726856,0.975014104940759,0.976293103448276,0.973404255319149,0.993063583815029,1,0.995418098510882,0.99774011299435,0.963963963963964,0.995670995670996,1,1,0.982957669048928,0.964642582628747,0.962085308056872,0.981605351170568,0.987152034261242,0.997679814385151,0.995555555555556,0.964658634538153,1,0.984805318138652,0.97877094972067,1,0.965588437715072,0.973094170403587,0.986013986013986,0.990804597701149,0.943708609271523,0.979409746053535,0.98914223669924,0.982832618025751,0.986998916576381,0.995397008055236,0.948488241881299,0.99328295549958,0.934645669291339
"Anas clypeata",0.982591876208897,1,0.859536082474227,0,0.895667550839965,0.859671302149178,0.93307287243078,0.91924882629108,0.866539561487131,0.961042681180178,0.958163265306123,0.995397008055236,0.993966817496229,0.962592712028378,0.980810234541578,0.987261146496815,0.880184331797235,0.900123304562269,0.987730061349693,0.997542997542997,0.988262910798122,0.995893223819302,0.997490589711418,0.997563946406821,0.966450629050705,0.985074626865672,0.988532110091743,0.993087557603687,0.997706422018349,0.995104039167687,0.992744860943168,0.960906958561376,0.989808917197452,0.995622674545853,0.989506820566632,0.994671403197158,0.976040609137056,0.935523868567886,0.951246537396122,0.934819897084048,1,0.956320873582528,1,0.986009538950716,0.974933333333333,0.988532110091743,0.986428130783467,0.994029850746269,0.971430890349809,0.983372921615202,0.965451055662188,0.997432605905006,1,0.992376111817027,1,0.971107544141252,0.990453460620525,0.997422680412371,1,0.967342342342342,0.955555555555555,0.940144478844169,0.974774774774775,0.983490566037736,0.994845360824742,0.995085995085995,0.955133735979292,0.997530864197531,0.989658738366081,0.984741784037559,1,0.964886613021214,0.974732750242954,0.982513661202186,0.989795918367347,0.948306595365419,0.983953318745441,0.980838323353293,0.972196478220575,0.978494623655914,0.989782886334611,0.945882352941176,1,0.929910350448248
"Anas crecca",0.98435972629521,0.999516324062878,0.853362255965293,0.895667550839965,0,0.856465517241379,0.786249301285634,0.952946883337376,0.942050158266375,0.950526797984425,0.969709047429255,0.994907053730583,0.989051094890511,0.952589706121123,0.992992992992993,0.9845,0.95091743119266,0.922649572649573,0.992254066615027,0.991219008264463,0.994884910485933,0.998015873015873,0.998443579766537,0.996390822376901,0.920084492166872,0.974334140435835,0.988804071246819,0.989302088639837,1,0.994838709677419,0.997940797940798,0.965413880562601,0.99791829300026,0.991870984659761,0.990526053353278,0.994263862332696,0.966929725667042,0.937486619567544,0.944478716841456,0.957386363636364,0.999506538366642,0.934546791689649,0.999503352371492,0.954000855798032,0.941833137485312,0.977509371095377,0.988459072451378,0.996062023135614,0.921971519604656,0.986153846153846,0.978048780487805,0.99374511336982,1,0.996358907672302,1,0.965613382899628,0.992813141683778,0.998956703182055,0.997969027671998,0.959757942511346,0.967704189094313,0.972684380432083,0.965451055662188,0.987711213517665,0.998435054773083,0.996384297520661,0.960161252074935,0.998965873836608,0.989565217391304,0.973120537589248,1,0.974237288135593,0.980915096647908,0.990435439214699,0.99583550234253,0.954066985645933,0.971099571009257,0.983560236321603,0.982596084118927,0.984595635430038,0.994272324915387,0.925178646490122,0.993754503963488,0.93033381712627
"Anas penelope",0.989565217391304,0.996647108130763,0.810551558752998,0.859671302149178,0.856465517241379,0,0.912043978010995,0.932260795935648,0.91244635193133,0.95176046576102,0.977842003853564,0.993908629441624,0.9875173370319,0.972023624494871,0.990512333965844,0.98109640831758,0.961918194640339,0.934407364787112,0.99140708915145,0.987096774193548,0.989669421487603,0.985321100917431,0.995618838992333,0.991462113127001,0.961299744432275,0.968013468013468,0.997975708502024,1,1,0.995712754555198,0.99575821845175,0.965591397849462,0.997780244173141,0.996157950907151,0.97754911131899,0.998389694041868,0.981749652846657,0.94331983805668,0.968766267568975,0.953198127925117,1,0.947937525030036,1,0.98033093974399,0.975168132436627,0.98494623655914,0.986183074265976,0.994647636039251,0.969446007879714,0.977035490605428,0.96027633851468,1,1,0.995570321151716,1,0.96769456681351,0.991614255765199,1,0.995987963891675,0.978735005452563,0.980465815176559,0.985253456221198,0.978792822185971,0.979253112033195,0.997757847533632,0.995698924731183,0.962352941176471,1,0.992613111726685,0.975824175824176,1,0.97167902899528,0.979039301310044,0.976721629485936,0.993333333333333,0.941841680129241,0.985205110961668,0.981072555205047,0.988284518828452,0.97691500524659,0.991101223581758,0.94273127753304,0.985257985257985,0.945525291828794
"Anas platyrhynchos",0.986067827681027,0.99636231356857,0.923321613929349,0.93307287243078,0.786249301285634,0.912043978010995,0,0.977397010572366,0.969287020109689,0.912285136501517,0.940134775113619,0.989792060491493,0.983295632503915,0.909066737569795,0.991043105056914,0.984337124743614,0.948278874716058,0.912957140493132,0.991978609625668,0.995797516714422,0.992414185473165,0.990732159406858,0.997316979685703,0.996566196108356,0.929585462805224,0.979246313489896,0.991309276402796,0.995840423520514,0.99584356697525,0.99274532264223,0.995045731707317,0.971228070175439,0.996926623127161,0.974193548387097,0.981019724599925,0.981251126735172,0.912689920821742,0.915147497514087,0.958239640218439,0.946303919813854,0.998522895125554,0.921199647162599,1,0.909812342451685,0.903561375596622,0.979237631792376,0.967229394240318,0.995208256542573,0.881376179667901,0.988219646589398,0.977667948013912,0.996923076923077,0.997690086621752,0.995391705069124,0.998467432950191,0.970707605434974,0.995436394751854,0.999615162593804,0.997736703130894,0.941552740499185,0.97125621007807,0.984415584415584,0.979750497197613,0.987853482634276,0.995766788531845,0.996561604584527,0.969175627240143,0.996941311412732,0.991462509279881,0.955265306122449,1,0.960262612301313,0.967706422018349,0.98688155922039,0.995004803073967,0.957423777737687,0.974792817679558,0.993150684931507,0.988363636363636,0.99125142639787,0.996156802459646,0.944126776670479,0.993847267462903,0.930763636363636
"Anas querquedula",0.981042654028436,1,0.920069504778454,0.91924882629108,0.952946883337376,0.932260795935648,0.977397010572366,0,0.916666666666667,0.981229773462783,0.989737010904426,1,0.995675675675676,0.981481481481481,0.988826815642458,0.99630314232902,0.966703662597114,0.972153972153972,0.995169082125604,0.995157384987893,1,0.996509598603839,1,1,0.991899189918992,1,1,0.995717344753747,1,1,0.981220657276995,0.981776765375854,0.994791666666667,0.997120921305182,1,1,0.995137046861185,0.975247524752475,0.975783475783476,0.97124183006536,1,0.985858585858586,1,0.995924605196128,0.992236488504031,0.997021593447506,0.99672131147541,0.996688741721854,0.993120805369128,0.99092970521542,0.981279251170047,1,1,1,1,0.988165680473373,0.995423340961098,1,1,0.980323706759759,0.97051597051597,0.982394366197183,0.980253878702398,0.991051454138703,1,0.995157384987893,0.984168865435356,1,0.996466431095406,0.993860322333078,1,0.989648033126294,0.987261146496815,0.988326848249027,0.984334203655352,0.9750346740638,0.991752577319588,0.990783410138249,0.988200589970502,0.981651376146789,0.989528795811518,0.990762124711316,0.997159090909091,0.969800292255236
"Anas strepera",0.990275526742301,1,0.927753303964758,0.866539561487131,0.942050158266375,0.91244635193133,0.969287020109689,0.916666666666667,0,0.982433311646064,0.989630589760207,0.995575221238938,0.997799779977998,0.990312965722802,0.980806142034549,0.996190476190476,0.916384180790961,0.930290456431535,0.979899497487437,1,0.967816091954023,0.99640933572711,1,0.99009900990099,0.986400725294651,0.987786259541985,0.991208791208791,0.982261640798226,1,1,0.995121951219512,0.967517401392111,1,0.997109826589595,0.992537313432836,1,0.991570541259982,0.94314381270903,0.974063400576369,0.957276368491322,0.996539792387543,0.985743380855397,0.996376811594203,0.99523241954708,0.996999699969997,0.987942727957799,1,0.989795918367347,0.991431451612903,0.995294117647059,0.968,1,1,1,1,0.985524728588661,0.995249406175772,0.994428969359332,0.991379310344828,0.98341307814992,0.984962406015037,0.992753623188406,0.991341991341991,0.990719257540603,0.994428969359332,0.984886649874055,0.978436657681941,1,0.996363636363636,0.996891996891997,1,0.981052631578947,1,0.991967871485944,0.978201634877384,0.971631205673759,0.993710691823899,0.990430622009569,0.972809667673716,0.995238095238095,0.989071038251366,0.968823070927514,0.997093023255814,0.974472263132057
"Anser albifrons",0.992154298790454,0.998710509348807,0.952474140341068,0.961042681180178,0.950526797984425,0.95176046576102,0.912285136501517,0.981229773462783,0.982433311646064,0,0.880050188205772,0.980649619903248,0.906893464637422,0.937963324229419,0.994600067499156,0.993933265925177,0.994589720468891,0.982451329860159,0.990140845070423,0.995068686157098,0.998609662843239,0.963321107035679,1,1,0.991394148020654,0.996771068776235,0.999309630652399,1,1,0.990851513019001,0.997896213183731,0.995157384987893,0.993594306049822,0.962693357597816,0.93216924110141,0.980958425896541,0.911942446043166,0.968114348543156,0.985900783289817,0.971168912566593,0.988079470198675,0.9187471629596,1,0.968250150330728,0.973333333333333,0.981958079066065,0.993965990126166,0.997359735973597,0.943259445141503,0.995814440181374,0.975872187805673,0.999286733238231,1,0.997866287339972,0.997167138810198,0.988994191378783,1,1,1,0.964497041420118,0.987037037037037,0.976619906479626,0.97384370015949,0.997911590671772,0.997857907890039,0.996477632969355,0.966708542713568,1,0.995320855614973,0.993563958165728,1,0.962264150943396,0.997380484610347,0.995238095238095,0.997864008543966,0.985382904353352,0.981743227326266,0.997902097902098,0.998067010309278,1,0.999287749287749,0.987114093959732,0.996166134185303,0.942844384907345
