"","Actitis hypoleucos","Alca torda","Anas acuta","Anas clypeata","Anas crecca","Anas penelope","Anas platyrhynchos","Anas querquedula","Anas strepera","Anser albifrons","Anser anser","Anser brachyrhynchus","Anser fabalis","Ardea cinerea","Ardea purpurea","Arenaria interpres","Aythya ferina","Aythya fuligula","Botaurus stellaris","Branta bernicla","Branta canadensis","Branta leucopsis","Bucephala clangula","Calidris alba","Calidris alpina","Calidris canutus","Calidris ferruginea","Calidris minuta","Cepphus grylle","Charadrius alexandrinus","Charadrius dubius","Charadrius hiaticula","Chlidonias niger","Ciconia ciconia","Cygnus columbianus","Cygnus cygnus","Cygnus olor","Fulica atra","Gallinago gallinago","Gallinula chloropus","Grus grus","Haematopus ostralegus","Hydroprogne caspia","Larus argentatus","Larus canus","Larus fuscus","Larus marinus","Larus melanocephalus","Larus ridibundus","Limosa lapponica","Limosa limosa","Lymnocryptes minimus","Mergus merganser","Mergus serrator","Morus bassanus","Numenius arquata","Numenius phaeopus","Nycticorax nycticorax","Phalacrocorax aristotelis","Phalacrocorax carbo","Philomachus pugnax","Platalea leucorodia","Pluvialis apricaria","Pluvialis squatarola","Podiceps cristatus","Rallus aquaticus","Recurvirostra avosetta","Rissa tridactyla","Scolopax rusticola","Somateria mollissima","Stercorarius skua","Sterna hirundo","Sterna paradisaea","Sternula albifrons","Tachybaptus ruficollis","Tadorna tadorna","Thalasseus sandvicensis","Tringa erythropus","Tringa glareola","Tringa nebularia","Tringa ochropus","Tringa totanus","Uria aalge","Vanellus vanellus"
"Actitis hypoleucos",0,0.959496923389005,0.954931873762665,0.948848499200758,0.941242530757716,0.949912126537786,0.920932157458593,0.933183642920324,0.939367411410955,0.872769274663378,0.923988361630773,1,0.962938538644157,0.929298134440088,0.968112244897958,0.903614457831326,0.934404402627375,0.920687001255722,1,0.904736842105263,1,1,1,0.817934446505875,0.890165954376422,0.898429735639038,0.896447869607583,0.901680310211116,1,0.861028761637281,0.911800172265288,0.881635687732342,1,0.949249488681666,1,1,0.877872752844593,0.930345370869439,0.906160735165473,0.897132663847781,0.716832187420422,0.87988831665839,1,0.930532148846588,0.937344805802673,0.938216585674213,0.922352332754609,0.869570567244986,0.935373139851888,0.840876944837341,0.924587258651246,0.963888888888889,1,0.928306820658095,1,0.897836256395013,0.900094339622642,0.754385964912281,1,0.922664881151658,0.882975808969221,0.902945924132365,0.915565031982942,0.930081300813008,1,1,0.897769371453582,1,0.955954614491199,0.941466024612092,1,0.916520652347053,0.862939445562954,0.915869314095159,1,0.87541073384447,0.846569953282517,0.911506926774103,0.817869711987359,0.863171355498721,0.949279538904898,0.890390818722433,0.914526430221497,0.92634113845046
"Alca torda",0.959496923389005,0,0.978152708111668,1,0.995245774338329,0.958770208391738,0.958543058854417,1,1,0.801032924467398,0.979741908071027,1,1,1,1,0.915484515484515,1,0.94459026687598,1,1,0.878796095444686,1,1,1,0.980924278151326,0.984865923191914,1,1,0.897069456849984,0.785115303983228,0.717562254259502,0.9501310671402,1,0.923518798099938,1,1,0.948452614713712,0.971737059383932,0.970220410419402,0.899805447470818,1,0.923424139355988,0.947712418300653,0.88017853544759,0.96532637781512,0.849663374121579,0.929689605519493,0.963127035830619,0.979561405519488,0.905430872023299,1,0.753865979381443,0.917811329322284,0.865844815083393,0.40388404165494,0.924712843717369,1,1,0.828929166814457,0.939171910810365,0.977977740942458,0.952000709786177,1,1,1,0.75354609929078,0.943522334855742,0.841414668057003,0.974801587301588,0.939056187025953,1,0.938791643139469,0.987337397872288,0.906896551724138,1,0.943204508142167,0.98708498324703,1,0.912265238321242,1,1,0.963878869657731,0.830599307234821,0.942318045479017
"Anas acuta",0.954931873762665,0.978152708111668,0,0.929662357761212,0.8759217032474,0.89735336011967,0.905700804287459,0.86166619877668,0.875153558639797,0.906307136813824,0.962482431788879,0.974643878739093,0.910202729874861,0.953208264477234,0.91773140913687,0.889615384615384,0.950162116334224,0.939035872328405,0.937527871646731,0.922175611167366,0.915857125200841,0.948766340096028,1,0.949462052922361,0.944385678684763,0.955903498961495,0.816099184818223,0.926882078614257,1,0.947052280311458,0.943242719700394,0.926624326811387,0.870665128796617,0.960204907478939,0.888638704159467,0.950035105267713,0.932232420767397,0.916477046097742,0.960067173068285,0.946890756302521,1,0.954810134018109,1,0.939858490566037,0.952912736548616,0.954555763145674,0.955862526482483,0.93606746255485,0.931809688347605,0.86887417218543,0.951783992285439,0.791202394811243,1,0.906592943950153,0.751698754246886,0.945849367784497,0.946124763705103,1,1,0.964154886803913,0.922844184122698,0.842364532019704,0.949778534923339,0.939341352790376,0.884404924760602,0.915178571428571,0.926195482779685,1,0.942573221304988,0.922140264606018,1,0.932896061727139,0.905310511301295,0.944923023698322,0.82985305491106,0.911385459533608,0.948266133126487,0.874358441866675,0.838964222784035,0.934223844212868,0.870674373795761,0.932147541032359,0.959662469783928,0.91162880101876
"Anas clypeata",0.948848499200758,1,0.929662357761212,0,0.920143940987725,0.8849613336714,0.913161864631044,0.906537282941777,0.874496100129044,0.919274331242809,0.931793661731643,0.959472624537248,0.965420517772567,0.939759102530195,0.908339920948616,0.930217248189598,0.846524997433528,0.890130263047315,0.944927536231884,0.967895362663496,0.871338083927158,0.981431650066981,0.922314465408805,0.911310911310911,0.94639699875841,0.943282381335478,0.918793503480279,0.949419953596287,0.890932311621967,0.959241865145924,0.90822866955532,0.929022164640641,0.791853629691468,0.952623551567921,0.939932813739812,0.951013513513514,0.89081234777454,0.906393994706227,0.93016554504234,0.920552142075583,1,0.939472853535354,1,0.958616972872206,0.94955251122611,0.964329856668907,0.925952736208161,0.953971212591902,0.936878133680548,0.829583015509789,0.939928552080831,0.968002485243865,1,0.852654387865655,1,0.933212809917355,0.881430483840122,0.802067183462532,1,0.933663206624934,0.92312379404895,0.78451405893777,0.934106169500333,0.898161470823341,0.861584011843079,0.934416287632662,0.928362391830164,0.716053748231966,0.953361788545891,0.908165935056251,1,0.943057663503678,0.877733466267864,0.936778842162934,0.841924398625429,0.896061397015856,0.950158127212355,0.865643790172093,0.887048390341172,0.900954308849046,0.841935483870967,0.931550259040715,1,0.918090110715626
"Anas crecca",0.941242530757716,0.995245774338329,0.8759217032474,0.920143940987725,0,0.893104863931119,0.933876699807035,0.883595464445039,0.853580055458231,0.938842077042811,0.95138588339689,0.92534766658135,0.951885518855188,0.974176111364595,0.928729838709677,0.882602108581534,0.913635741185539,0.8981520471323,0.914490993725966,0.847060674289872,0.946532560875985,0.979215615398518,0.95348402182385,0.899542906425183,0.917641018212127,0.895582036626396,0.835440488710869,0.860798855866052,1,0.896519087180566,0.971111684291978,0.926407021061165,0.85632807870096,0.96815199299854,0.902103907256334,0.956305170239596,0.956059034965499,0.922682301325295,0.958125960202758,0.943591507905789,0.978010700645422,0.944441168784138,0.964115189158668,0.973019666897218,0.96523563772472,0.968231261376721,0.971208648648649,0.950409356725147,0.972157380304222,0.846070652642057,0.926087921557363,0.862537934135102,1,0.883559000238718,1,0.950931356648712,0.892125867927316,0.750783289817233,0.951933350292546,0.978025020636821,0.917339821701072,0.760099069918825,0.875059984918078,0.89094867807154,0.934796238244514,0.929285947430064,0.888812310970714,0.967943124069607,0.958339548246098,0.898412095445554,1,0.961182065412505,0.890994857692969,0.941144490833182,0.863244100842803,0.902209892912967,0.924228617955978,0.806132893156552,0.883014977208595,0.883457253801753,0.877860469481009,0.904524691093249,0.974182411901573,0.962660300865542
"Anas penelope",0.949912126537786,0.958770208391738,0.89735336011967,0.8849613336714,0.893104863931119,0,0.902430496896691,0.848606654761989,0.802549610743625,0.909729167288963,0.957863453161259,0.964780947850057,0.931267556179775,0.954111948997803,0.903307118370639,0.92660711157821,0.904317563509168,0.917311752287121,0.946114372580144,0.909167085637674,0.921803464820716,0.903675926634525,0.88961181832469,0.856368178402421,0.957350459323393,0.923696257720722,0.975307640297498,1,1,0.950018910191139,0.928466654610484,0.920564216778026,0.922046718576196,0.935670363168129,0.871415913521177,0.989898132427843,0.93551315617884,0.902440295153927,0.943382131295789,0.944189852700491,1,0.95875084658088,1,0.961827162560354,0.969877199262507,0.968604125884655,0.96016924197573,0.940517864892232,0.939417232431664,0.873390313390313,0.934916067146284,1,1,0.908787541713015,1,0.966517896991877,0.882399577167019,1,0.916721397609353,0.961168731108872,0.94727129585892,0.910196445275959,0.938134171907757,0.908348159940069,0.9187265917603,0.903887688984881,0.905039829639561,1,0.964798818752308,0.933499288762447,1,0.947745013859647,0.91436217662801,0.904551633709664,0.859387788508758,0.918592325630698,0.969813875723701,0.80840447943231,0.90692131589676,0.889583653010076,0.825528007346189,0.926704216395453,0.931158342675422,0.930299459677505
"Anas platyrhynchos",0.920932157458593,0.958543058854417,0.905700804287459,0.913161864631044,0.933876699807035,0.902430496896691,0,0.915974021391776,0.880970265527365,0.916858611582443,0.923274819012107,0.878533231474408,0.942800558741251,0.956656533788941,0.895609704043175,0.838497100857396,0.896012666573271,0.879393500639567,0.912078038762676,0.915136167026602,0.920401911611543,0.916068535383838,0.940022098385857,0.851663942759339,0.902791702020437,0.879222722511665,0.786741660534204,0.901899668797334,0.929539243284264,0.786049355269009,0.926275765643963,0.900823071123398,0.783229075936337,0.959160211725805,0.819398564258201,0.897840360112352,0.96328740625589,0.905730505300142,0.946607137850727,0.910918259694806,0.965061861215708,0.918486756017716,1,0.975134132452753,0.960821598147996,0.964122264955627,0.936539762791202,0.92187771898883,0.979563905857959,0.806218854507803,0.886463209136866,0.885937640803821,0.844054956995034,0.897469135802469,0.834612432847276,0.936983268338132,0.907366669747666,0.867000320821303,0.875666102875336,0.970895010395112,0.90585980231339,0.779460455053758,0.913430854608914,0.857303200364022,0.818591320586206,0.903659625300627,0.881278513031302,0.880555941829572,0.954346555268741,0.890603397590639,1,0.935960219756828,0.835252147460763,0.91108749402124,0.831970425649177,0.881659252665717,0.921848309520998,0.859545836837679,0.904030442272445,0.89074439686064,0.892934486051429,0.904045104607874,0.971773833093242,0.943424258631961
"Anas querquedula",0.933183642920324,1,0.86166619877668,0.906537282941777,0.883595464445039,0.848606654761989,0.915974021391776,0,0.883482714468629,0.932458468418976,0.95855559433006,1,0.963349509184781,0.922384219554031,0.967958030669895,0.912464159217406,0.922812610990427,0.913597969228041,0.974858716128097,0.893214382265478,1,0.940783712784589,1,1,0.941937022268735,1,1,0.952798456024263,1,1,0.815311004784689,0.873052701358966,0.917823810607785,0.942106337679004,1,1,0.93686361617059,0.939932318104908,0.939206226797468,0.947539352800047,1,0.93960310612597,1,0.946302599863844,0.930069268143708,0.96286781179985,0.932883194829178,0.966837813349442,0.943118498493181,0.807322654462242,0.962199134839354,1,1,1,1,0.936455447314326,0.954367816091954,1,0,0.879528074529693,0.939128403942268,0.906061680255229,0.903078193183158,0.847584650112866,1,0.945756404751682,0.9456058516326,0,0.959913660191182,0.857114257114257,1,0.952387822824989,0.787813620071685,0.895063597819504,0.750893783877293,0.853072945055237,0.951106589404462,0.933128565160157,0.963172091350476,0.867774316372447,0.848888888888889,0.963095428744284,0.915644741731699,0.902765254891995
"Anas strepera",0.939367411410955,1,0.875153558639797,0.874496100129044,0.853580055458231,0.802549610743625,0.880970265527365,0.883482714468629,0,0.915333102698429,0.957642607359469,0.89283950617284,0.97136799253668,0.954392916218216,0.879902420716832,0.967321397531723,0.836506707845981,0.819141650640742,0.882138200782269,1,0.688836104513064,0.957985257985258,1,0.642727272727272,0.934377879741975,0.93667393722284,0.907982261640798,0.909465763732129,1,1,0.924509803921569,0.877140449802321,1,0.950114416475973,0.939212437874346,1,0.912453392990306,0.839796560175245,0.921031276415892,0.899919699082878,0.836226851851852,0.95337687727717,0.869818181818182,0.948409393637574,0.972242171590827,0.899737265869989,1,0.940632776395308,0.931346175074301,0.932961837217157,0.940406922877367,1,1,1,1,0.940442427680091,0.861234231162632,0.71828731492597,0.739710144927536,0.905075847294617,0.950462887770018,0.972861688190155,0.963566447239784,0.933188988555521,0.899749373433583,0.873669184559568,0.908478726660545,0,0.980839416058394,0.932723468843582,1,0.946215139442231,1,0.946060417315477,0.511142061281337,0.885253432698688,0.917535368577811,0.911158242017203,0.858197048264859,0.964593301435407,0.773155671108222,0.90668717462165,0.947197926789763,0.918827828431546
"Anser albifrons",0.872769274663378,0.801032924467398,0.906307136813824,0.919274331242809,0.938842077042811,0.909729167288963,0.916858611582443,0.932458468418976,0.915333102698429,0,0.903286887033679,0.850782491211829,0.911004297887902,0.944009923422537,0.959335072430513,0.815473577126948,0.978142704183982,0.956522036210963,0.932268300689353,0.774310169737414,0.928563743948359,0.817208339777438,1,1,0.942968467245748,0.937236799481697,0.966769122683762,1,1,0.749430411791179,0.894739483987551,0.952151888636273,0.807369564532888,0.92364737137894,0.816014381905842,0.86912944531838,0.925012631957982,0.949203786838921,0.962334769883897,0.946149779214209,0.858978980332079,0.880175203807649,1,0.951449426374642,0.948248096651065,0.893599733210649,0.936468268843628,0.937434423980243,0.892261663087697,0.767920057690327,0.924420649946878,0.931699032710626,1,0.72882783645435,0.766878342245989,0.952132144619601,1,1,1,0.938866903947923,0.926470082498099,0.786602766780514,0.812056725736478,0.931356818974537,0.886514380074309,0.846732502651114,0.787477536015547,1,0.890344914194609,0.872280701754386,1,0.921914444790262,0.935784635587656,0.899807184174819,0.906698605235887,0.925575108997714,0.889712669710956,0.876839523475823,0.927719197570715,1,0.964973017004378,0.959852153281174,0.847404679989671,0.893531904041968
