"","Actitis hypoleucos","Alca torda","Anas acuta","Anas clypeata","Anas crecca","Anas penelope","Anas platyrhynchos","Anas querquedula","Anas strepera","Anser albifrons","Anser anser","Anser brachyrhynchus","Anser fabalis","Ardea cinerea","Ardea purpurea","Arenaria interpres","Aythya ferina","Aythya fuligula","Botaurus stellaris","Branta bernicla","Branta canadensis","Branta leucopsis","Bucephala clangula","Calidris alba","Calidris alpina","Calidris canutus","Calidris ferruginea","Calidris minuta","Cepphus grylle","Charadrius alexandrinus","Charadrius dubius","Charadrius hiaticula","Chlidonias niger","Ciconia ciconia","Cygnus columbianus","Cygnus cygnus","Cygnus olor","Fulica atra","Gallinago gallinago","Gallinula chloropus","Grus grus","Haematopus ostralegus","Hydroprogne caspia","Larus argentatus","Larus canus","Larus fuscus","Larus marinus","Larus melanocephalus","Larus ridibundus","Limosa lapponica","Limosa limosa","Lymnocryptes minimus","Mergus merganser","Mergus serrator","Morus bassanus","Numenius arquata","Numenius phaeopus","Nycticorax nycticorax","Phalacrocorax aristotelis","Phalacrocorax carbo","Philomachus pugnax","Platalea leucorodia","Pluvialis apricaria","Pluvialis squatarola","Podiceps cristatus","Rallus aquaticus","Recurvirostra avosetta","Rissa tridactyla","Scolopax rusticola","Somateria mollissima","Stercorarius skua","Sterna hirundo","Sterna paradisaea","Sternula albifrons","Tachybaptus ruficollis","Tadorna tadorna","Thalasseus sandvicensis","Tringa erythropus","Tringa glareola","Tringa nebularia","Tringa ochropus","Tringa totanus","Uria aalge","Vanellus vanellus"
"Actitis hypoleucos",0,0.0405030766109947,0.0450681262373355,0.0511515007992422,0.0587574692422844,0.0500878734622145,0.0790678425414072,0.0668163570796763,0.0606325885890456,0.127230725336622,0.0760116383692261,0,0.0370614613558429,0.0707018655599118,0.031887755102041,0.0963855421686748,0.0655955973726254,0.0793129987442785,0,0.095263157894737,0,0,0,0.182065553494125,0.109834045623578,0.101570264360962,0.103552130392417,0.0983196897888841,0,0.13897123836272,0.0881998277347114,0.118364312267658,0,0.0507505113183347,0,0,0.122127247155407,0.069654629130561,0.0938392648345273,0.10286733615222,0.283167812579578,0.12011168334161,0,0.0694678511534123,0.0626551941973268,0.0617834143257871,0.0776476672453917,0.130429432755015,0.064626860148113,0.159123055162659,0.0754127413487548,0.0361111111111111,0,0.0716931793419045,0,0.102163743604988,0.0999056603773584,0.245614035087719,0,0.0773351188483429,0.117024191030779,0.0970540758676351,0.0844349680170577,0.0699186991869919,0,0,0.102230628546418,0,0.0440453855088002,0.0585339753879078,0,0.0834793476529474,0.137060554437046,0.0841306859048409,0,0.124589266155532,0.153430046717483,0.0884930732258977,0.182130288012641,0.136828644501279,0.0507204610951008,0.109609181277567,0.0854735697785024,0.0736588615495395
"Alca torda",0.0405030766109947,0,0.0218472918883314,0,0.00475422566167092,0.0412297916082611,0.0414569411455835,0,0,0.198967075532601,0.0202580919289733,0,0,0,0,0.0845154845154846,0,0.0554097331240188,0,0,0.121203904555314,0,0,0,0.0190757218486741,0.0151340768080856,0,0,0.102930543150015,0.214884696016772,0.282437745740498,0.0498689328598005,0,0.0764812019000624,0,0,0.0515473852862873,0.0282629406160687,0.0297795895805984,0.100194552529183,0,0.076575860644013,0.0522875816993464,0.119821464552409,0.0346736221848802,0.150336625878422,0.0703103944805069,0.0368729641693811,0.0204385944805116,0.0945691279767004,0,0.246134020618557,0.0821886706777159,0.134155184916606,0.59611595834506,0.0752871562826314,0,0,0.171070833185543,0.0608280891896348,0.0220222590575421,0.0479992902138233,0,0,0,0.24645390070922,0.0564776651442577,0.158585331942996,0.0251984126984126,0.0609438129740477,0,0.0612083568605309,0.012662602127712,0.0931034482758621,0,0.0567954918578337,0.01291501675297,0,0.0877347616787579,0,0,0.0361211303422686,0.169400692765179,0.0576819545209835
"Anas acuta",0.0450681262373355,0.0218472918883314,0,0.0703376422387884,0.1240782967526,0.102646639880329,0.0942991957125413,0.13833380122332,0.124846441360203,0.093692863186176,0.0375175682111207,0.0253561212609066,0.0897972701251391,0.0467917355227655,0.0822685908631307,0.110384615384616,0.0498378836657768,0.0609641276715942,0.0624721283532688,0.0778243888326341,0.0841428747991597,0.0512336599039715,0,0.0505379470776387,0.0556143213152376,0.0440965010385046,0.183900815181777,0.0731179213857429,0,0.0529477196885428,0.0567572802996061,0.0733756731886135,0.129334871203383,0.039795092521061,0.111361295840533,0.0499648947322864,0.0677675792326031,0.0835229539022583,0.039932826931714,0.053109243697479,0,0.0451898659818903,0,0.0601415094339624,0.0470872634513851,0.0454442368543257,0.044137473517516,0.0639325374451501,0.0681903116523944,0.131125827814569,0.0482160077145611,0.208797605188757,0,0.0934070560498471,0.248301245753114,0.0541506322155029,0.0538752362948961,0,0,0.035845113196087,0.0771558158773022,0.157635467980296,0.050221465076661,0.0606586472096232,0.115595075239398,0.0848214285714284,0.0738045172203148,0,0.0574267786950111,0.0778597353939822,0,0.0671039382728622,0.0946894886987052,0.055076976301678,0.17014694508894,0.0886145404663924,0.0517338668735134,0.125641558133325,0.161035777215966,0.0657761557871327,0.129325626204239,0.0678524589676411,0.0403375302160727,0.088371198981239
"Anas clypeata",0.0511515007992422,0,0.0703376422387884,0,0.0798560590122741,0.1150386663286,0.086838135368956,0.0934627170582228,0.125503899870956,0.0807256687571912,0.0682063382683568,0.0405273754627526,0.0345794822274337,0.0602408974698052,0.0916600790513835,0.0697827518104017,0.153475002566472,0.109869736952685,0.055072463768116,0.0321046373365042,0.128661916072842,0.0185683499330189,0.0776855345911951,0.0886890886890885,0.0536030012415897,0.0567176186645214,0.0812064965197214,0.0505800464037123,0.109067688378033,0.0407581348540758,0.0917713304446798,0.0709778353593591,0.208146370308532,0.0473764484320787,0.0600671862601875,0.0489864864864865,0.10918765222546,0.0936060052937735,0.0698344549576608,0.0794478579244172,0,0.0605271464646465,0,0.0413830271277936,0.0504474887738914,0.0356701433310924,0.0740472637918385,0.0460287874080977,0.0631218663194525,0.170416984490211,0.0600714479191687,0.0319975147561356,0,0.147345612134344,0,0.0667871900826446,0.118569516159878,0.197932816537468,0,0.0663367933750664,0.076876205951051,0.215485941062231,0.0658938304996664,0.101838529176658,0.138415988156921,0.0655837123673382,0.0716376081698362,0.283946251768034,0.0466382114541085,0.0918340649437484,0,0.0569423364963225,0.122266533732137,0.0632211578370662,0.158075601374571,0.103938602984144,0.0498418727876446,0.134356209827907,0.112951609658827,0.0990456911509544,0.158064516129032,0.0684497409592863,0,0.0819098892843729
"Anas crecca",0.0587574692422844,0.00475422566167092,0.1240782967526,0.0798560590122741,0,0.106895136068881,0.0661233001929651,0.11640453555496,0.146419944541768,0.0611579229571891,0.0486141166031089,0.0746523334186502,0.0481144811448114,0.025823888635405,0.0712701612903226,0.117397891418466,0.0863642588144616,0.101847952867699,0.0855090062740335,0.152939325710128,0.0534674391240153,0.020784384601482,0.0465159781761497,0.100457093574817,0.0823589817878731,0.104417963373605,0.164559511289131,0.139201144133948,0,0.103480912819435,0.0288883157080216,0.0735929789388349,0.14367192129904,0.0318480070014604,0.0978960927436669,0.0436948297604036,0.0439409650345013,0.0773176986747049,0.041874039797242,0.0564084920942099,0.0219892993545774,0.0555588312158622,0.0358848108413326,0.0269803331027822,0.0347643622752793,0.0317687386232786,0.0287913513513514,0.0495906432748537,0.0278426196957779,0.153929347357943,0.0739120784426368,0.137462065864898,0,0.116440999761281,0,0.0490686433512889,0.107874132072685,0.249216710182767,0.0480666497074536,0.0219749793631793,0.0826601782989288,0.239900930081175,0.124940015081922,0.10905132192846,0.0652037617554859,0.0707140525699365,0.111187689029286,0.0320568759303936,0.0416604517539023,0.101587904554446,0,0.0388179345874954,0.109005142307031,0.058855509166818,0.136755899157197,0.0977901070870333,0.0757713820440217,0.193867106843448,0.116985022791404,0.116542746198248,0.12213953051899,0.0954753089067507,0.0258175880984264,0.0373396991344581
"Anas penelope",0.0500878734622145,0.0412297916082611,0.102646639880329,0.1150386663286,0.106895136068881,0,0.0975695031033089,0.15139334523801,0.197450389256376,0.0902708327110378,0.0421365468387412,0.0352190521499433,0.0687324438202246,0.0458880510021973,0.0966928816293608,0.0733928884217901,0.0956824364908314,0.0826882477128781,0.0538856274198563,0.0908329143623262,0.0781965351792845,0.0963240733654754,0.11038818167531,0.143631821597579,0.042649540676606,0.0763037422792781,0.0246923597025015,0,0,0.0499810898088615,0.0715333453895151,0.0794357832219748,0.0779532814238043,0.0643296368318705,0.128584086478823,0.0101018675721563,0.0644868438211602,0.0975597048460731,0.056617868704211,0.055810147299509,0,0.0412491534191204,0,0.0381728374396463,0.0301228007374934,0.0313958741153439,0.0398307580242705,0.0594821351077679,0.0605827675683361,0.126609686609687,0.065083932853717,0,0,0.0912124582869856,0,0.0334821030081228,0.117600422832981,0,0.0832786023906476,0.038831268891128,0.0527287041410802,0.0898035547240411,0.0618658280922433,0.0916518400599307,0.0812734082397005,0.0961123110151188,0.0949601703604387,0,0.0352011812476929,0.0665007112375533,0,0.052254986140353,0.0856378233719892,0.0954483662903365,0.140612211491242,0.0814076743693025,0.0301861242762985,0.19159552056769,0.0930786841032396,0.110416346989924,0.17447199265381,0.0732957836045467,0.0688416573245784,0.0697005403224951
"Anas platyrhynchos",0.0790678425414072,0.0414569411455835,0.0942991957125413,0.086838135368956,0.0661233001929651,0.0975695031033089,0,0.0840259786082241,0.119029734472635,0.083141388417557,0.0767251809878933,0.121466768525592,0.0571994412587492,0.0433434662110586,0.104390295956825,0.161502899142603,0.103987333426729,0.120606499360434,0.0879219612373253,0.0848638329733977,0.0795980883884572,0.0839314646161613,0.059977901614143,0.14833605724066,0.0972082979795629,0.120777277488336,0.213258339465797,0.0981003312026665,0.0704607567157369,0.213950644730991,0.0737242343560379,0.0991769288766021,0.216770924063663,0.0408397882741949,0.1806014357418,0.102159639887648,0.0367125937441091,0.0942694946998587,0.0533928621492724,0.0890817403051938,0.0349381387842925,0.0815132439822845,0,0.0248658675472474,0.0391784018520044,0.0358777350443734,0.0634602372087981,0.0781222810111698,0.0204360941420412,0.193781145492197,0.113536790863134,0.114062359196179,0.155945043004966,0.102530864197531,0.165387567152724,0.0630167316618678,0.0926333302523337,0.132999679178697,0.124333897124664,0.0291049896048877,0.0941401976866091,0.220539544946243,0.0865691453910863,0.142696799635978,0.181408679413794,0.0963403746993731,0.118721486968698,0.119444058170428,0.0456534447312591,0.109396602409361,0,0.064039780243172,0.164747852539237,0.08891250597876,0.168029574350823,0.118340747334283,0.0781516904790018,0.140454163162321,0.0959695577275547,0.10925560313936,0.107065513948571,0.0959548953921252,0.0282261669067572,0.0565757413680397
"Anas querquedula",0.0668163570796763,0,0.13833380122332,0.0934627170582228,0.11640453555496,0.15139334523801,0.0840259786082241,0,0.11651728553137,0.0675415315810241,0.0414444056699403,0,0.0366504908152187,0.0776157804459691,0.0320419693301049,0.0875358407825939,0.0771873890095732,0.0864020307719595,0.0251412838719026,0.106785617734523,0,0.0592162872154116,0,0,0.0580629777312651,0,0,0.0472015439757375,0,0,0.184688995215311,0.126947298641034,0.0821761893922149,0.0578936623209963,0,0,0.0631363838294093,0.060067681895093,0.0607937732025322,0.0524606471999532,0,0.0603968938740293,0,0.0536974001361571,0.0699307318562916,0.0371321882001494,0.0671168051708218,0.0331621866505589,0.0568815015068182,0.192677345537758,0.0378008651606463,0,0,0,0,0.0635445526856733,0.0456321839080461,0,0,0.120471925470307,0.0608715960577327,0.0939383197447714,0.0969218068168415,0.152415349887133,0,0.0542435952483183,0.0543941483674006,0,0.0400863398088189,0.142885742885743,0,0.0476121771750108,0.212186379928316,0.104936402180497,0.249106216122708,0.146927054944763,0.0488934105955383,0.066871434839842,0.0368279086495234,0.132225683627553,0.151111111111111,0.0369045712557163,0.0843552582683016,0.0972347451080061
"Anas strepera",0.0606325885890456,0,0.124846441360203,0.125503899870956,0.146419944541768,0.197450389256376,0.119029734472635,0.11651728553137,0,0.0846668973015716,0.0423573926405315,0.10716049382716,0.0286320074633194,0.0456070837817845,0.120097579283168,0.0326786024682776,0.163493292154018,0.180858349359258,0.117861799217731,0,0.311163895486936,0.042014742014742,0,0.357272727272728,0.0656221202580248,0.0633260627771597,0.0920177383592019,0.0905342362678706,0,0,0.0754901960784315,0.12285955019768,0,0.0498855835240275,0.0607875621256533,0,0.0875466070096944,0.160203439824756,0.078968723584108,0.100080300917121,0.163773148148148,0.0466231227228297,0.130181818181818,0.0515906063624255,0.0277578284091729,0.100262734130011,0,0.0593672236046925,0.0686538249256993,0.0670381627828437,0.0595930771226328,0,0,0,0,0.0595575723199093,0.138765768837368,0.281712685074029,0.260289855072463,0.0949241527053835,0.049537112229982,0.0271383118098448,0.0364335527602164,0.0668110114444787,0.100250626566416,0.126330815440433,0.0915212733394552,0,0.0191605839416058,0.0672765311564179,0,0.0537848605577689,0,0.0539395826845218,0.488857938718663,0.114746567301312,0.082464631422189,0.0888417579827973,0.141802951735142,0.0354066985645934,0.226844328891778,0.0933128253783498,0.0528020732102365,0.0811721715684536
"Anser albifrons",0.127230725336622,0.198967075532601,0.093692863186176,0.0807256687571912,0.0611579229571891,0.0902708327110378,0.083141388417557,0.0675415315810241,0.0846668973015716,0,0.0967131129663208,0.149217508788171,0.088995702112097,0.0559900765774623,0.0406649275694867,0.184526422873052,0.021857295816018,0.0434779637890372,0.0677316993106466,0.225689830262585,0.0714362560516407,0.182791660222561,0,0,0.0570315327542527,0.0627632005183026,0.0332308773162376,0,0,0.250569588208821,0.105260516012449,0.047848111363727,0.192630435467112,0.0763526286210597,0.183985618094159,0.130870554681619,0.0749873680420175,0.0507962131610787,0.0376652301161034,0.0538502207857914,0.141021019667921,0.119824796192351,0,0.0485505736253579,0.0517519033489349,0.106400266789351,0.0635317311563719,0.0625655760197575,0.107738336912303,0.232079942309673,0.0755793500531222,0.0683009672893746,0,0.271172163545649,0.233121657754011,0.0478678553803992,0,0,0,0.061133096052077,0.073529917501901,0.213397233219486,0.187943274263521,0.0686431810254621,0.113485619925692,0.153267497348886,0.212522463984453,0,0.109655085805391,0.127719298245614,0,0.0780855552097382,0.0642153644123441,0.10019281582518,0.0933013947641134,0.0744248910022859,0.110287330289044,0.123160476524177,0.0722808024292854,0,0.0350269829956216,0.0401478467188254,0.152595320010329,0.106468095958032
