iba_label,degree_in,strength_in,betweenness,log.degree_in,log.strength_in,log.betweenness,species_name,pc1,is_flu
NL038,231,1061,15623.2570307991,5.44673737166631,6.96790920180188,9.6565799234452,Larus_ridibundus,-8.22700820786725,0
NL048,61,130,1707.81399501263,4.12713438504509,4.87519732320115,7.4435548386976,Larus_ridibundus,-5.71654403928018,1
NL034,73,164,2893.94022511098,4.30406509320417,5.10594547390058,7.97071974216387,Larus_ridibundus,-6.07999029139266,1
NL052,110,777,4354.15665983549,4.70953020131233,6.65672652417839,8.3791158610473,Larus_ridibundus,-7.26360035685554,1
NL013,63,145,5664.92649192642,4.15888308335967,4.98360662170834,8.64222570676702,Larus_ridibundus,-6.07025178580583,0
NL094,137,890,4511.95226409359,4.92725368515721,6.79234442747081,8.41470682234885,Larus_ridibundus,-7.49254200803173,1
NL076,82,213,6857.07944998499,4.4188406077966,5.36597601502185,8.83318271796378,Larus_ridibundus,-6.49293487675164,0
NL073,124,1642,6208.59404266897,4.8283137373023,7.40427911803727,8.73385080123982,Larus_ridibundus,-7.81762395912103,0
NL014,16,31,721.859436871373,2.83321334405622,3.46573590279973,6.58321478675864,Larus_ridibundus,-3.89149745345255,1
NL015,33,98,1380.95689207902,3.52636052461616,4.59511985013459,7.23125581142362,Larus_ridibundus,-5.10783981619194,0
NL028,43,159,3713.65732728832,3.78418963391826,5.07517381523383,8.22004171259822,Larus_ridibundus,-5.76328387798122,0
NL053,42,126,742.77448560722,3.76120011569356,4.84418708645859,6.61173787814276,Larus_ridibundus,-5.25748282415307,1
NL089,44,78,838.898808613239,3.80666248977032,4.36944785246702,6.73328141864414,Larus_ridibundus,-5.06848385756632,1
BE023,10,85,891.220510926907,2.39789527279837,4.45434729625351,6.79371331158807,Larus_ridibundus,-4.15702059839853,1
NL055,32,47,1119.95128835192,3.49650756146648,3.87120101090789,7.02193296838307,Larus_ridibundus,-4.6607692252607,0
NL107,40,79,1142.84449234159,3.71357206670431,4.38202663467388,7.04215022943214,Larus_ridibundus,-5.08188795523622,1
NL090,23,36,287.469817148311,3.17805383034795,3.61091791264422,5.66459046053858,Larus_ridibundus,-3.99388244621219,0
LT005,25,36,801.572004596134,3.25809653802148,3.61091791264422,6.68782157633253,Larus_ridibundus,-4.28388109487289,1
NL041,28,39,958.86278721873,3.36729582998647,3.68887945411394,6.86679034426593,Larus_ridibundus,-4.4408923578464,1
NL075,26,45,851.241154083256,3.29583686600433,3.8286413964891,6.74786953147838,Larus_ridibundus,-4.43747133530235,0
LT006,16,37,681.64275392067,2.83321334405622,3.63758615972639,6.52597166844126,Larus_ridibundus,-3.9682002064708,0
NL058,24,53,1767.35256817443,3.2188758248682,3.98898404656427,7.47780363970503,Larus_ridibundus,-4.63589279918074,0
NL077,31,91,90.1312634346583,3.46573590279973,4.52178857704904,4.51230092250343,Larus_ridibundus,-4.40358532508315,0
NL063,17,22,328.097569777807,2.89037175789616,3.13549421592915,5.79635427147295,Larus_ridibundus,-3.57755253967334,0
NL078,18,27,283.973171796935,2.94443897916644,3.3322045101752,5.65239504179192,Larus_ridibundus,-3.68456201464532,0
BE024,7,12,64.4423612936771,2.07944154167984,2.56494935746154,4.18116977498209,Larus_ridibundus,-2.35027215390156,1
NL050,19,32,1336.20105850285,2.99573227355399,3.49650756146648,7.19833394612718,Larus_ridibundus,-4.16066643393047,0
NL072,11,24,52.6752816012414,2.484906649788,3.2188758248682,3.98295259016452,Larus_ridibundus,-2.92574412003672,1
NL100,18,29,1450.58427197235,2.94443897916644,3.40119738166216,7.28041084032042,Larus_ridibundus,-4.09437252428688,0
NL017,0,0,0,0,0,0,Larus_ridibundus,1.38193654918822,1
NL091,7,8,297.107734347511,2.07944154167984,2.19722457733622,5.69745494582719,Larus_ridibundus,-2.50611523475308,0
NL018,1,1,27.5867303407636,0.693147180559945,0.693147180559945,3.35294263605734,Larus_ridibundus,-0.227299197402323,1
NL079,11,20,365.271090801261,2.484906649788,3.04452243772342,5.90337374447877,Larus_ridibundus,-3.27545928880014,0
NL074,5,5,0,1.79175946922805,1.79175946922805,0,Larus_ridibundus,-0.788156245736196,1
NL078,67,169,6111.86966786208,4.21950770517611,5.13579843705026,8.7181516093143,Anas_platyrhynchos,-6.20897925829531,0
NL013,34,65,2940.69675538912,3.55534806148941,4.18965474202643,7.98674182154197,Anas_platyrhynchos,-5.08925027776815,1
NL094,107,375,15274.001593623,4.68213122712422,5.92958914338989,9.63397288836863,Anas_platyrhynchos,-7.15266554605706,1
NL038,25,57,4836.48895215223,3.25809653802148,4.06044301054642,8.48415105354261,Anas_platyrhynchos,-4.93127475631854,0
NL050,22,50,1153.81570350691,3.13549421592915,3.93182563272433,7.05169604616091,Anas_platyrhynchos,-4.45079380857509,0
NL034,33,75,3382.79427660462,3.52636052461616,4.33073334028633,8.12675292591261,Anas_platyrhynchos,-5.1751952879722,0
NL015,22,72,2035.82575382084,3.13549421592915,4.29045944114839,7.61914787197931,Anas_platyrhynchos,-4.76855784146475,1
NL041,61,190,9807.84327726908,4.12713438504509,5.25227342804663,9.19103963299444,Anas_platyrhynchos,-6.31484790664215,0
NL063,60,162,7563.73671654673,4.11087386417331,5.09375020080676,8.93125282278097,Anas_platyrhynchos,-6.16113966197396,0
NL048,10,22,46.0654009732957,2.39789527279837,3.13549421592915,3.85153814452723,Anas_platyrhynchos,-2.79208919859621,1
NL077,11,18,436.292200587106,2.484906649788,2.94443897916644,6.08060162287703,Anas_platyrhynchos,-3.26382118072628,0
NL076,13,37,437.654536059915,2.63905732961526,3.63758615972639,6.08371216947594,Anas_platyrhynchos,-3.73302453062933,0
NL073,16,43,1280.27233030193,2.83321334405622,3.78418963391826,7.15560887126318,Anas_platyrhynchos,-4.18938977747739,0
NL089,21,40,2160.61761916819,3.09104245335832,3.71357206670431,7.67861211815726,Anas_platyrhynchos,-4.45001178254127,1
NL079,39,66,3624.50409732858,3.68887945411394,4.20469261939097,8.19574861895267,Anas_platyrhynchos,-5.23700954796069,1
NL107,14,27,277.788476411961,2.70805020110221,3.3322045101752,5.63045334521995,Anas_platyrhynchos,-3.5168071286024,1
BE024,3,3,71.1997903930228,1.38629436111989,1.38629436111989,4.27943714275084,Anas_platyrhynchos,-1.27949943271635,0
NL028,20,96,1313.46859282301,3.04452243772342,4.57471097850338,7.18118775101497,Anas_platyrhynchos,-4.75400360707745,1
NL055,13,17,706.695697358198,2.63905732961526,2.89037175789616,6.5620141953094,Anas_platyrhynchos,-3.45218101816931,0
NL058,8,45,33.7273961219108,2.19722457733622,3.8286413964891,3.54752888905063,Anas_platyrhynchos,-2.9465469622614,0
BE023,3,3,629.212781662781,1.38629436111989,1.38629436111989,6.44605751103242,Anas_platyrhynchos,-1.77688673310107,0
LT006,2,2,10.5512062012062,1.09861228866811,1.09861228866811,2.44678986451992,Anas_platyrhynchos,-0.5103550843857,1
NL091,6,12,101.687734487734,1.94591014905531,2.56494935746154,4.63169267930295,Anas_platyrhynchos,-2.36178183812289,1
NL053,7,11,3187.9861467876,2.07944154167984,2.484906649788,8.06745832293904,Anas_platyrhynchos,-3.20059408486904,0
NL052,8,14,607.991779586458,2.19722457733622,2.70805020110221,6.4118047694028,Anas_platyrhynchos,-3.01824456773685,1
NL090,3,4,0,1.38629436111989,1.6094379124341,0,Anas_platyrhynchos,-0.413736713219145,0
NL014,1,6,0,0.693147180559945,1.94591014905531,0,Anas_platyrhynchos,-0.112519105029138,0
NL075,7,9,597.140801545484,2.07944154167984,2.30258509299405,6.39382618032511,Anas_platyrhynchos,-2.72106284934445,0
NL017,0,0,0,0,0,0,Anas_platyrhynchos,1.38193654918822,0
NL100,2,2,0,1.09861228866811,1.09861228866811,0,Anas_platyrhynchos,0.0513502439397648,0
NL074,1,1,0,0.693147180559945,0.693147180559945,0,Anas_platyrhynchos,0.542430059512254,1
NL013,3,15,2179.1832084857,1.38629436111989,2.77258872223978,7.68716419284169,Anas_crecca,-2.78656532898991,1
NL094,98,399,7235.97828205721,4.59511985013459,5.99146454710798,8.88695903390228,Anas_crecca,-6.95362943967558,0
NL038,33,63,5409.32864780152,3.52636052461616,4.15888308335967,8.59606511820273,Anas_crecca,-5.1930905214198,1
NL073,38,65,2048.62339247149,3.66356164612965,4.18965474202643,7.62541134426601,Anas_crecca,-5.08078887988478,0
NL055,2,2,119.39940864238,1.09861228866811,1.09861228866811,4.79081462125452,Anas_crecca,-1.04846880419341,0
NL050,11,39,1642.48333333333,2.484906649788,3.68887945411394,7.40457325209352,Anas_crecca,-3.95695932778914,0
NL034,9,18,1691.67608181018,2.30258509299405,2.94443897916644,7.43406603589505,Anas_crecca,-3.44903297217225,0
NL041,6,15,432.337783415415,1.94591014905531,2.77258872223978,6.07151752414898,Anas_crecca,-2.80087458031998,0
NL091,5,10,0,1.79175946922805,2.39789527279837,0,Anas_crecca,-1.10504631044158,1
NL058,2,3,0.80331607112674,1.09861228866811,1.38629436111989,0.589627231756335,Anas_crecca,-0.234410725752101,0
NL028,7,8,171.959723596754,2.07944154167984,2.19722457733622,5.1530587558135,Anas_crecca,-2.38113914053063,0
NL063,5,8,636.648820882868,1.79175946922805,2.19722457733622,6.45778769431079,Anas_crecca,-2.48263810133838,0
NL076,8,16,0,2.19722457733622,2.83321334405622,0,Anas_crecca,-1.61173336678161,0
NL079,10,11,535.65406202127,2.39789527279837,2.484906649788,6.28535368211769,Anas_crecca,-3.01068642066864,1
BE023,1,2,0,0.693147180559945,1.09861228866811,0,Anas_crecca,0.330451384787316,0
NL078,9,14,426.004491341991,2.30258509299405,2.70805020110221,6.05679453153863,Anas_crecca,-3.00927019167061,0
NL053,2,2,29.8097943722944,1.09861228866811,1.09861228866811,3.427832638529,Anas_crecca,-0.735571381652083,0
NL015,1,1,45.7232727674552,0.693147180559945,0.693147180559945,3.84424238673981,Anas_crecca,-0.340086033642328,0
NL077,3,3,155.387808012517,1.38629436111989,1.38629436111989,5.05233887118848,Anas_crecca,-1.45693314920781,0
NL075,4,6,36.7645604395604,1.6094379124341,1.94591014905531,3.63137110833743,Anas_crecca,-1.57689369953723,0
NL089,5,10,0,1.79175946922805,2.39789527279837,0,Anas_crecca,-1.10504631044158,0
NL100,3,4,0,1.38629436111989,1.6094379124341,0,Anas_crecca,-0.413736713219145,0
RU180,1,2,0,0.693147180559945,1.09861228866811,0,Anas_crecca,0.330451384787316,1
LT006,1,1,0,0.693147180559945,0.693147180559945,0,Anas_crecca,0.542430059512254,0
NL090,1,1,0,0.693147180559945,0.693147180559945,0,Anas_crecca,0.542430059512254,0
NL048,1,1,0,0.693147180559945,0.693147180559945,0,Anas_crecca,0.542430059512254,0
NL107,1,1,0,0.693147180559945,0.693147180559945,0,Anas_crecca,0.542430059512254,0
NL013,45,678,5151.45542942525,3.8286413964891,6.5206211275587,8.54722866244583,Larus_argentatus,-6.62467916841574,0
NL058,29,150,1058.03025591304,3.40119738166216,5.01727983681492,6.96510891546056,Larus_argentatus,-5.18129193918094,0
NL028,20,102,1029.6913075222,3.04452243772342,4.63472898822964,6.9379850284399,Larus_argentatus,-4.72954961751415,0
NL034,38,164,1271.74777043992,3.66356164612965,5.10594547390058,7.14893344101498,Larus_argentatus,-5.45044489061439,0
