iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
BE005,BE006,7,Actitis hypoleucos,3.2167,51.25,9349,3.35,51.3333,1820
DE392,DE460,5,Actitis hypoleucos,13.2,51.4333,1783,13.3333,51.4,3396
DE392,DE461,3,Actitis hypoleucos,13.2,51.4333,1783,13.45,51.35,10748
BE004,BE005,3,Actitis hypoleucos,3.1833,51.35,230,3.2167,51.25,9349
FR051,SE061,3,Actitis hypoleucos,1.7,50.2667,5550,12.9167,55.4167,20000
DE162,SE061,3,Actitis hypoleucos,7.65,52.0333,584,12.9167,55.4167,20000
SE061,UK001,2,Actitis hypoleucos,12.9167,55.4167,20000,0.86416,51.8251,716
FR239,SE061,2,Actitis hypoleucos,4.6,43.5167,76500,12.9167,55.4167,20000
DE392,FR226,2,Actitis hypoleucos,13.2,51.4333,1783,3.5167,43.3167,561
SE052,SE061,2,Actitis hypoleucos,12.2167,57.1167,355,12.9167,55.4167,20000
BE003,FR045,2,Actitis hypoleucos,2.8333,51,5100,0.3,49.4333,21100
FR220,SE061,2,Actitis hypoleucos,3.9667,43.5333,12700,12.9167,55.4167,20000
DK088,SE061,2,Actitis hypoleucos,11.0333,54.8333,8550,12.9167,55.4167,20000
FR167,SE061,2,Actitis hypoleucos,4.1667,45.7333,80850,12.9167,55.4167,20000
DE142,DE393,2,Actitis hypoleucos,14.15,52.9833,11779,14.3666,53.25,7504
FR239,PL013,2,Actitis hypoleucos,4.6,43.5167,76500,18.95,54.35,485
DE122,DE129,2,Actitis hypoleucos,11,51.4333,1454,12.0166,51.3833,5819
DE392,FR213,2,Actitis hypoleucos,13.2,51.4333,1783,3.1333,43.1667,10400
DK111,ES051,2,Actitis hypoleucos,12.5333,55.5833,6210,-3.4167,42,26000
NL001,NL038,2,Actitis hypoleucos,5.3833,53.3,272100,5.25,52.5333,69700
BE001,FR051,2,Actitis hypoleucos,2.75,51.2,17000,1.7,50.2667,5550
FR051,NL001,2,Actitis hypoleucos,1.7,50.2667,5550,5.3833,53.3,272100
BE015,FR032,1,Actitis hypoleucos,4.5167,51.0167,2263,-0.8167,46.4333,18700
DE392,ES141,1,Actitis hypoleucos,13.2,51.4333,1783,1.5,41.3333,44300
DE392,FR167,1,Actitis hypoleucos,13.2,51.4333,1783,4.1667,45.7333,80850
IT095,PL013,1,Actitis hypoleucos,13.1667,42.9333,71374,18.95,54.35,485
DE392,DE456,1,Actitis hypoleucos,13.2,51.4333,1783,12.3,51.3666,5738
DE252,FR227,1,Actitis hypoleucos,9.05,48.5666,19216,3.6,43.3667,800
BE011,NL042,1,Actitis hypoleucos,4.25,51.3167,7570,5.6667,52.3833,3390
DE185,NL094,1,Actitis hypoleucos,8.51666,49.6,7000,5.8333,52.1667,91800
FR049,SE055,1,Actitis hypoleucos,2.3833,48.55,710,16.4,56.2,1610
DE252,SE061,1,Actitis hypoleucos,9.05,48.5666,19216,12.9167,55.4167,20000
BE018,DK059,1,Actitis hypoleucos,5,51.3833,7075,9.3833,55.2167,1100
DE226,SE061,1,Actitis hypoleucos,9.8,48.2833,3980,12.9167,55.4167,20000
FR061,SE052,1,Actitis hypoleucos,3.4333,50.4333,11150,12.2167,57.1167,355
DE379,FR175,1,Actitis hypoleucos,12.8,51.8,3354,6.8,46.0667,20850
DE392,FR048,1,Actitis hypoleucos,13.2,51.4333,1783,3.1833,48.4,39900
DE245,SE061,1,Actitis hypoleucos,9.56666,48.8166,1836,12.9167,55.4167,20000
BE005,BE007,1,Actitis hypoleucos,3.2167,51.25,9349,3.6667,51.25,780
ES222,PT027,1,Actitis hypoleucos,-3.1667,37.0833,245000,-7.1666,38.1333,80564
DE392,FR208,1,Actitis hypoleucos,13.2,51.4333,1783,1.0667,44.0667,1300
DE494,ES125,1,Actitis hypoleucos,7.26666,50.55,165,-0.1667,42.75,32000
BE018,SE061,1,Actitis hypoleucos,5,51.3833,7075,12.9167,55.4167,20000
DE206,FI023,1,Actitis hypoleucos,12.5333,51.05,272,24.2333,65.7833,526
BE018,FR045,1,Actitis hypoleucos,5,51.3833,7075,0.3,49.4333,21100
DE226,DE392,1,Actitis hypoleucos,9.8,48.2833,3980,13.2,51.4333,1783
BE018,FR239,1,Actitis hypoleucos,5,51.3833,7075,4.6,43.5167,76500
DK022,NL001,1,Actitis hypoleucos,8.6167,57.1167,5110,5.3833,53.3,272100
BE004,FR102,1,Actitis hypoleucos,3.1833,51.35,230,-0.6667,45.7667,8300
DE122,DE245,1,Actitis hypoleucos,11,51.4333,1454,9.56666,48.8166,1836
BE018,DK008,1,Actitis hypoleucos,5,51.3833,7075,9.1667,57.0333,1660
IT045,PL013,1,Actitis hypoleucos,10.7667,46.1333,112800,18.95,54.35,485
BE001,BE004,1,Actitis hypoleucos,2.75,51.2,17000,3.1833,51.35,230
FR226,PL013,1,Actitis hypoleucos,3.5167,43.3167,561,18.95,54.35,485
ES041,SE055,1,Actitis hypoleucos,-5.4167,41.7,40300,16.4,56.2,1610
CH002,FR227,1,Actitis hypoleucos,6.7333,46.9667,23200,3.6,43.3667,800
BE003,FR060,1,Actitis hypoleucos,2.8333,51,5100,1.6,50.25,18200
DE392,PL013,1,Actitis hypoleucos,13.2,51.4333,1783,18.95,54.35,485
BE003,BE005,1,Actitis hypoleucos,2.8333,51,5100,3.2167,51.25,9349
DE252,PL013,1,Actitis hypoleucos,9.05,48.5666,19216,18.95,54.35,485
BE003,BE030,1,Actitis hypoleucos,2.8333,51,5100,3.7333,50.4833,13715
ES223,PL013,1,Actitis hypoleucos,-3.6667,36.8333,125000,18.95,54.35,485
BE011,PT021,1,Actitis hypoleucos,4.25,51.3167,7570,-8.9333,38.8167,45071
CH028,ES223,1,Actitis hypoleucos,8.7333,46.25,14700,-3.6667,36.8333,125000
BE032,FR052,1,Actitis hypoleucos,4.4667,50.0833,83866,2.5167,49.9,6900
FR242,PL013,1,Actitis hypoleucos,5.15,43.4667,530,18.95,54.35,485
FI042,SE061,1,Actitis hypoleucos,21.5833,63,4570,12.9167,55.4167,20000
DE456,IT159,1,Actitis hypoleucos,12.3,51.3666,5738,13.45,37.8833,100000
BE012,ES118,1,Actitis hypoleucos,4.35,51.2667,194,-0.1667,42.3333,95000
FR241,PL013,1,Actitis hypoleucos,4.9,43.7333,21800,18.95,54.35,485
DE206,FR220,1,Actitis hypoleucos,12.5333,51.05,272,3.9667,43.5333,12700
ES148,SE061,1,Actitis hypoleucos,0.7333,40.7167,32000,12.9167,55.4167,20000
BE018,UK042,1,Actitis hypoleucos,5,51.3833,7075,0.9595,51.6721,22856
DE043,SE055,1,Actitis hypoleucos,11.6166,53.7833,74800,16.4,56.2,1610
BE018,DE162,1,Actitis hypoleucos,5,51.3833,7075,7.65,52.0333,584
DK110,SE061,1,Actitis hypoleucos,12.8333,55.6667,7240,12.9167,55.4167,20000
DE449,DE450,1,Actitis hypoleucos,14.1166,51.3333,870,14.1833,51.4,1708
ES255,SE061,1,Actitis hypoleucos,-5.9167,36.6167,22000,12.9167,55.4167,20000
DE206,FR046,1,Actitis hypoleucos,12.5333,51.05,272,1.6333,49.0333,6150
DE122,SE060,1,Actitis hypoleucos,11,51.4333,1454,13.0063,55.6881,5600
DE460,SE055,1,Actitis hypoleucos,13.3333,51.4,3396,16.4,56.2,1610
BE006,SE018,1,Actitis hypoleucos,3.35,51.3333,1820,17.1667,60.35,2700
UK006,UK043,1,Actitis hypoleucos,1.7025,52.3838,468,1.626,52.3021,2212
DE289,ES008,1,Actitis hypoleucos,8.81666,54.4833,441000,-7.6667,42.1667,32800
FR240,SE055,1,Actitis hypoleucos,4.8667,43.6,40100,16.4,56.2,1610
BE004,BE006,1,Actitis hypoleucos,3.1833,51.35,230,3.35,51.3333,1820
DE222,ES255,1,Actitis hypoleucos,7.76666,48.45,3938,-5.9167,36.6167,22000
DE151,SE055,1,Actitis hypoleucos,12.2666,52.75,16775,16.4,56.2,1610
FI081,PL056,1,Actitis hypoleucos,22.9,59.8167,11151,16.6167,50.9667,920
ES147,SE061,1,Actitis hypoleucos,0.25,40.8333,107000,12.9167,55.4167,20000
IT059,PL013,1,Actitis hypoleucos,11.7,45.6667,1100,18.95,54.35,485
CZ009,SE055,1,Actitis hypoleucos,16.6,48.9,1046,16.4,56.2,1610
PL013,PL058,1,Actitis hypoleucos,18.95,54.35,485,18.1167,50.7333,2200
BE003,ES216,1,Actitis hypoleucos,2.8333,51,5100,-2.0833,36.8333,46100
DE392,ES140,1,Actitis hypoleucos,13.2,51.4333,1783,2.1333,41.2667,2200
BE003,DE289,1,Actitis hypoleucos,2.8333,51,5100,8.81666,54.4833,441000
BE006,FR063,1,Actitis hypoleucos,3.35,51.3333,1820,1.6333,50.4667,1500
BE006,FR176,1,Actitis hypoleucos,3.35,51.3333,1820,-1.1167,44.6667,20100
PL013,PL014,1,Actitis hypoleucos,18.95,54.35,485,19.4833,54.3167,33000
BE006,FR045,1,Actitis hypoleucos,3.35,51.3333,1820,0.3,49.4333,21100
CH013,DK083,1,Actitis hypoleucos,8.8167,47.6333,480,11.7167,54.55,100000
BE010,FR023,1,Actitis hypoleucos,4.1,51.05,7923,-1.8167,47.2667,21400
CZ009,PL013,1,Actitis hypoleucos,16.6,48.9,1046,18.95,54.35,485
BE005,FR045,1,Actitis hypoleucos,3.2167,51.25,9349,0.3,49.4333,21100
ES056,ES188,1,Actitis hypoleucos,-4.0833,40.8667,54500,-2.25,40.8,157000
BE008,DK130,1,Actitis hypoleucos,3.6833,51.0667,213,11.4666,55.0666,135300
BE003,FR176,1,Actitis hypoleucos,2.8333,51,5100,-1.1167,44.6667,20100
BE003,ES255,1,Actitis hypoleucos,2.8333,51,5100,-5.9167,36.6167,22000
DE417,ES212,1,Actitis hypoleucos,6.53333,50.8833,1549,-2.0833,37.0333,82880
BE006,DE547,1,Actitis hypoleucos,3.35,51.3333,1820,6.36666,49.5333,225
ES223,SE055,1,Actitis hypoleucos,-3.6667,36.8333,125000,16.4,56.2,1610
BE005,DE088,1,Actitis hypoleucos,3.2167,51.25,9349,9.95,51.75,1150
BE020,SE055,1,Actitis hypoleucos,5.1833,51.0167,7010,16.4,56.2,1610
BE003,NL002,1,Actitis hypoleucos,2.8333,51,5100,4.9,53.1333,1600
PL013,PT033,1,Actitis hypoleucos,18.95,54.35,485,-7.8166,37.0166,23296
BE003,ES086,1,Actitis hypoleucos,2.8333,51,5100,-1.3667,42.7833,19500
CZ009,PL012,1,Actitis hypoleucos,16.6,48.9,1046,18.6167,54.5667,56000
FR023,SE061,1,Actitis hypoleucos,-1.8167,47.2667,21400,12.9167,55.4167,20000
CH013,PL012,1,Actitis hypoleucos,8.8167,47.6333,480,18.6167,54.5667,56000
DK130,SE052,1,Actitis hypoleucos,11.4666,55.0666,135300,12.2167,57.1167,355
DE460,FR207,1,Actitis hypoleucos,13.3333,51.4,3396,1.4,43.5667,1700
DE202,SE061,1,Actitis hypoleucos,10.85,50.5666,17000,12.9167,55.4167,20000
DE363,DE392,1,Actitis hypoleucos,10.5666,51.8666,950,13.2,51.4333,1783
HU022,SK004,1,Actitis hypoleucos,19.25,46.8166,44339,17.8333,48.55,690
IT064,PL013,1,Actitis hypoleucos,12.4667,45.3667,68982,18.95,54.35,485
BE003,SE061,1,Actitis hypoleucos,2.8333,51,5100,12.9167,55.4167,20000
FR094,SE055,1,Actitis hypoleucos,6.2,46.85,12500,16.4,56.2,1610
DE129,SE055,1,Actitis hypoleucos,12.0166,51.3833,5819,16.4,56.2,1610
DE043,PL013,1,Actitis hypoleucos,11.6166,53.7833,74800,18.95,54.35,485
NL096,SE052,1,Actitis hypoleucos,5.1,51.65,4090,12.2167,57.1167,355
DE392,FR141,1,Actitis hypoleucos,13.2,51.4333,1783,4.7333,47.7667,21900
ES140,LT003,1,Actitis hypoleucos,2.1333,41.2667,2200,21.1667,55.4167,9720
DE392,ES118,1,Actitis hypoleucos,13.2,51.4333,1783,-0.1667,42.3333,95000
IT090,SE055,1,Actitis hypoleucos,11.3667,43.2,50000,16.4,56.2,1610
BE001,UK001,1,Actitis hypoleucos,2.75,51.2,17000,0.86416,51.8251,716
DK130,SE061,1,Actitis hypoleucos,11.4666,55.0666,135300,12.9167,55.4167,20000
ES139,ES223,1,Actitis hypoleucos,2.0167,41.65,124000,-3.6667,36.8333,125000
DK007,SE052,1,Actitis hypoleucos,10.2167,56.8667,7380,12.2167,57.1167,355
DE392,FR162,1,Actitis hypoleucos,13.2,51.4333,1783,4.8667,44.7667,2100
FR025,SE061,1,Actitis hypoleucos,-1.9167,46.9,47000,12.9167,55.4167,20000
FI028,FR049,1,Actitis hypoleucos,25.1667,64.9167,81781,2.3833,48.55,710
FR094,SE061,1,Actitis hypoleucos,6.2,46.85,12500,12.9167,55.4167,20000
ES244,SE055,1,Actitis hypoleucos,-5.5833,36.4167,133500,16.4,56.2,1610
DK047,SE061,1,Actitis hypoleucos,9.7167,55.35,35060,12.9167,55.4167,20000
BE003,FR032,1,Actitis hypoleucos,2.8333,51,5100,-0.8167,46.4333,18700
FI037,SE061,1,Actitis hypoleucos,26.2833,65.75,30405,12.9167,55.4167,20000
DK007,NL051,1,Actitis hypoleucos,10.2167,56.8667,7380,4.8333,51.7667,9050
DE156,SE055,1,Actitis hypoleucos,8.31666,51.6,57675,16.4,56.2,1610
FI081,IT059,1,Actitis hypoleucos,22.9,59.8167,11151,11.7,45.6667,1100
FR242,SE061,1,Actitis hypoleucos,5.15,43.4667,530,12.9167,55.4167,20000
DE392,IT019,1,Actitis hypoleucos,13.2,51.4333,1783,10.0333,45.6333,325
FR229,SE061,1,Actitis hypoleucos,3.2,43.2667,4850,12.9167,55.4167,20000
DE392,FR234,1,Actitis hypoleucos,13.2,51.4333,1783,4.3,43.6333,19300
ES084,SE052,1,Actitis hypoleucos,-1.5,43.1667,6300,12.2167,57.1167,355
FR051,NL076,1,Actitis hypoleucos,1.7,50.2667,5550,4.7833,52.15,2000
DE372,SE052,1,Actitis hypoleucos,10.1666,52.1,565,12.2167,57.1167,355
AT003,LT003,1,Actitis hypoleucos,16.8333,47.75,13995,21.1667,55.4167,9720
ES222,ES223,1,Actitis hypoleucos,-3.1667,37.0833,245000,-3.6667,36.8333,125000
FI079,IT059,1,Actitis hypoleucos,24.5833,60.2833,6700,11.7,45.6667,1100
FR135,SE052,1,Actitis hypoleucos,2.2333,47.7,7750,12.2167,57.1167,355
FR051,NL092,1,Actitis hypoleucos,1.7,50.2667,5550,4.6667,52.7,2500
ES210,SE052,1,Actitis hypoleucos,-2.6667,38,250000,12.2167,57.1167,355
CH001,CH013,1,Actitis hypoleucos,6.2667,46.55,31000,8.8167,47.6333,480
DE288,SE061,1,Actitis hypoleucos,11.4333,54.0166,102030,12.9167,55.4167,20000
DE006,FI079,1,Actitis hypoleucos,10.0666,54.45,5130,24.5833,60.2833,6700
FR176,SE052,1,Actitis hypoleucos,-1.1167,44.6667,20100,12.2167,57.1167,355
IT108,SE055,1,Actitis hypoleucos,12.1667,42.3333,4000,16.4,56.2,1610
DE550,SE061,1,Actitis hypoleucos,8.25,48,94726,12.9167,55.4167,20000
FI010,SE061,1,Actitis hypoleucos,26.7833,69.5833,70075,12.9167,55.4167,20000
DE372,SE061,1,Actitis hypoleucos,10.1666,52.1,565,12.9167,55.4167,20000
FI010,FR253,1,Actitis hypoleucos,26.7833,69.5833,70075,4.6833,44.2333,1100
DE275,SE055,1,Actitis hypoleucos,10.9166,49.75,50698,16.4,56.2,1610
DE392,FI010,1,Actitis hypoleucos,13.2,51.4333,1783,26.7833,69.5833,70075
DK102,SE061,1,Actitis hypoleucos,11.8333,55.9667,4000,12.9167,55.4167,20000
UK001,UK042,1,Actitis hypoleucos,0.86416,51.8251,716,0.9595,51.6721,22856
DE151,SE061,1,Actitis hypoleucos,12.2666,52.75,16775,12.9167,55.4167,20000
IT045,IT059,1,Actitis hypoleucos,10.7667,46.1333,112800,11.7,45.6667,1100
IT020,SE055,1,Actitis hypoleucos,8.3833,45.4,500,16.4,56.2,1610
BE003,NL001,1,Actitis hypoleucos,2.8333,51,5100,5.3833,53.3,272100
DE185,SE061,1,Actitis hypoleucos,8.51666,49.6,7000,12.9167,55.4167,20000
DE088,FI078,1,Actitis hypoleucos,9.95,51.75,1150,24.9333,60.2,1274
ES084,SE061,1,Actitis hypoleucos,-1.5,43.1667,6300,12.9167,55.4167,20000
NL001,NL020,1,Actitis hypoleucos,5.3833,53.3,272100,3.5833,51.7167,107000
FR060,SE061,1,Actitis hypoleucos,1.6,50.25,18200,12.9167,55.4167,20000
PL012,PL058,1,Actitis hypoleucos,18.6167,54.5667,56000,18.1167,50.7333,2200
FR176,SE061,1,Actitis hypoleucos,-1.1167,44.6667,20100,12.9167,55.4167,20000
FI077,SE061,1,Actitis hypoleucos,25.6667,60.1667,22570,12.9167,55.4167,20000
DK094,SE061,1,Actitis hypoleucos,11.3,55.8333,40250,12.9167,55.4167,20000
BE003,BE006,1,Actitis hypoleucos,2.8333,51,5100,3.35,51.3333,1820
BE011,SE061,1,Actitis hypoleucos,4.25,51.3167,7570,12.9167,55.4167,20000
FR146,PL013,1,Actitis hypoleucos,3.4,46.4667,17900,18.95,54.35,485
BE004,ES008,1,Actitis hypoleucos,3.1833,51.35,230,-7.6667,42.1667,32800
ES223,PT048,1,Actitis hypoleucos,-3.6667,36.8333,125000,-7.8833,38.1,33021
SE055,SE061,1,Actitis hypoleucos,16.4,56.2,1610,12.9167,55.4167,20000
