iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DK079,PL012,41,Alca torda,15.1833,55.3167,1257,18.6167,54.5667,56000
FI072,PL012,12,Alca torda,27,60.3333,93253,18.6167,54.5667,56000
PL012,SE027,10,Alca torda,18.6167,54.5667,56000,19.3333,59.4167,9100
FI045,PL012,10,Alca torda,21.0833,63.3333,223652,18.6167,54.5667,56000
UK084,UK085,9,Alca torda,-4.4755,51.6696,33294,-3.9845,52.5446,2059
UK061,UK084,9,Alca torda,-4.8778,50.2155,12362,-4.4755,51.6696,33294
ES035,UK084,9,Alca torda,-2.6833,43.3667,4000,-4.4755,51.6696,33294
PL012,SE064,9,Alca torda,18.6167,54.5667,56000,17.9666,58.9166,40100
UK081,UK084,8,Alca torda,-3.485,52.8536,24187,-4.4755,51.6696,33294
DK079,DK080,8,Alca torda,15.1833,55.3167,1257,14.9667,55.1333,6090
FR014,UK084,8,Alca torda,-2.7667,47.5667,18800,-4.4755,51.6696,33294
FI072,LV063,5,Alca torda,27,60.3333,93253,24.2333,57.3333,40000
FR005,UK084,5,Alca torda,-2.2,48.6333,4400,-4.4755,51.6696,33294
PL012,RU224,5,Alca torda,18.6167,54.5667,56000,27.8333,60.4167,410
LV063,SE064,5,Alca torda,24.2333,57.3333,40000,17.9666,58.9166,40100
FR012,UK084,5,Alca torda,-3.9,48.6667,7900,-4.4755,51.6696,33294
FI088,SE012,4,Alca torda,21.3333,61.75,9716,20.05,63.4333,5
NL092,UK084,4,Alca torda,4.6667,52.7,2500,-4.4755,51.6696,33294
BE001,UK084,4,Alca torda,2.75,51.2,17000,-4.4755,51.6696,33294
FI075,PL012,4,Alca torda,26.3333,60.2167,18250,18.6167,54.5667,56000
UK084,UK087,4,Alca torda,-4.4755,51.6696,33294,-3.6733,52.2463,29916
DK079,PL014,4,Alca torda,15.1833,55.3167,1257,19.4833,54.3167,33000
FI094,PL012,4,Alca torda,19.6333,60.4167,16170,18.6167,54.5667,56000
DK079,FI093,4,Alca torda,15.1833,55.3167,1257,20.5833,59.8667,17843
UK044,UK085,3,Alca torda,-2.9781,54.104,36859,-3.9845,52.5446,2059
DK079,FI075,3,Alca torda,15.1833,55.3167,1257,26.3333,60.2167,18250
FR051,UK084,3,Alca torda,1.7,50.2667,5550,-4.4755,51.6696,33294
FI075,PL014,3,Alca torda,26.3333,60.2167,18250,19.4833,54.3167,33000
NL013,UK084,3,Alca torda,4.7667,52.9167,6000,-4.4755,51.6696,33294
DK079,DK110,3,Alca torda,15.1833,55.3167,1257,12.8333,55.6667,7240
UK018,UK084,3,Alca torda,-3.2693,54.1731,6756,-4.4755,51.6696,33294
FI072,SE027,3,Alca torda,27,60.3333,93253,19.3333,59.4167,9100
PL012,SE012,3,Alca torda,18.6167,54.5667,56000,20.05,63.4333,5
FI095,PL012,3,Alca torda,20.1667,60.4167,6642,18.6167,54.5667,56000
FR045,UK084,3,Alca torda,0.3,49.4333,21100,-4.4755,51.6696,33294
DK079,LT002,3,Alca torda,15.1833,55.3167,1257,20.85,55.6333,77000
IE089,UK084,3,Alca torda,-8.0333,51.8167,200,-4.4755,51.6696,33294
DK079,SE073,3,Alca torda,15.1833,55.3167,1257,15.15,56.1333,59300
BE001,UK044,3,Alca torda,2.75,51.2,17000,-2.9781,54.104,36859
DK079,FI094,3,Alca torda,15.1833,55.3167,1257,19.6333,60.4167,16170
FR064,UK084,3,Alca torda,1.5833,50.8667,8950,-4.4755,51.6696,33294
FI045,LT001,3,Alca torda,21.0833,63.3333,223652,20.8666,55.95,113000
FR235,UK084,3,Alca torda,4.2667,43.5167,21000,-4.4755,51.6696,33294
FI045,PL013,3,Alca torda,21.0833,63.3333,223652,18.95,54.35,485
SE049,SE068,2,Alca torda,18.0167,57.2833,4570,16.5,57.25,9700
FR043,UK084,2,Alca torda,0.4167,49.8,5700,-4.4755,51.6696,33294
NL019,UK084,2,Alca torda,4.7,52.8167,600,-4.4755,51.6696,33294
UK084,UK091,2,Alca torda,-4.4755,51.6696,33294,-3.637,53.3211,10154
DK103,SE049,2,Alca torda,12.15,55.5667,100,18.0167,57.2833,4570
FR191,UK084,2,Alca torda,-1.6,43.2667,1500,-4.4755,51.6696,33294
UK018,UK039,2,Alca torda,-3.2693,54.1731,6756,-2.878,53.6248,120
FR062,UK084,2,Alca torda,1.5667,50.5333,5050,-4.4755,51.6696,33294
FR040,UK084,2,Alca torda,-0.15,49.3667,23100,-4.4755,51.6696,33294
ES244,UK084,2,Alca torda,-5.5833,36.4167,133500,-4.4755,51.6696,33294
SE039,SE049,2,Alca torda,17,58.3667,5690,18.0167,57.2833,4570
UK025,UK084,2,Alca torda,-2.5158,53.9815,79978,-4.4755,51.6696,33294
SE038,SE049,2,Alca torda,16.9,58.4167,95,18.0167,57.2833,4570
IE101,UK084,2,Alca torda,-6.4,52.1833,466,-4.4755,51.6696,33294
FR244,UK084,2,Alca torda,5.35,43.2333,2350,-4.4755,51.6696,33294
