iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
BE017,NL096,76,Anas acuta,4.9333,51.1833,91,5.1,51.65,4090
UK016,UK066,58,Anas acuta,1.34416,52.0423,977,1.16533,51.9566,3670
BE017,NL051,41,Anas acuta,4.9333,51.1833,91,4.8333,51.7667,9050
NL051,NL096,30,Anas acuta,4.8333,51.7667,9050,5.1,51.65,4090
NL002,NL094,26,Anas acuta,4.9,53.1333,1600,5.8333,52.1667,91800
DK051,DK053,22,Anas acuta,8.7,55.3333,6660,8.4,55.4333,4370
UK002,UK016,21,Anas acuta,1.55616,52.0045,2520,1.34416,52.0423,977
NL001,NL002,16,Anas acuta,5.3833,53.3,272100,4.9,53.1333,1600
DK053,DK057,16,Anas acuta,8.4,55.4333,4370,8.5333,55.2667,115850
NL001,NL094,14,Anas acuta,5.3833,53.3,272100,5.8333,52.1667,91800
UK016,UK041,12,Anas acuta,1.34416,52.0423,977,-2.8301,53.2998,5007
NL002,NL013,10,Anas acuta,4.9,53.1333,1600,4.7667,52.9167,6000
UK016,UK040,10,Anas acuta,1.34416,52.0423,977,0.66433,51.3996,4668
DK049,DK053,9,Anas acuta,8.3167,55.6,2700,8.4,55.4333,4370
UK016,UK042,8,Anas acuta,1.34416,52.0423,977,0.9595,51.6721,22856
NL025,NL051,8,Anas acuta,4.5,51.7,4300,4.8333,51.7667,9050
FR051,NL094,7,Anas acuta,1.7,50.2667,5550,5.8333,52.1667,91800
FR045,NL051,7,Anas acuta,0.3,49.4333,21100,4.8333,51.7667,9050
UK001,UK016,6,Anas acuta,0.86416,51.8251,716,1.34416,52.0423,977
FR045,NL094,6,Anas acuta,0.3,49.4333,21100,5.8333,52.1667,91800
FR051,UK016,6,Anas acuta,1.7,50.2667,5550,1.34416,52.0423,977
BE017,FR051,6,Anas acuta,4.9333,51.1833,91,1.7,50.2667,5550
BE017,NL001,6,Anas acuta,4.9333,51.1833,91,5.3833,53.3,272100
NL002,RU022,6,Anas acuta,4.9,53.1333,1600,40.3333,64.5,130000
DK043,UK016,5,Anas acuta,8.25,56,27720,1.34416,52.0423,977
BE017,FR045,5,Anas acuta,4.9333,51.1833,91,0.3,49.4333,21100
FR045,UK016,5,Anas acuta,0.3,49.4333,21100,1.34416,52.0423,977
FR045,NL002,5,Anas acuta,0.3,49.4333,21100,4.9,53.1333,1600
UK016,UK051,5,Anas acuta,1.34416,52.0423,977,0.17816,52.4586,2490
NL044,NL051,5,Anas acuta,5.2,52.3167,2670,4.8333,51.7667,9050
DE289,NL096,5,Anas acuta,8.81666,54.4833,441000,5.1,51.65,4090
NL039,NL096,5,Anas acuta,5.75,52.6,3900,5.1,51.65,4090
DK008,DK043,5,Anas acuta,9.1667,57.0333,1660,8.25,56,27720
BE017,FI028,5,Anas acuta,4.9333,51.1833,91,25.1667,64.9167,81781
NL013,NL019,5,Anas acuta,4.7667,52.9167,6000,4.7,52.8167,600
DE289,FI028,4,Anas acuta,8.81666,54.4833,441000,25.1667,64.9167,81781
NL013,NL094,4,Anas acuta,4.7667,52.9167,6000,5.8333,52.1667,91800
UK001,UK042,4,Anas acuta,0.86416,51.8251,716,0.9595,51.6721,22856
BE017,NL025,4,Anas acuta,4.9333,51.1833,91,4.5,51.7,4300
NL001,NL058,4,Anas acuta,5.3833,53.3,272100,5.7667,53.0167,1670
BE017,RU068,4,Anas acuta,4.9333,51.1833,91,40.75,57.9166,55125
FR051,NL002,4,Anas acuta,1.7,50.2667,5550,4.9,53.1333,1600
NL002,UK077,4,Anas acuta,4.9,53.1333,1600,0.29,52.9366,69908
DK043,NL094,4,Anas acuta,8.25,56,27720,5.8333,52.1667,91800
NL094,RU022,4,Anas acuta,5.8333,52.1667,91800,40.3333,64.5,130000
BE017,NL015,4,Anas acuta,4.9333,51.1833,91,6.2167,53.3667,7820
FR032,NL096,4,Anas acuta,-0.8167,46.4333,18700,5.1,51.65,4090
FR051,NL096,4,Anas acuta,1.7,50.2667,5550,5.1,51.65,4090
NL002,RU051,4,Anas acuta,4.9,53.1333,1600,31.75,58.25,250000
DK053,FR115,4,Anas acuta,8.4,55.4333,4370,-1.1,45.7667,14800
BE017,NL041,4,Anas acuta,4.9333,51.1833,91,5.85,52.5,640
NL094,UK041,4,Anas acuta,5.8333,52.1667,91800,-2.8301,53.2998,5007
DK050,DK053,4,Anas acuta,8.15,55.6,6570,8.4,55.4333,4370
DK110,DK111,4,Anas acuta,12.8333,55.6667,7240,12.5333,55.5833,6210
BE017,DK041,4,Anas acuta,4.9333,51.1833,91,8.15,56.1833,6910
