iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
UK001,UK042,445,Anas crecca,0.86416,51.8251,716,0.9595,51.6721,22856
NL002,NL094,208,Anas crecca,4.9,53.1333,1600,5.8333,52.1667,91800
UK001,UK066,170,Anas crecca,0.86416,51.8251,716,1.16533,51.9566,3670
UK016,UK066,134,Anas crecca,1.34416,52.0423,977,1.16533,51.9566,3670
DK051,DK053,123,Anas crecca,8.7,55.3333,6660,8.4,55.4333,4370
UK001,UK016,94,Anas crecca,0.86416,51.8251,716,1.34416,52.0423,977
UK001,UK007,88,Anas crecca,0.86416,51.8251,716,0.66666,51.5166,2373
DK053,DK057,84,Anas crecca,8.4,55.4333,4370,8.5333,55.2667,115850
UK001,UK040,78,Anas crecca,0.86416,51.8251,716,0.66433,51.3996,4668
BE017,NL051,77,Anas crecca,4.9333,51.1833,91,4.8333,51.7667,9050
DK043,DK053,65,Anas crecca,8.25,56,27720,8.4,55.4333,4370
NL051,NL096,65,Anas crecca,4.8333,51.7667,9050,5.1,51.65,4090
BE017,NL096,60,Anas crecca,4.9333,51.1833,91,5.1,51.65,4090
NL051,UK001,58,Anas crecca,4.8333,51.7667,9050,0.86416,51.8251,716
FR051,UK001,57,Anas crecca,1.7,50.2667,5550,0.86416,51.8251,716
UK001,UK002,55,Anas crecca,0.86416,51.8251,716,1.55616,52.0045,2520
DK049,DK053,52,Anas crecca,8.3167,55.6,2700,8.4,55.4333,4370
UK001,UK009,48,Anas crecca,0.86416,51.8251,716,0.6795,52.4218,39284
DK052,DK053,47,Anas crecca,8.5667,55.2833,850,8.4,55.4333,4370
FR045,UK001,45,Anas crecca,0.3,49.4333,21100,0.86416,51.8251,716
DK110,DK111,41,Anas crecca,12.8333,55.6667,7240,12.5333,55.5833,6210
UK001,UK077,38,Anas crecca,0.86416,51.8251,716,0.29,52.9366,69908
NL001,UK001,38,Anas crecca,5.3833,53.3,272100,0.86416,51.8251,716
UK001,UK011,36,Anas crecca,0.86416,51.8251,716,1.53716,52.6693,5402
UK001,UK073,36,Anas crecca,0.86416,51.8251,716,0.53333,51.4666,9357
UK001,UK065,34,Anas crecca,0.86416,51.8251,716,1.18366,51.3103,479
DE289,DK053,29,Anas crecca,8.81666,54.4833,441000,8.4,55.4333,4370
UK001,UK019,29,Anas crecca,0.86416,51.8251,716,0.83,50.9755,9805
BE017,FR045,28,Anas crecca,4.9333,51.1833,91,0.3,49.4333,21100
DK038,DK053,28,Anas crecca,8.2333,56.35,10890,8.4,55.4333,4370
DE289,UK001,27,Anas crecca,8.81666,54.4833,441000,0.86416,51.8251,716
UK001,UK014,26,Anas crecca,0.86416,51.8251,716,-0.9388,50.8056,5795
UK001,UK051,26,Anas crecca,0.86416,51.8251,716,0.17816,52.4586,2490
NL044,NL051,24,Anas crecca,5.2,52.3167,2670,4.8333,51.7667,9050
UK001,UK068,24,Anas crecca,0.86416,51.8251,716,0.84283,51.3606,6486
BE017,FR051,23,Anas crecca,4.9333,51.1833,91,1.7,50.2667,5550
DK053,FR051,23,Anas crecca,8.4,55.4333,4370,1.7,50.2667,5550
BE017,NL050,23,Anas crecca,4.9333,51.1833,91,5.5333,51.9,5940
FR064,UK001,22,Anas crecca,1.5833,50.8667,8950,0.86416,51.8251,716
FR045,NL051,22,Anas crecca,0.3,49.4333,21100,4.8333,51.7667,9050
NL002,UK001,22,Anas crecca,4.9,53.1333,1600,0.86416,51.8251,716
BE005,FR051,21,Anas crecca,3.2167,51.25,9349,1.7,50.2667,5550
DK041,DK053,20,Anas crecca,8.15,56.1833,6910,8.4,55.4333,4370
NL025,UK001,20,Anas crecca,4.5,51.7,4300,0.86416,51.8251,716
DK111,FR051,19,Anas crecca,12.5333,55.5833,6210,1.7,50.2667,5550
UK002,UK016,19,Anas crecca,1.55616,52.0045,2520,1.34416,52.0423,977
DK036,DK053,19,Anas crecca,10.1667,55.85,42880,8.4,55.4333,4370
UK001,UK010,18,Anas crecca,0.86416,51.8251,716,1.63133,52.5845,2091
DK105,DK111,18,Anas crecca,12.0833,55.75,13180,12.5333,55.5833,6210
FR239,PL032,18,Anas crecca,4.6,43.5167,76500,14.7167,52.5667,4244
CH005,FR239,18,Anas crecca,8.5667,47.5333,22700,4.6,43.5167,76500
FR023,UK001,17,Anas crecca,-1.8167,47.2667,21400,0.86416,51.8251,716
FR051,NL002,17,Anas crecca,1.7,50.2667,5550,4.9,53.1333,1600
NL044,UK001,17,Anas crecca,5.2,52.3167,2670,0.86416,51.8251,716
UK001,UK047,17,Anas crecca,0.86416,51.8251,716,0.741,52.9741,7831
DK053,FR045,17,Anas crecca,8.4,55.4333,4370,0.3,49.4333,21100
DK001,DK053,17,Anas crecca,9.5833,57.0333,18530,8.4,55.4333,4370
UK001,UK046,16,Anas crecca,0.86416,51.8251,716,-1.6105,50.8528,41410
DK111,DK130,16,Anas crecca,12.5333,55.5833,6210,11.4666,55.0666,135300
DK008,UK001,16,Anas crecca,9.1667,57.0333,1660,0.86416,51.8251,716
DE298,DK053,16,Anas crecca,8.78333,54.8666,4700,8.4,55.4333,4370
FR051,NL001,16,Anas crecca,1.7,50.2667,5550,5.3833,53.3,272100
DK038,UK001,15,Anas crecca,8.2333,56.35,10890,0.86416,51.8251,716
DK053,UK001,15,Anas crecca,8.4,55.4333,4370,0.86416,51.8251,716
FI028,UK001,15,Anas crecca,25.1667,64.9167,81781,0.86416,51.8251,716
NL002,NL038,14,Anas crecca,4.9,53.1333,1600,5.25,52.5333,69700
DK130,UK001,14,Anas crecca,11.4666,55.0666,135300,0.86416,51.8251,716
NL001,NL051,14,Anas crecca,5.3833,53.3,272100,4.8333,51.7667,9050
FR239,UK001,14,Anas crecca,4.6,43.5167,76500,0.86416,51.8251,716
UK001,UK006,14,Anas crecca,0.86416,51.8251,716,1.7025,52.3838,468
BE005,FR045,14,Anas crecca,3.2167,51.25,9349,0.3,49.4333,21100
NL044,NL073,13,Anas crecca,5.2,52.3167,2670,5.0833,52.2167,7040
BE004,BE005,13,Anas crecca,3.1833,51.35,230,3.2167,51.25,9349
NL001,NL002,13,Anas crecca,5.3833,53.3,272100,4.9,53.1333,1600
DK043,UK001,13,Anas crecca,8.25,56,27720,0.86416,51.8251,716
FR045,NL002,13,Anas crecca,0.3,49.4333,21100,4.9,53.1333,1600
UK016,UK042,13,Anas crecca,1.34416,52.0423,977,0.9595,51.6721,22856
BE005,UK001,13,Anas crecca,3.2167,51.25,9349,0.86416,51.8251,716
BE003,UK001,13,Anas crecca,2.8333,51,5100,0.86416,51.8251,716
BE005,NL051,13,Anas crecca,3.2167,51.25,9349,4.8333,51.7667,9050
NL002,UK077,12,Anas crecca,4.9,53.1333,1600,0.29,52.9366,69908
DK111,FR045,12,Anas crecca,12.5333,55.5833,6210,0.3,49.4333,21100
UK001,UK091,12,Anas crecca,0.86416,51.8251,716,-3.637,53.3211,10154
DK053,UK077,12,Anas crecca,8.4,55.4333,4370,0.29,52.9366,69908
UK001,UK017,12,Anas crecca,0.86416,51.8251,716,-1.9605,50.7618,10577
RU051,UK001,12,Anas crecca,31.75,58.25,250000,0.86416,51.8251,716
NL039,NL040,12,Anas crecca,5.75,52.6,3900,5.9667,52.6333,2180
FR051,NL096,12,Anas crecca,1.7,50.2667,5550,5.1,51.65,4090
FR051,NL044,12,Anas crecca,1.7,50.2667,5550,5.2,52.3167,2670
DK053,UK066,11,Anas crecca,8.4,55.4333,4370,1.16533,51.9566,3670
NL002,NL013,11,Anas crecca,4.9,53.1333,1600,4.7667,52.9167,6000
FR062,UK001,11,Anas crecca,1.5667,50.5333,5050,0.86416,51.8251,716
FR051,NL094,11,Anas crecca,1.7,50.2667,5550,5.8333,52.1667,91800
UK001,UK052,11,Anas crecca,0.86416,51.8251,716,-0.759,50.7648,627
NL025,NL051,11,Anas crecca,4.5,51.7,4300,4.8333,51.7667,9050
DK001,UK001,11,Anas crecca,9.5833,57.0333,18530,0.86416,51.8251,716
FR045,NL001,11,Anas crecca,0.3,49.4333,21100,5.3833,53.3,272100
FR032,UK001,11,Anas crecca,-0.8167,46.4333,18700,0.86416,51.8251,716
FR045,NL044,10,Anas crecca,0.3,49.4333,21100,5.2,52.3167,2670
UK001,UK004,10,Anas crecca,0.86416,51.8251,716,0.06816,51.0611,3197
NL040,NL051,10,Anas crecca,5.9667,52.6333,2180,4.8333,51.7667,9050
DK075,UK001,10,Anas crecca,10.5667,55.5,5060,0.86416,51.8251,716
BE017,FI028,10,Anas crecca,4.9333,51.1833,91,25.1667,64.9167,81781
DE058,UK001,10,Anas crecca,8.16666,53.55,235071,0.86416,51.8251,716
CH005,CH014,10,Anas crecca,8.5667,47.5333,22700,9.0667,47.65,530
DK008,DK053,10,Anas crecca,9.1667,57.0333,1660,8.4,55.4333,4370
NL013,NL038,10,Anas crecca,4.7667,52.9167,6000,5.25,52.5333,69700
DK053,UK040,10,Anas crecca,8.4,55.4333,4370,0.66433,51.3996,4668
NL002,UK047,10,Anas crecca,4.9,53.1333,1600,0.741,52.9741,7831
DK089,DK111,10,Anas crecca,12.25,55.0833,24640,12.5333,55.5833,6210
