iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
BE017,NL096,49,Anas penelope,4.9333,51.1833,91,5.1,51.65,4090
UK016,UK066,31,Anas penelope,1.34416,52.0423,977,1.16533,51.9566,3670
NL002,NL094,20,Anas penelope,4.9,53.1333,1600,5.8333,52.1667,91800
UK001,UK042,20,Anas penelope,0.86416,51.8251,716,0.9595,51.6721,22856
BE017,FR045,20,Anas penelope,4.9333,51.1833,91,0.3,49.4333,21100
BE017,FR051,17,Anas penelope,4.9333,51.1833,91,1.7,50.2667,5550
NL077,NL079,15,Anas penelope,4.7833,52.05,1650,4.8,51.9,180
BE017,NL051,14,Anas penelope,4.9333,51.1833,91,4.8333,51.7667,9050
BE017,DE289,13,Anas penelope,4.9333,51.1833,91,8.81666,54.4833,441000
DE289,NL096,9,Anas penelope,8.81666,54.4833,441000,5.1,51.65,4090
BE017,FR060,9,Anas penelope,4.9333,51.1833,91,1.6,50.25,18200
UK002,UK016,8,Anas penelope,1.55616,52.0045,2520,1.34416,52.0423,977
BE017,NL001,8,Anas penelope,4.9333,51.1833,91,5.3833,53.3,272100
NL001,UK001,8,Anas penelope,5.3833,53.3,272100,0.86416,51.8251,716
BE017,UK077,7,Anas penelope,4.9333,51.1833,91,0.29,52.9366,69908
FR051,UK001,6,Anas penelope,1.7,50.2667,5550,0.86416,51.8251,716
BE017,UK040,6,Anas penelope,4.9333,51.1833,91,0.66433,51.3996,4668
BE017,DK075,6,Anas penelope,4.9333,51.1833,91,10.5667,55.5,5060
NL051,NL096,6,Anas penelope,4.8333,51.7667,9050,5.1,51.65,4090
DK110,DK111,6,Anas penelope,12.8333,55.6667,7240,12.5333,55.5833,6210
BE017,NL077,5,Anas penelope,4.9333,51.1833,91,4.7833,52.05,1650
BE011,BE017,5,Anas penelope,4.25,51.3167,7570,4.9333,51.1833,91
BE017,NL038,5,Anas penelope,4.9333,51.1833,91,5.25,52.5333,69700
BE017,FR023,5,Anas penelope,4.9333,51.1833,91,-1.8167,47.2667,21400
FR051,NL096,5,Anas penelope,1.7,50.2667,5550,5.1,51.65,4090
BE017,NL024,5,Anas penelope,4.9333,51.1833,91,4.25,51.7667,10900
BE017,NL056,5,Anas penelope,4.9333,51.1833,91,5.9167,53.0333,1260
