iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
BE017,NL051,13,Anas querquedula,4.9333,51.1833,91,4.8333,51.7667,9050
BE017,FR051,6,Anas querquedula,4.9333,51.1833,91,1.7,50.2667,5550
NL051,NL096,5,Anas querquedula,4.8333,51.7667,9050,5.1,51.65,4090
BE017,IT080,4,Anas querquedula,4.9333,51.1833,91,10.7833,43.7667,2500
BE004,BE005,4,Anas querquedula,3.1833,51.35,230,3.2167,51.25,9349
BE017,IT072,4,Anas querquedula,4.9333,51.1833,91,12.1667,44.6167,44013
BE017,FR045,4,Anas querquedula,4.9333,51.1833,91,0.3,49.4333,21100
IT076,NL051,3,Anas querquedula,12.35,44.25,989,4.8333,51.7667,9050
BE017,NL025,3,Anas querquedula,4.9333,51.1833,91,4.5,51.7,4300
FR239,NL051,3,Anas querquedula,4.6,43.5167,76500,4.8333,51.7667,9050
IT073,NL051,3,Anas querquedula,11.8333,44.5667,2000,4.8333,51.7667,9050
FR023,UK001,2,Anas querquedula,-1.8167,47.2667,21400,0.86416,51.8251,716
BE017,IT028,2,Anas querquedula,4.9333,51.1833,91,10,45,25000
FR061,UK001,2,Anas querquedula,3.4333,50.4333,11150,0.86416,51.8251,716
IT064,NL079,2,Anas querquedula,12.4667,45.3667,68982,4.8,51.9,180
FR239,UK001,2,Anas querquedula,4.6,43.5167,76500,0.86416,51.8251,716
BE017,IT091,2,Anas querquedula,4.9333,51.1833,91,12.0833,43.15,13200
FR051,UK001,2,Anas querquedula,1.7,50.2667,5550,0.86416,51.8251,716
BE017,IT077,2,Anas querquedula,4.9333,51.1833,91,10.3333,43.85,3795
BE030,UK001,2,Anas querquedula,3.7333,50.4833,13715,0.86416,51.8251,716
BE017,IT020,2,Anas querquedula,4.9333,51.1833,91,8.3833,45.4,500
IT072,NL051,2,Anas querquedula,12.1667,44.6167,44013,4.8333,51.7667,9050
BE017,NL049,2,Anas querquedula,4.9333,51.1833,91,5.6667,51.95,2480
DE301,DK053,2,Anas querquedula,9.73333,53.7666,2300,8.4,55.4333,4370
BE017,FR032,2,Anas querquedula,4.9333,51.1833,91,-0.8167,46.4333,18700
DK008,DK038,2,Anas querquedula,9.1667,57.0333,1660,8.2333,56.35,10890
BE017,FR239,2,Anas querquedula,4.9333,51.1833,91,4.6,43.5167,76500
BE017,FR101,2,Anas querquedula,4.9333,51.1833,91,-1,45.95,5400
FR239,NL001,2,Anas querquedula,4.6,43.5167,76500,5.3833,53.3,272100
IT080,NL079,2,Anas querquedula,10.7833,43.7667,2500,4.8,51.9,180
FR239,NL079,2,Anas querquedula,4.6,43.5167,76500,4.8,51.9,180
FR239,NL094,2,Anas querquedula,4.6,43.5167,76500,5.8333,52.1667,91800
FR159,NL079,2,Anas querquedula,5.0167,46.0333,79800,4.8,51.9,180
NL077,NL079,2,Anas querquedula,4.7833,52.05,1650,4.8,51.9,180
IT205,NL051,2,Anas querquedula,8.4833,39.8667,22595,4.8333,51.7667,9050
IT077,NL096,2,Anas querquedula,10.3333,43.85,3795,5.1,51.65,4090
FR051,NL051,2,Anas querquedula,1.7,50.2667,5550,4.8333,51.7667,9050
BE017,IT061,2,Anas querquedula,4.9333,51.1833,91,12.9167,45.65,2200
BE003,NL094,2,Anas querquedula,2.8333,51,5100,5.8333,52.1667,91800
NL039,NL051,2,Anas querquedula,5.75,52.6,3900,4.8333,51.7667,9050
FR051,LV018,1,Anas querquedula,1.7,50.2667,5550,23.1833,57.2333,120000
BE005,BE006,1,Anas querquedula,3.2167,51.25,9349,3.35,51.3333,1820
BE003,IT062,1,Anas querquedula,2.8333,51,5100,13.3167,45.75,32815
IT070,NL034,1,Anas querquedula,12.2667,44.9333,17000,5.45,52.75,109000
IT039,UK001,1,Anas querquedula,10.2333,44.1,16800,0.86416,51.8251,716
FR234,NL051,1,Anas querquedula,4.3,43.6333,19300,4.8333,51.7667,9050
BE018,NL020,1,Anas querquedula,5,51.3833,7075,3.5833,51.7167,107000
FR213,NL051,1,Anas querquedula,3.1333,43.1667,10400,4.8333,51.7667,9050
BE014,FR023,1,Anas querquedula,4.5667,51.3833,4100,-1.8167,47.2667,21400
BE007,NL051,1,Anas querquedula,3.6667,51.25,780,4.8333,51.7667,9050
FR152,UK001,1,Anas querquedula,3.6,46.6,22000,0.86416,51.8251,716
IT009,NL051,1,Anas querquedula,8.6667,45.9167,21600,4.8333,51.7667,9050
LV018,SE055,1,Anas querquedula,23.1833,57.2333,120000,16.4,56.2,1610
FR064,NL051,1,Anas querquedula,1.5833,50.8667,8950,4.8333,51.7667,9050
BE003,IT071,1,Anas querquedula,2.8333,51,5100,12.25,44.7833,7081
BE017,RO019,1,Anas querquedula,4.9333,51.1833,91,24.15,46.6333,520
LV018,PL033,1,Anas querquedula,23.1833,57.2333,120000,16.4167,52.9667,10000
BE017,FR100,1,Anas querquedula,4.9333,51.1833,91,5.3333,46.9833,11850
FR239,IT018,1,Anas querquedula,4.6,43.5167,76500,8.85,45.55,25000
NL044,NL090,1,Anas querquedula,5.2,52.3167,2670,6.0833,52.6167,1480
BE018,FR227,1,Anas querquedula,5,51.3833,7075,3.6,43.3667,800
BE003,BE017,1,Anas querquedula,2.8333,51,5100,4.9333,51.1833,91
LV016,LV018,1,Anas querquedula,22.2666,57.3166,7244,23.1833,57.2333,120000
BE005,FR220,1,Anas querquedula,3.2167,51.25,9349,3.9667,43.5333,12700
IT073,UK001,1,Anas querquedula,11.8333,44.5667,2000,0.86416,51.8251,716
BE017,IT094,1,Anas querquedula,4.9333,51.1833,91,12.8667,43.0167,500
NL045,UK001,1,Anas querquedula,5.3167,52.2833,1340,0.86416,51.8251,716
BE017,BG031,1,Anas querquedula,4.9333,51.1833,91,26.5641,44.0255,80
LV018,LV052,1,Anas querquedula,23.1833,57.2333,120000,26.8666,56.7333,21338
BE017,CZ008,1,Anas querquedula,4.9333,51.1833,91,14.7667,49,73251
