iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DE160,NL048,385,Anser albifrons,6.4,51.7666,48295,6.0333,51.8833,6460
NL001,NL034,230,Anser albifrons,5.3833,53.3,272100,5.45,52.75,109000
NL001,NL056,144,Anser albifrons,5.3833,53.3,272100,5.9167,53.0333,1260
NL015,NL056,138,Anser albifrons,6.2167,53.3667,7820,5.9167,53.0333,1260
NL048,NL049,134,Anser albifrons,6.0333,51.8833,6460,5.6667,51.95,2480
NL034,NL056,121,Anser albifrons,5.45,52.75,109000,5.9167,53.0333,1260
BE004,BE005,107,Anser albifrons,3.1833,51.35,230,3.2167,51.25,9349
NL048,NL094,101,Anser albifrons,6.0333,51.8833,6460,5.8333,52.1667,91800
BE017,NL048,89,Anser albifrons,4.9333,51.1833,91,6.0333,51.8833,6460
NL034,NL094,86,Anser albifrons,5.45,52.75,109000,5.8333,52.1667,91800
NL009,NL015,84,Anser albifrons,6.05,53.45,720,6.2167,53.3667,7820
NL048,NL050,79,Anser albifrons,6.0333,51.8833,6460,5.5333,51.9,5940
NL049,NL050,74,Anser albifrons,5.6667,51.95,2480,5.5333,51.9,5940
BE017,NL050,73,Anser albifrons,4.9333,51.1833,91,5.5333,51.9,5940
NL034,NL038,65,Anser albifrons,5.45,52.75,109000,5.25,52.5333,69700
NL034,NL048,62,Anser albifrons,5.45,52.75,109000,6.0333,51.8833,6460
NL038,NL094,61,Anser albifrons,5.25,52.5333,69700,5.8333,52.1667,91800
NL055,NL056,58,Anser albifrons,5.9167,53.1167,2500,5.9167,53.0333,1260
DE151,NL048,54,Anser albifrons,12.2666,52.75,16775,6.0333,51.8833,6460
NL034,NL058,51,Anser albifrons,5.45,52.75,109000,5.7667,53.0167,1670
DE151,NL034,51,Anser albifrons,12.2666,52.75,16775,5.45,52.75,109000
DE063,NL001,49,Anser albifrons,7.33333,53.3166,2080,5.3833,53.3,272100
DE151,DE160,48,Anser albifrons,12.2666,52.75,16775,6.4,51.7666,48295
DE145,DE151,47,Anser albifrons,12.55,52.75,15805,12.2666,52.75,16775
DE160,NL094,47,Anser albifrons,6.4,51.7666,48295,5.8333,52.1667,91800
DE160,NL080,46,Anser albifrons,6.4,51.7666,48295,5.0667,51.8667,610
NL015,NL034,46,Anser albifrons,6.2167,53.3667,7820,5.45,52.75,109000
DE063,NL056,45,Anser albifrons,7.33333,53.3166,2080,5.9167,53.0333,1260
DE063,NL048,44,Anser albifrons,7.33333,53.3166,2080,6.0333,51.8833,6460
NL040,NL056,44,Anser albifrons,5.9667,52.6333,2180,5.9167,53.0333,1260
NL025,NL048,44,Anser albifrons,4.5,51.7,4300,6.0333,51.8833,6460
NL001,NL048,43,Anser albifrons,5.3833,53.3,272100,6.0333,51.8833,6460
DE304,NL056,43,Anser albifrons,12.9,54.4333,203810,5.9167,53.0333,1260
NL001,NL094,42,Anser albifrons,5.3833,53.3,272100,5.8333,52.1667,91800
NL038,NL073,41,Anser albifrons,5.25,52.5333,69700,5.0833,52.2167,7040
NL049,NL094,40,Anser albifrons,5.6667,51.95,2480,5.8333,52.1667,91800
DE160,NL034,39,Anser albifrons,6.4,51.7666,48295,5.45,52.75,109000
DE063,DE068,39,Anser albifrons,7.33333,53.3166,2080,7.3,53.25,15521
DE160,NL050,37,Anser albifrons,6.4,51.7666,48295,5.5333,51.9,5940
DE106,DE319,37,Anser albifrons,10.75,53.3,53919,11.0166,53.3166,41730
DE137,DE160,36,Anser albifrons,12.6666,52.4666,41874,6.4,51.7666,48295
DE137,DE151,35,Anser albifrons,12.6666,52.4666,41874,12.2666,52.75,16775
NL001,NL015,32,Anser albifrons,5.3833,53.3,272100,6.2167,53.3667,7820
DE137,NL048,31,Anser albifrons,12.6666,52.4666,41874,6.0333,51.8833,6460
BE017,NL051,31,Anser albifrons,4.9333,51.1833,91,4.8333,51.7667,9050
NL048,NL056,30,Anser albifrons,6.0333,51.8833,6460,5.9167,53.0333,1260
NL056,NL094,30,Anser albifrons,5.9167,53.0333,1260,5.8333,52.1667,91800
NL020,NL028,30,Anser albifrons,3.5833,51.7167,107000,3.9333,51.5833,36880
DE044,NL056,29,Anser albifrons,13.5166,54.2166,103155,5.9167,53.0333,1260
NL001,NL038,29,Anser albifrons,5.3833,53.3,272100,5.25,52.5333,69700
NL038,NL048,28,Anser albifrons,5.25,52.5333,69700,6.0333,51.8833,6460
DE160,NL001,28,Anser albifrons,6.4,51.7666,48295,5.3833,53.3,272100
DE070,DE106,28,Anser albifrons,11.2333,53.05,8023,10.75,53.3,53919
NL034,NL055,28,Anser albifrons,5.45,52.75,109000,5.9167,53.1167,2500
BE017,NL034,27,Anser albifrons,4.9333,51.1833,91,5.45,52.75,109000
DE063,NL094,26,Anser albifrons,7.33333,53.3166,2080,5.8333,52.1667,91800
DE316,NL056,26,Anser albifrons,12.7333,53.7166,77210,5.9167,53.0333,1260
NL051,NL056,26,Anser albifrons,4.8333,51.7667,9050,5.9167,53.0333,1260
DE063,NL034,26,Anser albifrons,7.33333,53.3166,2080,5.45,52.75,109000
NL045,NL056,26,Anser albifrons,5.3167,52.2833,1340,5.9167,53.0333,1260
NL094,NL107,25,Anser albifrons,5.8333,52.1667,91800,6.1333,52.4,11780
DE063,DE160,25,Anser albifrons,7.33333,53.3166,2080,6.4,51.7666,48295
DE063,DE151,25,Anser albifrons,7.33333,53.3166,2080,12.2666,52.75,16775
DE160,NL056,25,Anser albifrons,6.4,51.7666,48295,5.9167,53.0333,1260
NL056,NL058,25,Anser albifrons,5.9167,53.0333,1260,5.7667,53.0167,1670
BE017,DE160,25,Anser albifrons,4.9333,51.1833,91,6.4,51.7666,48295
BE003,BE005,24,Anser albifrons,2.8333,51,5100,3.2167,51.25,9349
DE137,NL094,24,Anser albifrons,12.6666,52.4666,41874,5.8333,52.1667,91800
NL025,NL094,24,Anser albifrons,4.5,51.7,4300,5.8333,52.1667,91800
DE160,NL028,24,Anser albifrons,6.4,51.7666,48295,3.9333,51.5833,36880
NL073,NL094,23,Anser albifrons,5.0833,52.2167,7040,5.8333,52.1667,91800
DE160,NL049,23,Anser albifrons,6.4,51.7666,48295,5.6667,51.95,2480
