iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL048,NL094,1310,Anser anser,6.0333,51.8833,6460,5.8333,52.1667,91800
NL022,NL023,397,Anser anser,4.05,51.9,1500,4,51.8333,430
DE151,NL038,195,Anser anser,12.2666,52.75,16775,5.25,52.5333,69700
NL038,NL044,171,Anser anser,5.25,52.5333,69700,5.2,52.3167,2670
NL023,NL027,152,Anser anser,4,51.8333,430,4,51.75,13900
DE151,DE304,100,Anser anser,12.2666,52.75,16775,12.9,54.4333,203810
DK109,DK111,100,Anser anser,12.4167,55.8,1290,12.5333,55.5833,6210
DK105,DK109,90,Anser anser,12.0833,55.75,13180,12.4167,55.8,1290
DE137,DE151,89,Anser anser,12.6666,52.4666,41874,12.2666,52.75,16775
DE448,DE468,79,Anser anser,13.7166,51.2666,1131,13.75,51.1666,3085
NL048,NL050,70,Anser anser,6.0333,51.8833,6460,5.5333,51.9,5940
NL015,NL055,66,Anser anser,6.2167,53.3667,7820,5.9167,53.1167,2500
DE468,DE470,65,Anser anser,13.75,51.1666,3085,13.7,51.0666,70
NL023,NL038,56,Anser anser,4,51.8333,430,5.25,52.5333,69700
NL023,NL024,55,Anser anser,4,51.8333,430,4.25,51.7667,10900
DK094,DK109,50,Anser anser,11.3,55.8333,40250,12.4167,55.8,1290
NL015,NL038,46,Anser anser,6.2167,53.3667,7820,5.25,52.5333,69700
NL023,NL028,46,Anser anser,4,51.8333,430,3.9333,51.5833,36880
BE011,NL038,43,Anser anser,4.25,51.3167,7570,5.25,52.5333,69700
DK109,DK130,42,Anser anser,12.4167,55.8,1290,11.4666,55.0666,135300
DK109,DK113,37,Anser anser,12.4167,55.8,1290,12.3333,55.4167,50
NL038,NL071,37,Anser anser,5.25,52.5333,69700,4.9333,52.45,1960
NL055,NL056,36,Anser anser,5.9167,53.1167,2500,5.9167,53.0333,1260
NL024,NL038,35,Anser anser,4.25,51.7667,10900,5.25,52.5333,69700
NL001,NL055,31,Anser anser,5.3833,53.3,272100,5.9167,53.1167,2500
DK008,NL024,30,Anser anser,9.1667,57.0333,1660,4.25,51.7667,10900
NL015,NL056,30,Anser anser,6.2167,53.3667,7820,5.9167,53.0333,1260
