iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DK041,NL034,32,Anser brachyrhynchus,8.15,56.1833,6910,5.45,52.75,109000
DK043,NL060,28,Anser brachyrhynchus,8.25,56,27720,5.6833,53,460
DK041,NL060,27,Anser brachyrhynchus,8.15,56.1833,6910,5.6833,53,460
DK038,DK041,13,Anser brachyrhynchus,8.2333,56.35,10890,8.15,56.1833,6910
UK075,UK077,10,Anser brachyrhynchus,-0.8993,53.6375,3337,0.29,52.9366,69908
DK041,DK043,10,Anser brachyrhynchus,8.15,56.1833,6910,8.25,56,27720
NL001,NL060,9,Anser brachyrhynchus,5.3833,53.3,272100,5.6833,53,460
NL034,NL060,9,Anser brachyrhynchus,5.45,52.75,109000,5.6833,53,460
DK043,NL034,9,Anser brachyrhynchus,8.25,56,27720,5.45,52.75,109000
DK041,NL001,8,Anser brachyrhynchus,8.15,56.1833,6910,5.3833,53.3,272100
DK049,NL060,8,Anser brachyrhynchus,8.3167,55.6,2700,5.6833,53,460
UK039,UK077,7,Anser brachyrhynchus,-2.878,53.6248,120,0.29,52.9366,69908
NL058,NL060,7,Anser brachyrhynchus,5.7667,53.0167,1670,5.6833,53,460
DK041,DK057,7,Anser brachyrhynchus,8.15,56.1833,6910,8.5333,55.2667,115850
UK077,UK117,6,Anser brachyrhynchus,0.29,52.9366,69908,-2.8543,56.2906,69
UK077,UK205,6,Anser brachyrhynchus,0.29,52.9366,69908,-3.0065,55.7085,9812
UK039,UK075,6,Anser brachyrhynchus,-2.878,53.6248,120,-0.8993,53.6375,3337
DK041,DK056,5,Anser brachyrhynchus,8.15,56.1833,6910,8.25,55.7,4270
DK041,NO034,5,Anser brachyrhynchus,8.15,56.1833,6910,11.4167,63.8333,9500
DK041,NL036,4,Anser brachyrhynchus,8.15,56.1833,6910,5.4167,52.9833,1320
DK041,NL058,4,Anser brachyrhynchus,8.15,56.1833,6910,5.7667,53.0167,1670
NL001,NL034,4,Anser brachyrhynchus,5.3833,53.3,272100,5.45,52.75,109000
DK038,NL034,4,Anser brachyrhynchus,8.2333,56.35,10890,5.45,52.75,109000
UK077,UK270,3,Anser brachyrhynchus,0.29,52.9366,69908,-1.9791,57.3328,1012
DK043,NL043,3,Anser brachyrhynchus,8.25,56,27720,5.5833,52.35,2750
UK039,UK205,3,Anser brachyrhynchus,-2.878,53.6248,120,-3.0065,55.7085,9812
DK050,NL060,3,Anser brachyrhynchus,8.15,55.6,6570,5.6833,53,460
UK048,UK077,3,Anser brachyrhynchus,-2.2885,54.6466,146795,0.29,52.9366,69908
DE058,NL060,3,Anser brachyrhynchus,8.16666,53.55,235071,5.6833,53,460
DK013,DK041,3,Anser brachyrhynchus,9,57.05,4870,8.15,56.1833,6910
DK041,NL045,3,Anser brachyrhynchus,8.15,56.1833,6910,5.3167,52.2833,1340
DK008,DK041,3,Anser brachyrhynchus,9.1667,57.0333,1660,8.15,56.1833,6910
DE289,NL060,3,Anser brachyrhynchus,8.81666,54.4833,441000,5.6833,53,460
DK023,DK041,3,Anser brachyrhynchus,8.25,56.75,5490,8.15,56.1833,6910
DE298,NL060,3,Anser brachyrhynchus,8.78333,54.8666,4700,5.6833,53,460
NL034,NL055,3,Anser brachyrhynchus,5.45,52.75,109000,5.9167,53.1167,2500
UK261,UK270,2,Anser brachyrhynchus,-3.487,54.9036,45480,-1.9791,57.3328,1012
DK043,NL055,2,Anser brachyrhynchus,8.25,56,27720,5.9167,53.1167,2500
UK045,UK077,2,Anser brachyrhynchus,-0.0533,52.5833,1505,0.29,52.9366,69908
NL057,NL060,2,Anser brachyrhynchus,6.0833,53.05,670,5.6833,53,460
UK075,UK205,2,Anser brachyrhynchus,-0.8993,53.6375,3337,-3.0065,55.7085,9812
NL015,NL034,2,Anser brachyrhynchus,6.2167,53.3667,7820,5.45,52.75,109000
UK039,UK057,2,Anser brachyrhynchus,-2.878,53.6248,120,-3.0371,53.6618,12408
NL001,NL036,2,Anser brachyrhynchus,5.3833,53.3,272100,5.4167,52.9833,1320
DE298,DK041,2,Anser brachyrhynchus,8.78333,54.8666,4700,8.15,56.1833,6910
NL056,NL060,2,Anser brachyrhynchus,5.9167,53.0333,1260,5.6833,53,460
DE289,NL056,2,Anser brachyrhynchus,8.81666,54.4833,441000,5.9167,53.0333,1260
NL028,NL060,2,Anser brachyrhynchus,3.9333,51.5833,36880,5.6833,53,460
DE058,NL056,2,Anser brachyrhynchus,8.16666,53.55,235071,5.9167,53.0333,1260
NL058,NO045,2,Anser brachyrhynchus,5.7667,53.0167,1670,6.6667,58.0833,1189
DK041,NL075,2,Anser brachyrhynchus,8.15,56.1833,6910,5.4333,52.2333,1460
DK056,NL060,2,Anser brachyrhynchus,8.25,55.7,4270,5.6833,53,460
DK043,NL058,2,Anser brachyrhynchus,8.25,56,27720,5.7667,53.0167,1670
DK038,NL060,2,Anser brachyrhynchus,8.2333,56.35,10890,5.6833,53,460
DK023,NL060,2,Anser brachyrhynchus,8.25,56.75,5490,5.6833,53,460
DK057,NL034,2,Anser brachyrhynchus,8.5333,55.2667,115850,5.45,52.75,109000
NL056,NL058,1,Anser brachyrhynchus,5.9167,53.0333,1260,5.7667,53.0167,1670
NL057,NO022,1,Anser brachyrhynchus,6.0833,53.05,670,15.4167,68.75,20000
NL022,NL056,1,Anser brachyrhynchus,4.05,51.9,1500,5.9167,53.0333,1260
DK041,NL056,1,Anser brachyrhynchus,8.15,56.1833,6910,5.9167,53.0333,1260
DE289,NL045,1,Anser brachyrhynchus,8.81666,54.4833,441000,5.3167,52.2833,1340
NL015,NL040,1,Anser brachyrhynchus,6.2167,53.3667,7820,5.9667,52.6333,2180
DK043,NL042,1,Anser brachyrhynchus,8.25,56,27720,5.6667,52.3833,3390
DK117,NL034,1,Anser brachyrhynchus,9.8333,57.2167,6000,5.45,52.75,109000
DE289,NL075,1,Anser brachyrhynchus,8.81666,54.4833,441000,5.4333,52.2333,1460
DE632,NL060,1,Anser brachyrhynchus,8.96666,53.1166,3371,5.6833,53,460
IS057,UK270,1,Anser brachyrhynchus,-19.7,65.25,7500,-1.9791,57.3328,1012
NL055,NL060,1,Anser brachyrhynchus,5.9167,53.1167,2500,5.6833,53,460
UK077,UK081,1,Anser brachyrhynchus,0.29,52.9366,69908,-3.485,52.8536,24187
DK121,NL060,1,Anser brachyrhynchus,9,57.6666,1600000,5.6833,53,460
UK051,UK077,1,Anser brachyrhynchus,0.17816,52.4586,2490,0.29,52.9366,69908
NL020,NL060,1,Anser brachyrhynchus,3.5833,51.7167,107000,5.6833,53,460
UK039,UK112,1,Anser brachyrhynchus,-2.878,53.6248,120,-1.8115,57.4396,207
NL055,NO020,1,Anser brachyrhynchus,5.9167,53.1167,2500,16,69.1667,17000
UK077,UK233,1,Anser brachyrhynchus,0.29,52.9366,69908,-2.0463,57.6943,154
DK007,NL060,1,Anser brachyrhynchus,10.2167,56.8667,7380,5.6833,53,460
UK117,UK270,1,Anser brachyrhynchus,-2.8543,56.2906,69,-1.9791,57.3328,1012
DK038,NL075,1,Anser brachyrhynchus,8.2333,56.35,10890,5.4333,52.2333,1460
UK075,UK270,1,Anser brachyrhynchus,-0.8993,53.6375,3337,-1.9791,57.3328,1012
NL060,UK112,1,Anser brachyrhynchus,5.6833,53,460,-1.8115,57.4396,207
UK112,UK162,1,Anser brachyrhynchus,-1.8115,57.4396,207,-2.3103,55.5763,50
NL034,NL058,1,Anser brachyrhynchus,5.45,52.75,109000,5.7667,53.0167,1670
UK011,UK077,1,Anser brachyrhynchus,1.53716,52.6693,5402,0.29,52.9366,69908
NL025,NL060,1,Anser brachyrhynchus,4.5,51.7,4300,5.6833,53,460
UK049,UK077,1,Anser brachyrhynchus,-0.8706,54.3806,143490,0.29,52.9366,69908
NL034,NO034,1,Anser brachyrhynchus,5.45,52.75,109000,11.4167,63.8333,9500
UK077,UK246,1,Anser brachyrhynchus,0.29,52.9366,69908,-3.8343,56.2653,472
DE025,NL060,1,Anser brachyrhynchus,9.4,53.8166,7600,5.6833,53,460
UK048,UK075,1,Anser brachyrhynchus,-2.2885,54.6466,146795,-0.8993,53.6375,3337
NL060,NL063,1,Anser brachyrhynchus,5.6833,53,460,5.9167,52.85,1920
UK162,UK205,1,Anser brachyrhynchus,-2.3103,55.5763,50,-3.0065,55.7085,9812
DE298,NL034,1,Anser brachyrhynchus,8.78333,54.8666,4700,5.45,52.75,109000
UK117,UK205,1,Anser brachyrhynchus,-2.8543,56.2906,69,-3.0065,55.7085,9812
DK050,NL056,1,Anser brachyrhynchus,8.15,55.6,6570,5.9167,53.0333,1260
UK057,UK205,1,Anser brachyrhynchus,-3.0371,53.6618,12408,-3.0065,55.7085,9812
NL060,NO034,1,Anser brachyrhynchus,5.6833,53,460,11.4167,63.8333,9500
UK205,UK270,1,Anser brachyrhynchus,-3.0065,55.7085,9812,-1.9791,57.3328,1012
NL009,NL060,1,Anser brachyrhynchus,6.05,53.45,720,5.6833,53,460
DK014,DK041,1,Anser brachyrhynchus,9.1667,56.6667,7590,8.15,56.1833,6910
DK110,NL060,1,Anser brachyrhynchus,12.8333,55.6667,7240,5.6833,53,460
BE001,DK041,1,Anser brachyrhynchus,2.75,51.2,17000,8.15,56.1833,6910
NL010,NL060,1,Anser brachyrhynchus,6.25,53.5,2800,5.6833,53,460
DK041,NL020,1,Anser brachyrhynchus,8.15,56.1833,6910,3.5833,51.7167,107000
DK057,NL060,1,Anser brachyrhynchus,8.5333,55.2667,115850,5.6833,53,460
DK038,DK043,1,Anser brachyrhynchus,8.2333,56.35,10890,8.25,56,27720
DK057,NL056,1,Anser brachyrhynchus,8.5333,55.2667,115850,5.9167,53.0333,1260
BE003,DK041,1,Anser brachyrhynchus,2.8333,51,5100,8.15,56.1833,6910
DK049,NL034,1,Anser brachyrhynchus,8.3167,55.6,2700,5.45,52.75,109000
BE005,DK041,1,Anser brachyrhynchus,3.2167,51.25,9349,8.15,56.1833,6910
NL034,NL038,1,Anser brachyrhynchus,5.45,52.75,109000,5.25,52.5333,69700
DK041,NO037,1,Anser brachyrhynchus,8.15,56.1833,6910,10.2167,63.3333,330
DK013,NL034,1,Anser brachyrhynchus,9,57.05,4870,5.45,52.75,109000
DK038,DK057,1,Anser brachyrhynchus,8.2333,56.35,10890,8.5333,55.2667,115850
NL034,NL056,1,Anser brachyrhynchus,5.45,52.75,109000,5.9167,53.0333,1260
UK077,UK112,1,Anser brachyrhynchus,0.29,52.9366,69908,-1.8115,57.4396,207
NL034,NL045,1,Anser brachyrhynchus,5.45,52.75,109000,5.3167,52.2833,1340
DK013,DK038,1,Anser brachyrhynchus,9,57.05,4870,8.2333,56.35,10890
FR051,NL060,1,Anser brachyrhynchus,1.7,50.2667,5550,5.6833,53,460
DK013,UK074,1,Anser brachyrhynchus,9,57.05,4870,1.3755,51.3073,2601
DK023,NL056,1,Anser brachyrhynchus,8.25,56.75,5490,5.9167,53.0333,1260
DK041,NL019,1,Anser brachyrhynchus,8.15,56.1833,6910,4.7,52.8167,600
NL024,NL060,1,Anser brachyrhynchus,4.25,51.7667,10900,5.6833,53,460
DE307,DK041,1,Anser brachyrhynchus,13.4333,54.5,21790,8.15,56.1833,6910
DK043,NL054,1,Anser brachyrhynchus,8.25,56,27720,5.8667,53.2167,600
UK077,UK195,1,Anser brachyrhynchus,0.29,52.9366,69908,-3.7015,57.5423,1821
NL060,NL068,1,Anser brachyrhynchus,5.6833,53,460,4.85,52.5667,2040
DK041,DK051,1,Anser brachyrhynchus,8.15,56.1833,6910,8.7,55.3333,6660
NL034,NL041,1,Anser brachyrhynchus,5.45,52.75,109000,5.85,52.5,640
DK037,DK041,1,Anser brachyrhynchus,8.6833,55.9167,4760,8.15,56.1833,6910
NL032,NL060,1,Anser brachyrhynchus,3.8333,51.3833,50800,5.6833,53,460
UK112,UK270,1,Anser brachyrhynchus,-1.8115,57.4396,207,-1.9791,57.3328,1012
NL001,NL056,1,Anser brachyrhynchus,5.3833,53.3,272100,5.9167,53.0333,1260
NL024,NL034,1,Anser brachyrhynchus,4.25,51.7667,10900,5.45,52.75,109000
NL034,NL063,1,Anser brachyrhynchus,5.45,52.75,109000,5.9167,52.85,1920
NL043,NL079,1,Anser brachyrhynchus,5.5833,52.35,2750,4.8,51.9,180
DK051,NL043,1,Anser brachyrhynchus,8.7,55.3333,6660,5.5833,52.35,2750
