iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
FI034,SE063,78,Anser fabalis,27.1333,65.1333,27610,14.15,56.0167,5300
SE033,SE063,78,Anser fabalis,15.3667,59.1667,800,14.15,56.0167,5300
SE059,SE062,66,Anser fabalis,12.8333,55.8667,20000,13.6167,55.6167,3975
SE062,SE063,59,Anser fabalis,13.6167,55.6167,3975,14.15,56.0167,5300
FI034,SE062,45,Anser fabalis,27.1333,65.1333,27610,13.6167,55.6167,3975
FI034,SE059,43,Anser fabalis,27.1333,65.1333,27610,12.8333,55.8667,20000
FI034,SE033,41,Anser fabalis,27.1333,65.1333,27610,15.3667,59.1667,800
SE033,SE062,33,Anser fabalis,15.3667,59.1667,800,13.6167,55.6167,3975
SE059,SE060,31,Anser fabalis,12.8333,55.8667,20000,13.0063,55.6881,5600
SE059,SE063,28,Anser fabalis,12.8333,55.8667,20000,14.15,56.0167,5300
SE053,SE063,27,Anser fabalis,14.7,56.6667,13500,14.15,56.0167,5300
SE041,SE063,19,Anser fabalis,13.9,58.5667,1020,14.15,56.0167,5300
SE060,SE062,16,Anser fabalis,13.0063,55.6881,5600,13.6167,55.6167,3975
SE033,SE059,16,Anser fabalis,15.3667,59.1667,800,12.8333,55.8667,20000
SE033,SE053,15,Anser fabalis,15.3667,59.1667,800,14.7,56.6667,13500
FI034,SE071,15,Anser fabalis,27.1333,65.1333,27610,13.6166,55.3833,9160
FI034,SE060,13,Anser fabalis,27.1333,65.1333,27610,13.0063,55.6881,5600
NL044,NL045,11,Anser fabalis,5.2,52.3167,2670,5.3167,52.2833,1340
SE033,SE060,11,Anser fabalis,15.3667,59.1667,800,13.0063,55.6881,5600
NL045,PL032,11,Anser fabalis,5.3167,52.2833,1340,14.7167,52.5667,4244
SE053,SE062,10,Anser fabalis,14.7,56.6667,13500,13.6167,55.6167,3975
DE151,DE413,9,Anser fabalis,12.2666,52.75,16775,12.4166,53,1277
FI034,SE053,8,Anser fabalis,27.1333,65.1333,27610,14.7,56.6667,13500
NL045,NL048,8,Anser fabalis,5.3167,52.2833,1340,6.0333,51.8833,6460
SE016,SE063,8,Anser fabalis,16.35,59.8833,1870,14.15,56.0167,5300
DE130,DE151,7,Anser fabalis,11.9666,51.8333,2171,12.2666,52.75,16775
SE041,SE062,7,Anser fabalis,13.9,58.5667,1020,13.6167,55.6167,3975
NL042,NL045,6,Anser fabalis,5.6667,52.3833,3390,5.3167,52.2833,1340
SE059,SE071,6,Anser fabalis,12.8333,55.8667,20000,13.6166,55.3833,9160
NL034,NL045,6,Anser fabalis,5.45,52.75,109000,5.3167,52.2833,1340
SE053,SE059,6,Anser fabalis,14.7,56.6667,13500,12.8333,55.8667,20000
NL045,NL051,6,Anser fabalis,5.3167,52.2833,1340,4.8333,51.7667,9050
FI034,SE041,6,Anser fabalis,27.1333,65.1333,27610,13.9,58.5667,1020
DK110,SE062,6,Anser fabalis,12.8333,55.6667,7240,13.6167,55.6167,3975
SE031,SE033,6,Anser fabalis,15.0333,59.3,600,15.3667,59.1667,800
DE137,NL045,5,Anser fabalis,12.6666,52.4666,41874,5.3167,52.2833,1340
SE023,SE059,5,Anser fabalis,17.3667,59.6667,820,12.8333,55.8667,20000
NL043,NL044,5,Anser fabalis,5.5833,52.35,2750,5.2,52.3167,2670
DK091,DK093,5,Anser fabalis,11.8333,55.3333,1900,11.5833,55.3667,1960
NL051,NL075,5,Anser fabalis,4.8333,51.7667,9050,5.4333,52.2333,1460
FI017,SE059,5,Anser fabalis,27.7,67.0833,38294,12.8333,55.8667,20000
DE151,DE205,5,Anser fabalis,12.2666,52.75,16775,14.5333,51.3166,35000
SE062,SE071,5,Anser fabalis,13.6167,55.6167,3975,13.6166,55.3833,9160
SE023,SE062,5,Anser fabalis,17.3667,59.6667,820,13.6167,55.6167,3975
SE041,SE059,5,Anser fabalis,13.9,58.5667,1020,12.8333,55.8667,20000
SE022,SE033,5,Anser fabalis,17.8333,60.3,16500,15.3667,59.1667,800
FI013,SE062,5,Anser fabalis,28.6333,67.0833,10318,13.6167,55.6167,3975
NL043,NL045,4,Anser fabalis,5.5833,52.35,2750,5.3167,52.2833,1340
SE063,SE071,4,Anser fabalis,14.15,56.0167,5300,13.6166,55.3833,9160
NL026,NL043,4,Anser fabalis,4.25,51.65,6450,5.5833,52.35,2750
SE061,SE063,4,Anser fabalis,12.9167,55.4167,20000,14.15,56.0167,5300
NL041,NL043,4,Anser fabalis,5.85,52.5,640,5.5833,52.35,2750
FI013,SE033,4,Anser fabalis,28.6333,67.0833,10318,15.3667,59.1667,800
NL041,NL045,4,Anser fabalis,5.85,52.5,640,5.3167,52.2833,1340
FI009,SE062,4,Anser fabalis,25.5,67.5,21035,13.6167,55.6167,3975
NL043,NL051,4,Anser fabalis,5.5833,52.35,2750,4.8333,51.7667,9050
SE061,SE062,4,Anser fabalis,12.9167,55.4167,20000,13.6167,55.6167,3975
DE304,NL043,4,Anser fabalis,12.9,54.4333,203810,5.5833,52.35,2750
SE041,SE060,4,Anser fabalis,13.9,58.5667,1020,13.0063,55.6881,5600
DE049,NL075,4,Anser fabalis,12.2833,53.5333,45850,5.4333,52.2333,1460
FI017,SE053,4,Anser fabalis,27.7,67.0833,38294,14.7,56.6667,13500
DE138,NL045,4,Anser fabalis,12.8833,52.75,58614,5.3167,52.2833,1340
NL051,NL096,4,Anser fabalis,4.8333,51.7667,9050,5.1,51.65,4090
DE043,NL043,4,Anser fabalis,11.6166,53.7833,74800,5.5833,52.35,2750
NL045,NL073,4,Anser fabalis,5.3167,52.2833,1340,5.0833,52.2167,7040
DE304,NL045,4,Anser fabalis,12.9,54.4333,203810,5.3167,52.2833,1340
SE041,SE053,3,Anser fabalis,13.9,58.5667,1020,14.7,56.6667,13500
NL041,NL075,3,Anser fabalis,5.85,52.5,640,5.4333,52.2333,1460
DK093,SE059,3,Anser fabalis,11.5833,55.3667,1960,12.8333,55.8667,20000
NL028,NL043,3,Anser fabalis,3.9333,51.5833,36880,5.5833,52.35,2750
SE016,SE062,3,Anser fabalis,16.35,59.8833,1870,13.6167,55.6167,3975
NL043,RU018,3,Anser fabalis,5.5833,52.35,2750,35.5,64.5,200000
