iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL038,NL068,177,Ardea cinerea,5.25,52.5333,69700,4.85,52.5667,2040
NL034,NL068,61,Ardea cinerea,5.45,52.75,109000,4.85,52.5667,2040
NL068,NL071,52,Ardea cinerea,4.85,52.5667,2040,4.9333,52.45,1960
NL019,NL068,43,Ardea cinerea,4.7,52.8167,600,4.85,52.5667,2040
NL068,NL092,42,Ardea cinerea,4.85,52.5667,2040,4.6667,52.7,2500
NL019,NL034,37,Ardea cinerea,4.7,52.8167,600,5.45,52.75,109000
DK017,DK023,32,Ardea cinerea,8.4167,56.95,1430,8.25,56.75,5490
NL013,NL019,32,Ardea cinerea,4.7667,52.9167,6000,4.7,52.8167,600
DK001,DK008,30,Ardea cinerea,9.5833,57.0333,18530,9.1667,57.0333,1660
NL034,NL038,30,Ardea cinerea,5.45,52.75,109000,5.25,52.5333,69700
NL038,NL071,27,Ardea cinerea,5.25,52.5333,69700,4.9333,52.45,1960
NL013,NL068,21,Ardea cinerea,4.7667,52.9167,6000,4.85,52.5667,2040
DK013,DK023,18,Ardea cinerea,9,57.05,4870,8.25,56.75,5490
BE003,BE005,17,Ardea cinerea,2.8333,51,5100,3.2167,51.25,9349
DE289,DK063,17,Ardea cinerea,8.81666,54.4833,441000,9.05,54.9,2690
NL001,NL068,17,Ardea cinerea,5.3833,53.3,272100,4.85,52.5667,2040
DK021,DK023,17,Ardea cinerea,8.5,56.8667,750,8.25,56.75,5490
NL068,NL070,17,Ardea cinerea,4.85,52.5667,2040,4.8333,52.5167,1940
DK023,DK128,16,Ardea cinerea,8.25,56.75,5490,11,57.2,580000
DK008,DK023,16,Ardea cinerea,9.1667,57.0333,1660,8.25,56.75,5490
DK029,DK042,15,Ardea cinerea,8.8333,56.5,830,8.9667,56.3167,120
NL019,NL092,14,Ardea cinerea,4.7,52.8167,600,4.6667,52.7,2500
NL052,NL053,14,Ardea cinerea,6.4333,53.1833,1450,6.6833,53.1333,2100
DK001,DK023,13,Ardea cinerea,9.5833,57.0333,18530,8.25,56.75,5490
NL051,NL068,13,Ardea cinerea,4.8333,51.7667,9050,4.85,52.5667,2040
DK023,DK038,13,Ardea cinerea,8.25,56.75,5490,8.2333,56.35,10890
DE205,DE449,13,Ardea cinerea,14.5333,51.3166,35000,14.1166,51.3333,870
DK023,DK043,12,Ardea cinerea,8.25,56.75,5490,8.25,56,27720
CH004,CH011,12,Ardea cinerea,7.1833,46.9667,16100,6.9167,46.8667,6800
DK008,DK019,12,Ardea cinerea,9.1667,57.0333,1660,8.7833,57,460
NL013,NL034,12,Ardea cinerea,4.7667,52.9167,6000,5.45,52.75,109000
DK023,DK024,12,Ardea cinerea,8.25,56.75,5490,9.3333,56.55,4260
NL054,NL055,12,Ardea cinerea,5.8667,53.2167,600,5.9167,53.1167,2500
NL068,NL089,12,Ardea cinerea,4.85,52.5667,2040,4.55,52.1167,770
