iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL073,NL076,10,Ardea purpurea,5.0833,52.2167,7040,4.7833,52.15,2000
NL076,NL078,8,Ardea purpurea,4.7833,52.15,2000,5,51.95,140
NL051,NL076,7,Ardea purpurea,4.8333,51.7667,9050,4.7833,52.15,2000
FR051,NL076,6,Ardea purpurea,1.7,50.2667,5550,4.7833,52.15,2000
NL076,NL079,6,Ardea purpurea,4.7833,52.15,2000,4.8,51.9,180
ES147,ES148,5,Ardea purpurea,0.25,40.8333,107000,0.7333,40.7167,32000
NL076,NL077,5,Ardea purpurea,4.7833,52.15,2000,4.7833,52.05,1650
NL044,NL076,5,Ardea purpurea,5.2,52.3167,2670,4.7833,52.15,2000
NL040,NL065,4,Ardea purpurea,5.9667,52.6333,2180,6.05,52.7,9400
CH002,FR172,3,Ardea purpurea,6.7333,46.9667,23200,5.9833,46.2333,12400
NL075,NL076,3,Ardea purpurea,5.4333,52.2333,1460,4.7833,52.15,2000
CH002,CH004,3,Ardea purpurea,6.7333,46.9667,23200,7.1833,46.9667,16100
FR234,NL076,3,Ardea purpurea,4.3,43.6333,19300,4.7833,52.15,2000
FR045,NL076,3,Ardea purpurea,0.3,49.4333,21100,4.7833,52.15,2000
FR159,NL076,3,Ardea purpurea,5.0167,46.0333,79800,4.7833,52.15,2000
BE001,NL076,3,Ardea purpurea,2.75,51.2,17000,4.7833,52.15,2000
NL039,NL040,3,Ardea purpurea,5.75,52.6,3900,5.9667,52.6333,2180
NL045,NL076,3,Ardea purpurea,5.3167,52.2833,1340,4.7833,52.15,2000
AT002,AT003,2,Ardea purpurea,16.9666,47.95,26839,16.8333,47.75,13995
NL039,NL065,2,Ardea purpurea,5.75,52.6,3900,6.05,52.7,9400
CH002,FR171,2,Ardea purpurea,6.7333,46.9667,23200,5.7667,45.8,9350
NL051,NL078,2,Ardea purpurea,4.8333,51.7667,9050,5,51.95,140
HU004,IT153,2,Ardea purpurea,17.2166,46.6666,12072,15.5167,38.2167,17100
FR062,NL076,2,Ardea purpurea,1.5667,50.5333,5050,4.7833,52.15,2000
FR058,NL076,2,Ardea purpurea,3.8167,49.6333,4950,4.7833,52.15,2000
IT039,NL076,2,Ardea purpurea,10.2333,44.1,16800,4.7833,52.15,2000
NL024,NL076,2,Ardea purpurea,4.25,51.7667,10900,4.7833,52.15,2000
NL039,NL041,2,Ardea purpurea,5.75,52.6,3900,5.85,52.5,640
BE011,NL076,2,Ardea purpurea,4.25,51.3167,7570,4.7833,52.15,2000
BE003,NL076,2,Ardea purpurea,2.8333,51,5100,4.7833,52.15,2000
NL039,NL076,2,Ardea purpurea,5.75,52.6,3900,4.7833,52.15,2000
BE018,NL076,2,Ardea purpurea,5,51.3833,7075,4.7833,52.15,2000
HR001,HU004,2,Ardea purpurea,18.8333,45.6667,37111,17.2166,46.6666,12072
FR191,NL076,2,Ardea purpurea,-1.6,43.2667,1500,4.7833,52.15,2000
DE161,NL076,2,Ardea purpurea,7.13333,51.8,7349,4.7833,52.15,2000
NL076,PT038,2,Ardea purpurea,4.7833,52.15,2000,-7.55,40.4166,99870
BA001,HU004,1,Ardea purpurea,17.7667,43.05,6144,17.2166,46.6666,12072
NL034,NL040,1,Ardea purpurea,5.45,52.75,109000,5.9667,52.6333,2180
DE552,NL065,1,Ardea purpurea,9.58333,48.6666,36690,6.05,52.7,9400
BE008,NL039,1,Ardea purpurea,3.6833,51.0667,213,5.75,52.6,3900
NL049,NL065,1,Ardea purpurea,5.6667,51.95,2480,6.05,52.7,9400
FR040,NL065,1,Ardea purpurea,-0.15,49.3667,23100,6.05,52.7,9400
BE004,NL065,1,Ardea purpurea,3.1833,51.35,230,6.05,52.7,9400
ES222,NL073,1,Ardea purpurea,-3.1667,37.0833,245000,5.0833,52.2167,7040
ES076,NL040,1,Ardea purpurea,-3.8667,40.8333,55000,5.9667,52.6333,2180
IT047,NL076,1,Ardea purpurea,12.55,46.2667,63000,4.7833,52.15,2000
NL065,NL107,1,Ardea purpurea,6.05,52.7,9400,6.1333,52.4,11780
FR158,NL076,1,Ardea purpurea,3.3,45.85,5500,4.7833,52.15,2000
DE338,NL065,1,Ardea purpurea,7.2,52.4333,1680,6.05,52.7,9400
FR116,NL076,1,Ardea purpurea,0.0667,46.9,6550,4.7833,52.15,2000
ES124,NL065,1,Ardea purpurea,-0.4167,42.6667,21000,6.05,52.7,9400
ES168,NL076,1,Ardea purpurea,-0.9167,38,24000,4.7833,52.15,2000
IT054,NL065,1,Ardea purpurea,11.8,45.8833,40000,6.05,52.7,9400
IT080,NL076,1,Ardea purpurea,10.7833,43.7667,2500,4.7833,52.15,2000
NL065,NL094,1,Ardea purpurea,6.05,52.7,9400,5.8333,52.1667,91800
FR024,NL076,1,Ardea purpurea,-1.6667,47.0833,5600,4.7833,52.15,2000
