iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
PL012,PL013,26,Arenaria interpres,18.6167,54.5667,56000,18.95,54.35,485
NL020,NL028,25,Arenaria interpres,3.5833,51.7167,107000,3.9333,51.5833,36880
UK047,UK077,14,Arenaria interpres,0.741,52.9741,7831,0.29,52.9366,69908
NL001,NL013,9,Arenaria interpres,5.3833,53.3,272100,4.7667,52.9167,6000
UK025,UK044,6,Arenaria interpres,-2.5158,53.9815,79978,-2.9781,54.104,36859
UK025,UK041,4,Arenaria interpres,-2.5158,53.9815,79978,-2.8301,53.2998,5007
DE043,DE288,3,Arenaria interpres,11.6166,53.7833,74800,11.4333,54.0166,102030
FI083,NL001,3,Arenaria interpres,21.6,61.5333,15441,5.3833,53.3,272100
FR014,SE055,3,Arenaria interpres,-2.7667,47.5667,18800,16.4,56.2,1610
FR051,SE055,3,Arenaria interpres,1.7,50.2667,5550,16.4,56.2,1610
BE001,NL020,3,Arenaria interpres,2.75,51.2,17000,3.5833,51.7167,107000
DE288,PL013,3,Arenaria interpres,11.4333,54.0166,102030,18.95,54.35,485
FR025,SE055,2,Arenaria interpres,-1.9167,46.9,47000,16.4,56.2,1610
FR030,SE055,2,Arenaria interpres,-1.5,47.3,2700,16.4,56.2,1610
DK111,SE055,2,Arenaria interpres,12.5333,55.5833,6210,16.4,56.2,1610
FR114,SE055,2,Arenaria interpres,-0.5167,46.1167,3500,16.4,56.2,1610
FR101,SE055,2,Arenaria interpres,-1,45.95,5400,16.4,56.2,1610
BE001,DE288,2,Arenaria interpres,2.75,51.2,17000,11.4333,54.0166,102030
FI083,FR051,2,Arenaria interpres,21.6,61.5333,15441,1.7,50.2667,5550
NL001,NL092,2,Arenaria interpres,5.3833,53.3,272100,4.6667,52.7,2500
DE304,SE055,2,Arenaria interpres,12.9,54.4333,203810,16.4,56.2,1610
BE004,NL020,2,Arenaria interpres,3.1833,51.35,230,3.5833,51.7167,107000
DK111,FI083,2,Arenaria interpres,12.5333,55.5833,6210,21.6,61.5333,15441
NL013,NL019,2,Arenaria interpres,4.7667,52.9167,6000,4.7,52.8167,600
DE288,NL013,2,Arenaria interpres,11.4333,54.0166,102030,4.7667,52.9167,6000
NL027,NL028,2,Arenaria interpres,4,51.75,13900,3.9333,51.5833,36880
NL001,NO044,2,Arenaria interpres,5.3833,53.3,272100,5.5667,58.8167,13500
NL013,NL092,2,Arenaria interpres,4.7667,52.9167,6000,4.6667,52.7,2500
NO044,UK077,2,Arenaria interpres,5.5667,58.8167,13500,0.29,52.9366,69908
FI045,UK077,2,Arenaria interpres,21.0833,63.3333,223652,0.29,52.9366,69908
PL012,RU224,2,Arenaria interpres,18.6167,54.5667,56000,27.8333,60.4167,410
UK007,UK077,2,Arenaria interpres,0.66666,51.5166,2373,0.29,52.9366,69908
FI047,FR032,2,Arenaria interpres,21.3667,62.1667,1093,-0.8167,46.4333,18700
UK025,UK096,2,Arenaria interpres,-2.5158,53.9815,79978,-4.0421,53.2551,2694
DK111,FI045,2,Arenaria interpres,12.5333,55.5833,6210,21.0833,63.3333,223652
UK025,UK048,2,Arenaria interpres,-2.5158,53.9815,79978,-2.2885,54.6466,146795
FI083,FR064,2,Arenaria interpres,21.6,61.5333,15441,1.5833,50.8667,8950
NO043,UK077,2,Arenaria interpres,5.4167,58.8833,600,0.29,52.9366,69908
DE288,FI046,1,Arenaria interpres,11.4333,54.0166,102030,21.2667,62.0667,7435
FR012,NL010,1,Arenaria interpres,-3.9,48.6667,7900,6.25,53.5,2800
AT055,FI073,1,Arenaria interpres,9.66666,47.4333,3652,27.7167,60.5167,195
ES276,FI083,1,Arenaria interpres,-6.8333,38.8333,79000,21.6,61.5333,15441
DK083,NL001,1,Arenaria interpres,11.7167,54.55,100000,5.3833,53.3,272100
ES276,PL013,1,Arenaria interpres,-6.8333,38.8333,79000,18.95,54.35,485
FI082,FR213,1,Arenaria interpres,24.5,59.9333,11808,3.1333,43.1667,10400
ES254,UK042,1,Arenaria interpres,-5.5667,36.75,2500,0.9595,51.6721,22856
DE291,FI045,1,Arenaria interpres,8.3,54.2,800000,21.0833,63.3333,223652
FI045,UK044,1,Arenaria interpres,21.0833,63.3333,223652,-2.9781,54.104,36859
FI045,FR051,1,Arenaria interpres,21.0833,63.3333,223652,1.7,50.2667,5550
UK041,UK044,1,Arenaria interpres,-2.8301,53.2998,5007,-2.9781,54.104,36859
FI075,PL014,1,Arenaria interpres,26.3333,60.2167,18250,19.4833,54.3167,33000
DK038,UK025,1,Arenaria interpres,8.2333,56.35,10890,-2.5158,53.9815,79978
DE058,FI045,1,Arenaria interpres,8.16666,53.55,235071,21.0833,63.3333,223652
GR092,UK077,1,Arenaria interpres,21.3333,38.3333,50000,0.29,52.9366,69908
