iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
LV018,LV022,50,Aythya ferina,23.1833,57.2333,120000,23.7333,56.9166,3052
LV018,LV023,13,Aythya ferina,23.1833,57.2333,120000,22.3166,56.6,3878
LV004,LV018,13,Aythya ferina,21.05,56.45,4818,23.1833,57.2333,120000
BE030,LV018,11,Aythya ferina,3.7333,50.4833,13715,23.1833,57.2333,120000
UK001,UK042,10,Aythya ferina,0.86416,51.8251,716,0.9595,51.6721,22856
LV018,UK286,10,Aythya ferina,23.1833,57.2333,120000,-5.5831,54.4816,15504
FR234,LV018,9,Aythya ferina,4.3,43.6333,19300,23.1833,57.2333,120000
DK008,DK013,8,Aythya ferina,9.1667,57.0333,1660,9,57.05,4870
FR159,LV018,8,Aythya ferina,5.0167,46.0333,79800,23.1833,57.2333,120000
NL073,NL079,8,Aythya ferina,5.0833,52.2167,7040,4.8,51.9,180
LV018,PL014,8,Aythya ferina,23.1833,57.2333,120000,19.4833,54.3167,33000
UK001,UK066,7,Aythya ferina,0.86416,51.8251,716,1.16533,51.9566,3670
DE307,LV018,7,Aythya ferina,13.4333,54.5,21790,23.1833,57.2333,120000
FR239,LV018,7,Aythya ferina,4.6,43.5167,76500,23.1833,57.2333,120000
LV018,UK273,7,Aythya ferina,23.1833,57.2333,120000,-5.8351,54.6678,6029
UK001,UK073,6,Aythya ferina,0.86416,51.8251,716,0.53333,51.4666,9357
LV007,LV018,6,Aythya ferina,21.9833,56.6833,496,23.1833,57.2333,120000
NL077,NL079,6,Aythya ferina,4.7833,52.05,1650,4.8,51.9,180
FR051,LV018,6,Aythya ferina,1.7,50.2667,5550,23.1833,57.2333,120000
DK001,DK008,5,Aythya ferina,9.5833,57.0333,18530,9.1667,57.0333,1660
LV018,NL034,5,Aythya ferina,23.1833,57.2333,120000,5.45,52.75,109000
BE030,UK001,5,Aythya ferina,3.7333,50.4833,13715,0.86416,51.8251,716
LV018,NL040,5,Aythya ferina,23.1833,57.2333,120000,5.9667,52.6333,2180
