iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL034,UK001,37,Aythya fuligula,5.45,52.75,109000,0.86416,51.8251,716
UK001,UK042,36,Aythya fuligula,0.86416,51.8251,716,0.9595,51.6721,22856
NL038,UK001,24,Aythya fuligula,5.25,52.5333,69700,0.86416,51.8251,716
UK001,UK073,19,Aythya fuligula,0.86416,51.8251,716,0.53333,51.4666,9357
DK083,DK088,16,Aythya fuligula,11.7167,54.55,100000,11.0333,54.8333,8550
DK088,DK130,16,Aythya fuligula,11.0333,54.8333,8550,11.4666,55.0666,135300
UK001,UK066,15,Aythya fuligula,0.86416,51.8251,716,1.16533,51.9566,3670
DK071,DK088,14,Aythya fuligula,10.3333,55,38440,11.0333,54.8333,8550
DK110,SE060,13,Aythya fuligula,12.8333,55.6667,7240,13.0063,55.6881,5600
NL034,NL038,13,Aythya fuligula,5.45,52.75,109000,5.25,52.5333,69700
DK075,DK088,13,Aythya fuligula,10.5667,55.5,5060,11.0333,54.8333,8550
DK088,DK111,13,Aythya fuligula,11.0333,54.8333,8550,12.5333,55.5833,6210
UK001,UK009,12,Aythya fuligula,0.86416,51.8251,716,0.6795,52.4218,39284
DK084,DK088,12,Aythya fuligula,12,54.9167,8160,11.0333,54.8333,8550
DE148,DE406,12,Aythya fuligula,14.0833,52.55,17863,14.45,52.6333,25993
LV004,LV018,11,Aythya fuligula,21.05,56.45,4818,23.1833,57.2333,120000
DE005,DK088,11,Aythya fuligula,9.83333,54.5833,2665,11.0333,54.8333,8550
LV018,LV022,11,Aythya fuligula,23.1833,57.2333,120000,23.7333,56.9166,3052
UK001,UK002,10,Aythya fuligula,0.86416,51.8251,716,1.55616,52.0045,2520
UK001,UK286,10,Aythya fuligula,0.86416,51.8251,716,-5.5831,54.4816,15504
DK088,DK089,10,Aythya fuligula,11.0333,54.8333,8550,12.25,55.0833,24640
NL001,UK001,9,Aythya fuligula,5.3833,53.3,272100,0.86416,51.8251,716
DE006,DK088,9,Aythya fuligula,10.0666,54.45,5130,11.0333,54.8333,8550
DK072,DK088,9,Aythya fuligula,10.6667,54.7833,4980,11.0333,54.8333,8550
DK086,DK088,9,Aythya fuligula,11.8333,54.8333,2820,11.0333,54.8333,8550
LV052,NL038,8,Aythya fuligula,26.8666,56.7333,21338,5.25,52.5333,69700
DK105,DK111,8,Aythya fuligula,12.0833,55.75,13180,12.5333,55.5833,6210
DK110,DK111,8,Aythya fuligula,12.8333,55.6667,7240,12.5333,55.5833,6210
DK109,DK111,8,Aythya fuligula,12.4167,55.8,1290,12.5333,55.5833,6210
UK001,UK051,8,Aythya fuligula,0.86416,51.8251,716,0.17816,52.4586,2490
NL038,NL068,7,Aythya fuligula,5.25,52.5333,69700,4.85,52.5667,2040
NL039,UK001,7,Aythya fuligula,5.75,52.6,3900,0.86416,51.8251,716
DK088,DK105,7,Aythya fuligula,11.0333,54.8333,8550,12.0833,55.75,13180
CH002,DE257,7,Aythya fuligula,6.7333,46.9667,23200,11.7333,48.2166,986
DK088,DK110,7,Aythya fuligula,11.0333,54.8333,8550,12.8333,55.6667,7240
DK130,LV052,7,Aythya fuligula,11.4666,55.0666,135300,26.8666,56.7333,21338
DK087,DK088,7,Aythya fuligula,11.5167,54.7667,3810,11.0333,54.8333,8550
NL073,UK001,7,Aythya fuligula,5.0833,52.2167,7040,0.86416,51.8251,716
NL077,UK001,7,Aythya fuligula,4.7833,52.05,1650,0.86416,51.8251,716
DE004,DK088,6,Aythya fuligula,9.6,54.8666,10200,11.0333,54.8333,8550
LV022,LV052,6,Aythya fuligula,23.7333,56.9166,3052,26.8666,56.7333,21338
DK036,DK088,6,Aythya fuligula,10.1667,55.85,42880,11.0333,54.8333,8550
LV018,LV023,6,Aythya fuligula,23.1833,57.2333,120000,22.3166,56.6,3878
DK088,PL002,6,Aythya fuligula,11.0333,54.8333,8550,14.4667,53.7667,48000
UK001,UK016,6,Aythya fuligula,0.86416,51.8251,716,1.34416,52.0423,977
UK001,UK007,6,Aythya fuligula,0.86416,51.8251,716,0.66666,51.5166,2373
UK001,UK077,5,Aythya fuligula,0.86416,51.8251,716,0.29,52.9366,69908
UK001,UK019,5,Aythya fuligula,0.86416,51.8251,716,0.83,50.9755,9805
NL024,UK001,5,Aythya fuligula,4.25,51.7667,10900,0.86416,51.8251,716
NL001,NL038,5,Aythya fuligula,5.3833,53.3,272100,5.25,52.5333,69700
UK001,UK011,5,Aythya fuligula,0.86416,51.8251,716,1.53716,52.6693,5402
DK111,NL034,5,Aythya fuligula,12.5333,55.5833,6210,5.45,52.75,109000
LV018,NL034,5,Aythya fuligula,23.1833,57.2333,120000,5.45,52.75,109000
DK111,NL038,5,Aythya fuligula,12.5333,55.5833,6210,5.25,52.5333,69700
LV007,LV018,5,Aythya fuligula,21.9833,56.6833,496,23.1833,57.2333,120000
NL038,NL073,5,Aythya fuligula,5.25,52.5333,69700,5.0833,52.2167,7040
LV018,PL014,5,Aythya fuligula,23.1833,57.2333,120000,19.4833,54.3167,33000
DK089,DK111,5,Aythya fuligula,12.25,55.0833,24640,12.5333,55.5833,6210
NL076,UK001,5,Aythya fuligula,4.7833,52.15,2000,0.86416,51.8251,716
LV018,NL038,5,Aythya fuligula,23.1833,57.2333,120000,5.25,52.5333,69700
UK001,UK040,4,Aythya fuligula,0.86416,51.8251,716,0.66433,51.3996,4668
UK001,UK273,4,Aythya fuligula,0.86416,51.8251,716,-5.8351,54.6678,6029
NL058,UK001,4,Aythya fuligula,5.7667,53.0167,1670,0.86416,51.8251,716
LT003,LV052,4,Aythya fuligula,21.1667,55.4167,9720,26.8666,56.7333,21338
DE257,DE263,4,Aythya fuligula,11.7333,48.2166,986,12.45,47.8833,13315
UK001,UK010,4,Aythya fuligula,0.86416,51.8251,716,1.63133,52.5845,2091
DK105,DK110,4,Aythya fuligula,12.0833,55.75,13180,12.8333,55.6667,7240
DK088,NL040,4,Aythya fuligula,11.0333,54.8333,8550,5.9667,52.6333,2180
