iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL039,NL041,7,Botaurus stellaris,5.75,52.6,3900,5.85,52.5,640
NL001,NL055,3,Botaurus stellaris,5.3833,53.3,272100,5.9167,53.1167,2500
DK008,DK043,2,Botaurus stellaris,9.1667,57.0333,1660,8.25,56,27720
NL078,NL080,2,Botaurus stellaris,5,51.95,140,5.0667,51.8667,610
BE004,DK008,2,Botaurus stellaris,3.1833,51.35,230,9.1667,57.0333,1660
NL039,NL063,1,Botaurus stellaris,5.75,52.6,3900,5.9167,52.85,1920
DK100,DK109,1,Botaurus stellaris,11.3333,55.5833,2890,12.4167,55.8,1290
NL039,NL054,1,Botaurus stellaris,5.75,52.6,3900,5.8667,53.2167,600
DK092,DK111,1,Botaurus stellaris,12.2,55.25,1860,12.5333,55.5833,6210
DE412,NL039,1,Botaurus stellaris,14.5166,51.95,4715,5.75,52.6,3900
DE053,FR042,1,Botaurus stellaris,13.7833,53.85,30530,-1.5167,48.65,63800
BE023,NL073,1,Botaurus stellaris,5.5833,51.1667,13125,5.0833,52.2167,7040
NL039,NL040,1,Botaurus stellaris,5.75,52.6,3900,5.9667,52.6333,2180
IT019,LV018,1,Botaurus stellaris,10.0333,45.6333,325,23.1833,57.2333,120000
FR058,NL087,1,Botaurus stellaris,3.8167,49.6333,4950,5.8167,51.3333,1350
BE001,NL041,1,Botaurus stellaris,2.75,51.2,17000,5.85,52.5,640
UK010,UK043,1,Botaurus stellaris,1.63133,52.5845,2091,1.626,52.3021,2212
NL041,NL068,1,Botaurus stellaris,5.85,52.5,640,4.85,52.5667,2040
DE326,NL040,1,Botaurus stellaris,12.6333,53.4,7950,5.9667,52.6333,2180
NL041,NL065,1,Botaurus stellaris,5.85,52.5,640,6.05,52.7,9400
NL039,PL023,1,Botaurus stellaris,5.75,52.6,3900,21.4833,53.65,163000
NL076,UK051,1,Botaurus stellaris,4.7833,52.15,2000,0.17816,52.4586,2490
BE027,NL071,1,Botaurus stellaris,5.4,50.95,800,4.9333,52.45,1960
NL055,NL065,1,Botaurus stellaris,5.9167,53.1167,2500,6.05,52.7,9400
BE020,NL086,1,Botaurus stellaris,5.1833,51.0167,7010,5.9,51.4167,2560
