iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL009,NL010,15,Branta bernicla,6.05,53.45,720,6.25,53.5,2800
DK065,DK130,8,Branta bernicla,8.5333,55.05,7010,11.4666,55.0666,135300
DE288,NL001,6,Branta bernicla,11.4333,54.0166,102030,5.3833,53.3,272100
DK057,DK065,4,Branta bernicla,8.5333,55.2667,115850,8.5333,55.05,7010
DE288,DE289,3,Branta bernicla,11.4333,54.0166,102030,8.81666,54.4833,441000
DK065,UK077,3,Branta bernicla,8.5333,55.05,7010,0.29,52.9366,69908
NL010,UK014,3,Branta bernicla,6.25,53.5,2800,-0.9388,50.8056,5795
DE289,UK066,3,Branta bernicla,8.81666,54.4833,441000,1.16533,51.9566,3670
DK065,NL012,2,Branta bernicla,8.5333,55.05,7010,6.5833,53.55,311
DK083,UK042,2,Branta bernicla,11.7167,54.55,100000,0.9595,51.6721,22856
DK065,DK089,2,Branta bernicla,8.5333,55.05,7010,12.25,55.0833,24640
NL001,UK007,2,Branta bernicla,5.3833,53.3,272100,0.66666,51.5166,2373
NL010,RU022,2,Branta bernicla,6.25,53.5,2800,40.3333,64.5,130000
UK042,UK066,2,Branta bernicla,0.9595,51.6721,22856,1.16533,51.9566,3670
NL001,NL010,2,Branta bernicla,5.3833,53.3,272100,6.25,53.5,2800
NL009,UK047,2,Branta bernicla,6.05,53.45,720,0.741,52.9741,7831
DE289,SE055,2,Branta bernicla,8.81666,54.4833,441000,16.4,56.2,1610
DE024,DK065,2,Branta bernicla,9.33333,54.3833,60000,8.5333,55.05,7010
NL001,SE055,2,Branta bernicla,5.3833,53.3,272100,16.4,56.2,1610
DK065,DK073,2,Branta bernicla,8.5333,55.05,7010,10.8333,55.1667,3470
NL001,NL002,2,Branta bernicla,5.3833,53.3,272100,4.9,53.1333,1600
DK065,DK075,2,Branta bernicla,8.5333,55.05,7010,10.5667,55.5,5060
NL001,UK047,2,Branta bernicla,5.3833,53.3,272100,0.741,52.9741,7831
DK065,DK076,2,Branta bernicla,8.5333,55.05,7010,10.2167,55.6,13060
DK065,RU039,2,Branta bernicla,8.5333,55.05,7010,58.6666,64.5,1891701
DK031,DK065,2,Branta bernicla,10.6667,55.9,15450,8.5333,55.05,7010
DK065,DK098,2,Branta bernicla,8.5333,55.05,7010,11,55.3333,4920
DK051,DK065,2,Branta bernicla,8.7,55.3333,6660,8.5333,55.05,7010
NL001,UK012,1,Branta bernicla,5.3833,53.3,272100,-2.5203,50.6131,985
DE298,DK065,1,Branta bernicla,8.78333,54.8666,4700,8.5333,55.05,7010
NL010,UK042,1,Branta bernicla,6.25,53.5,2800,0.9595,51.6721,22856
DK065,UK001,1,Branta bernicla,8.5333,55.05,7010,0.86416,51.8251,716
FR108,NL001,1,Branta bernicla,-0.35,46.2333,14300,5.3833,53.3,272100
DE288,FR108,1,Branta bernicla,11.4333,54.0166,102030,-0.35,46.2333,14300
EE072,NL001,1,Branta bernicla,25.2333,59.5666,2511,5.3833,53.3,272100
DE288,UK074,1,Branta bernicla,11.4333,54.0166,102030,1.3755,51.3073,2601
NL001,NL020,1,Branta bernicla,5.3833,53.3,272100,3.5833,51.7167,107000
DE044,DE288,1,Branta bernicla,13.5166,54.2166,103155,11.4333,54.0166,102030
DK083,NL010,1,Branta bernicla,11.7167,54.55,100000,6.25,53.5,2800
DE288,DK043,1,Branta bernicla,11.4333,54.0166,102030,8.25,56,27720
SE055,UK066,1,Branta bernicla,16.4,56.2,1610,1.16533,51.9566,3670
DE288,NL009,1,Branta bernicla,11.4333,54.0166,102030,6.05,53.45,720
NL002,RU018,1,Branta bernicla,4.9,53.1333,1600,35.5,64.5,200000
DE288,NL015,1,Branta bernicla,11.4333,54.0166,102030,6.2167,53.3667,7820
DK130,NL020,1,Branta bernicla,11.4666,55.0666,135300,3.5833,51.7167,107000
DE288,UK014,1,Branta bernicla,11.4333,54.0166,102030,-0.9388,50.8056,5795
DE366,NL001,1,Branta bernicla,7.41666,53.7,70000,5.3833,53.3,272100
DE288,UK012,1,Branta bernicla,11.4333,54.0166,102030,-2.5203,50.6131,985
EE067,NL001,1,Branta bernicla,23.25,58.7666,279557,5.3833,53.3,272100
DE288,NL020,1,Branta bernicla,11.4333,54.0166,102030,3.5833,51.7167,107000
FR064,NL001,1,Branta bernicla,1.5833,50.8667,8950,5.3833,53.3,272100
DE288,NL008,1,Branta bernicla,11.4333,54.0166,102030,5.75,53.4667,3150
DK043,NL001,1,Branta bernicla,8.25,56,27720,5.3833,53.3,272100
NL020,NL021,1,Branta bernicla,3.5833,51.7167,107000,4.0333,51.9167,350
NL001,NL013,1,Branta bernicla,5.3833,53.3,272100,4.7667,52.9167,6000
DE288,NL021,1,Branta bernicla,11.4333,54.0166,102030,4.0333,51.9167,350
NL010,NL020,1,Branta bernicla,6.25,53.5,2800,3.5833,51.7167,107000
DE288,DK083,1,Branta bernicla,11.4333,54.0166,102030,11.7167,54.55,100000
FR227,NL009,1,Branta bernicla,3.6,43.3667,800,6.05,53.45,720
DE288,DK084,1,Branta bernicla,11.4333,54.0166,102030,12,54.9167,8160
DK051,UK077,1,Branta bernicla,8.7,55.3333,6660,0.29,52.9366,69908
DK038,NL001,1,Branta bernicla,8.2333,56.35,10890,5.3833,53.3,272100
DE289,UK077,1,Branta bernicla,8.81666,54.4833,441000,0.29,52.9366,69908
DK005,UK077,1,Branta bernicla,10.35,57.55,4480,0.29,52.9366,69908
NL003,UK077,1,Branta bernicla,4.7833,53.1167,3850,0.29,52.9366,69908
DK082,UK077,1,Branta bernicla,11.95,54.6333,1710,0.29,52.9366,69908
NL001,UK014,1,Branta bernicla,5.3833,53.3,272100,-0.9388,50.8056,5795
RU270,UK014,1,Branta bernicla,38.25,64.75,40000,-0.9388,50.8056,5795
UK014,UK047,1,Branta bernicla,-0.9388,50.8056,5795,0.741,52.9741,7831
DE289,UK014,1,Branta bernicla,8.81666,54.4833,441000,-0.9388,50.8056,5795
DK130,UK066,1,Branta bernicla,11.4666,55.0666,135300,1.16533,51.9566,3670
RU043,UK042,1,Branta bernicla,29.4166,60.6333,9700,0.9595,51.6721,22856
RU022,UK042,1,Branta bernicla,40.3333,64.5,130000,0.9595,51.6721,22856
