iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
UK047,UK077,60,Branta canadensis,0.741,52.9741,7831,0.29,52.9366,69908
UK009,UK047,59,Branta canadensis,0.6795,52.4218,39284,0.741,52.9741,7831
DE262,DE276,26,Branta canadensis,11.1333,48.0166,7500,11.3,47.9166,5671
UK007,UK073,20,Branta canadensis,0.66666,51.5166,2373,0.53333,51.4666,9357
SE063,SE073,17,Branta canadensis,14.15,56.0167,5300,15.15,56.1333,59300
UK040,UK073,15,Branta canadensis,0.66433,51.3996,4668,0.53333,51.4666,9357
UK049,UK195,10,Branta canadensis,-0.8706,54.3806,143490,-3.7015,57.5423,1821
DK089,SE073,9,Branta canadensis,12.25,55.0833,24640,15.15,56.1333,59300
UK068,UK073,9,Branta canadensis,0.84283,51.3606,6486,0.53333,51.4666,9357
DE218,DE520,8,Branta canadensis,8.5,49.3833,4504,8.45,49.4333,350
UK058,UK195,8,Branta canadensis,-0.6868,52.6501,1550,-3.7015,57.5423,1821
UK001,UK009,6,Branta canadensis,0.86416,51.8251,716,0.6795,52.4218,39284
UK007,UK040,6,Branta canadensis,0.66666,51.5166,2373,0.66433,51.3996,4668
UK041,UK195,6,Branta canadensis,-2.8301,53.2998,5007,-3.7015,57.5423,1821
UK043,UK047,5,Branta canadensis,1.626,52.3021,2212,0.741,52.9741,7831
UK045,UK195,5,Branta canadensis,-0.0533,52.5833,1505,-3.7015,57.5423,1821
DK109,DK111,4,Branta canadensis,12.4167,55.8,1290,12.5333,55.5833,6210
UK016,UK066,4,Branta canadensis,1.34416,52.0423,977,1.16533,51.9566,3670
UK006,UK047,4,Branta canadensis,1.7025,52.3838,468,0.741,52.9741,7831
UK040,UK068,4,Branta canadensis,0.66433,51.3996,4668,0.84283,51.3606,6486
UK019,UK068,4,Branta canadensis,0.83,50.9755,9805,0.84283,51.3606,6486
UK007,UK068,4,Branta canadensis,0.66666,51.5166,2373,0.84283,51.3606,6486
DK094,NO049,4,Branta canadensis,11.3,55.8333,40250,11.5667,59,30000
UK019,UK073,4,Branta canadensis,0.83,50.9755,9805,0.53333,51.4666,9357
UK068,UK078,3,Branta canadensis,0.84283,51.3606,6486,-0.8506,51.0881,5159
UK009,UK077,3,Branta canadensis,0.6795,52.4218,39284,0.29,52.9366,69908
UK068,UK072,3,Branta canadensis,0.84283,51.3606,6486,-0.7421,51.368,11030
DK084,NO049,3,Branta canadensis,12,54.9167,8160,11.5667,59,30000
UK007,UK072,3,Branta canadensis,0.66666,51.5166,2373,-0.7421,51.368,11030
DE269,PL011,3,Branta canadensis,11.2166,49.4,43581,17.5333,53.8333,38815
UK098,UK195,2,Branta canadensis,-3.6311,57.2191,5769,-3.7015,57.5423,1821
DE069,DE303,2,Branta canadensis,10.2,53.3833,852,9.8,53.45,2498
UK006,UK195,2,Branta canadensis,1.7025,52.3838,468,-3.7015,57.5423,1821
DE458,DE459,2,Branta canadensis,12.4166,51.2166,273,12.6333,51.2166,316
UK043,UK195,2,Branta canadensis,1.626,52.3021,2212,-3.7015,57.5423,1821
FI083,SE070,2,Branta canadensis,21.6,61.5333,15441,16.3666,56.7,9600
UK011,UK047,2,Branta canadensis,1.53716,52.6693,5402,0.741,52.9741,7831
UK091,UK096,2,Branta canadensis,-3.637,53.3211,10154,-4.0421,53.2551,2694
UK047,UK195,2,Branta canadensis,0.741,52.9741,7831,-3.7015,57.5423,1821
UK042,UK068,2,Branta canadensis,0.9595,51.6721,22856,0.84283,51.3606,6486
UK042,UK073,2,Branta canadensis,0.9595,51.6721,22856,0.53333,51.4666,9357
UK039,UK041,2,Branta canadensis,-2.878,53.6248,120,-2.8301,53.2998,5007
UK072,UK073,2,Branta canadensis,-0.7421,51.368,11030,0.53333,51.4666,9357
DK105,NO049,2,Branta canadensis,12.0833,55.75,13180,11.5667,59,30000
DK075,NO049,2,Branta canadensis,10.5667,55.5,5060,11.5667,59,30000
DK130,NO049,2,Branta canadensis,11.4666,55.0666,135300,11.5667,59,30000
NO049,SE045,2,Branta canadensis,11.5667,59,30000,12.1,57.4,4000
DE307,SE073,2,Branta canadensis,13.4333,54.5,21790,15.15,56.1333,59300
UK038,UK195,2,Branta canadensis,-0.9453,53.8633,1088,-3.7015,57.5423,1821
UK052,UK073,2,Branta canadensis,-0.759,50.7648,627,0.53333,51.4666,9357
UK040,UK077,1,Branta canadensis,0.66433,51.3996,4668,0.29,52.9366,69908
UK009,UK066,1,Branta canadensis,0.6795,52.4218,39284,1.16533,51.9566,3670
UK047,UK058,1,Branta canadensis,0.741,52.9741,7831,-0.6868,52.6501,1550
UK009,UK010,1,Branta canadensis,0.6795,52.4218,39284,1.63133,52.5845,2091
UK017,UK054,1,Branta canadensis,-1.9605,50.7618,10577,-2.0276,50.6998,2308
UK042,UK066,1,Branta canadensis,0.9595,51.6721,22856,1.16533,51.9566,3670
DK105,DK107,1,Branta canadensis,12.0833,55.75,13180,11.9833,55.9,1520
UK007,UK042,1,Branta canadensis,0.66666,51.5166,2373,0.9595,51.6721,22856
UK014,UK052,1,Branta canadensis,-0.9388,50.8056,5795,-0.759,50.7648,627
UK040,UK042,1,Branta canadensis,0.66433,51.3996,4668,0.9595,51.6721,22856
UK009,UK051,1,Branta canadensis,0.6795,52.4218,39284,0.17816,52.4586,2490
UK048,UK071,1,Branta canadensis,-2.2885,54.6466,146795,-1.15,54.6333,1246
UK003,UK091,1,Branta canadensis,-0.549,50.9051,1413,-3.637,53.3211,10154
DE043,SE073,1,Branta canadensis,11.6166,53.7833,74800,15.15,56.1333,59300
DK106,DK107,1,Branta canadensis,12.1667,56,4610,11.9833,55.9,1520
NL001,NL012,1,Branta canadensis,5.3833,53.3,272100,6.5833,53.55,311
UK010,UK047,1,Branta canadensis,1.63133,52.5845,2091,0.741,52.9741,7831
UK001,UK073,1,Branta canadensis,0.86416,51.8251,716,0.53333,51.4666,9357
UK002,UK006,1,Branta canadensis,1.55616,52.0045,2520,1.7025,52.3838,468
UK045,UK062,1,Branta canadensis,-0.0533,52.5833,1505,-1.8673,53.5123,66059
UK063,UK068,1,Branta canadensis,-0.5101,51.4486,1878,0.84283,51.3606,6486
LT023,LV022,1,Branta canadensis,24.1333,54.85,7800,23.7333,56.9166,3052
UK195,UK259,1,Branta canadensis,-3.7015,57.5423,1821,-2.2298,57.679,171
DK086,NO049,1,Branta canadensis,11.8333,54.8333,2820,11.5667,59,30000
UK019,UK195,1,Branta canadensis,0.83,50.9755,9805,-3.7015,57.5423,1821
DE081,SE045,1,Branta canadensis,7.13333,52.6666,6683,12.1,57.4,4000
UK001,UK007,1,Branta canadensis,0.86416,51.8251,716,0.66666,51.5166,2373
NO049,SE059,1,Branta canadensis,11.5667,59,30000,12.8333,55.8667,20000
UK003,UK014,1,Branta canadensis,-0.549,50.9051,1413,-0.9388,50.8056,5795
DE044,SE007,1,Branta canadensis,13.5166,54.2166,103155,22,65.6167,440
DE152,DE343,1,Branta canadensis,13.6833,52.4333,16,9.56666,53.2666,1506
DK083,SE073,1,Branta canadensis,11.7167,54.55,100000,15.15,56.1333,59300
DE181,DE509,1,Branta canadensis,8.38333,49.9,10500,8.11666,49.9833,3000
SE006,SE007,1,Branta canadensis,22.1167,65.7667,3350,22,65.6167,440
DE089,DE108,1,Branta canadensis,7.28333,53.0333,8487,7.46666,53.3666,4556
DK108,SE031,1,Branta canadensis,12.3333,55.9667,6130,15.0333,59.3,600
DE183,DE509,1,Branta canadensis,8,50,4700,8.11666,49.9833,3000
UK019,UK040,1,Branta canadensis,0.83,50.9755,9805,0.66433,51.3996,4668
DE250,DE252,1,Branta canadensis,9.21666,48.65,1974,9.05,48.5666,19216
DK110,SE063,1,Branta canadensis,12.8333,55.6667,7240,14.15,56.0167,5300
DK086,DK110,1,Branta canadensis,11.8333,54.8333,2820,12.8333,55.6667,7240
DK113,SE073,1,Branta canadensis,12.3333,55.4167,50,15.15,56.1333,59300
