iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL010,SE050,31,Branta leucopsis,6.25,53.5,2800,18.95,57.4,152500
DE289,NL060,24,Branta leucopsis,8.81666,54.4833,441000,5.6833,53,460
NL058,NL060,19,Branta leucopsis,5.7667,53.0167,1670,5.6833,53,460
NL034,SE050,16,Branta leucopsis,5.45,52.75,109000,18.95,57.4,152500
NL009,NL015,15,Branta leucopsis,6.05,53.45,720,6.2167,53.3667,7820
DK110,SE060,14,Branta leucopsis,12.8333,55.6667,7240,13.0063,55.6881,5600
NL034,NL056,12,Branta leucopsis,5.45,52.75,109000,5.9167,53.0333,1260
NL009,NL060,12,Branta leucopsis,6.05,53.45,720,5.6833,53,460
NL009,NL034,12,Branta leucopsis,6.05,53.45,720,5.45,52.75,109000
DE289,SE050,12,Branta leucopsis,8.81666,54.4833,441000,18.95,57.4,152500
NL034,NL060,11,Branta leucopsis,5.45,52.75,109000,5.6833,53,460
NL009,SE050,11,Branta leucopsis,6.05,53.45,720,18.95,57.4,152500
DE289,NL056,9,Branta leucopsis,8.81666,54.4833,441000,5.9167,53.0333,1260
NL009,NL024,8,Branta leucopsis,6.05,53.45,720,4.25,51.7667,10900
NL060,RU021,8,Branta leucopsis,5.6833,53,460,44.25,68,15000
NL060,SE050,7,Branta leucopsis,5.6833,53,460,18.95,57.4,152500
NL001,SE050,7,Branta leucopsis,5.3833,53.3,272100,18.95,57.4,152500
NL024,NL056,7,Branta leucopsis,4.25,51.7667,10900,5.9167,53.0333,1260
NL009,NL010,6,Branta leucopsis,6.05,53.45,720,6.25,53.5,2800
DE289,NL010,6,Branta leucopsis,8.81666,54.4833,441000,6.25,53.5,2800
IE045,IS032,5,Branta leucopsis,-9.8,54.1833,967,-16.316,64,6900
NL001,NL060,5,Branta leucopsis,5.3833,53.3,272100,5.6833,53,460
DE107,NL060,5,Branta leucopsis,9.16666,53.85,19310,5.6833,53,460
NL023,NL024,5,Branta leucopsis,4,51.8333,430,4.25,51.7667,10900
NL010,NL060,5,Branta leucopsis,6.25,53.5,2800,5.6833,53,460
DE289,NL075,5,Branta leucopsis,8.81666,54.4833,441000,5.4333,52.2333,1460
NL023,NL060,5,Branta leucopsis,4,51.8333,430,5.6833,53,460
NL024,NL060,5,Branta leucopsis,4.25,51.7667,10900,5.6833,53,460
DE289,NL015,4,Branta leucopsis,8.81666,54.4833,441000,6.2167,53.3667,7820
DE291,NL060,4,Branta leucopsis,8.3,54.2,800000,5.6833,53,460
NL024,NL045,4,Branta leucopsis,4.25,51.7667,10900,5.3167,52.2833,1340
NL015,NL024,4,Branta leucopsis,6.2167,53.3667,7820,4.25,51.7667,10900
NL015,NL034,4,Branta leucopsis,6.2167,53.3667,7820,5.45,52.75,109000
NL056,NL060,4,Branta leucopsis,5.9167,53.0333,1260,5.6833,53,460
NL043,NL060,4,Branta leucopsis,5.5833,52.35,2750,5.6833,53,460
NL009,NL058,4,Branta leucopsis,6.05,53.45,720,5.7667,53.0167,1670
DE289,NL058,4,Branta leucopsis,8.81666,54.4833,441000,5.7667,53.0167,1670
FI065,NL001,3,Branta leucopsis,25.5,61.05,913,5.3833,53.3,272100
NL024,SE065,3,Branta leucopsis,4.25,51.7667,10900,18.15,56.8666,157900
NL042,NL075,3,Branta leucopsis,5.6667,52.3833,3390,5.4333,52.2333,1460
NL020,NL034,3,Branta leucopsis,3.5833,51.7167,107000,5.45,52.75,109000
NL056,RU021,3,Branta leucopsis,5.9167,53.0333,1260,44.25,68,15000
NL056,NL058,3,Branta leucopsis,5.9167,53.0333,1260,5.7667,53.0167,1670
NL010,NL056,3,Branta leucopsis,6.25,53.5,2800,5.9167,53.0333,1260
NL009,NL045,3,Branta leucopsis,6.05,53.45,720,5.3167,52.2833,1340
NL034,NL045,3,Branta leucopsis,5.45,52.75,109000,5.3167,52.2833,1340
NL034,NL058,3,Branta leucopsis,5.45,52.75,109000,5.7667,53.0167,1670
NL034,RU021,3,Branta leucopsis,5.45,52.75,109000,44.25,68,15000
NL009,NL055,3,Branta leucopsis,6.05,53.45,720,5.9167,53.1167,2500
NL058,RU034,3,Branta leucopsis,5.7667,53.0167,1670,44.6666,66.6666,500000
NL024,SE050,3,Branta leucopsis,4.25,51.7667,10900,18.95,57.4,152500
IE041,IS032,2,Branta leucopsis,-9.8667,54.25,10852,-16.316,64,6900
DE291,NL009,2,Branta leucopsis,8.3,54.2,800000,6.05,53.45,720
IE041,IS030,2,Branta leucopsis,-9.8667,54.25,10852,-17.8,63.8,14000
DE366,NL060,2,Branta leucopsis,7.41666,53.7,70000,5.6833,53,460
FI078,NL001,2,Branta leucopsis,24.9333,60.2,1274,5.3833,53.3,272100
NL044,NL060,2,Branta leucopsis,5.2,52.3167,2670,5.6833,53,460
FI082,NL001,2,Branta leucopsis,24.5,59.9333,11808,5.3833,53.3,272100
NL058,SE050,2,Branta leucopsis,5.7667,53.0167,1670,18.95,57.4,152500
