iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
FI073,NL034,2,Bucephala clangula,27.7167,60.5167,195,5.45,52.75,109000
EE067,FI073,2,Bucephala clangula,23.25,58.7666,279557,27.7167,60.5167,195
DK130,FI059,2,Bucephala clangula,11.4666,55.0666,135300,27.25,63.1667,3370
DE205,NL076,1,Bucephala clangula,14.5333,51.3166,35000,4.7833,52.15,2000
DK001,FI081,1,Bucephala clangula,9.5833,57.0333,18530,22.9,59.8167,11151
DE205,DK038,1,Bucephala clangula,14.5333,51.3166,35000,8.2333,56.35,10890
FI071,NL038,1,Bucephala clangula,27.2333,60.5667,760,5.25,52.5333,69700
DK089,DK111,1,Bucephala clangula,12.25,55.0833,24640,12.5333,55.5833,6210
EE067,FI069,1,Bucephala clangula,23.25,58.7666,279557,23.6667,60.7333,4923
DE205,DE278,1,Bucephala clangula,14.5333,51.3166,35000,11.25,47.6666,13444
FI045,NL034,1,Bucephala clangula,21.0833,63.3333,223652,5.45,52.75,109000
DE205,DK014,1,Bucephala clangula,14.5333,51.3166,35000,9.1667,56.6667,7590
FI073,PL014,1,Bucephala clangula,27.7167,60.5167,195,19.4833,54.3167,33000
DK036,DK111,1,Bucephala clangula,10.1667,55.85,42880,12.5333,55.5833,6210
FI059,NL038,1,Bucephala clangula,27.25,63.1667,3370,5.25,52.5333,69700
DE121,DE215,1,Bucephala clangula,12.05,52,6207,8.31666,49.05,2000
DK076,FI073,1,Bucephala clangula,10.2167,55.6,13060,27.7167,60.5167,195
DK104,DK111,1,Bucephala clangula,12.05,55.5833,220,12.5333,55.5833,6210
DK075,FI041,1,Bucephala clangula,10.5667,55.5,5060,23.0667,63.9333,20340
DK075,NL020,1,Bucephala clangula,10.5667,55.5,5060,3.5833,51.7167,107000
FI079,PL014,1,Bucephala clangula,24.5833,60.2833,6700,19.4833,54.3167,33000
DE205,DE289,1,Bucephala clangula,14.5333,51.3166,35000,8.81666,54.4833,441000
DE053,FI073,1,Bucephala clangula,13.7833,53.85,30530,27.7167,60.5167,195
DK097,DK130,1,Bucephala clangula,11.6667,55.9167,240,11.4666,55.0666,135300
FI077,NL034,1,Bucephala clangula,25.6667,60.1667,22570,5.45,52.75,109000
DK105,SE033,1,Bucephala clangula,12.0833,55.75,13180,15.3667,59.1667,800
FI073,GR048,1,Bucephala clangula,27.7167,60.5167,195,21.3,40.5167,3400
SE006,UK270,1,Bucephala clangula,22.1167,65.7667,3350,-1.9791,57.3328,1012
FI070,LT003,1,Bucephala clangula,29.5333,61.5333,519,21.1667,55.4167,9720
DK003,FI019,1,Bucephala clangula,9.9167,56.8333,260,23.9833,66.0333,660
DE205,DE453,1,Bucephala clangula,14.5333,51.3166,35000,14.8833,51.4,2211
DE286,SE055,1,Bucephala clangula,11.15,54.2333,14600,16.4,56.2,1610
SE025,SE037,1,Bucephala clangula,17.8833,60.2,11500,16.4166,58.5833,3300
DK025,SE018,1,Bucephala clangula,8.5833,56.75,510,17.1667,60.35,2700
