iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
UK047,UK077,20,Calidris alba,0.741,52.9741,7831,0.29,52.9366,69908
UK049,UK077,13,Calidris alba,-0.8706,54.3806,143490,0.29,52.9366,69908
UK041,UK077,11,Calidris alba,-2.8301,53.2998,5007,0.29,52.9366,69908
UK074,UK077,10,Calidris alba,1.3755,51.3073,2601,0.29,52.9366,69908
UK075,UK077,5,Calidris alba,-0.8993,53.6375,3337,0.29,52.9366,69908
IS019,UK048,5,Calidris alba,-21.25,63.95,7400,-2.2885,54.6466,146795
UK025,UK077,5,Calidris alba,-2.5158,53.9815,79978,0.29,52.9366,69908
PL012,PL013,4,Calidris alba,18.6167,54.5667,56000,18.95,54.35,485
PL013,UK074,4,Calidris alba,18.95,54.35,485,1.3755,51.3073,2601
UK041,UK075,3,Calidris alba,-2.8301,53.2998,5007,-0.8993,53.6375,3337
IS019,UK049,3,Calidris alba,-21.25,63.95,7400,-0.8706,54.3806,143490
ES259,UK041,3,Calidris alba,-6.4167,37,230000,-2.8301,53.2998,5007
BE001,NL001,3,Calidris alba,2.75,51.2,17000,5.3833,53.3,272100
FR051,UK077,3,Calidris alba,1.7,50.2667,5550,0.29,52.9366,69908
NL001,UK074,2,Calidris alba,5.3833,53.3,272100,1.3755,51.3073,2601
UK039,UK057,2,Calidris alba,-2.878,53.6248,120,-3.0371,53.6618,12408
UK041,UK049,2,Calidris alba,-2.8301,53.2998,5007,-0.8706,54.3806,143490
UK047,UK074,2,Calidris alba,0.741,52.9741,7831,1.3755,51.3073,2601
NL013,PL013,2,Calidris alba,4.7667,52.9167,6000,18.95,54.35,485
UK039,UK041,2,Calidris alba,-2.878,53.6248,120,-2.8301,53.2998,5007
UK048,UK049,2,Calidris alba,-2.2885,54.6466,146795,-0.8706,54.3806,143490
IS019,UK077,2,Calidris alba,-21.25,63.95,7400,0.29,52.9366,69908
UK048,UK077,2,Calidris alba,-2.2885,54.6466,146795,0.29,52.9366,69908
UK048,UK074,2,Calidris alba,-2.2885,54.6466,146795,1.3755,51.3073,2601
PL013,UK077,2,Calidris alba,18.95,54.35,485,0.29,52.9366,69908
DE288,RU022,1,Calidris alba,11.4333,54.0166,102030,40.3333,64.5,130000
DE291,PL013,1,Calidris alba,8.3,54.2,800000,18.95,54.35,485
BE001,UK041,1,Calidris alba,2.75,51.2,17000,-2.8301,53.2998,5007
DE122,PL013,1,Calidris alba,11,51.4333,1454,18.95,54.35,485
UK057,UK077,1,Calidris alba,-3.0371,53.6618,12408,0.29,52.9366,69908
NL001,UK049,1,Calidris alba,5.3833,53.3,272100,-0.8706,54.3806,143490
UK039,UK077,1,Calidris alba,-2.878,53.6248,120,0.29,52.9366,69908
CH009,FR051,1,Calidris alba,6.9,46.3667,6600,1.7,50.2667,5550
FR051,UK047,1,Calidris alba,1.7,50.2667,5550,0.741,52.9741,7831
DE008,PL013,1,Calidris alba,10.35,54.4166,9680,18.95,54.35,485
UK040,UK077,1,Calidris alba,0.66433,51.3996,4668,0.29,52.9366,69908
CH009,NL092,1,Calidris alba,6.9,46.3667,6600,4.6667,52.7,2500
DE288,UK025,1,Calidris alba,11.4333,54.0166,102030,-2.5158,53.9815,79978
BE001,NL028,1,Calidris alba,2.75,51.2,17000,3.9333,51.5833,36880
FR118,UK041,1,Calidris alba,-0.8,45.4333,2580,-2.8301,53.2998,5007
FR108,UK025,1,Calidris alba,-0.35,46.2333,14300,-2.5158,53.9815,79978
UK041,UK057,1,Calidris alba,-2.8301,53.2998,5007,-3.0371,53.6618,12408
UK040,UK075,1,Calidris alba,0.66433,51.3996,4668,-0.8993,53.6375,3337
UK025,UK048,1,Calidris alba,-2.5158,53.9815,79978,-2.2885,54.6466,146795
UK048,UK075,1,Calidris alba,-2.2885,54.6466,146795,-0.8993,53.6375,3337
FR040,UK077,1,Calidris alba,-0.15,49.3667,23100,0.29,52.9366,69908
FR118,UK075,1,Calidris alba,-0.8,45.4333,2580,-0.8993,53.6375,3337
ES035,UK077,1,Calidris alba,-2.6833,43.3667,4000,0.29,52.9366,69908
UK025,UK075,1,Calidris alba,-2.5158,53.9815,79978,-0.8993,53.6375,3337
FR063,UK077,1,Calidris alba,1.6333,50.4667,1500,0.29,52.9366,69908
UK007,UK077,1,Calidris alba,0.66666,51.5166,2373,0.29,52.9366,69908
UK019,UK074,1,Calidris alba,0.83,50.9755,9805,1.3755,51.3073,2601
IS009,UK049,1,Calidris alba,-21.666,64.6,1500,-0.8706,54.3806,143490
DE034,UK077,1,Calidris alba,8.41666,53.9166,13750,0.29,52.9366,69908
DK057,UK041,1,Calidris alba,8.5333,55.2667,115850,-2.8301,53.2998,5007
FR064,UK074,1,Calidris alba,1.5833,50.8667,8950,1.3755,51.3073,2601
FI081,UK074,1,Calidris alba,22.9,59.8167,11151,1.3755,51.3073,2601
UK042,UK077,1,Calidris alba,0.9595,51.6721,22856,0.29,52.9366,69908
FR024,UK049,1,Calidris alba,-1.6667,47.0833,5600,-0.8706,54.3806,143490
FR239,UK077,1,Calidris alba,4.6,43.5167,76500,0.29,52.9366,69908
FR101,UK025,1,Calidris alba,-1,45.95,5400,-2.5158,53.9815,79978
DE288,ES226,1,Calidris alba,11.4333,54.0166,102030,-4.3333,37.4167,63000
ES232,UK075,1,Calidris alba,-4.55,37.8333,116000,-0.8993,53.6375,3337
DK121,UK047,1,Calidris alba,9,57.6666,1600000,0.741,52.9741,7831
BE004,UK074,1,Calidris alba,3.1833,51.35,230,1.3755,51.3073,2601
UK025,UK047,1,Calidris alba,-2.5158,53.9815,79978,0.741,52.9741,7831
UK039,UK049,1,Calidris alba,-2.878,53.6248,120,-0.8706,54.3806,143490
UK025,UK041,1,Calidris alba,-2.5158,53.9815,79978,-2.8301,53.2998,5007
UK065,UK074,1,Calidris alba,1.18366,51.3103,479,1.3755,51.3073,2601
ES244,UK041,1,Calidris alba,-5.5833,36.4167,133500,-2.8301,53.2998,5007
IS019,PL013,1,Calidris alba,-21.25,63.95,7400,18.95,54.35,485
NL028,UK077,1,Calidris alba,3.9333,51.5833,36880,0.29,52.9366,69908
IS019,UK025,1,Calidris alba,-21.25,63.95,7400,-2.5158,53.9815,79978
FR014,UK041,1,Calidris alba,-2.7667,47.5667,18800,-2.8301,53.2998,5007
NO040,UK077,1,Calidris alba,5.6,62.4,640,0.29,52.9366,69908
NL001,UK077,1,Calidris alba,5.3833,53.3,272100,0.29,52.9366,69908
NL032,UK075,1,Calidris alba,3.8333,51.3833,50800,-0.8993,53.6375,3337
