iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
PL012,PL013,1108,Calidris alpina,18.6167,54.5667,56000,18.95,54.35,485
SE055,UK077,358,Calidris alpina,16.4,56.2,1610,0.29,52.9366,69908
PL013,SE055,152,Calidris alpina,18.95,54.35,485,16.4,56.2,1610
FI083,UK077,141,Calidris alpina,21.6,61.5333,15441,0.29,52.9366,69908
FI083,SE055,128,Calidris alpina,21.6,61.5333,15441,16.4,56.2,1610
UK077,UK096,124,Calidris alpina,0.29,52.9366,69908,-4.0421,53.2551,2694
DE288,PL013,117,Calidris alpina,11.4333,54.0166,102030,18.95,54.35,485
NL010,SE055,87,Calidris alpina,6.25,53.5,2800,16.4,56.2,1610
DE289,SE055,85,Calidris alpina,8.81666,54.4833,441000,16.4,56.2,1610
PL012,SE055,78,Calidris alpina,18.6167,54.5667,56000,16.4,56.2,1610
PL013,UK077,78,Calidris alpina,18.95,54.35,485,0.29,52.9366,69908
DE288,PL012,75,Calidris alpina,11.4333,54.0166,102030,18.6167,54.5667,56000
SE055,UK096,75,Calidris alpina,16.4,56.2,1610,-4.0421,53.2551,2694
SE061,UK077,72,Calidris alpina,12.9167,55.4167,20000,0.29,52.9366,69908
DK111,SE055,69,Calidris alpina,12.5333,55.5833,6210,16.4,56.2,1610
UK049,UK077,66,Calidris alpina,-0.8706,54.3806,143490,0.29,52.9366,69908
DE288,SE055,60,Calidris alpina,11.4333,54.0166,102030,16.4,56.2,1610
SE055,SE061,59,Calidris alpina,16.4,56.2,1610,12.9167,55.4167,20000
UK040,UK068,59,Calidris alpina,0.66433,51.3996,4668,0.84283,51.3606,6486
NL001,SE055,59,Calidris alpina,5.3833,53.3,272100,16.4,56.2,1610
UK041,UK077,58,Calidris alpina,-2.8301,53.2998,5007,0.29,52.9366,69908
DK111,UK077,53,Calidris alpina,12.5333,55.5833,6210,0.29,52.9366,69908
