iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
UK049,UK077,52,Calidris canutus,-0.8706,54.3806,143490,0.29,52.9366,69908
UK025,UK077,49,Calidris canutus,-2.5158,53.9815,79978,0.29,52.9366,69908
DE289,UK077,49,Calidris canutus,8.81666,54.4833,441000,0.29,52.9366,69908
UK047,UK077,36,Calidris canutus,0.741,52.9741,7831,0.29,52.9366,69908
PL012,PL013,35,Calidris canutus,18.6167,54.5667,56000,18.95,54.35,485
NL001,UK077,35,Calidris canutus,5.3833,53.3,272100,0.29,52.9366,69908
NL013,UK077,22,Calidris canutus,4.7667,52.9167,6000,0.29,52.9366,69908
UK041,UK077,20,Calidris canutus,-2.8301,53.2998,5007,0.29,52.9366,69908
UK077,UK207,20,Calidris canutus,0.29,52.9366,69908,-4.0393,57.7255,16262
UK044,UK077,19,Calidris canutus,-2.9781,54.104,36859,0.29,52.9366,69908
UK039,UK041,19,Calidris canutus,-2.878,53.6248,120,-2.8301,53.2998,5007
NL010,UK077,18,Calidris canutus,6.25,53.5,2800,0.29,52.9366,69908
NO017,UK077,17,Calidris canutus,19.25,69.25,433,0.29,52.9366,69908
DE289,UK049,13,Calidris canutus,8.81666,54.4833,441000,-0.8706,54.3806,143490
DE288,PL013,12,Calidris canutus,11.4333,54.0166,102030,18.95,54.35,485
UK025,UK044,10,Calidris canutus,-2.5158,53.9815,79978,-2.9781,54.104,36859
DE288,PL012,10,Calidris canutus,11.4333,54.0166,102030,18.6167,54.5667,56000
UK047,UK049,9,Calidris canutus,0.741,52.9741,7831,-0.8706,54.3806,143490
NO017,UK049,8,Calidris canutus,19.25,69.25,433,-0.8706,54.3806,143490
IS014,UK077,8,Calidris canutus,-22,64.0667,3300,0.29,52.9366,69908
DE043,DE288,7,Calidris canutus,11.6166,53.7833,74800,11.4333,54.0166,102030
DK038,UK077,7,Calidris canutus,8.2333,56.35,10890,0.29,52.9366,69908
DE288,UK077,7,Calidris canutus,11.4333,54.0166,102030,0.29,52.9366,69908
NL001,NL013,7,Calidris canutus,5.3833,53.3,272100,4.7667,52.9167,6000
IS009,UK077,5,Calidris canutus,-21.666,64.6,1500,0.29,52.9366,69908
NL010,UK195,5,Calidris canutus,6.25,53.5,2800,-3.7015,57.5423,1821
UK044,UK057,5,Calidris canutus,-2.9781,54.104,36859,-3.0371,53.6618,12408
DE289,UK207,5,Calidris canutus,8.81666,54.4833,441000,-4.0393,57.7255,16262
UK077,UK096,5,Calidris canutus,0.29,52.9366,69908,-4.0421,53.2551,2694
PL013,UK077,5,Calidris canutus,18.95,54.35,485,0.29,52.9366,69908
UK077,UK195,5,Calidris canutus,0.29,52.9366,69908,-3.7015,57.5423,1821
FR032,UK077,5,Calidris canutus,-0.8167,46.4333,18700,0.29,52.9366,69908
DE289,UK044,4,Calidris canutus,8.81666,54.4833,441000,-2.9781,54.104,36859
NL001,UK049,4,Calidris canutus,5.3833,53.3,272100,-0.8706,54.3806,143490
UK025,UK041,4,Calidris canutus,-2.5158,53.9815,79978,-2.8301,53.2998,5007
DE289,NL001,4,Calidris canutus,8.81666,54.4833,441000,5.3833,53.3,272100
DE289,UK041,4,Calidris canutus,8.81666,54.4833,441000,-2.8301,53.2998,5007
UK039,UK077,4,Calidris canutus,-2.878,53.6248,120,0.29,52.9366,69908
DE289,NL013,4,Calidris canutus,8.81666,54.4833,441000,4.7667,52.9167,6000
PL012,UK077,4,Calidris canutus,18.6167,54.5667,56000,0.29,52.9366,69908
UK049,UK207,4,Calidris canutus,-0.8706,54.3806,143490,-4.0393,57.7255,16262
DE289,SE055,3,Calidris canutus,8.81666,54.4833,441000,16.4,56.2,1610
FR101,SE055,3,Calidris canutus,-1,45.95,5400,16.4,56.2,1610
DK049,UK077,3,Calidris canutus,8.3167,55.6,2700,0.29,52.9366,69908
DE289,UK047,3,Calidris canutus,8.81666,54.4833,441000,0.741,52.9741,7831
UK041,UK044,3,Calidris canutus,-2.8301,53.2998,5007,-2.9781,54.104,36859
NL001,UK047,3,Calidris canutus,5.3833,53.3,272100,0.741,52.9741,7831
DK038,UK047,3,Calidris canutus,8.2333,56.35,10890,0.741,52.9741,7831
DE288,NL013,3,Calidris canutus,11.4333,54.0166,102030,4.7667,52.9167,6000
DK057,UK077,3,Calidris canutus,8.5333,55.2667,115850,0.29,52.9366,69908
UK066,UK077,3,Calidris canutus,1.16533,51.9566,3670,0.29,52.9366,69908
DK043,UK077,3,Calidris canutus,8.25,56,27720,0.29,52.9366,69908
UK014,UK077,3,Calidris canutus,-0.9388,50.8056,5795,0.29,52.9366,69908
UK041,UK057,3,Calidris canutus,-2.8301,53.2998,5007,-3.0371,53.6618,12408
DE291,UK077,3,Calidris canutus,8.3,54.2,800000,0.29,52.9366,69908
IS014,UK041,3,Calidris canutus,-22,64.0667,3300,-2.8301,53.2998,5007
FR025,PL012,3,Calidris canutus,-1.9167,46.9,47000,18.6167,54.5667,56000
UK025,UK047,3,Calidris canutus,-2.5158,53.9815,79978,0.741,52.9741,7831
NL020,NL028,3,Calidris canutus,3.5833,51.7167,107000,3.9333,51.5833,36880
UK025,UK057,3,Calidris canutus,-2.5158,53.9815,79978,-3.0371,53.6618,12408
FR051,PL013,3,Calidris canutus,1.7,50.2667,5550,18.95,54.35,485
FR025,PL013,2,Calidris canutus,-1.9167,46.9,47000,18.95,54.35,485
NL020,PL013,2,Calidris canutus,3.5833,51.7167,107000,18.95,54.35,485
UK041,UK075,2,Calidris canutus,-2.8301,53.2998,5007,-0.8993,53.6375,3337
FR063,SE055,2,Calidris canutus,1.6333,50.4667,1500,16.4,56.2,1610
UK044,UK047,2,Calidris canutus,-2.9781,54.104,36859,0.741,52.9741,7831
PL012,UK049,2,Calidris canutus,18.6167,54.5667,56000,-0.8706,54.3806,143490
NL013,UK041,2,Calidris canutus,4.7667,52.9167,6000,-2.8301,53.2998,5007
FR060,PL012,2,Calidris canutus,1.6,50.25,18200,18.6167,54.5667,56000
UK012,UK077,2,Calidris canutus,-2.5203,50.6131,985,0.29,52.9366,69908
