iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
PL012,PL013,52,Calidris ferruginea,18.6167,54.5667,56000,18.95,54.35,485
PL012,SE055,8,Calidris ferruginea,18.6167,54.5667,56000,16.4,56.2,1610
DE288,PL013,7,Calidris ferruginea,11.4333,54.0166,102030,18.95,54.35,485
FR051,SE055,5,Calidris ferruginea,1.7,50.2667,5550,16.4,56.2,1610
PL013,SE055,4,Calidris ferruginea,18.95,54.35,485,16.4,56.2,1610
FR198,SE055,4,Calidris ferruginea,-1,45.4333,22250,16.4,56.2,1610
FI083,PL013,4,Calidris ferruginea,21.6,61.5333,15441,18.95,54.35,485
ES238,SE055,4,Calidris ferruginea,-5.1667,37.4167,62200,16.4,56.2,1610
FR060,SE061,3,Calidris ferruginea,1.6,50.25,18200,12.9167,55.4167,20000
IT119,PL013,3,Calidris ferruginea,13.85,41.75,110000,18.95,54.35,485
SE055,SE061,3,Calidris ferruginea,16.4,56.2,1610,12.9167,55.4167,20000
FR101,SE055,3,Calidris ferruginea,-1,45.95,5400,16.4,56.2,1610
FI083,SE055,3,Calidris ferruginea,21.6,61.5333,15441,16.4,56.2,1610
ES238,UA069,3,Calidris ferruginea,-5.1667,37.4167,62200,34.5833,46.1667,245000
IT076,PL012,3,Calidris ferruginea,12.35,44.25,989,18.6167,54.5667,56000
SE055,UA069,2,Calidris ferruginea,16.4,56.2,1610,34.5833,46.1667,245000
DE050,PL013,2,Calidris ferruginea,12.9,53.35,46870,18.95,54.35,485
DK051,SE055,2,Calidris ferruginea,8.7,55.3333,6660,16.4,56.2,1610
PL013,UA069,2,Calidris ferruginea,18.95,54.35,485,34.5833,46.1667,245000
DE058,DE288,2,Calidris ferruginea,8.16666,53.55,235071,11.4333,54.0166,102030
FI083,SE061,2,Calidris ferruginea,21.6,61.5333,15441,12.9167,55.4167,20000
DE288,SE055,2,Calidris ferruginea,11.4333,54.0166,102030,16.4,56.2,1610
FI083,FR101,2,Calidris ferruginea,21.6,61.5333,15441,-1,45.95,5400
DK111,SE055,2,Calidris ferruginea,12.5333,55.5833,6210,16.4,56.2,1610
DE291,PL012,2,Calidris ferruginea,8.3,54.2,800000,18.6167,54.5667,56000
GR005,UA069,2,Calidris ferruginea,25.9167,40.9667,71800,34.5833,46.1667,245000
FI083,UA069,2,Calidris ferruginea,21.6,61.5333,15441,34.5833,46.1667,245000
DK103,SE055,2,Calidris ferruginea,12.15,55.5667,100,16.4,56.2,1610
FR032,SE055,2,Calidris ferruginea,-0.8167,46.4333,18700,16.4,56.2,1610
FR159,SE055,2,Calidris ferruginea,5.0167,46.0333,79800,16.4,56.2,1610
DE288,PL012,2,Calidris ferruginea,11.4333,54.0166,102030,18.6167,54.5667,56000
ES223,IT203,1,Calidris ferruginea,-3.6667,36.8333,125000,15.9167,41.4167,207378
LT003,PL013,1,Calidris ferruginea,21.1667,55.4167,9720,18.95,54.35,485
DE050,DE288,1,Calidris ferruginea,12.9,53.35,46870,11.4333,54.0166,102030
IT119,PL044,1,Calidris ferruginea,13.85,41.75,110000,18.6833,51.7833,4300
PL013,UK077,1,Calidris ferruginea,18.95,54.35,485,0.29,52.9366,69908
DE107,PL013,1,Calidris ferruginea,9.16666,53.85,19310,18.95,54.35,485
DE151,FR060,1,Calidris ferruginea,12.2666,52.75,16775,1.6,50.25,18200
IT167,PL013,1,Calidris ferruginea,15.05,36.7333,2963,18.95,54.35,485
DE044,GR011,1,Calidris ferruginea,13.5166,54.2166,103155,25.0833,41.0167,15300
DE008,PL013,1,Calidris ferruginea,10.35,54.4166,9680,18.95,54.35,485
GR005,PL013,1,Calidris ferruginea,25.9167,40.9667,71800,18.95,54.35,485
CZ009,PL012,1,Calidris ferruginea,16.6,48.9,1046,18.6167,54.5667,56000
DE288,FR051,1,Calidris ferruginea,11.4333,54.0166,102030,1.7,50.2667,5550
PL044,SE055,1,Calidris ferruginea,18.6833,51.7833,4300,16.4,56.2,1610
BE001,BE004,1,Calidris ferruginea,2.75,51.2,17000,3.1833,51.35,230
FR239,PL012,1,Calidris ferruginea,4.6,43.5167,76500,18.6167,54.5667,56000
DE122,DE142,1,Calidris ferruginea,11,51.4333,1454,14.15,52.9833,11779
IT146,PL013,1,Calidris ferruginea,18.3333,40.35,620,18.95,54.35,485
IT119,UK014,1,Calidris ferruginea,13.85,41.75,110000,-0.9388,50.8056,5795
PL013,UA095,1,Calidris ferruginea,18.95,54.35,485,34.0667,45.9167,800
DK082,PL012,1,Calidris ferruginea,11.95,54.6333,1710,18.6167,54.5667,56000
LT006,PL013,1,Calidris ferruginea,21.25,55.3,26625,18.95,54.35,485
UA040,UK077,1,Calidris ferruginea,36.1,48.1167,300,0.29,52.9366,69908
GR005,PL012,1,Calidris ferruginea,25.9167,40.9667,71800,18.6167,54.5667,56000
DK083,DK111,1,Calidris ferruginea,11.7167,54.55,100000,12.5333,55.5833,6210
ES238,PL012,1,Calidris ferruginea,-5.1667,37.4167,62200,18.6167,54.5667,56000
DE050,FR062,1,Calidris ferruginea,12.9,53.35,46870,1.5667,50.5333,5050
PL013,PL042,1,Calidris ferruginea,18.95,54.35,485,19.2333,52.5167,800
SE055,UK012,1,Calidris ferruginea,16.4,56.2,1610,-2.5203,50.6131,985
FI089,IT028,1,Calidris ferruginea,21.5,59.8,73500,10,45,25000
DK038,SE055,1,Calidris ferruginea,8.2333,56.35,10890,16.4,56.2,1610
DK030,NL001,1,Calidris ferruginea,10.3333,56,370,5.3833,53.3,272100
SE055,UA092,1,Calidris ferruginea,16.4,56.2,1610,31,46.8167,11000
ES238,PL013,1,Calidris ferruginea,-5.1667,37.4167,62200,18.95,54.35,485
DE196,SE055,1,Calidris ferruginea,11.75,50.6666,2350,16.4,56.2,1610
FI046,PL013,1,Calidris ferruginea,21.2667,62.0667,7435,18.95,54.35,485
BE001,SE055,1,Calidris ferruginea,2.75,51.2,17000,16.4,56.2,1610
DK103,FI083,1,Calidris ferruginea,12.15,55.5667,100,21.6,61.5333,15441
