iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
PL012,PL013,28,Calidris minuta,18.6167,54.5667,56000,18.95,54.35,485
FR239,SE055,13,Calidris minuta,4.6,43.5167,76500,16.4,56.2,1610
FI083,PL013,10,Calidris minuta,21.6,61.5333,15441,18.95,54.35,485
FR239,PL013,7,Calidris minuta,4.6,43.5167,76500,18.95,54.35,485
IT072,SE055,4,Calidris minuta,12.1667,44.6167,44013,16.4,56.2,1610
CZ009,PL013,4,Calidris minuta,16.6,48.9,1046,18.95,54.35,485
FI083,FR239,4,Calidris minuta,21.6,61.5333,15441,4.6,43.5167,76500
IT076,SE055,3,Calidris minuta,12.35,44.25,989,16.4,56.2,1610
BE004,PL013,3,Calidris minuta,3.1833,51.35,230,18.95,54.35,485
DE288,PL013,3,Calidris minuta,11.4333,54.0166,102030,18.95,54.35,485
CH010,FR239,2,Calidris minuta,6.7333,46.8167,690,4.6,43.5167,76500
FI083,PL015,2,Calidris minuta,21.6,61.5333,15441,19.45,54.0667,3021
FR051,SE055,2,Calidris minuta,1.7,50.2667,5550,16.4,56.2,1610
DE257,FR239,2,Calidris minuta,11.7333,48.2166,986,4.6,43.5167,76500
FR239,SE052,2,Calidris minuta,4.6,43.5167,76500,12.2167,57.1167,355
FR051,PL013,2,Calidris minuta,1.7,50.2667,5550,18.95,54.35,485
FR213,SE055,2,Calidris minuta,3.1333,43.1667,10400,16.4,56.2,1610
FI083,SE055,2,Calidris minuta,21.6,61.5333,15441,16.4,56.2,1610
FR234,SE055,2,Calidris minuta,4.3,43.6333,19300,16.4,56.2,1610
CZ007,PL013,2,Calidris minuta,14.2833,49,341,18.95,54.35,485
FR033,SE055,2,Calidris minuta,-1,46.3333,77900,16.4,56.2,1610
FI083,FR217,2,Calidris minuta,21.6,61.5333,15441,2.6,43.0167,74750
IT077,SE055,2,Calidris minuta,10.3333,43.85,3795,16.4,56.2,1610
DE050,DE288,2,Calidris minuta,12.9,53.35,46870,11.4333,54.0166,102030
IT064,SE055,2,Calidris minuta,12.4667,45.3667,68982,16.4,56.2,1610
DE050,FR239,2,Calidris minuta,12.9,53.35,46870,4.6,43.5167,76500
FR176,SE055,2,Calidris minuta,-1.1167,44.6667,20100,16.4,56.2,1610
DE288,UK073,1,Calidris minuta,11.4333,54.0166,102030,0.53333,51.4666,9357
CZ010,SE055,1,Calidris minuta,16.6667,48.8166,8539,16.4,56.2,1610
DK128,ES148,1,Calidris minuta,11,57.2,580000,0.7333,40.7167,32000
FR274,SE055,1,Calidris minuta,9.4667,42.05,5200,16.4,56.2,1610
IT071,NO044,1,Calidris minuta,12.25,44.7833,7081,5.5667,58.8167,13500
FR214,SE055,1,Calidris minuta,3,42.8833,13650,16.4,56.2,1610
DK098,ES158,1,Calidris minuta,11,55.3333,4920,-1.1333,39.3333,163000
BE001,FR101,1,Calidris minuta,2.75,51.2,17000,-1,45.95,5400
DK023,FR239,1,Calidris minuta,8.25,56.75,5490,4.6,43.5167,76500
DE008,SE061,1,Calidris minuta,10.35,54.4166,9680,12.9167,55.4167,20000
DE050,FR051,1,Calidris minuta,12.9,53.35,46870,1.7,50.2667,5550
FR229,SE052,1,Calidris minuta,3.2,43.2667,4850,12.2167,57.1167,355
FI083,IT111,1,Calidris minuta,21.6,61.5333,15441,12.0667,42.1333,75000
FR242,SE055,1,Calidris minuta,5.15,43.4667,530,16.4,56.2,1610
DE050,DE122,1,Calidris minuta,12.9,53.35,46870,11,51.4333,1454
FR146,SE055,1,Calidris minuta,3.4,46.4667,17900,16.4,56.2,1610
DE122,FR060,1,Calidris minuta,11,51.4333,1454,1.6,50.25,18200
FR142,SE055,1,Calidris minuta,4.8,47.1333,63600,16.4,56.2,1610
UK003,UK073,1,Calidris minuta,-0.549,50.9051,1413,0.53333,51.4666,9357
DE122,SE055,1,Calidris minuta,11,51.4333,1454,16.4,56.2,1610
DE050,ES260,1,Calidris minuta,12.9,53.35,46870,-6.65,37.3667,56500
FR078,SE055,1,Calidris minuta,6.7833,48.8,1660,16.4,56.2,1610
DE142,FR045,1,Calidris minuta,14.15,52.9833,11779,0.3,49.4333,21100
BE010,SE055,1,Calidris minuta,4.1,51.05,7923,16.4,56.2,1610
UK007,UK073,1,Calidris minuta,0.66666,51.5166,2373,0.53333,51.4666,9357
FR224,SE055,1,Calidris minuta,4.4,43.9167,19500,16.4,56.2,1610
FR051,UK019,1,Calidris minuta,1.7,50.2667,5550,0.83,50.9755,9805
DE185,SE055,1,Calidris minuta,8.51666,49.6,7000,16.4,56.2,1610
DE121,FR033,1,Calidris minuta,12.05,52,6207,-1,46.3333,77900
DE304,SE055,1,Calidris minuta,12.9,54.4333,203810,16.4,56.2,1610
DE288,UK014,1,Calidris minuta,11.4333,54.0166,102030,-0.9388,50.8056,5795
AT037,SE033,1,Calidris minuta,13.2,48.3,1699,15.3667,59.1667,800
DE288,FR220,1,Calidris minuta,11.4333,54.0166,102030,3.9667,43.5333,12700
DE181,SE055,1,Calidris minuta,8.38333,49.9,10500,16.4,56.2,1610
DE288,FR063,1,Calidris minuta,11.4333,54.0166,102030,1.6333,50.4667,1500
BE004,SE055,1,Calidris minuta,3.1833,51.35,230,16.4,56.2,1610
FR239,UK040,1,Calidris minuta,4.6,43.5167,76500,0.66433,51.3996,4668
ES148,ES321,1,Calidris minuta,0.7333,40.7167,32000,3.0833,39.3167,2397
CH012,FR245,1,Calidris minuta,8.2167,47.55,410,4.8,43.4833,5650
FR220,SE055,1,Calidris minuta,3.9667,43.5333,12700,16.4,56.2,1610
CH012,CH013,1,Calidris minuta,8.2167,47.55,410,8.8167,47.6333,480
FR034,SE055,1,Calidris minuta,-0.95,49.4,2300,16.4,56.2,1610
DE517,FR235,1,Calidris minuta,8.36666,49.5666,400,4.2667,43.5167,21000
FR239,SE061,1,Calidris minuta,4.6,43.5167,76500,12.9167,55.4167,20000
UK040,UK068,1,Calidris minuta,0.66433,51.3996,4668,0.84283,51.3606,6486
FR115,UK019,1,Calidris minuta,-1.1,45.7667,14800,0.83,50.9755,9805
FI028,NL010,1,Calidris minuta,25.1667,64.9167,81781,6.25,53.5,2800
DE044,SE061,1,Calidris minuta,13.5166,54.2166,103155,12.9167,55.4167,20000
DE217,FR239,1,Calidris minuta,8.5,49.2666,1040,4.6,43.5167,76500
FR030,SE055,1,Calidris minuta,-1.5,47.3,2700,16.4,56.2,1610
FI090,PL013,1,Calidris minuta,22.6167,60.3833,696,18.95,54.35,485
BE001,SE055,1,Calidris minuta,2.75,51.2,17000,16.4,56.2,1610
FI083,SK030,1,Calidris minuta,21.6,61.5333,15441,22.0833,48.7,1440
FI039,FR239,1,Calidris minuta,23.1667,63.8667,240,4.6,43.5167,76500
ES109,FI083,1,Calidris minuta,0.2,41.7833,9450,21.6,61.5333,15441
DE417,FI083,1,Calidris minuta,6.53333,50.8833,1549,21.6,61.5333,15441
BE002,PL013,1,Calidris minuta,2.6667,51.1333,1415,18.95,54.35,485
IT064,PL013,1,Calidris minuta,12.4667,45.3667,68982,18.95,54.35,485
PL015,SE055,1,Calidris minuta,19.45,54.0667,3021,16.4,56.2,1610
FI083,FR247,1,Calidris minuta,21.6,61.5333,15441,6.1833,43.1,1000
CZ010,FI046,1,Calidris minuta,16.6667,48.8166,8539,21.2667,62.0667,7435
IT072,PL013,1,Calidris minuta,12.1667,44.6167,44013,18.95,54.35,485
FI046,PL013,1,Calidris minuta,21.2667,62.0667,7435,18.95,54.35,485
MT002,PL012,1,Calidris minuta,14.3333,36.0167,260,18.6167,54.5667,56000
MT002,PL042,1,Calidris minuta,14.3333,36.0167,260,19.2333,52.5167,800
FI083,FR051,1,Calidris minuta,21.6,61.5333,15441,1.7,50.2667,5550
FI083,IT062,1,Calidris minuta,21.6,61.5333,15441,13.3167,45.75,32815
FR131,PL013,1,Calidris minuta,1.8167,47.4833,37500,18.95,54.35,485
IT070,PL013,1,Calidris minuta,12.2667,44.9333,17000,18.95,54.35,485
IT203,PL013,1,Calidris minuta,15.9167,41.4167,207378,18.95,54.35,485
FI089,FR239,1,Calidris minuta,21.5,59.8,73500,4.6,43.5167,76500
ES254,FI083,1,Calidris minuta,-5.5667,36.75,2500,21.6,61.5333,15441
ES148,FR101,1,Calidris minuta,0.7333,40.7167,32000,-1,45.95,5400
DE257,FR213,1,Calidris minuta,11.7333,48.2166,986,3.1333,43.1667,10400
