iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DK009,DK011,11,Cepphus grylle,10.9333,57.3667,2923,10.6333,57.4833,220
FI045,SE011,11,Cepphus grylle,21.0833,63.3333,223652,20.8936,63.7023,25000
FI077,PL012,9,Cepphus grylle,25.6667,60.1667,22570,18.6167,54.5667,56000
DK009,DK076,6,Cepphus grylle,10.9333,57.3667,2923,10.2167,55.6,13060
FI045,SE010,6,Cepphus grylle,21.0833,63.3333,223652,20.3167,63.75,1500
DK009,DK102,5,Cepphus grylle,10.9333,57.3667,2923,11.8333,55.9667,4000
DK075,DK094,5,Cepphus grylle,10.5667,55.5,5060,11.3,55.8333,40250
DK009,DK128,5,Cepphus grylle,10.9333,57.3667,2923,11,57.2,580000
DK080,FI045,4,Cepphus grylle,14.9667,55.1333,6090,21.0833,63.3333,223652
DK011,DK128,4,Cepphus grylle,10.6333,57.4833,220,11,57.2,580000
EE072,FI077,4,Cepphus grylle,25.2333,59.5666,2511,25.6667,60.1667,22570
FI045,SE068,4,Cepphus grylle,21.0833,63.3333,223652,16.5,57.25,9700
EE073,FI077,4,Cepphus grylle,25.8666,59.5833,72504,25.6667,60.1667,22570
DK005,DK009,3,Cepphus grylle,10.35,57.55,4480,10.9333,57.3667,2923
EE073,FI082,3,Cepphus grylle,25.8666,59.5833,72504,24.5,59.9333,11808
DK094,DK102,3,Cepphus grylle,11.3,55.8333,40250,11.8333,55.9667,4000
FI045,PL012,3,Cepphus grylle,21.0833,63.3333,223652,18.6167,54.5667,56000
DK011,DK036,3,Cepphus grylle,10.6333,57.4833,220,10.1667,55.85,42880
FI077,PL013,3,Cepphus grylle,25.6667,60.1667,22570,18.95,54.35,485
DK011,DK094,3,Cepphus grylle,10.6333,57.4833,220,11.3,55.8333,40250
EE070,FI077,3,Cepphus grylle,24.2166,59.35,21039,25.6667,60.1667,22570
DK011,DK125,3,Cepphus grylle,10.6333,57.4833,220,10.6,57.75,1800
EE073,FI075,3,Cepphus grylle,25.8666,59.5833,72504,26.3333,60.2167,18250
DK009,SE057,3,Cepphus grylle,10.9333,57.3667,2923,12.729,56.2328,1370
FI045,SE073,3,Cepphus grylle,21.0833,63.3333,223652,15.15,56.1333,59300
DK076,DK094,3,Cepphus grylle,10.2167,55.6,13060,11.3,55.8333,40250
DK032,DK094,2,Cepphus grylle,11.5833,56.7167,2000,11.3,55.8333,40250
DK131,FI045,2,Cepphus grylle,14.5333,54.4,623500,21.0833,63.3333,223652
IE110,IE116,2,Cepphus grylle,-6.05,53.3667,102,-6.0833,53.5667,62
EE009,FI077,2,Cepphus grylle,23.9833,58.9333,7636,25.6667,60.1667,22570
DK009,DK031,2,Cepphus grylle,10.9333,57.3667,2923,10.6667,55.9,15450
FI045,SE024,2,Cepphus grylle,21.0833,63.3333,223652,18.5,60.3333,18000
DK009,DK125,2,Cepphus grylle,10.9333,57.3667,2923,10.6,57.75,1800
FI077,LV004,2,Cepphus grylle,25.6667,60.1667,22570,21.05,56.45,4818
DK094,DK130,2,Cepphus grylle,11.3,55.8333,40250,11.4666,55.0666,135300
FI077,SE027,2,Cepphus grylle,25.6667,60.1667,22570,19.3333,59.4167,9100
DK036,DK094,2,Cepphus grylle,10.1667,55.85,42880,11.3,55.8333,40250
DE040,FI045,2,Cepphus grylle,14.0833,54.3,333425,21.0833,63.3333,223652
DK011,DK102,2,Cepphus grylle,10.6333,57.4833,220,11.8333,55.9667,4000
FI045,SE013,2,Cepphus grylle,21.0833,63.3333,223652,18.6167,62.95,4
SE064,SE068,2,Cepphus grylle,17.9666,58.9166,40100,16.5,57.25,9700
FI045,SE050,2,Cepphus grylle,21.0833,63.3333,223652,18.95,57.4,152500
PL012,SE027,1,Cepphus grylle,18.6167,54.5667,56000,19.3333,59.4167,9100
UK199,UK235,1,Cepphus grylle,-2.8975,59.0428,33,-3.0963,59.1806,631
DK011,SE057,1,Cepphus grylle,10.6333,57.4833,220,12.729,56.2328,1370
FI045,SE008,1,Cepphus grylle,21.0833,63.3333,223652,22.5,65.3333,2500
DK047,DK075,1,Cepphus grylle,9.7167,55.35,35060,10.5667,55.5,5060
DK079,FI045,1,Cepphus grylle,15.1833,55.3167,1257,21.0833,63.3333,223652
DK011,DK097,1,Cepphus grylle,10.6333,57.4833,220,11.6667,55.9167,240
