iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL024,NL026,9,Charadrius alexandrinus,4.25,51.7667,10900,4.25,51.65,6450
ES140,ES148,5,Charadrius alexandrinus,2.1333,41.2667,2200,0.7333,40.7167,32000
NL020,NL032,4,Charadrius alexandrinus,3.5833,51.7167,107000,3.8333,51.3833,50800
NL024,NL029,3,Charadrius alexandrinus,4.25,51.7667,10900,4.2,51.5,1175
NL020,NL029,3,Charadrius alexandrinus,3.5833,51.7167,107000,4.2,51.5,1175
NL020,NL024,3,Charadrius alexandrinus,3.5833,51.7167,107000,4.25,51.7667,10900
ES140,ES141,3,Charadrius alexandrinus,2.1333,41.2667,2200,1.5,41.3333,44300
BE004,BE006,2,Charadrius alexandrinus,3.1833,51.35,230,3.35,51.3333,1820
NL020,NL027,2,Charadrius alexandrinus,3.5833,51.7167,107000,4,51.75,13900
SE059,SE061,2,Charadrius alexandrinus,12.8333,55.8667,20000,12.9167,55.4167,20000
NL023,NL032,2,Charadrius alexandrinus,4,51.8333,430,3.8333,51.3833,50800
DE289,SE061,2,Charadrius alexandrinus,8.81666,54.4833,441000,12.9167,55.4167,20000
ES138,ES140,2,Charadrius alexandrinus,3.2167,42.0333,21,2.1333,41.2667,2200
BE004,NL020,2,Charadrius alexandrinus,3.1833,51.35,230,3.5833,51.7167,107000
FR118,NL071,1,Charadrius alexandrinus,-0.8,45.4333,2580,4.9333,52.45,1960
BE006,NL032,1,Charadrius alexandrinus,3.35,51.3333,1820,3.8333,51.3833,50800
NL020,NL028,1,Charadrius alexandrinus,3.5833,51.7167,107000,3.9333,51.5833,36880
BE006,FR032,1,Charadrius alexandrinus,3.35,51.3333,1820,-0.8167,46.4333,18700
NL024,NL032,1,Charadrius alexandrinus,4.25,51.7667,10900,3.8333,51.3833,50800
DE058,SE061,1,Charadrius alexandrinus,8.16666,53.55,235071,12.9167,55.4167,20000
NL024,NL027,1,Charadrius alexandrinus,4.25,51.7667,10900,4,51.75,13900
BE006,FR198,1,Charadrius alexandrinus,3.35,51.3333,1820,-1,45.4333,22250
ES317,ES324,1,Charadrius alexandrinus,3.1667,39.8667,2500,2.9167,39.15,10000
BE006,FR063,1,Charadrius alexandrinus,3.35,51.3333,1820,1.6333,50.4667,1500
ES321,ES324,1,Charadrius alexandrinus,3.0833,39.3167,2397,2.9167,39.15,10000
BE001,NL071,1,Charadrius alexandrinus,2.75,51.2,17000,4.9333,52.45,1960
NL031,NL032,1,Charadrius alexandrinus,3.7333,51.5333,3010,3.8333,51.3833,50800
BE011,FR051,1,Charadrius alexandrinus,4.25,51.3167,7570,1.7,50.2667,5550
NL026,NL042,1,Charadrius alexandrinus,4.25,51.65,6450,5.6667,52.3833,3390
BE004,NL032,1,Charadrius alexandrinus,3.1833,51.35,230,3.8333,51.3833,50800
NL029,UK019,1,Charadrius alexandrinus,4.2,51.5,1175,0.83,50.9755,9805
FR197,SE061,1,Charadrius alexandrinus,-0.8667,44.0167,2430,12.9167,55.4167,20000
FR060,NL021,1,Charadrius alexandrinus,1.6,50.25,18200,4.0333,51.9167,350
ES140,FR213,1,Charadrius alexandrinus,2.1333,41.2667,2200,3.1333,43.1667,10400
NL028,NL029,1,Charadrius alexandrinus,3.9333,51.5833,36880,4.2,51.5,1175
DE289,ES148,1,Charadrius alexandrinus,8.81666,54.4833,441000,0.7333,40.7167,32000
FR030,NL032,1,Charadrius alexandrinus,-1.5,47.3,2700,3.8333,51.3833,50800
ES137,ES317,1,Charadrius alexandrinus,3.1167,42.2,5454,3.1667,39.8667,2500
ES263,NL020,1,Charadrius alexandrinus,-7.35,37.2166,3390,3.5833,51.7167,107000
DE289,ES238,1,Charadrius alexandrinus,8.81666,54.4833,441000,-5.1667,37.4167,62200
NL009,NL021,1,Charadrius alexandrinus,6.05,53.45,720,4.0333,51.9167,350
BE001,FR032,1,Charadrius alexandrinus,2.75,51.2,17000,-0.8167,46.4333,18700
ES138,FR220,1,Charadrius alexandrinus,3.2167,42.0333,21,3.9667,43.5333,12700
FR176,SE061,1,Charadrius alexandrinus,-1.1167,44.6667,20100,12.9167,55.4167,20000
NL032,NL071,1,Charadrius alexandrinus,3.8333,51.3833,50800,4.9333,52.45,1960
DE058,NL001,1,Charadrius alexandrinus,8.16666,53.55,235071,5.3833,53.3,272100
NL021,NL071,1,Charadrius alexandrinus,4.0333,51.9167,350,4.9333,52.45,1960
FR063,NL071,1,Charadrius alexandrinus,1.6333,50.4667,1500,4.9333,52.45,1960
ES148,FR239,1,Charadrius alexandrinus,0.7333,40.7167,32000,4.6,43.5167,76500
FR176,NL071,1,Charadrius alexandrinus,-1.1167,44.6667,20100,4.9333,52.45,1960
BE011,NL020,1,Charadrius alexandrinus,4.25,51.3167,7570,3.5833,51.7167,107000
ES254,NL001,1,Charadrius alexandrinus,-5.5667,36.75,2500,5.3833,53.3,272100
DE340,FR025,1,Charadrius alexandrinus,8.71666,53.5,671,-1.9167,46.9,47000
DK103,SE061,1,Charadrius alexandrinus,12.15,55.5667,100,12.9167,55.4167,20000
NL020,NL026,1,Charadrius alexandrinus,3.5833,51.7167,107000,4.25,51.65,6450
DK057,NL032,1,Charadrius alexandrinus,8.5333,55.2667,115850,3.8333,51.3833,50800
IT165,IT167,1,Charadrius alexandrinus,14.9833,37.1167,3712,15.05,36.7333,2963
DK094,FR060,1,Charadrius alexandrinus,11.3,55.8333,40250,1.6,50.25,18200
FR239,NL071,1,Charadrius alexandrinus,4.6,43.5167,76500,4.9333,52.45,1960
ES148,IT071,1,Charadrius alexandrinus,0.7333,40.7167,32000,12.25,44.7833,7081
NL010,PT021,1,Charadrius alexandrinus,6.25,53.5,2800,-8.9333,38.8167,45071
IT071,IT072,1,Charadrius alexandrinus,12.25,44.7833,7081,12.1667,44.6167,44013
NL013,NL071,1,Charadrius alexandrinus,4.7667,52.9167,6000,4.9333,52.45,1960
DK103,DK111,1,Charadrius alexandrinus,12.15,55.5667,100,12.5333,55.5833,6210
AT001,FR239,1,Charadrius alexandrinus,16.9666,47.7333,3729,4.6,43.5167,76500
BE004,FR024,1,Charadrius alexandrinus,3.1833,51.35,230,-1.6667,47.0833,5600
AT001,IT077,1,Charadrius alexandrinus,16.9666,47.7333,3729,10.3333,43.85,3795
NL020,NL038,1,Charadrius alexandrinus,3.5833,51.7167,107000,5.25,52.5333,69700
AT003,IT071,1,Charadrius alexandrinus,16.8333,47.75,13995,12.25,44.7833,7081
NL024,NL071,1,Charadrius alexandrinus,4.25,51.7667,10900,4.9333,52.45,1960
BE006,FR051,1,Charadrius alexandrinus,3.35,51.3333,1820,1.7,50.2667,5550
FR198,NL071,1,Charadrius alexandrinus,-1,45.4333,22250,4.9333,52.45,1960
DK111,SE061,1,Charadrius alexandrinus,12.5333,55.5833,6210,12.9167,55.4167,20000
FR102,NL071,1,Charadrius alexandrinus,-0.6667,45.7667,8300,4.9333,52.45,1960
BE011,FR023,1,Charadrius alexandrinus,4.25,51.3167,7570,-1.8167,47.2667,21400
FR198,NL028,1,Charadrius alexandrinus,-1,45.4333,22250,3.9333,51.5833,36880
DK057,DK065,1,Charadrius alexandrinus,8.5333,55.2667,115850,8.5333,55.05,7010
NL038,NL071,1,Charadrius alexandrinus,5.25,52.5333,69700,4.9333,52.45,1960
DK036,DK053,1,Charadrius alexandrinus,10.1667,55.85,42880,8.4,55.4333,4370
