iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
FR239,NL071,9,Charadrius dubius,4.6,43.5167,76500,4.9333,52.45,1960
BE012,FR239,3,Charadrius dubius,4.35,51.2667,194,4.6,43.5167,76500
ES222,ES223,3,Charadrius dubius,-3.1667,37.0833,245000,-3.6667,36.8333,125000
BE011,FR239,2,Charadrius dubius,4.25,51.3167,7570,4.6,43.5167,76500
SE031,SE033,2,Charadrius dubius,15.0333,59.3,600,15.3667,59.1667,800
BE019,IT073,1,Charadrius dubius,5.1833,51.2833,5400,11.8333,44.5667,2000
BE006,FR062,1,Charadrius dubius,3.35,51.3333,1820,1.5667,50.5333,5050
CH013,DE177,1,Charadrius dubius,8.8167,47.6333,480,8.71666,50.7,6200
SE061,SE062,1,Charadrius dubius,12.9167,55.4167,20000,13.6167,55.6167,3975
DE497,FR242,1,Charadrius dubius,7.5,50.4166,500,5.15,43.4667,530
BE001,BE006,1,Charadrius dubius,2.75,51.2,17000,3.35,51.3333,1820
ES223,PT034,1,Charadrius dubius,-3.6667,36.8333,125000,-7.4333,37.2,2147
SE061,SE071,1,Charadrius dubius,12.9167,55.4167,20000,13.6166,55.3833,9160
DE183,DE544,1,Charadrius dubius,8,50,4700,8.2,49.6,50
SE031,SE041,1,Charadrius dubius,15.0333,59.3,600,13.9,58.5667,1020
DE177,DE517,1,Charadrius dubius,8.71666,50.7,6200,8.36666,49.5666,400
DK105,SE062,1,Charadrius dubius,12.0833,55.75,13180,13.6167,55.6167,3975
DE519,DE597,1,Charadrius dubius,8.11666,49.3333,27000,9.16666,49.25,54
BE004,BE005,1,Charadrius dubius,3.1833,51.35,230,3.2167,51.25,9349
DE226,IT072,1,Charadrius dubius,9.8,48.2833,3980,12.1667,44.6167,44013
DK094,DK124,1,Charadrius dubius,11.3,55.8333,40250,12.5333,56.05,800
CH004,IT116,1,Charadrius dubius,7.1833,46.9667,16100,12,42,6300
PL013,SE063,1,Charadrius dubius,18.95,54.35,485,14.15,56.0167,5300
DK058,DK063,1,Charadrius dubius,9.45,54.95,1330,9.05,54.9,2690
BE004,BE006,1,Charadrius dubius,3.1833,51.35,230,3.35,51.3333,1820
DK058,DK062,1,Charadrius dubius,9.45,54.95,1330,9.2667,54.9333,930
IT064,SE060,1,Charadrius dubius,12.4667,45.3667,68982,13.0063,55.6881,5600
DE129,DE386,1,Charadrius dubius,12.0166,51.3833,5819,11.8833,51.3166,1000
BE001,ES210,1,Charadrius dubius,2.75,51.2,17000,-2.6667,38,250000
AT043,HU012,1,Charadrius dubius,15.9167,46.8,10500,18.5166,47.1666,1971
BE011,FR234,1,Charadrius dubius,4.25,51.3167,7570,4.3,43.6333,19300
FR239,NL034,1,Charadrius dubius,4.6,43.5167,76500,5.45,52.75,109000
ES317,ES324,1,Charadrius dubius,3.1667,39.8667,2500,2.9167,39.15,10000
NL039,NL071,1,Charadrius dubius,5.75,52.6,3900,4.9333,52.45,1960
BE006,FR234,1,Charadrius dubius,3.35,51.3333,1820,4.3,43.6333,19300
AT017,HU014,1,Charadrius dubius,16.7166,48.25,44138,18.3,47.65,3987
BE019,FR239,1,Charadrius dubius,5.1833,51.2833,5400,4.6,43.5167,76500
AT001,AT017,1,Charadrius dubius,16.9666,47.7333,3729,16.7166,48.25,44138
DK104,SE059,1,Charadrius dubius,12.05,55.5833,220,12.8333,55.8667,20000
DE180,DE209,1,Charadrius dubius,9.33333,51.0666,4000,13.3333,50.8166,153
DE294,SE061,1,Charadrius dubius,9.51666,54.1833,1000,12.9167,55.4167,20000
DE027,DE032,1,Charadrius dubius,10.7833,53.65,47400,10.3666,53.5333,7336
SE055,SE063,1,Charadrius dubius,16.4,56.2,1610,14.15,56.0167,5300
DE130,DE195,1,Charadrius dubius,11.9666,51.8333,2171,10.8666,51.1333,85
IT028,SE052,1,Charadrius dubius,10,45,25000,12.2167,57.1167,355
DE136,IT072,1,Charadrius dubius,13.8833,51.95,47344,12.1667,44.6167,44013
DK129,SE052,1,Charadrius dubius,11.7833,56.95,126000,12.2167,57.1167,355
BE005,NL071,1,Charadrius dubius,3.2167,51.25,9349,4.9333,52.45,1960
DK109,SE062,1,Charadrius dubius,12.4167,55.8,1290,13.6167,55.6167,3975
DE205,DE452,1,Charadrius dubius,14.5333,51.3166,35000,14.8,51.2666,1580
DK111,SE062,1,Charadrius dubius,12.5333,55.5833,6210,13.6167,55.6167,3975
FR119,NL071,1,Charadrius dubius,1.4167,47.6167,22200,4.9333,52.45,1960
DE271,FR239,1,Charadrius dubius,10.9666,48.7166,2317,4.6,43.5167,76500
DE195,FR235,1,Charadrius dubius,10.8666,51.1333,85,4.2667,43.5167,21000
DK053,PL058,1,Charadrius dubius,8.4,55.4333,4370,18.1167,50.7333,2200
DE196,IT072,1,Charadrius dubius,11.75,50.6666,2350,12.1667,44.6167,44013
DE217,FR239,1,Charadrius dubius,8.5,49.2666,1040,4.6,43.5167,76500
DE313,MT003,1,Charadrius dubius,12.1333,53.7666,5960,14.3667,36,4
DE130,DE456,1,Charadrius dubius,11.9666,51.8333,2171,12.3,51.3666,5738
FR051,UK001,1,Charadrius dubius,1.7,50.2667,5550,0.86416,51.8251,716
FI039,RU141,1,Charadrius dubius,23.1667,63.8667,240,39.4166,47.1666,53800
UK040,UK068,1,Charadrius dubius,0.66433,51.3996,4668,0.84283,51.3606,6486
BE006,NL032,1,Charadrius dubius,3.35,51.3333,1820,3.8333,51.3833,50800
NL071,NL089,1,Charadrius dubius,4.9333,52.45,1960,4.55,52.1167,770
ES212,ES217,1,Charadrius dubius,-2.0833,37.0333,82880,-2.5,37.0833,25000
FR239,NL068,1,Charadrius dubius,4.6,43.5167,76500,4.85,52.5667,2040
DE185,DE456,1,Charadrius dubius,8.51666,49.6,7000,12.3,51.3666,5738
DE311,IT023,1,Charadrius dubius,11.9166,54.1333,1830,9.65,45.2667,1000
DE028,HU026,1,Charadrius dubius,10.3,54.2166,470,20.1666,46.25,29483
NL068,NL071,1,Charadrius dubius,4.85,52.5667,2040,4.9333,52.45,1960
FR239,UK065,1,Charadrius dubius,4.6,43.5167,76500,1.18366,51.3103,479
DK084,DK104,1,Charadrius dubius,12,54.9167,8160,12.05,55.5833,220
ES303,FI083,1,Charadrius dubius,-6.2667,40.2667,55000,21.6,61.5333,15441
FR229,NL071,1,Charadrius dubius,3.2,43.2667,4850,4.9333,52.45,1960
DE275,DE456,1,Charadrius dubius,10.9166,49.75,50698,12.3,51.3666,5738
DE129,DE456,1,Charadrius dubius,12.0166,51.3833,5819,12.3,51.3666,5738
BE002,UK077,1,Charadrius dubius,2.6667,51.1333,1415,0.29,52.9366,69908
DE283,IT071,1,Charadrius dubius,10.8833,50.25,40000,12.25,44.7833,7081
BE003,NL071,1,Charadrius dubius,2.8333,51,5100,4.9333,52.45,1960
BE020,FR063,1,Charadrius dubius,5.1833,51.0167,7010,1.6333,50.4667,1500
