iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL038,NL044,23,Chlidonias niger,5.25,52.5333,69700,5.2,52.3167,2670
IT077,IT082,6,Chlidonias niger,10.3333,43.85,3795,10.2667,43.7667,7000
NL048,NL094,4,Chlidonias niger,6.0333,51.8833,6460,5.8333,52.1667,91800
IT077,NL038,4,Chlidonias niger,10.3333,43.85,3795,5.25,52.5333,69700
NL034,NL038,4,Chlidonias niger,5.45,52.75,109000,5.25,52.5333,69700
DE137,DE139,4,Chlidonias niger,12.6666,52.4666,41874,13.0333,52.5,3926
ES223,IT077,3,Chlidonias niger,-3.6667,36.8333,125000,10.3333,43.85,3795
DE137,DE138,3,Chlidonias niger,12.6666,52.4666,41874,12.8833,52.75,58614
DE136,DE152,3,Chlidonias niger,13.8833,51.95,47344,13.6833,52.4333,16
HU022,IT082,2,Chlidonias niger,19.25,46.8166,44339,10.2667,43.7667,7000
DE137,DE150,2,Chlidonias niger,12.6666,52.4666,41874,13.1666,52.0333,18147
DE137,DE152,2,Chlidonias niger,12.6666,52.4666,41874,13.6833,52.4333,16
IT082,IT089,1,Chlidonias niger,10.2667,43.7667,7000,10.55,43.2333,562
DE121,DE138,1,Chlidonias niger,12.05,52,6207,12.8833,52.75,58614
BG004,IT082,1,Chlidonias niger,23.4963,42.6783,2251,10.2667,43.7667,7000
DE137,NL038,1,Chlidonias niger,12.6666,52.4666,41874,5.25,52.5333,69700
ES148,IT082,1,Chlidonias niger,0.7333,40.7167,32000,10.2667,43.7667,7000
DE139,IT077,1,Chlidonias niger,13.0333,52.5,3926,10.3333,43.85,3795
NL038,NL039,1,Chlidonias niger,5.25,52.5333,69700,5.75,52.6,3900
DE152,NL038,1,Chlidonias niger,13.6833,52.4333,16,5.25,52.5333,69700
NL021,NL077,1,Chlidonias niger,4.0333,51.9167,350,4.7833,52.05,1650
IT082,NL038,1,Chlidonias niger,10.2667,43.7667,7000,5.25,52.5333,69700
PL013,SE063,1,Chlidonias niger,18.95,54.35,485,14.15,56.0167,5300
IT077,UA074,1,Chlidonias niger,10.3333,43.85,3795,38.0833,47.15,400
NL024,PL013,1,Chlidonias niger,4.25,51.7667,10900,18.95,54.35,485
IT082,UA078,1,Chlidonias niger,10.2667,43.7667,7000,38.1167,47.0833,2500
ES241,ES278,1,Chlidonias niger,-5.1,36.5833,105000,-6.5833,38.6667,12500
ES243,IT083,1,Chlidonias niger,-5.4167,36.6667,90500,11.0667,43.8,1000
NL038,NL103,1,Chlidonias niger,5.25,52.5333,69700,5.5,51.3333,2270
ES148,IT083,1,Chlidonias niger,0.7333,40.7167,32000,11.0667,43.8,1000
DE151,NL088,1,Chlidonias niger,12.2666,52.75,16775,5.6333,51.3833,1630
IT082,IT083,1,Chlidonias niger,10.2667,43.7667,7000,11.0667,43.8,1000
LT030,NL038,1,Chlidonias niger,23.6,54.4667,5442,5.25,52.5333,69700
DE268,IT077,1,Chlidonias niger,10.9166,47.55,28877,10.3333,43.85,3795
NL038,NL056,1,Chlidonias niger,5.25,52.5333,69700,5.9167,53.0333,1260
IT082,IT096,1,Chlidonias niger,10.2667,43.7667,7000,10.3333,42.8,76608
NL038,NL094,1,Chlidonias niger,5.25,52.5333,69700,5.8333,52.1667,91800
IT082,IT110,1,Chlidonias niger,10.2667,43.7667,7000,12.2,42.1667,31300
ES238,NL094,1,Chlidonias niger,-5.1667,37.4167,62200,5.8333,52.1667,91800
IT082,IT091,1,Chlidonias niger,10.2667,43.7667,7000,12.0833,43.15,13200
AT003,FR239,1,Chlidonias niger,16.8333,47.75,13995,4.6,43.5167,76500
BG001,IT082,1,Chlidonias niger,23.0611,42.9341,13180,10.2667,43.7667,7000
IT157,NL077,1,Chlidonias niger,12.3333,37.9833,47024,4.7833,52.05,1650
NL068,NL071,1,Chlidonias niger,4.85,52.5667,2040,4.9333,52.45,1960
FR060,NL070,1,Chlidonias niger,1.6,50.25,18200,4.8333,52.5167,1940
FR213,NL076,1,Chlidonias niger,3.1333,43.1667,10400,4.7833,52.15,2000
IT062,IT077,1,Chlidonias niger,13.3167,45.75,32815,10.3333,43.85,3795
IT072,RU069,1,Chlidonias niger,12.1667,44.6167,44013,32,55.5,146161
IT066,IT077,1,Chlidonias niger,13.7667,45.7333,18950,10.3333,43.85,3795
BE004,NL038,1,Chlidonias niger,3.1833,51.35,230,5.25,52.5333,69700
NL034,SE016,1,Chlidonias niger,5.45,52.75,109000,16.35,59.8833,1870
BE021,SE016,1,Chlidonias niger,5.3333,51.1167,8864,16.35,59.8833,1870
