iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DE124,DE149,121,Ciconia ciconia,11.7,52.9833,4234,11.65,53.0166,53110
ES255,PT029,75,Ciconia ciconia,-5.9167,36.6167,22000,-8,37.75,83579
DE181,DE429,64,Ciconia ciconia,8.38333,49.9,10500,8.58333,49.75,2400
DE231,DE242,45,Ciconia ciconia,9.03333,47.7,6053,9.11666,47.7666,6588
ES241,ES255,40,Ciconia ciconia,-5.1,36.5833,105000,-5.9167,36.6167,22000
FR159,FR220,39,Ciconia ciconia,5.0167,46.0333,79800,3.9667,43.5333,12700
CH003,DE225,38,Ciconia ciconia,7.65,47.4333,35000,7.51666,47.7166,1746
NL078,NL079,34,Ciconia ciconia,5,51.95,140,4.8,51.9,180
ES236,ES255,33,Ciconia ciconia,-6,37.8333,164840,-5.9167,36.6167,22000
DE228,DE601,32,Ciconia ciconia,9.61666,48.0833,3273,9.43333,48.1,4519
ES296,ES297,32,Ciconia ciconia,-5.8333,39.5,108500,-5.4167,39.6667,216230
DE106,DE319,30,Ciconia ciconia,10.75,53.3,53919,11.0166,53.3166,41730
DE460,DE461,29,Ciconia ciconia,13.3333,51.4,3396,13.45,51.35,10748
DE242,DE610,28,Ciconia ciconia,9.11666,47.7666,6588,9.4,47.9166,3425
DE149,DE151,28,Ciconia ciconia,11.65,53.0166,53110,12.2666,52.75,16775
DE205,DE452,28,Ciconia ciconia,14.5333,51.3166,35000,14.8,51.2666,1580
CH003,FR220,24,Ciconia ciconia,7.65,47.4333,35000,3.9667,43.5333,12700
ES255,PT030,23,Ciconia ciconia,-5.9167,36.6167,22000,-7.65,37.7,76578
DE070,DE149,23,Ciconia ciconia,11.2333,53.05,8023,11.65,53.0166,53110
CH003,ES255,22,Ciconia ciconia,7.65,47.4333,35000,-5.9167,36.6167,22000
DE232,FR159,22,Ciconia ciconia,8.61666,49.1666,286,5.0167,46.0333,79800
DE070,DE319,21,Ciconia ciconia,11.2333,53.05,8023,11.0166,53.3166,41730
DE228,DE242,20,Ciconia ciconia,9.61666,48.0833,3273,9.11666,47.7666,6588
DE204,DE379,19,Ciconia ciconia,13.0166,51.6,14357,12.8,51.8,3354
DE242,FR220,19,Ciconia ciconia,9.11666,47.7666,6588,3.9667,43.5333,12700
DE215,DE519,18,Ciconia ciconia,8.31666,49.05,2000,8.11666,49.3333,27000
DE106,DE149,18,Ciconia ciconia,10.75,53.3,53919,11.65,53.0166,53110
CH003,FR159,17,Ciconia ciconia,7.65,47.4333,35000,5.0167,46.0333,79800
DE138,DE151,17,Ciconia ciconia,12.8833,52.75,58614,12.2666,52.75,16775
DE247,FR159,17,Ciconia ciconia,7.66666,48.1,9017,5.0167,46.0333,79800
DE215,DE251,16,Ciconia ciconia,8.31666,49.05,2000,8.9,48.95,394
DE181,FR159,16,Ciconia ciconia,8.38333,49.9,10500,5.0167,46.0333,79800
DE145,DE151,16,Ciconia ciconia,12.55,52.75,15805,12.2666,52.75,16775
DE185,ES241,16,Ciconia ciconia,8.51666,49.6,7000,-5.1,36.5833,105000
DE223,FR159,15,Ciconia ciconia,7.68333,48.25,4811,5.0167,46.0333,79800
DE124,DE151,15,Ciconia ciconia,11.7,52.9833,4234,12.2666,52.75,16775
DE429,FR159,15,Ciconia ciconia,8.58333,49.75,2400,5.0167,46.0333,79800
DE106,DE371,15,Ciconia ciconia,10.75,53.3,53919,10.9166,53.0333,4851
NL078,NL080,15,Ciconia ciconia,5,51.95,140,5.0667,51.8667,610
DE203,DE379,15,Ciconia ciconia,12.7666,51.5833,10034,12.8,51.8,3354
DE151,DE400,15,Ciconia ciconia,12.2666,52.75,16775,12.3666,52.6833,8221
DE231,DE610,14,Ciconia ciconia,9.03333,47.7,6053,9.4,47.9166,3425
DE127,DE149,14,Ciconia ciconia,11.5,52.6833,2207,11.65,53.0166,53110
ES076,ES188,14,Ciconia ciconia,-3.8667,40.8333,55000,-2.25,40.8,157000
DE149,DE387,14,Ciconia ciconia,11.65,53.0166,53110,11.8333,53.2333,57076
DE232,DE251,14,Ciconia ciconia,8.61666,49.1666,286,8.9,48.95,394
DE223,DE247,14,Ciconia ciconia,7.68333,48.25,4811,7.66666,48.1,9017
CH011,DE242,13,Ciconia ciconia,6.9167,46.8667,6800,9.11666,47.7666,6588
ES255,ES259,13,Ciconia ciconia,-5.9167,36.6167,22000,-6.4167,37,230000
DE215,FR220,13,Ciconia ciconia,8.31666,49.05,2000,3.9667,43.5333,12700
DE205,DE450,13,Ciconia ciconia,14.5333,51.3166,35000,14.1833,51.4,1708
DE448,DE461,13,Ciconia ciconia,13.7166,51.2666,1131,13.45,51.35,10748
DE185,FR159,13,Ciconia ciconia,8.51666,49.6,7000,5.0167,46.0333,79800
DE601,DE610,12,Ciconia ciconia,9.43333,48.1,4519,9.4,47.9166,3425
DE448,DE460,12,Ciconia ciconia,13.7166,51.2666,1131,13.3333,51.4,3396
DE217,DE519,12,Ciconia ciconia,8.5,49.2666,1040,8.11666,49.3333,27000
ES255,FR159,12,Ciconia ciconia,-5.9167,36.6167,22000,5.0167,46.0333,79800
DE225,FR159,12,Ciconia ciconia,7.51666,47.7166,1746,5.0167,46.0333,79800
CH014,DE242,12,Ciconia ciconia,9.0667,47.65,530,9.11666,47.7666,6588
ES081,ES188,12,Ciconia ciconia,-2.3333,41.0833,2100,-2.25,40.8,157000
DE121,DE378,12,Ciconia ciconia,12.05,52,6207,12.2166,52.1666,6260
DE247,FR220,12,Ciconia ciconia,7.66666,48.1,9017,3.9667,43.5333,12700
DE319,DE371,12,Ciconia ciconia,11.0166,53.3166,41730,10.9166,53.0333,4851
DE519,FR220,12,Ciconia ciconia,8.11666,49.3333,27000,3.9667,43.5333,12700
FR085,FR159,11,Ciconia ciconia,7.4667,48.2167,10100,5.0167,46.0333,79800
DE027,DE106,11,Ciconia ciconia,10.7833,53.65,47400,10.75,53.3,53919
DE228,DE610,11,Ciconia ciconia,9.61666,48.0833,3273,9.4,47.9166,3425
DE070,DE124,11,Ciconia ciconia,11.2333,53.05,8023,11.7,52.9833,4234
DE242,DE601,11,Ciconia ciconia,9.11666,47.7666,6588,9.43333,48.1,4519
CH014,DE231,11,Ciconia ciconia,9.0667,47.65,530,9.03333,47.7,6053
DE242,DE587,11,Ciconia ciconia,9.11666,47.7666,6588,9.26666,47.75,2294
DE232,DE519,11,Ciconia ciconia,8.61666,49.1666,286,8.11666,49.3333,27000
DE215,FR159,11,Ciconia ciconia,8.31666,49.05,2000,5.0167,46.0333,79800
DE217,FR159,11,Ciconia ciconia,8.5,49.2666,1040,5.0167,46.0333,79800
DE121,DE138,11,Ciconia ciconia,12.05,52,6207,12.8833,52.75,58614
ES244,FR159,10,Ciconia ciconia,-5.5833,36.4167,133500,5.0167,46.0333,79800
DE247,ES241,10,Ciconia ciconia,7.66666,48.1,9017,-5.1,36.5833,105000
CH011,DE610,10,Ciconia ciconia,6.9167,46.8667,6800,9.4,47.9166,3425
DE137,DE151,10,Ciconia ciconia,12.6666,52.4666,41874,12.2666,52.75,16775
NL076,NL077,10,Ciconia ciconia,4.7833,52.15,2000,4.7833,52.05,1650
DE205,DE448,10,Ciconia ciconia,14.5333,51.3166,35000,13.7166,51.2666,1131
CH003,FR088,10,Ciconia ciconia,7.65,47.4333,35000,7.45,47.95,21800
DE070,DE106,10,Ciconia ciconia,11.2333,53.05,8023,10.75,53.3,53919
DE261,DE275,10,Ciconia ciconia,10.7,49.15,6581,10.9166,49.75,50698
DE124,DE387,10,Ciconia ciconia,11.7,52.9833,4234,11.8333,53.2333,57076
DE149,DE319,10,Ciconia ciconia,11.65,53.0166,53110,11.0166,53.3166,41730
DE203,DE455,10,Ciconia ciconia,12.7666,51.5833,10034,12.6333,51.5,9088
DE043,DE371,10,Ciconia ciconia,11.6166,53.7833,74800,10.9166,53.0333,4851
DE531,FR159,10,Ciconia ciconia,8.16666,49.0166,15000,5.0167,46.0333,79800
CH003,FR086,9,Ciconia ciconia,7.65,47.4333,35000,7.45,47.7667,15700
