iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL034,NL040,27,Cygnus columbianus,5.45,52.75,109000,5.9667,52.6333,2180
NL034,NL045,20,Cygnus columbianus,5.45,52.75,109000,5.3167,52.2833,1340
NL015,NL034,20,Cygnus columbianus,6.2167,53.3667,7820,5.45,52.75,109000
NL034,UK051,17,Cygnus columbianus,5.45,52.75,109000,0.17816,52.4586,2490
NL034,NL107,16,Cygnus columbianus,5.45,52.75,109000,6.1333,52.4,11780
NL034,NL053,14,Cygnus columbianus,5.45,52.75,109000,6.6833,53.1333,2100
DE106,NL034,13,Cygnus columbianus,10.75,53.3,53919,5.45,52.75,109000
NL041,NL107,13,Cygnus columbianus,5.85,52.5,640,6.1333,52.4,11780
NL034,NL041,12,Cygnus columbianus,5.45,52.75,109000,5.85,52.5,640
DE319,NL034,12,Cygnus columbianus,11.0166,53.3166,41730,5.45,52.75,109000
NL034,NL075,11,Cygnus columbianus,5.45,52.75,109000,5.4333,52.2333,1460
NL034,NL049,9,Cygnus columbianus,5.45,52.75,109000,5.6667,51.95,2480
NL040,UK051,7,Cygnus columbianus,5.9667,52.6333,2180,0.17816,52.4586,2490
NL045,NL075,6,Cygnus columbianus,5.3167,52.2833,1340,5.4333,52.2333,1460
NL027,NL050,6,Cygnus columbianus,4,51.75,13900,5.5333,51.9,5940
NL015,UK051,6,Cygnus columbianus,6.2167,53.3667,7820,0.17816,52.4586,2490
NL045,NL107,6,Cygnus columbianus,5.3167,52.2833,1340,6.1333,52.4,11780
DE107,NL034,5,Cygnus columbianus,9.16666,53.85,19310,5.45,52.75,109000
NL034,NL063,5,Cygnus columbianus,5.45,52.75,109000,5.9167,52.85,1920
NL040,NL107,5,Cygnus columbianus,5.9667,52.6333,2180,6.1333,52.4,11780
NL020,NL034,5,Cygnus columbianus,3.5833,51.7167,107000,5.45,52.75,109000
NL045,NL049,5,Cygnus columbianus,5.3167,52.2833,1340,5.6667,51.95,2480
NL034,NL065,5,Cygnus columbianus,5.45,52.75,109000,6.05,52.7,9400
NL040,NL041,5,Cygnus columbianus,5.9667,52.6333,2180,5.85,52.5,640
CH012,DE055,4,Cygnus columbianus,8.2167,47.55,410,14.1666,53.6333,31370
NL015,NL041,4,Cygnus columbianus,6.2167,53.3667,7820,5.85,52.5,640
NL015,NL045,4,Cygnus columbianus,6.2167,53.3667,7820,5.3167,52.2833,1340
NL040,NL049,4,Cygnus columbianus,5.9667,52.6333,2180,5.6667,51.95,2480
NL090,NL107,4,Cygnus columbianus,6.0833,52.6167,1480,6.1333,52.4,11780
NL034,NL096,4,Cygnus columbianus,5.45,52.75,109000,5.1,51.65,4090
DE151,DE377,3,Cygnus columbianus,12.2666,52.75,16775,12.1333,52.65,2252
NL015,NL040,3,Cygnus columbianus,6.2167,53.3667,7820,5.9667,52.6333,2180
DE106,DE151,3,Cygnus columbianus,10.75,53.3,53919,12.2666,52.75,16775
DE319,NL040,3,Cygnus columbianus,11.0166,53.3166,41730,5.9667,52.6333,2180
NL040,NL065,3,Cygnus columbianus,5.9667,52.6333,2180,6.05,52.7,9400
NL049,NL107,3,Cygnus columbianus,5.6667,51.95,2480,6.1333,52.4,11780
NL020,UK051,3,Cygnus columbianus,3.5833,51.7167,107000,0.17816,52.4586,2490
NL040,NL063,3,Cygnus columbianus,5.9667,52.6333,2180,5.9167,52.85,1920
NL015,NL016,3,Cygnus columbianus,6.2167,53.3667,7820,6.5667,53.4333,4600
NL040,NL045,3,Cygnus columbianus,5.9667,52.6333,2180,5.3167,52.2833,1340
NL041,NL090,3,Cygnus columbianus,5.85,52.5,640,6.0833,52.6167,1480
NL002,NL034,3,Cygnus columbianus,4.9,53.1333,1600,5.45,52.75,109000
NL015,NL053,3,Cygnus columbianus,6.2167,53.3667,7820,6.6833,53.1333,2100
NL015,NL075,3,Cygnus columbianus,6.2167,53.3667,7820,5.4333,52.2333,1460
NL034,NL050,3,Cygnus columbianus,5.45,52.75,109000,5.5333,51.9,5940
NL016,NL034,2,Cygnus columbianus,6.5667,53.4333,4600,5.45,52.75,109000
NL020,NL040,2,Cygnus columbianus,3.5833,51.7167,107000,5.9667,52.6333,2180
DE149,DE319,2,Cygnus columbianus,11.65,53.0166,53110,11.0166,53.3166,41730
NL020,NL075,2,Cygnus columbianus,3.5833,51.7167,107000,5.4333,52.2333,1460
DE048,NL040,2,Cygnus columbianus,11.6333,53.4666,15780,5.9667,52.6333,2180
NL075,NL107,2,Cygnus columbianus,5.4333,52.2333,1460,6.1333,52.4,11780
DE106,DE377,2,Cygnus columbianus,10.75,53.3,53919,12.1333,52.65,2252
NL075,NL096,2,Cygnus columbianus,5.4333,52.2333,1460,5.1,51.65,4090
CH012,DE319,2,Cygnus columbianus,8.2167,47.55,410,11.0166,53.3166,41730
NL009,NL015,2,Cygnus columbianus,6.05,53.45,720,6.2167,53.3667,7820
NL050,NL096,2,Cygnus columbianus,5.5333,51.9,5940,5.1,51.65,4090
DE319,NL024,2,Cygnus columbianus,11.0166,53.3166,41730,4.25,51.7667,10900
