iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DE081,DE113,19,Cygnus cygnus,7.13333,52.6666,6683,7.3,52.8666,2974
DE089,DE113,15,Cygnus cygnus,7.28333,53.0333,8487,7.3,52.8666,2974
NL034,NL082,12,Cygnus cygnus,5.45,52.75,109000,6.4,53.0167,3830
DK001,DK117,10,Cygnus cygnus,9.5833,57.0333,18530,9.8333,57.2167,6000
DK001,DK024,9,Cygnus cygnus,9.5833,57.0333,18530,9.3333,56.55,4260
DE136,DE141,7,Cygnus cygnus,13.8833,51.95,47344,14.4166,51.85,1572
DK117,FI033,6,Cygnus cygnus,9.8333,57.2167,6000,25.3833,64.2167,2500
DK057,SE031,6,Cygnus cygnus,8.5333,55.2667,115850,15.0333,59.3,600
UK002,UK011,6,Cygnus cygnus,1.55616,52.0045,2520,1.53716,52.6693,5402
UK011,UK051,6,Cygnus cygnus,1.53716,52.6693,5402,0.17816,52.4586,2490
DE149,DE319,6,Cygnus cygnus,11.65,53.0166,53110,11.0166,53.3166,41730
CH014,DE136,6,Cygnus cygnus,9.0667,47.65,530,13.8833,51.95,47344
DE081,SE016,5,Cygnus cygnus,7.13333,52.6666,6683,16.35,59.8833,1870
DK001,DK008,5,Cygnus cygnus,9.5833,57.0333,18530,9.1667,57.0333,1660
DE043,DE288,5,Cygnus cygnus,11.6166,53.7833,74800,11.4333,54.0166,102030
DE138,DE319,5,Cygnus cygnus,12.8833,52.75,58614,11.0166,53.3166,41730
DK116,FI034,4,Cygnus cygnus,10.2,57.1167,1500,27.1333,65.1333,27610
DK116,DK128,4,Cygnus cygnus,10.2,57.1167,1500,11,57.2,580000
DK001,FI035,4,Cygnus cygnus,9.5833,57.0333,18530,29.2,66.1667,810
DK024,FI032,4,Cygnus cygnus,9.3333,56.55,4260,28.8833,65.7,5793
SE031,SE042,4,Cygnus cygnus,15.0333,59.3,600,13.55,58.3167,6350
DK024,SE031,4,Cygnus cygnus,9.3333,56.55,4260,15.0333,59.3,600
NL022,NL038,4,Cygnus cygnus,4.05,51.9,1500,5.25,52.5333,69700
DK001,DK116,4,Cygnus cygnus,9.5833,57.0333,18530,10.2,57.1167,1500
DK001,SE031,4,Cygnus cygnus,9.5833,57.0333,18530,15.0333,59.3,600
DE022,DE288,4,Cygnus cygnus,10.8666,53.9833,800,11.4333,54.0166,102030
DK016,FI030,4,Cygnus cygnus,9.6667,56.5333,1340,29.2,66.4,29972
DK014,FI036,4,Cygnus cygnus,9.1667,56.6667,7590,28.7,66.15,12516
DK001,DK034,4,Cygnus cygnus,9.5833,57.0333,18530,9.4667,56.0167,5070
DK024,DK117,4,Cygnus cygnus,9.3333,56.55,4260,9.8333,57.2167,6000
NL094,NL107,4,Cygnus cygnus,5.8333,52.1667,91800,6.1333,52.4,11780
DE024,DE026,4,Cygnus cygnus,9.33333,54.3833,60000,9.71666,54.1,41000
DK116,DK121,4,Cygnus cygnus,10.2,57.1167,1500,9,57.6666,1600000
DE124,DE149,4,Cygnus cygnus,11.7,52.9833,4234,11.65,53.0166,53110
DE138,DE151,4,Cygnus cygnus,12.8833,52.75,58614,12.2666,52.75,16775
DK117,SE031,3,Cygnus cygnus,9.8333,57.2167,6000,15.0333,59.3,600
DK007,DK071,3,Cygnus cygnus,10.2167,56.8667,7380,10.3333,55,38440
DE081,NL107,3,Cygnus cygnus,7.13333,52.6666,6683,6.1333,52.4,11780
DK001,DK128,3,Cygnus cygnus,9.5833,57.0333,18530,11,57.2,580000
DE298,SE031,3,Cygnus cygnus,8.78333,54.8666,4700,15.0333,59.3,600
SE010,SE031,3,Cygnus cygnus,20.3167,63.75,1500,15.0333,59.3,600
DK043,DK049,3,Cygnus cygnus,8.25,56,27720,8.3167,55.6,2700
BE021,DK050,3,Cygnus cygnus,5.3333,51.1167,8864,8.15,55.6,6570
DK043,SE031,3,Cygnus cygnus,8.25,56,27720,15.0333,59.3,600
DK116,DK117,3,Cygnus cygnus,10.2,57.1167,1500,9.8333,57.2167,6000
DE024,SE010,3,Cygnus cygnus,9.33333,54.3833,60000,20.3167,63.75,1500
DE026,UK011,3,Cygnus cygnus,9.71666,54.1,41000,1.53716,52.6693,5402
DK037,DK043,3,Cygnus cygnus,8.6833,55.9167,4760,8.25,56,27720
DE081,DE089,3,Cygnus cygnus,7.13333,52.6666,6683,7.28333,53.0333,8487
CH014,DE141,3,Cygnus cygnus,9.0667,47.65,530,14.4166,51.85,1572
IS044,UK051,2,Cygnus cygnus,-17,65.6,10200,0.17816,52.4586,2490
DK050,FI028,2,Cygnus cygnus,8.15,55.6,6570,25.1667,64.9167,81781
SE016,SE031,2,Cygnus cygnus,16.35,59.8833,1870,15.0333,59.3,600
DK007,DK047,2,Cygnus cygnus,10.2167,56.8667,7380,9.7167,55.35,35060
DK007,SE031,2,Cygnus cygnus,10.2167,56.8667,7380,15.0333,59.3,600
DK036,SE031,2,Cygnus cygnus,10.1667,55.85,42880,15.0333,59.3,600
FI028,SE010,2,Cygnus cygnus,25.1667,64.9167,81781,20.3167,63.75,1500
DK033,SE031,2,Cygnus cygnus,9.5833,56.1,970,15.0333,59.3,600
DK041,SE031,2,Cygnus cygnus,8.15,56.1833,6910,15.0333,59.3,600
DK044,DK116,2,Cygnus cygnus,9.55,55.8667,1050,10.2,57.1167,1500
