iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DE468,DE470,1173,Cygnus olor,13.75,51.1666,3085,13.7,51.0666,70
PL012,PL013,445,Cygnus olor,18.6167,54.5667,56000,18.95,54.35,485
DE040,DE045,343,Cygnus olor,14.0833,54.3,333425,14.0166,53.9333,27790
NL011,NL056,324,Cygnus olor,6.5,53.5333,782,5.9167,53.0333,1260
DE043,DE288,272,Cygnus olor,11.6166,53.7833,74800,11.4333,54.0166,102030
DE139,DE396,267,Cygnus olor,13.0333,52.5,3926,12.9666,52.3333,2336
DE040,PL012,262,Cygnus olor,14.0833,54.3,333425,18.6167,54.5667,56000
DE205,DE468,261,Cygnus olor,14.5333,51.3166,35000,13.75,51.1666,3085
DE288,DE311,249,Cygnus olor,11.4333,54.0166,102030,11.9166,54.1333,1830
NL011,NL052,242,Cygnus olor,6.5,53.5333,782,6.4333,53.1833,1450
DE406,PL032,241,Cygnus olor,14.45,52.6333,25993,14.7167,52.5667,4244
DE448,DE468,231,Cygnus olor,13.7166,51.2666,1131,13.75,51.1666,3085
DE205,DE470,187,Cygnus olor,14.5333,51.3166,35000,13.7,51.0666,70
DE448,DE470,184,Cygnus olor,13.7166,51.2666,1131,13.7,51.0666,70
DE045,PL002,172,Cygnus olor,14.0166,53.9333,27790,14.4667,53.7667,48000
DE137,DE139,172,Cygnus olor,12.6666,52.4666,41874,13.0333,52.5,3926
NL001,NL056,164,Cygnus olor,5.3833,53.3,272100,5.9167,53.0333,1260
DE206,DE456,142,Cygnus olor,12.5333,51.05,272,12.3,51.3666,5738
DE205,DE452,138,Cygnus olor,14.5333,51.3166,35000,14.8,51.2666,1580
NL034,NL038,133,Cygnus olor,5.45,52.75,109000,5.25,52.5333,69700
DE456,DE458,127,Cygnus olor,12.3,51.3666,5738,12.4166,51.2166,273
DE068,NL011,116,Cygnus olor,7.3,53.25,15521,6.5,53.5333,782
DE449,DE470,116,Cygnus olor,14.1166,51.3333,870,13.7,51.0666,70
DE410,DE415,111,Cygnus olor,14.1333,53.2333,44949,13.85,53.3333,10236
DE045,PL012,109,Cygnus olor,14.0166,53.9333,27790,18.6167,54.5667,56000
DE129,DE456,108,Cygnus olor,12.0166,51.3833,5819,12.3,51.3666,5738
DE142,DE143,107,Cygnus olor,14.15,52.9833,11779,13.8666,53,62769
DE138,DE139,100,Cygnus olor,12.8833,52.75,58614,13.0333,52.5,3926
DE150,DE152,85,Cygnus olor,13.1666,52.0333,18147,13.6833,52.4333,16
NL011,NL053,83,Cygnus olor,6.5,53.5333,782,6.6833,53.1333,2100
DE139,DE150,79,Cygnus olor,13.0333,52.5,3926,13.1666,52.0333,18147
LT023,PL012,77,Cygnus olor,24.1333,54.85,7800,18.6167,54.5667,56000
PL012,PL024,76,Cygnus olor,18.6167,54.5667,56000,23.2667,53.9,102000
