iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
BE005,BE006,36,Gallinago gallinago,3.2167,51.25,9349,3.35,51.3333,1820
NL068,NL071,10,Gallinago gallinago,4.85,52.5667,2040,4.9333,52.45,1960
BE004,BE005,9,Gallinago gallinago,3.1833,51.35,230,3.2167,51.25,9349
DK110,DK111,7,Gallinago gallinago,12.8333,55.6667,7240,12.5333,55.5833,6210
DK008,DK013,6,Gallinago gallinago,9.1667,57.0333,1660,9,57.05,4870
FR234,PL044,5,Gallinago gallinago,4.3,43.6333,19300,18.6833,51.7833,4300
BE001,BE005,5,Gallinago gallinago,2.75,51.2,17000,3.2167,51.25,9349
FR051,PL044,5,Gallinago gallinago,1.7,50.2667,5550,18.6833,51.7833,4300
NL038,NL071,5,Gallinago gallinago,5.25,52.5333,69700,4.9333,52.45,1960
FR051,PL032,5,Gallinago gallinago,1.7,50.2667,5550,14.7167,52.5667,4244
NL002,NL013,4,Gallinago gallinago,4.9,53.1333,1600,4.7667,52.9167,6000
BE004,BE006,4,Gallinago gallinago,3.1833,51.35,230,3.35,51.3333,1820
NL073,NL076,4,Gallinago gallinago,5.0833,52.2167,7040,4.7833,52.15,2000
UK001,UK042,4,Gallinago gallinago,0.86416,51.8251,716,0.9595,51.6721,22856
NL001,NL002,3,Gallinago gallinago,5.3833,53.3,272100,4.9,53.1333,1600
FR064,PL044,3,Gallinago gallinago,1.5833,50.8667,8950,18.6833,51.7833,4300
NL056,NL063,3,Gallinago gallinago,5.9167,53.0333,1260,5.9167,52.85,1920
FR239,PL058,3,Gallinago gallinago,4.6,43.5167,76500,18.1167,50.7333,2200
AT001,FR051,3,Gallinago gallinago,16.9666,47.7333,3729,1.7,50.2667,5550
CH013,FR239,3,Gallinago gallinago,8.8167,47.6333,480,4.6,43.5167,76500
FR051,SE052,3,Gallinago gallinago,1.7,50.2667,5550,12.2167,57.1167,355
FR062,PL032,3,Gallinago gallinago,1.5667,50.5333,5050,14.7167,52.5667,4244
NL070,SE061,3,Gallinago gallinago,4.8333,52.5167,1940,12.9167,55.4167,20000
FI078,FR051,3,Gallinago gallinago,24.9333,60.2,1274,1.7,50.2667,5550
