iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
BE005,BE006,13,Gallinula chloropus,3.2167,51.25,9349,3.35,51.3333,1820
NL001,NL002,7,Gallinula chloropus,5.3833,53.3,272100,4.9,53.1333,1600
DK110,SE060,6,Gallinula chloropus,12.8333,55.6667,7240,13.0063,55.6881,5600
NL013,NL019,5,Gallinula chloropus,4.7667,52.9167,6000,4.7,52.8167,600
BE011,BE014,5,Gallinula chloropus,4.25,51.3167,7570,4.5667,51.3833,4100
NL002,NL013,5,Gallinula chloropus,4.9,53.1333,1600,4.7667,52.9167,6000
BE001,BE003,4,Gallinula chloropus,2.75,51.2,17000,2.8333,51,5100
NL096,NL098,4,Gallinula chloropus,5.1,51.65,4090,5.35,51.4833,1190
NL094,NL107,4,Gallinula chloropus,5.8333,52.1667,91800,6.1333,52.4,11780
DK088,FR051,4,Gallinula chloropus,11.0333,54.8333,8550,1.7,50.2667,5550
NL019,NL092,3,Gallinula chloropus,4.7,52.8167,600,4.6667,52.7,2500
NL038,NL071,3,Gallinula chloropus,5.25,52.5333,69700,4.9333,52.45,1960
NL002,NL003,3,Gallinula chloropus,4.9,53.1333,1600,4.7833,53.1167,3850
NL044,NL073,3,Gallinula chloropus,5.2,52.3167,2670,5.0833,52.2167,7040
BE005,DK088,3,Gallinula chloropus,3.2167,51.25,9349,11.0333,54.8333,8550
FR065,NL019,3,Gallinula chloropus,1.6833,50.55,11450,4.7,52.8167,600
NL068,NL071,3,Gallinula chloropus,4.85,52.5667,2040,4.9333,52.45,1960
BE003,BE005,2,Gallinula chloropus,2.8333,51,5100,3.2167,51.25,9349
BE006,DE024,2,Gallinula chloropus,3.35,51.3333,1820,9.33333,54.3833,60000
BE004,BE005,2,Gallinula chloropus,3.1833,51.35,230,3.2167,51.25,9349
NL020,NL028,2,Gallinula chloropus,3.5833,51.7167,107000,3.9333,51.5833,36880
BE003,DE089,2,Gallinula chloropus,2.8333,51,5100,7.28333,53.0333,8487
NL063,NL065,2,Gallinula chloropus,5.9167,52.85,1920,6.05,52.7,9400
UK112,UK270,2,Gallinula chloropus,-1.8115,57.4396,207,-1.9791,57.3328,1012
FR051,NL020,2,Gallinula chloropus,1.7,50.2667,5550,3.5833,51.7167,107000
BE006,DE044,2,Gallinula chloropus,3.35,51.3333,1820,13.5166,54.2166,103155
NL078,NL080,2,Gallinula chloropus,5,51.95,140,5.0667,51.8667,610
BE004,BE006,2,Gallinula chloropus,3.1833,51.35,230,3.35,51.3333,1820
BE014,BE018,2,Gallinula chloropus,4.5667,51.3833,4100,5,51.3833,7075
DK110,SE061,2,Gallinula chloropus,12.8333,55.6667,7240,12.9167,55.4167,20000
DK008,UK011,2,Gallinula chloropus,9.1667,57.0333,1660,1.53716,52.6693,5402
DE456,DE458,2,Gallinula chloropus,12.3,51.3666,5738,12.4166,51.2166,273
NL001,NL009,2,Gallinula chloropus,5.3833,53.3,272100,6.05,53.45,720
NL088,NL096,2,Gallinula chloropus,5.6333,51.3833,1630,5.1,51.65,4090
BE006,NL107,2,Gallinula chloropus,3.35,51.3333,1820,6.1333,52.4,11780
DK088,FR045,2,Gallinula chloropus,11.0333,54.8333,8550,0.3,49.4333,21100
NL039,NL042,2,Gallinula chloropus,5.75,52.6,3900,5.6667,52.3833,3390
DK088,NL034,2,Gallinula chloropus,11.0333,54.8333,8550,5.45,52.75,109000
DK111,FR061,2,Gallinula chloropus,12.5333,55.5833,6210,3.4333,50.4333,11150
DK088,FR062,2,Gallinula chloropus,11.0333,54.8333,8550,1.5667,50.5333,5050
BE003,DK053,2,Gallinula chloropus,2.8333,51,5100,8.4,55.4333,4370
NL076,NL077,2,Gallinula chloropus,4.7833,52.15,2000,4.7833,52.05,1650
DK111,FR045,2,Gallinula chloropus,12.5333,55.5833,6210,0.3,49.4333,21100
DK111,FR062,2,Gallinula chloropus,12.5333,55.5833,6210,1.5667,50.5333,5050
DK084,DK088,2,Gallinula chloropus,12,54.9167,8160,11.0333,54.8333,8550
FR220,FR225,2,Gallinula chloropus,3.9667,43.5333,12700,3.8,43.8333,90700
DK088,NL057,2,Gallinula chloropus,11.0333,54.8333,8550,6.0833,53.05,670
FR051,NL068,2,Gallinula chloropus,1.7,50.2667,5550,4.85,52.5667,2040
UK073,UK078,1,Gallinula chloropus,0.53333,51.4666,9357,-0.8506,51.0881,5159
NL019,NL052,1,Gallinula chloropus,4.7,52.8167,600,6.4333,53.1833,1450
BE005,FR014,1,Gallinula chloropus,3.2167,51.25,9349,-2.7667,47.5667,18800
DK111,NL073,1,Gallinula chloropus,12.5333,55.5833,6210,5.0833,52.2167,7040
DE058,UK017,1,Gallinula chloropus,8.16666,53.55,235071,-1.9605,50.7618,10577
NL068,NL092,1,Gallinula chloropus,4.85,52.5667,2040,4.6667,52.7,2500
BE011,NL025,1,Gallinula chloropus,4.25,51.3167,7570,4.5,51.7,4300
FR062,NL092,1,Gallinula chloropus,1.5667,50.5333,5050,4.6667,52.7,2500
DE161,UK017,1,Gallinula chloropus,7.13333,51.8,7349,-1.9605,50.7618,10577
BE014,NL068,1,Gallinula chloropus,4.5667,51.3833,4100,4.85,52.5667,2040
DE460,DE461,1,Gallinula chloropus,13.3333,51.4,3396,13.45,51.35,10748
NL048,PL012,1,Gallinula chloropus,6.0333,51.8833,6460,18.6167,54.5667,56000
DE460,FR094,1,Gallinula chloropus,13.3333,51.4,3396,6.2,46.85,12500
DE160,NL078,1,Gallinula chloropus,6.4,51.7666,48295,5,51.95,140
DE217,IT082,1,Gallinula chloropus,8.5,49.2666,1040,10.2667,43.7667,7000
FR045,NL071,1,Gallinula chloropus,0.3,49.4333,21100,4.9333,52.45,1960
NL015,UK014,1,Gallinula chloropus,6.2167,53.3667,7820,-0.9388,50.8056,5795
NL015,NL076,1,Gallinula chloropus,6.2167,53.3667,7820,4.7833,52.15,2000
UK007,UK073,1,Gallinula chloropus,0.66666,51.5166,2373,0.53333,51.4666,9357
DE071,NL096,1,Gallinula chloropus,9.08333,52.5333,1254,5.1,51.65,4090
DE257,FR226,1,Gallinula chloropus,11.7333,48.2166,986,3.5167,43.3167,561
DE374,NL096,1,Gallinula chloropus,10,51.5,14633,5.1,51.65,4090
FR051,NL016,1,Gallinula chloropus,1.7,50.2667,5550,6.5667,53.4333,4600
