iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DE053,DE143,166,Grus grus,13.7833,53.85,30530,13.8666,53,62769
DE143,DE410,75,Grus grus,13.8666,53,62769,14.1333,53.2333,44949
DE138,DE143,51,Grus grus,12.8833,52.75,58614,13.8666,53,62769
DE142,DE143,47,Grus grus,14.15,52.9833,11779,13.8666,53,62769
HU026,HU032,32,Grus grus,20.1666,46.25,29483,21.0666,47.6166,150072
FI069,HU032,22,Grus grus,23.6667,60.7333,4923,21.0666,47.6166,150072
EE009,HU032,21,Grus grus,23.9833,58.9333,7636,21.0666,47.6166,150072
EE067,HU032,19,Grus grus,23.25,58.7666,279557,21.0666,47.6166,150072
DE304,SE042,17,Grus grus,12.9,54.4333,203810,13.55,58.3167,6350
DE393,DE410,12,Grus grus,14.3666,53.25,7504,14.1333,53.2333,44949
DE056,DE304,11,Grus grus,12.8166,54.2333,23760,12.9,54.4333,203810
DE053,DE138,11,Grus grus,13.7833,53.85,30530,12.8833,52.75,58614
DE138,HU032,11,Grus grus,12.8833,52.75,58614,21.0666,47.6166,150072
DE053,DE142,8,Grus grus,13.7833,53.85,30530,14.15,52.9833,11779
FR070,HU032,8,Grus grus,4.7,48.55,56000,21.0666,47.6166,150072
DE143,DE393,8,Grus grus,13.8666,53,62769,14.3666,53.25,7504
DE138,DE410,7,Grus grus,12.8833,52.75,58614,14.1333,53.2333,44949
DE143,DE394,7,Grus grus,13.8666,53,62769,13.3833,52.9333,42890
FI086,HU032,7,Grus grus,22.5667,61.2333,3474,21.0666,47.6166,150072
DE044,DE304,5,Grus grus,13.5166,54.2166,103155,12.9,54.4333,203810
DE142,DE410,5,Grus grus,14.15,52.9833,11779,14.1333,53.2333,44949
DE143,DE151,5,Grus grus,13.8666,53,62769,12.2666,52.75,16775
DE138,FI044,5,Grus grus,12.8833,52.75,58614,22.3333,63.5667,7707
DE053,DE410,5,Grus grus,13.7833,53.85,30530,14.1333,53.2333,44949
DE387,HU032,4,Grus grus,11.8333,53.2333,57076,21.0666,47.6166,150072
DE055,DE410,4,Grus grus,14.1666,53.6333,31370,14.1333,53.2333,44949
FI044,HU032,4,Grus grus,22.3333,63.5667,7707,21.0666,47.6166,150072
DE143,DE413,4,Grus grus,13.8666,53,62769,12.4166,53,1277
EE009,FR070,4,Grus grus,23.9833,58.9333,7636,4.7,48.55,56000
EE009,EE067,4,Grus grus,23.9833,58.9333,7636,23.25,58.7666,279557
DE304,FR070,4,Grus grus,12.9,54.4333,203810,4.7,48.55,56000
DE138,DE146,3,Grus grus,12.8833,52.75,58614,13.5333,53.2166,54518
FI028,HU032,3,Grus grus,25.1667,64.9167,81781,21.0666,47.6166,150072
DE049,DE138,3,Grus grus,12.2833,53.5333,45850,12.8833,52.75,58614
EE067,FI069,3,Grus grus,23.25,58.7666,279557,23.6667,60.7333,4923
DE044,SE042,3,Grus grus,13.5166,54.2166,103155,13.55,58.3167,6350
DE304,HU032,3,Grus grus,12.9,54.4333,203810,21.0666,47.6166,150072
DE049,DE053,3,Grus grus,12.2833,53.5333,45850,13.7833,53.85,30530
FI069,FR070,3,Grus grus,23.6667,60.7333,4923,4.7,48.55,56000
DE138,DE314,3,Grus grus,12.8833,52.75,58614,11.9833,53.6,5190
DE387,DE410,3,Grus grus,11.8333,53.2333,57076,14.1333,53.2333,44949
DE142,DE151,3,Grus grus,14.15,52.9833,11779,12.2666,52.75,16775
ES205,HU032,3,Grus grus,-4.5,38.8333,100000,21.0666,47.6166,150072
DE053,DE393,3,Grus grus,13.7833,53.85,30530,14.3666,53.25,7504
DE138,EE009,3,Grus grus,12.8833,52.75,58614,23.9833,58.9333,7636
DE138,FR070,3,Grus grus,12.8833,52.75,58614,4.7,48.55,56000
DE124,DE410,2,Grus grus,11.7,52.9833,4234,14.1333,53.2333,44949
