iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
UK047,UK077,167,Haematopus ostralegus,0.741,52.9741,7831,0.29,52.9366,69908
NL020,NL028,163,Haematopus ostralegus,3.5833,51.7167,107000,3.9333,51.5833,36880
NL003,NL013,146,Haematopus ostralegus,4.7833,53.1167,3850,4.7667,52.9167,6000
NL001,NL009,126,Haematopus ostralegus,5.3833,53.3,272100,6.05,53.45,720
NL020,NL024,101,Haematopus ostralegus,3.5833,51.7167,107000,4.25,51.7667,10900
NO044,UK077,99,Haematopus ostralegus,5.5667,58.8167,13500,0.29,52.9366,69908
NL001,NL013,83,Haematopus ostralegus,5.3833,53.3,272100,4.7667,52.9167,6000
NL024,NL028,76,Haematopus ostralegus,4.25,51.7667,10900,3.9333,51.5833,36880
NL020,NL027,67,Haematopus ostralegus,3.5833,51.7167,107000,4,51.75,13900
NL027,NL028,66,Haematopus ostralegus,4,51.75,13900,3.9333,51.5833,36880
NL001,NL002,65,Haematopus ostralegus,5.3833,53.3,272100,4.9,53.1333,1600
NL028,NL029,62,Haematopus ostralegus,3.9333,51.5833,36880,4.2,51.5,1175
NL009,NL010,59,Haematopus ostralegus,6.05,53.45,720,6.25,53.5,2800
UK025,UK044,58,Haematopus ostralegus,-2.5158,53.9815,79978,-2.9781,54.104,36859
NL009,NL015,53,Haematopus ostralegus,6.05,53.45,720,6.2167,53.3667,7820
NL001,UK077,52,Haematopus ostralegus,5.3833,53.3,272100,0.29,52.9366,69908
NL020,NL029,50,Haematopus ostralegus,3.5833,51.7167,107000,4.2,51.5,1175
NL020,NL068,48,Haematopus ostralegus,3.5833,51.7167,107000,4.85,52.5667,2040
NL001,NL020,48,Haematopus ostralegus,5.3833,53.3,272100,3.5833,51.7167,107000
DK110,DK111,47,Haematopus ostralegus,12.8333,55.6667,7240,12.5333,55.5833,6210
NL002,NL013,43,Haematopus ostralegus,4.9,53.1333,1600,4.7667,52.9167,6000
NL020,NL032,40,Haematopus ostralegus,3.5833,51.7167,107000,3.8333,51.3833,50800
NL024,NL026,36,Haematopus ostralegus,4.25,51.7667,10900,4.25,51.65,6450
NL001,NL010,33,Haematopus ostralegus,5.3833,53.3,272100,6.25,53.5,2800
NL013,NL020,32,Haematopus ostralegus,4.7667,52.9167,6000,3.5833,51.7167,107000
NL001,NL057,32,Haematopus ostralegus,5.3833,53.3,272100,6.0833,53.05,670
NL055,NL057,31,Haematopus ostralegus,5.9167,53.1167,2500,6.0833,53.05,670
FR051,NL001,29,Haematopus ostralegus,1.7,50.2667,5550,5.3833,53.3,272100
NL024,NL029,28,Haematopus ostralegus,4.25,51.7667,10900,4.2,51.5,1175
NL009,NL054,27,Haematopus ostralegus,6.05,53.45,720,5.8667,53.2167,600
NL028,NL068,26,Haematopus ostralegus,3.9333,51.5833,36880,4.85,52.5667,2040
NL056,NL058,25,Haematopus ostralegus,5.9167,53.0333,1260,5.7667,53.0167,1670
NL001,NL054,24,Haematopus ostralegus,5.3833,53.3,272100,5.8667,53.2167,600
NL020,NL056,21,Haematopus ostralegus,3.5833,51.7167,107000,5.9167,53.0333,1260
NL013,NL068,20,Haematopus ostralegus,4.7667,52.9167,6000,4.85,52.5667,2040
NL001,NL008,20,Haematopus ostralegus,5.3833,53.3,272100,5.75,53.4667,3150
NL020,NL034,19,Haematopus ostralegus,3.5833,51.7167,107000,5.45,52.75,109000
NL013,UK077,18,Haematopus ostralegus,4.7667,52.9167,6000,0.29,52.9366,69908
NL009,NL013,18,Haematopus ostralegus,6.05,53.45,720,4.7667,52.9167,6000
NL058,NL063,18,Haematopus ostralegus,5.7667,53.0167,1670,5.9167,52.85,1920
FR051,UK077,17,Haematopus ostralegus,1.7,50.2667,5550,0.29,52.9366,69908
NL020,NL021,17,Haematopus ostralegus,3.5833,51.7167,107000,4.0333,51.9167,350
BE007,NL032,17,Haematopus ostralegus,3.6667,51.25,780,3.8333,51.3833,50800
NL020,NL063,17,Haematopus ostralegus,3.5833,51.7167,107000,5.9167,52.85,1920
NL001,NL014,17,Haematopus ostralegus,5.3833,53.3,272100,5.75,53.3333,9310
NL008,NL057,17,Haematopus ostralegus,5.75,53.4667,3150,6.0833,53.05,670
NL001,NL056,17,Haematopus ostralegus,5.3833,53.3,272100,5.9167,53.0333,1260
NL009,NL055,16,Haematopus ostralegus,6.05,53.45,720,5.9167,53.1167,2500
BE007,NL020,16,Haematopus ostralegus,3.6667,51.25,780,3.5833,51.7167,107000
UK044,UK049,15,Haematopus ostralegus,-2.9781,54.104,36859,-0.8706,54.3806,143490
NL020,NL058,15,Haematopus ostralegus,3.5833,51.7167,107000,5.7667,53.0167,1670
NL020,NL050,15,Haematopus ostralegus,3.5833,51.7167,107000,5.5333,51.9,5940
DE330,NL001,15,Haematopus ostralegus,5.08333,53.4333,1900,5.3833,53.3,272100
UK091,UK096,14,Haematopus ostralegus,-3.637,53.3211,10154,-4.0421,53.2551,2694
NL001,NL029,14,Haematopus ostralegus,5.3833,53.3,272100,4.2,51.5,1175
UK041,UK096,14,Haematopus ostralegus,-2.8301,53.2998,5007,-4.0421,53.2551,2694
NL020,NL057,14,Haematopus ostralegus,3.5833,51.7167,107000,6.0833,53.05,670
NO040,UK077,14,Haematopus ostralegus,5.6,62.4,640,0.29,52.9366,69908
FR062,NL001,14,Haematopus ostralegus,1.5667,50.5333,5050,5.3833,53.3,272100
NL024,NL027,14,Haematopus ostralegus,4.25,51.7667,10900,4,51.75,13900
NL001,NL028,13,Haematopus ostralegus,5.3833,53.3,272100,3.9333,51.5833,36880
NL014,NL054,13,Haematopus ostralegus,5.75,53.3333,9310,5.8667,53.2167,600
NL001,NL034,13,Haematopus ostralegus,5.3833,53.3,272100,5.45,52.75,109000
NO033,UK077,12,Haematopus ostralegus,9.5833,63.7,2920,0.29,52.9366,69908
NL009,NL057,12,Haematopus ostralegus,6.05,53.45,720,6.0833,53.05,670
BE011,NL029,12,Haematopus ostralegus,4.25,51.3167,7570,4.2,51.5,1175
NL009,NL034,12,Haematopus ostralegus,6.05,53.45,720,5.45,52.75,109000
NL054,NL055,12,Haematopus ostralegus,5.8667,53.2167,600,5.9167,53.1167,2500
NL001,NL055,12,Haematopus ostralegus,5.3833,53.3,272100,5.9167,53.1167,2500
UK025,UK048,11,Haematopus ostralegus,-2.5158,53.9815,79978,-2.2885,54.6466,146795
NL001,NL024,11,Haematopus ostralegus,5.3833,53.3,272100,4.25,51.7667,10900
NL020,NL055,11,Haematopus ostralegus,3.5833,51.7167,107000,5.9167,53.1167,2500
NL024,NL068,11,Haematopus ostralegus,4.25,51.7667,10900,4.85,52.5667,2040
FR051,NL020,11,Haematopus ostralegus,1.7,50.2667,5550,3.5833,51.7167,107000
UK096,UK114,10,Haematopus ostralegus,-4.0421,53.2551,2694,-3.6661,57.0773,50688
NL009,NL056,10,Haematopus ostralegus,6.05,53.45,720,5.9167,53.0333,1260
UK077,UK096,10,Haematopus ostralegus,0.29,52.9366,69908,-4.0421,53.2551,2694
NL021,NL028,10,Haematopus ostralegus,4.0333,51.9167,350,3.9333,51.5833,36880
NO043,UK077,10,Haematopus ostralegus,5.4167,58.8833,600,0.29,52.9366,69908
NL056,NL063,10,Haematopus ostralegus,5.9167,53.0333,1260,5.9167,52.85,1920
FR064,UK077,10,Haematopus ostralegus,1.5833,50.8667,8950,0.29,52.9366,69908
NL028,NL056,10,Haematopus ostralegus,3.9333,51.5833,36880,5.9167,53.0333,1260
NO032,UK077,10,Haematopus ostralegus,8.6667,63.8333,60000,0.29,52.9366,69908
NL013,NL056,10,Haematopus ostralegus,4.7667,52.9167,6000,5.9167,53.0333,1260
NL001,NL015,10,Haematopus ostralegus,5.3833,53.3,272100,6.2167,53.3667,7820
UK016,UK077,9,Haematopus ostralegus,1.34416,52.0423,977,0.29,52.9366,69908
NL010,NL015,9,Haematopus ostralegus,6.25,53.5,2800,6.2167,53.3667,7820
NO044,UK096,9,Haematopus ostralegus,5.5667,58.8167,13500,-4.0421,53.2551,2694
NL020,NL038,9,Haematopus ostralegus,3.5833,51.7167,107000,5.25,52.5333,69700
DK110,SE060,9,Haematopus ostralegus,12.8333,55.6667,7240,13.0063,55.6881,5600
NL029,NL032,9,Haematopus ostralegus,4.2,51.5,1175,3.8333,51.3833,50800
DK103,DK111,9,Haematopus ostralegus,12.15,55.5667,100,12.5333,55.5833,6210
NL020,NL089,9,Haematopus ostralegus,3.5833,51.7167,107000,4.55,52.1167,770
BE001,NL020,9,Haematopus ostralegus,2.75,51.2,17000,3.5833,51.7167,107000
NL026,NL027,9,Haematopus ostralegus,4.25,51.65,6450,4,51.75,13900
UK025,UK041,9,Haematopus ostralegus,-2.5158,53.9815,79978,-2.8301,53.2998,5007
NL001,NL068,9,Haematopus ostralegus,5.3833,53.3,272100,4.85,52.5667,2040
UK096,UK199,9,Haematopus ostralegus,-4.0421,53.2551,2694,-2.8975,59.0428,33
NL029,NL068,9,Haematopus ostralegus,4.2,51.5,1175,4.85,52.5667,2040
NL001,NL058,9,Haematopus ostralegus,5.3833,53.3,272100,5.7667,53.0167,1670
UK041,UK049,8,Haematopus ostralegus,-2.8301,53.2998,5007,-0.8706,54.3806,143490
NL002,NL009,8,Haematopus ostralegus,4.9,53.1333,1600,6.05,53.45,720
UK041,UK044,8,Haematopus ostralegus,-2.8301,53.2998,5007,-2.9781,54.104,36859
NL013,NL028,8,Haematopus ostralegus,4.7667,52.9167,6000,3.9333,51.5833,36880
UK066,UK077,8,Haematopus ostralegus,1.16533,51.9566,3670,0.29,52.9366,69908
NL010,NL013,8,Haematopus ostralegus,6.25,53.5,2800,4.7667,52.9167,6000
UK017,UK077,8,Haematopus ostralegus,-1.9605,50.7618,10577,0.29,52.9366,69908
NL028,NL050,8,Haematopus ostralegus,3.9333,51.5833,36880,5.5333,51.9,5940
UK195,UK207,8,Haematopus ostralegus,-3.7015,57.5423,1821,-4.0393,57.7255,16262
NL020,NL031,8,Haematopus ostralegus,3.5833,51.7167,107000,3.7333,51.5333,3010
NL028,NL034,8,Haematopus ostralegus,3.9333,51.5833,36880,5.45,52.75,109000
NL026,NL028,8,Haematopus ostralegus,4.25,51.65,6450,3.9333,51.5833,36880
NL020,NL040,8,Haematopus ostralegus,3.5833,51.7167,107000,5.9667,52.6333,2180
DK057,DK065,8,Haematopus ostralegus,8.5333,55.2667,115850,8.5333,55.05,7010
NL031,NL032,8,Haematopus ostralegus,3.7333,51.5333,3010,3.8333,51.3833,50800
NL001,NL003,8,Haematopus ostralegus,5.3833,53.3,272100,4.7833,53.1167,3850
NL056,NL057,8,Haematopus ostralegus,5.9167,53.0333,1260,6.0833,53.05,670
BE011,NL032,7,Haematopus ostralegus,4.25,51.3167,7570,3.8333,51.3833,50800
FR064,NL001,7,Haematopus ostralegus,1.5833,50.8667,8950,5.3833,53.3,272100
BE006,NL020,7,Haematopus ostralegus,3.35,51.3333,1820,3.5833,51.7167,107000
FR051,NL009,7,Haematopus ostralegus,1.7,50.2667,5550,6.05,53.45,720
NL056,UK077,7,Haematopus ostralegus,5.9167,53.0333,1260,0.29,52.9366,69908
DE043,DE288,7,Haematopus ostralegus,11.6166,53.7833,74800,11.4333,54.0166,102030
UK068,UK077,7,Haematopus ostralegus,0.84283,51.3606,6486,0.29,52.9366,69908
NL013,NL024,7,Haematopus ostralegus,4.7667,52.9167,6000,4.25,51.7667,10900
UK012,UK077,7,Haematopus ostralegus,-2.5203,50.6131,985,0.29,52.9366,69908
NL013,NL057,7,Haematopus ostralegus,4.7667,52.9167,6000,6.0833,53.05,670
UK039,UK041,7,Haematopus ostralegus,-2.878,53.6248,120,-2.8301,53.2998,5007
FR045,NL001,7,Haematopus ostralegus,0.3,49.4333,21100,5.3833,53.3,272100
NL028,NL063,7,Haematopus ostralegus,3.9333,51.5833,36880,5.9167,52.85,1920
FR051,NL068,7,Haematopus ostralegus,1.7,50.2667,5550,4.85,52.5667,2040
NL032,NL063,7,Haematopus ostralegus,3.8333,51.3833,50800,5.9167,52.85,1920
NL009,NL020,7,Haematopus ostralegus,6.05,53.45,720,3.5833,51.7167,107000
BE011,NL020,6,Haematopus ostralegus,4.25,51.3167,7570,3.5833,51.7167,107000
NL009,NL016,6,Haematopus ostralegus,6.05,53.45,720,6.5667,53.4333,4600
UK049,UK077,6,Haematopus ostralegus,-0.8706,54.3806,143490,0.29,52.9366,69908
DE289,DK111,6,Haematopus ostralegus,8.81666,54.4833,441000,12.5333,55.5833,6210
BE001,NL001,6,Haematopus ostralegus,2.75,51.2,17000,5.3833,53.3,272100
NL020,NL054,6,Haematopus ostralegus,3.5833,51.7167,107000,5.8667,53.2167,600
