iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
SE024,SE064,14,Hydroprogne caspia,18.5,60.3333,18000,17.9666,58.9166,40100
FI045,NL034,9,Hydroprogne caspia,21.0833,63.3333,223652,5.45,52.75,109000
NL034,SE068,7,Hydroprogne caspia,5.45,52.75,109000,16.5,57.25,9700
FI094,NL034,7,Hydroprogne caspia,19.6333,60.4167,16170,5.45,52.75,109000
FI080,NL034,7,Hydroprogne caspia,23.5667,59.7667,32666,5.45,52.75,109000
FI027,RO001,6,Hydroprogne caspia,24.9167,65.3833,4579,29.2,44.9333,442000
EE067,FI082,6,Hydroprogne caspia,23.25,58.7666,279557,24.5,59.9333,11808
FI028,SE008,5,Hydroprogne caspia,25.1667,64.9167,81781,22.5,65.3333,2500
FI088,NL034,5,Hydroprogne caspia,21.3333,61.75,9716,5.45,52.75,109000
FI041,NL034,4,Hydroprogne caspia,23.0667,63.9333,20340,5.45,52.75,109000
FI075,RU050,4,Hydroprogne caspia,26.3333,60.2167,18250,27.8166,58.5,251400
IT070,SE064,3,Hydroprogne caspia,12.2667,44.9333,17000,17.9666,58.9166,40100
FI075,RO001,3,Hydroprogne caspia,26.3333,60.2167,18250,29.2,44.9333,442000
NL034,SE024,3,Hydroprogne caspia,5.45,52.75,109000,18.5,60.3333,18000
FI027,IT071,3,Hydroprogne caspia,24.9167,65.3833,4579,12.25,44.7833,7081
SE064,SE073,3,Hydroprogne caspia,17.9666,58.9166,40100,15.15,56.1333,59300
FI082,LV018,3,Hydroprogne caspia,24.5,59.9333,11808,23.1833,57.2333,120000
IT076,SE024,3,Hydroprogne caspia,12.35,44.25,989,18.5,60.3333,18000
FI082,RO001,3,Hydroprogne caspia,24.5,59.9333,11808,29.2,44.9333,442000
IT167,SE024,3,Hydroprogne caspia,15.05,36.7333,2963,18.5,60.3333,18000
ES255,FI027,3,Hydroprogne caspia,-5.9167,36.6167,22000,24.9167,65.3833,4579
AT055,FI080,3,Hydroprogne caspia,9.66666,47.4333,3652,23.5667,59.7667,32666
ES244,FI027,3,Hydroprogne caspia,-5.5833,36.4167,133500,24.9167,65.3833,4579
FI075,UA015,2,Hydroprogne caspia,26.3333,60.2167,18250,30.4,51.15,102400
FI075,RU047,2,Hydroprogne caspia,26.3333,60.2167,18250,28.25,59.2833,6500
FI075,IT167,2,Hydroprogne caspia,26.3333,60.2167,18250,15.05,36.7333,2963
FI027,UA084,2,Hydroprogne caspia,24.9167,65.3833,4579,29.5167,45.5167,42000
FI081,SE024,2,Hydroprogne caspia,22.9,59.8167,11151,18.5,60.3333,18000
FI027,SE064,2,Hydroprogne caspia,24.9167,65.3833,4579,17.9666,58.9166,40100
FI027,MT004,2,Hydroprogne caspia,24.9167,65.3833,4579,14.4,35.8667,30
FI080,IT167,2,Hydroprogne caspia,23.5667,59.7667,32666,15.05,36.7333,2963
FI027,IT070,2,Hydroprogne caspia,24.9167,65.3833,4579,12.2667,44.9333,17000
FI082,PL013,2,Hydroprogne caspia,24.5,59.9333,11808,18.95,54.35,485
FI027,NL034,2,Hydroprogne caspia,24.9167,65.3833,4579,5.45,52.75,109000
FI027,LV004,2,Hydroprogne caspia,24.9167,65.3833,4579,21.05,56.45,4818
FI080,TR001,2,Hydroprogne caspia,23.5667,59.7667,32666,26.2333,40.7833,7000
FI080,IT163,2,Hydroprogne caspia,23.5667,59.7667,32666,15.1,37.4,3398
ES260,FI094,2,Hydroprogne caspia,-6.65,37.3667,56500,19.6333,60.4167,16170
FI027,IT064,2,Hydroprogne caspia,24.9167,65.3833,4579,12.4667,45.3667,68982
AL014,FI080,2,Hydroprogne caspia,19.6,41.6333,1211,23.5667,59.7667,32666
FI027,RU047,2,Hydroprogne caspia,24.9167,65.3833,4579,28.25,59.2833,6500
FI080,IT072,2,Hydroprogne caspia,23.5667,59.7667,32666,12.1667,44.6167,44013
FI082,RU047,2,Hydroprogne caspia,24.5,59.9333,11808,28.25,59.2833,6500
AT055,FI077,2,Hydroprogne caspia,9.66666,47.4333,3652,25.6667,60.1667,22570
IT203,SE064,2,Hydroprogne caspia,15.9167,41.4167,207378,17.9666,58.9166,40100
SE007,SE008,2,Hydroprogne caspia,22,65.6167,440,22.5,65.3333,2500
NL034,SE073,2,Hydroprogne caspia,5.45,52.75,109000,15.15,56.1333,59300
SE006,SE008,2,Hydroprogne caspia,22.1167,65.7667,3350,22.5,65.3333,2500
AT055,SE068,2,Hydroprogne caspia,9.66666,47.4333,3652,16.5,57.25,9700
RO001,SE064,2,Hydroprogne caspia,29.2,44.9333,442000,17.9666,58.9166,40100
ES148,SE064,2,Hydroprogne caspia,0.7333,40.7167,32000,17.9666,58.9166,40100
HU026,SE019,1,Hydroprogne caspia,20.1666,46.25,29483,17.7003,60.5215,4600
DK023,SE024,1,Hydroprogne caspia,8.25,56.75,5490,18.5,60.3333,18000
SE008,UA140,1,Hydroprogne caspia,22.5,65.3333,2500,24.5,51.6666,62000
ES148,SE068,1,Hydroprogne caspia,0.7333,40.7167,32000,16.5,57.25,9700
RU048,SE008,1,Hydroprogne caspia,28.15,59.6333,40000,22.5,65.3333,2500
DE304,SE024,1,Hydroprogne caspia,12.9,54.4333,203810,18.5,60.3333,18000
ES154,SE064,1,Hydroprogne caspia,-0.0167,39.95,375,17.9666,58.9166,40100
HU022,SE008,1,Hydroprogne caspia,19.25,46.8166,44339,22.5,65.3333,2500
ES244,SE019,1,Hydroprogne caspia,-5.5833,36.4167,133500,17.7003,60.5215,4600
ES244,NL034,1,Hydroprogne caspia,-5.5833,36.4167,133500,5.45,52.75,109000
DE107,SE008,1,Hydroprogne caspia,9.16666,53.85,19310,22.5,65.3333,2500
IT070,SE039,1,Hydroprogne caspia,12.2667,44.9333,17000,17,58.3667,5690
PL012,SE008,1,Hydroprogne caspia,18.6167,54.5667,56000,22.5,65.3333,2500
MT004,SE024,1,Hydroprogne caspia,14.4,35.8667,30,18.5,60.3333,18000
IT142,SE024,1,Hydroprogne caspia,15.95,39.8333,48000,18.5,60.3333,18000
ES260,SE024,1,Hydroprogne caspia,-6.65,37.3667,56500,18.5,60.3333,18000
ES255,SE008,1,Hydroprogne caspia,-5.9167,36.6167,22000,22.5,65.3333,2500
IT117,SE024,1,Hydroprogne caspia,12.2,41.85,19529,18.5,60.3333,18000
FI080,IT069,1,Hydroprogne caspia,23.5667,59.7667,32666,12.2333,44.9333,60
DK008,SE064,1,Hydroprogne caspia,9.1667,57.0333,1660,17.9666,58.9166,40100
BG033,FI045,1,Hydroprogne caspia,27.0736,44.1161,1448,21.0833,63.3333,223652
SE073,SK030,1,Hydroprogne caspia,15.15,56.1333,59300,22.0833,48.7,1440
DE307,FI041,1,Hydroprogne caspia,13.4333,54.5,21790,23.0667,63.9333,20340
IT133,SE008,1,Hydroprogne caspia,15,40.5,64000,22.5,65.3333,2500
FI045,IT147,1,Hydroprogne caspia,21.0833,63.3333,223652,18.5833,40.1333,3100
IT163,SE024,1,Hydroprogne caspia,15.1,37.4,3398,18.5,60.3333,18000
AL015,FI045,1,Hydroprogne caspia,19.5,41.3,800,21.0833,63.3333,223652
IT145,SE024,1,Hydroprogne caspia,17.9833,40.05,262,18.5,60.3333,18000
FI045,TR022,1,Hydroprogne caspia,21.0833,63.3333,223652,27.2,37.5667,9800
ES259,SE024,1,Hydroprogne caspia,-6.4167,37,230000,18.5,60.3333,18000
FI082,SE064,1,Hydroprogne caspia,24.5,59.9333,11808,17.9666,58.9166,40100
IT076,SE064,1,Hydroprogne caspia,12.35,44.25,989,17.9666,58.9166,40100
FI075,IT203,1,Hydroprogne caspia,26.3333,60.2167,18250,15.9167,41.4167,207378
EE067,RO001,1,Hydroprogne caspia,23.25,58.7666,279557,29.2,44.9333,442000
AL005,FI075,1,Hydroprogne caspia,19.3833,40.5833,4180,26.3333,60.2167,18250
IT072,SE064,1,Hydroprogne caspia,12.1667,44.6167,44013,17.9666,58.9166,40100
FI080,SE064,1,Hydroprogne caspia,23.5667,59.7667,32666,17.9666,58.9166,40100
FI083,SE008,1,Hydroprogne caspia,21.6,61.5333,15441,22.5,65.3333,2500
ES147,FI082,1,Hydroprogne caspia,0.25,40.8333,107000,24.5,59.9333,11808
IT061,SE024,1,Hydroprogne caspia,12.9167,45.65,2200,18.5,60.3333,18000
FI080,LV022,1,Hydroprogne caspia,23.5667,59.7667,32666,23.7333,56.9166,3052
