iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DE023,DE043,614,Larus argentatus,10.9166,53.9166,1500,11.6166,53.7833,74800
DE021,DE023,588,Larus argentatus,10.75,54.0333,2050,10.9166,53.9166,1500
DE043,DE311,436,Larus argentatus,11.6166,53.7833,74800,11.9166,54.1333,1830
DE023,DE311,426,Larus argentatus,10.9166,53.9166,1500,11.9166,54.1333,1830
DE289,DK065,385,Larus argentatus,8.81666,54.4833,441000,8.5333,55.05,7010
NL003,NL013,372,Larus argentatus,4.7833,53.1167,3850,4.7667,52.9167,6000
DK110,DK111,369,Larus argentatus,12.8333,55.6667,7240,12.5333,55.5833,6210
DE023,DE288,319,Larus argentatus,10.9166,53.9166,1500,11.4333,54.0166,102030
NL001,NL003,253,Larus argentatus,5.3833,53.3,272100,4.7833,53.1167,3850
DE023,DE317,232,Larus argentatus,10.9166,53.9166,1500,12.7,54.05,67280
DE291,DK065,231,Larus argentatus,8.3,54.2,800000,8.5333,55.05,7010
DE304,DE311,229,Larus argentatus,12.9,54.4333,203810,11.9166,54.1333,1830
DE043,DE288,207,Larus argentatus,11.6166,53.7833,74800,11.4333,54.0166,102030
DE021,DE311,199,Larus argentatus,10.75,54.0333,2050,11.9166,54.1333,1830
DK111,SE060,171,Larus argentatus,12.5333,55.5833,6210,13.0063,55.6881,5600
DE288,DE311,161,Larus argentatus,11.4333,54.0166,102030,11.9166,54.1333,1830
DK057,DK065,158,Larus argentatus,8.5333,55.2667,115850,8.5333,55.05,7010
NL003,NL071,157,Larus argentatus,4.7833,53.1167,3850,4.9333,52.45,1960
DE023,DE158,140,Larus argentatus,10.9166,53.9166,1500,8.76666,52.3166,3587
NL001,NL013,135,Larus argentatus,5.3833,53.3,272100,4.7667,52.9167,6000
NL002,NL003,134,Larus argentatus,4.9,53.1333,1600,4.7833,53.1167,3850
NL011,NL012,134,Larus argentatus,6.5,53.5333,782,6.5833,53.55,311
DE023,DE304,121,Larus argentatus,10.9166,53.9166,1500,12.9,54.4333,203810
DE021,DE317,113,Larus argentatus,10.75,54.0333,2050,12.7,54.05,67280
NL001,NL010,111,Larus argentatus,5.3833,53.3,272100,6.25,53.5,2800
FI082,LT001,110,Larus argentatus,24.5,59.9333,11808,20.8666,55.95,113000
DE021,DE158,101,Larus argentatus,10.75,54.0333,2050,8.76666,52.3166,3587
DK110,SE060,100,Larus argentatus,12.8333,55.6667,7240,13.0063,55.6881,5600
DE311,DE317,98,Larus argentatus,11.9166,54.1333,1830,12.7,54.05,67280
DK047,DK065,98,Larus argentatus,9.7167,55.35,35060,8.5333,55.05,7010
DE311,DK079,96,Larus argentatus,11.9166,54.1333,1830,15.1833,55.3167,1257
DK079,DK111,94,Larus argentatus,15.1833,55.3167,1257,12.5333,55.5833,6210
AT055,CH004,93,Larus argentatus,9.66666,47.4333,3652,7.1833,46.9667,16100
DK005,DK011,85,Larus argentatus,10.35,57.55,4480,10.6333,57.4833,220
DE043,DE304,84,Larus argentatus,11.6166,53.7833,74800,12.9,54.4333,203810
