iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DK111,SE060,223,Larus canus,12.5333,55.5833,6210,13.0063,55.6881,5600
DK110,DK111,82,Larus canus,12.8333,55.6667,7240,12.5333,55.5833,6210
FI078,SE060,68,Larus canus,24.9333,60.2,1274,13.0063,55.6881,5600
DK110,SE060,60,Larus canus,12.8333,55.6667,7240,13.0063,55.6881,5600
DK111,FI078,56,Larus canus,12.5333,55.5833,6210,24.9333,60.2,1274
NL068,NL092,52,Larus canus,4.85,52.5667,2040,4.6667,52.7,2500
DK109,SE060,48,Larus canus,12.4167,55.8,1290,13.0063,55.6881,5600
DE043,DE288,37,Larus canus,11.6166,53.7833,74800,11.4333,54.0166,102030
DK109,DK111,25,Larus canus,12.4167,55.8,1290,12.5333,55.5833,6210
NL044,NL073,21,Larus canus,5.2,52.3167,2670,5.0833,52.2167,7040
NL002,NL003,20,Larus canus,4.9,53.1333,1600,4.7833,53.1167,3850
NL052,SE060,20,Larus canus,6.4333,53.1833,1450,13.0063,55.6881,5600
NL002,NL092,20,Larus canus,4.9,53.1333,1600,4.6667,52.7,2500
NL002,NL013,16,Larus canus,4.9,53.1333,1600,4.7667,52.9167,6000
FI078,NL052,15,Larus canus,24.9333,60.2,1274,6.4333,53.1833,1450
NL019,NL092,15,Larus canus,4.7,52.8167,600,4.6667,52.7,2500
DK103,DK111,14,Larus canus,12.15,55.5667,100,12.5333,55.5833,6210
NL003,NL013,14,Larus canus,4.7833,53.1167,3850,4.7667,52.9167,6000
DK110,SE061,12,Larus canus,12.8333,55.6667,7240,12.9167,55.4167,20000
NL001,NL092,12,Larus canus,5.3833,53.3,272100,4.6667,52.7,2500
NL001,NL054,12,Larus canus,5.3833,53.3,272100,5.8667,53.2167,600
NL001,NL002,12,Larus canus,5.3833,53.3,272100,4.9,53.1333,1600
DK036,DK045,11,Larus canus,10.1667,55.85,42880,9.75,55.7,2690
NL003,NL092,11,Larus canus,4.7833,53.1167,3850,4.6667,52.7,2500
SE060,SE061,11,Larus canus,13.0063,55.6881,5600,12.9167,55.4167,20000
NL001,NL003,11,Larus canus,5.3833,53.3,272100,4.7833,53.1167,3850
DK017,DK018,11,Larus canus,8.4167,56.95,1430,8.4667,57.0167,1410
NL021,NL092,11,Larus canus,4.0333,51.9167,350,4.6667,52.7,2500
NL013,NL092,11,Larus canus,4.7667,52.9167,6000,4.6667,52.7,2500
DK111,SE061,10,Larus canus,12.5333,55.5833,6210,12.9167,55.4167,20000
NL071,NL092,10,Larus canus,4.9333,52.45,1960,4.6667,52.7,2500
DK079,DK080,10,Larus canus,15.1833,55.3167,1257,14.9667,55.1333,6090
DK084,DK130,10,Larus canus,12,54.9167,8160,11.4666,55.0666,135300
NL021,NL022,9,Larus canus,4.0333,51.9167,350,4.05,51.9,1500
BE006,DE288,9,Larus canus,3.35,51.3333,1820,11.4333,54.0166,102030
NL020,NL092,9,Larus canus,3.5833,51.7167,107000,4.6667,52.7,2500
DK036,DK047,9,Larus canus,10.1667,55.85,42880,9.7167,55.35,35060
FI078,NL094,9,Larus canus,24.9333,60.2,1274,5.8333,52.1667,91800
DE288,NL068,8,Larus canus,11.4333,54.0166,102030,4.85,52.5667,2040
DK128,FI045,8,Larus canus,11,57.2,580000,21.0833,63.3333,223652
DK105,DK111,8,Larus canus,12.0833,55.75,13180,12.5333,55.5833,6210
DE289,FI075,8,Larus canus,8.81666,54.4833,441000,26.3333,60.2167,18250
DK001,DK012,8,Larus canus,9.5833,57.0333,18530,9.1667,56.9167,32570
DE058,FI082,8,Larus canus,8.16666,53.55,235071,24.5,59.9333,11808
DE116,FI078,8,Larus canus,8.83333,53.1333,3496,24.9333,60.2,1274
NL038,NL068,7,Larus canus,5.25,52.5333,69700,4.85,52.5667,2040
DK121,FI045,7,Larus canus,9,57.6666,1600000,21.0833,63.3333,223652
NL056,NL068,7,Larus canus,5.9167,53.0333,1260,4.85,52.5667,2040
NL053,SE060,7,Larus canus,6.6833,53.1333,2100,13.0063,55.6881,5600
DE288,DE304,7,Larus canus,11.4333,54.0166,102030,12.9,54.4333,203810
DE291,FI083,7,Larus canus,8.3,54.2,800000,21.6,61.5333,15441
DK071,DK111,7,Larus canus,10.3333,55,38440,12.5333,55.5833,6210
DE058,FI078,7,Larus canus,8.16666,53.55,235071,24.9333,60.2,1274
DK043,DK049,7,Larus canus,8.25,56,27720,8.3167,55.6,2700
NL052,NL053,7,Larus canus,6.4333,53.1833,1450,6.6833,53.1333,2100
DK098,DK130,7,Larus canus,11,55.3333,4920,11.4666,55.0666,135300
DK109,FI078,7,Larus canus,12.4167,55.8,1290,24.9333,60.2,1274
FI045,NL001,7,Larus canus,21.0833,63.3333,223652,5.3833,53.3,272100
DE288,NL001,7,Larus canus,11.4333,54.0166,102030,5.3833,53.3,272100
BE010,BE018,6,Larus canus,4.1,51.05,7923,5,51.3833,7075
DK036,FI082,6,Larus canus,10.1667,55.85,42880,24.5,59.9333,11808
DK005,DK011,6,Larus canus,10.35,57.55,4480,10.6333,57.4833,220
FI082,NL001,6,Larus canus,24.5,59.9333,11808,5.3833,53.3,272100
NL038,NL092,6,Larus canus,5.25,52.5333,69700,4.6667,52.7,2500
BE012,BE018,6,Larus canus,4.35,51.2667,194,5,51.3833,7075
NL056,NL058,6,Larus canus,5.9167,53.0333,1260,5.7667,53.0167,1670
DE289,FI082,6,Larus canus,8.81666,54.4833,441000,24.5,59.9333,11808
NL070,NL092,6,Larus canus,4.8333,52.5167,1940,4.6667,52.7,2500
DK111,FI082,6,Larus canus,12.5333,55.5833,6210,24.5,59.9333,11808
DK104,SE060,6,Larus canus,12.05,55.5833,220,13.0063,55.6881,5600
FI043,SE060,6,Larus canus,22.6333,63.7833,17240,13.0063,55.6881,5600
LT002,SE060,6,Larus canus,20.85,55.6333,77000,13.0063,55.6881,5600
FI078,NL001,6,Larus canus,24.9333,60.2,1274,5.3833,53.3,272100
NL034,SE060,6,Larus canus,5.45,52.75,109000,13.0063,55.6881,5600
UK105,UK199,6,Larus canus,-2.5683,59.0316,102,-2.8975,59.0428,33
DK130,SE073,6,Larus canus,11.4666,55.0666,135300,15.15,56.1333,59300
DE291,FI082,6,Larus canus,8.3,54.2,800000,24.5,59.9333,11808
