iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
UK025,UK044,110,Larus fuscus,-2.5158,53.9815,79978,-2.9781,54.104,36859
UK025,UK039,70,Larus fuscus,-2.5158,53.9815,79978,-2.878,53.6248,120
NL021,UK002,57,Larus fuscus,4.0333,51.9167,350,1.55616,52.0045,2520
UK025,UK049,52,Larus fuscus,-2.5158,53.9815,79978,-0.8706,54.3806,143490
UK025,UK062,50,Larus fuscus,-2.5158,53.9815,79978,-1.8673,53.5123,66059
BE004,UK002,46,Larus fuscus,3.1833,51.35,230,1.55616,52.0045,2520
UK025,UK057,35,Larus fuscus,-2.5158,53.9815,79978,-3.0371,53.6618,12408
UK002,UK043,31,Larus fuscus,1.55616,52.0045,2520,1.626,52.3021,2212
PT034,UK025,30,Larus fuscus,-7.4333,37.2,2147,-2.5158,53.9815,79978
UK002,UK009,27,Larus fuscus,1.55616,52.0045,2520,0.6795,52.4218,39284
PT034,UK084,27,Larus fuscus,-7.4333,37.2,2147,-4.4755,51.6696,33294
UK025,UK038,27,Larus fuscus,-2.5158,53.9815,79978,-0.9453,53.8633,1088
PT034,UK002,23,Larus fuscus,-7.4333,37.2,2147,1.55616,52.0045,2520
UK025,UK041,22,Larus fuscus,-2.5158,53.9815,79978,-2.8301,53.2998,5007
NO045,NO046,21,Larus fuscus,6.6667,58.0833,1189,7.55,57.9667,100
UK025,UK048,21,Larus fuscus,-2.5158,53.9815,79978,-2.2885,54.6466,146795
PT021,UK025,21,Larus fuscus,-8.9333,38.8167,45071,-2.5158,53.9815,79978
NL020,UK002,21,Larus fuscus,3.5833,51.7167,107000,1.55616,52.0045,2520
ES244,UK025,17,Larus fuscus,-5.5833,36.4167,133500,-2.5158,53.9815,79978
UK002,UK007,16,Larus fuscus,1.55616,52.0045,2520,0.66666,51.5166,2373
ES281,UK025,16,Larus fuscus,-5,39,66000,-2.5158,53.9815,79978
ES259,UK025,16,Larus fuscus,-6.4167,37,230000,-2.5158,53.9815,79978
ES255,UK025,15,Larus fuscus,-5.9167,36.6167,22000,-2.5158,53.9815,79978
UK025,UK075,12,Larus fuscus,-2.5158,53.9815,79978,-0.8993,53.6375,3337
FR045,UK002,12,Larus fuscus,0.3,49.4333,21100,1.55616,52.0045,2520
FR045,NO045,11,Larus fuscus,0.3,49.4333,21100,6.6667,58.0833,1189
ES255,UK002,11,Larus fuscus,-5.9167,36.6167,22000,1.55616,52.0045,2520
UK025,UK045,11,Larus fuscus,-2.5158,53.9815,79978,-0.0533,52.5833,1505
UK002,UK073,11,Larus fuscus,1.55616,52.0045,2520,0.53333,51.4666,9357
FR062,NO045,10,Larus fuscus,1.5667,50.5333,5050,6.6667,58.0833,1189
ES260,UK025,10,Larus fuscus,-6.65,37.3667,56500,-2.5158,53.9815,79978
DK032,NL020,10,Larus fuscus,11.5833,56.7167,2000,3.5833,51.7167,107000
ES259,UK002,10,Larus fuscus,-6.4167,37,230000,1.55616,52.0045,2520
UK002,UK010,10,Larus fuscus,1.55616,52.0045,2520,1.63133,52.5845,2091
ES223,UK002,10,Larus fuscus,-3.6667,36.8333,125000,1.55616,52.0045,2520
UK002,UK006,10,Larus fuscus,1.55616,52.0045,2520,1.7025,52.3838,468
UK002,UK077,10,Larus fuscus,1.55616,52.0045,2520,0.29,52.9366,69908
NO045,PT034,9,Larus fuscus,6.6667,58.0833,1189,-7.4333,37.2,2147
NL020,NL021,9,Larus fuscus,3.5833,51.7167,107000,4.0333,51.9167,350
DK011,DK032,9,Larus fuscus,10.6333,57.4833,220,11.5833,56.7167,2000
PT008,UK084,9,Larus fuscus,-7.0333,40.25,16361,-4.4755,51.6696,33294
ES281,UK002,9,Larus fuscus,-5,39,66000,1.55616,52.0045,2520
NL001,NL010,8,Larus fuscus,5.3833,53.3,272100,6.25,53.5,2800
FR033,UK084,8,Larus fuscus,-1,46.3333,77900,-4.4755,51.6696,33294
NL001,NL013,8,Larus fuscus,5.3833,53.3,272100,4.7667,52.9167,6000
PT021,UK084,8,Larus fuscus,-8.9333,38.8167,45071,-4.4755,51.6696,33294
DK032,SE052,8,Larus fuscus,11.5833,56.7167,2000,12.2167,57.1167,355
UK002,UK016,8,Larus fuscus,1.55616,52.0045,2520,1.34416,52.0423,977
DK032,DK124,8,Larus fuscus,11.5833,56.7167,2000,12.5333,56.05,800
BE002,NL001,8,Larus fuscus,2.6667,51.1333,1415,5.3833,53.3,272100
DK032,DK106,8,Larus fuscus,11.5833,56.7167,2000,12.1667,56,4610
PT015,UK025,7,Larus fuscus,-8.5333,39.3666,432,-2.5158,53.9815,79978
DK032,DK128,7,Larus fuscus,11.5833,56.7167,2000,11,57.2,580000
NL031,UK002,7,Larus fuscus,3.7333,51.5333,3010,1.55616,52.0045,2520
DK032,DK102,7,Larus fuscus,11.5833,56.7167,2000,11.8333,55.9667,4000
ES259,UK084,7,Larus fuscus,-6.4167,37,230000,-4.4755,51.6696,33294
NL021,NL096,7,Larus fuscus,4.0333,51.9167,350,5.1,51.65,4090
UK002,UK066,7,Larus fuscus,1.55616,52.0045,2520,1.16533,51.9566,3670
BE004,NL020,7,Larus fuscus,3.1833,51.35,230,3.5833,51.7167,107000
DE289,DK032,6,Larus fuscus,8.81666,54.4833,441000,11.5833,56.7167,2000
ES265,UK025,6,Larus fuscus,-7.0833,37.9167,48000,-2.5158,53.9815,79978
DK032,SE057,6,Larus fuscus,11.5833,56.7167,2000,12.729,56.2328,1370
PT033,UK025,6,Larus fuscus,-7.8166,37.0166,23296,-2.5158,53.9815,79978
DE330,NL001,6,Larus fuscus,5.08333,53.4333,1900,5.3833,53.3,272100
ES255,UK084,6,Larus fuscus,-5.9167,36.6167,22000,-4.4755,51.6696,33294
DK121,NO046,6,Larus fuscus,9,57.6666,1600000,7.55,57.9667,100
ES154,UK002,6,Larus fuscus,-0.0167,39.95,375,1.55616,52.0045,2520
NL001,NL009,6,Larus fuscus,5.3833,53.3,272100,6.05,53.45,720
UK025,UK073,6,Larus fuscus,-2.5158,53.9815,79978,0.53333,51.4666,9357
NL001,NL058,6,Larus fuscus,5.3833,53.3,272100,5.7667,53.0167,1670
ES244,UK084,6,Larus fuscus,-5.5833,36.4167,133500,-4.4755,51.6696,33294
BE001,NL001,6,Larus fuscus,2.75,51.2,17000,5.3833,53.3,272100
FR062,UK025,6,Larus fuscus,1.5667,50.5333,5050,-2.5158,53.9815,79978
DK110,SE060,6,Larus fuscus,12.8333,55.6667,7240,13.0063,55.6881,5600
ES254,UK025,6,Larus fuscus,-5.5667,36.75,2500,-2.5158,53.9815,79978
PT021,UK049,6,Larus fuscus,-8.9333,38.8167,45071,-0.8706,54.3806,143490
ES260,UK002,5,Larus fuscus,-6.65,37.3667,56500,1.55616,52.0045,2520
NL001,NL021,5,Larus fuscus,5.3833,53.3,272100,4.0333,51.9167,350
BE002,NL021,5,Larus fuscus,2.6667,51.1333,1415,4.0333,51.9167,350
BE004,NO045,5,Larus fuscus,3.1833,51.35,230,6.6667,58.0833,1189
ES265,UK002,5,Larus fuscus,-7.0833,37.9167,48000,1.55616,52.0045,2520
NL001,NL003,5,Larus fuscus,5.3833,53.3,272100,4.7833,53.1167,3850
FR023,UK025,5,Larus fuscus,-1.8167,47.2667,21400,-2.5158,53.9815,79978
NL020,NO046,5,Larus fuscus,3.5833,51.7167,107000,7.55,57.9667,100
PT008,UK025,5,Larus fuscus,-7.0333,40.25,16361,-2.5158,53.9815,79978
NO046,PT034,5,Larus fuscus,7.55,57.9667,100,-7.4333,37.2,2147
FR023,UK084,5,Larus fuscus,-1.8167,47.2667,21400,-4.4755,51.6696,33294
DK032,DK036,5,Larus fuscus,11.5833,56.7167,2000,10.1667,55.85,42880
UK001,UK002,5,Larus fuscus,0.86416,51.8251,716,1.55616,52.0045,2520
BE004,NO046,5,Larus fuscus,3.1833,51.35,230,7.55,57.9667,100
PT015,UK084,5,Larus fuscus,-8.5333,39.3666,432,-4.4755,51.6696,33294
SE049,SE065,4,Larus fuscus,18.0167,57.2833,4570,18.15,56.8666,157900
UK009,UK025,4,Larus fuscus,0.6795,52.4218,39284,-2.5158,53.9815,79978
BE004,NL001,4,Larus fuscus,3.1833,51.35,230,5.3833,53.3,272100
NL021,UK025,4,Larus fuscus,4.0333,51.9167,350,-2.5158,53.9815,79978
DK079,DK080,4,Larus fuscus,15.1833,55.3167,1257,14.9667,55.1333,6090
FR033,UK025,4,Larus fuscus,-1,46.3333,77900,-2.5158,53.9815,79978
DE291,NL001,4,Larus fuscus,8.3,54.2,800000,5.3833,53.3,272100
UK002,UK019,4,Larus fuscus,1.55616,52.0045,2520,0.83,50.9755,9805
NL001,NL083,4,Larus fuscus,5.3833,53.3,272100,6.3833,52.8167,3800
NL083,UK002,4,Larus fuscus,6.3833,52.8167,3800,1.55616,52.0045,2520
NL001,NL015,4,Larus fuscus,5.3833,53.3,272100,6.2167,53.3667,7820
FR064,UK002,4,Larus fuscus,1.5833,50.8667,8950,1.55616,52.0045,2520
NL001,NL020,4,Larus fuscus,5.3833,53.3,272100,3.5833,51.7167,107000
ES223,UK084,4,Larus fuscus,-3.6667,36.8333,125000,-4.4755,51.6696,33294
NL001,NL032,4,Larus fuscus,5.3833,53.3,272100,3.8333,51.3833,50800
FR007,UK084,4,Larus fuscus,-4.9333,48.3667,10900,-4.4755,51.6696,33294
DK031,DK032,4,Larus fuscus,10.6667,55.9,15450,11.5833,56.7167,2000
ES243,UK025,4,Larus fuscus,-5.4167,36.6667,90500,-2.5158,53.9815,79978
DK032,DK075,4,Larus fuscus,11.5833,56.7167,2000,10.5667,55.5,5060
BE004,UK025,4,Larus fuscus,3.1833,51.35,230,-2.5158,53.9815,79978
DE058,DK032,4,Larus fuscus,8.16666,53.55,235071,11.5833,56.7167,2000
PT023,UK084,4,Larus fuscus,-8.7167,38.45,24633,-4.4755,51.6696,33294
DK032,DK094,4,Larus fuscus,11.5833,56.7167,2000,11.3,55.8333,40250
DE162,NO045,4,Larus fuscus,7.65,52.0333,584,6.6667,58.0833,1189
DK032,DK126,4,Larus fuscus,11.5833,56.7167,2000,12.25,56.1167,1250
DK032,DK043,4,Larus fuscus,11.5833,56.7167,2000,8.25,56,27720
BE004,DK032,4,Larus fuscus,3.1833,51.35,230,11.5833,56.7167,2000
DK032,DK130,4,Larus fuscus,11.5833,56.7167,2000,11.4666,55.0666,135300
NO045,PT008,4,Larus fuscus,6.6667,58.0833,1189,-7.0333,40.25,16361
DK032,NL021,4,Larus fuscus,11.5833,56.7167,2000,4.0333,51.9167,350
