iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DK031,DK075,85,Larus marinus,10.6667,55.9,15450,10.5667,55.5,5060
DK030,DK031,34,Larus marinus,10.3333,56,370,10.6667,55.9,15450
DK031,DK036,34,Larus marinus,10.6667,55.9,15450,10.1667,55.85,42880
DK031,DK047,31,Larus marinus,10.6667,55.9,15450,9.7167,55.35,35060
UK025,UK044,27,Larus marinus,-2.5158,53.9815,79978,-2.9781,54.104,36859
DK031,DK098,22,Larus marinus,10.6667,55.9,15450,11,55.3333,4920
DK011,DK022,20,Larus marinus,10.6333,57.4833,220,8.6167,57.1167,5110
DK031,DK071,20,Larus marinus,10.6667,55.9,15450,10.3333,55,38440
DK031,DK076,20,Larus marinus,10.6667,55.9,15450,10.2167,55.6,13060
DK031,DK094,19,Larus marinus,10.6667,55.9,15450,11.3,55.8333,40250
DE291,DK031,16,Larus marinus,8.3,54.2,800000,10.6667,55.9,15450
DK011,DK125,15,Larus marinus,10.6333,57.4833,220,10.6,57.75,1800
DK110,SE060,14,Larus marinus,12.8333,55.6667,7240,13.0063,55.6881,5600
DK011,DK121,13,Larus marinus,10.6333,57.4833,220,9,57.6666,1600000
DK011,DK128,13,Larus marinus,10.6333,57.4833,220,11,57.2,580000
DK031,DK053,13,Larus marinus,10.6667,55.9,15450,8.4,55.4333,4370
DK009,DK011,12,Larus marinus,10.9333,57.3667,2923,10.6333,57.4833,220
DK031,DK045,12,Larus marinus,10.6667,55.9,15450,9.75,55.7,2690
DK031,DK130,12,Larus marinus,10.6667,55.9,15450,11.4666,55.0666,135300
UK018,UK044,11,Larus marinus,-3.2693,54.1731,6756,-2.9781,54.104,36859
DK031,DK073,11,Larus marinus,10.6667,55.9,15450,10.8333,55.1667,3470
UK207,UK233,9,Larus marinus,-4.0393,57.7255,16262,-2.0463,57.6943,154
DK031,DK112,9,Larus marinus,10.6667,55.9,15450,10.8167,56.1333,70
UK025,UK039,9,Larus marinus,-2.5158,53.9815,79978,-2.878,53.6248,120
DK031,DK051,9,Larus marinus,10.6667,55.9,15450,8.7,55.3333,6660
DE040,SE049,8,Larus marinus,14.0833,54.3,333425,18.0167,57.2833,4570
DK022,NO046,8,Larus marinus,8.6167,57.1167,5110,7.55,57.9667,100
DK110,DK111,6,Larus marinus,12.8333,55.6667,7240,12.5333,55.5833,6210
DK031,DK077,6,Larus marinus,10.6667,55.9,15450,10.8333,55.5,3490
UK025,UK048,6,Larus marinus,-2.5158,53.9815,79978,-2.2885,54.6466,146795
DE289,DK031,6,Larus marinus,8.81666,54.4833,441000,10.6667,55.9,15450
DK125,NO046,6,Larus marinus,10.6,57.75,1800,7.55,57.9667,100
DK031,DK110,6,Larus marinus,10.6667,55.9,15450,12.8333,55.6667,7240
DK031,DK100,6,Larus marinus,10.6667,55.9,15450,11.3333,55.5833,2890
DK031,DK043,6,Larus marinus,10.6667,55.9,15450,8.25,56,27720
DK031,DK097,6,Larus marinus,10.6667,55.9,15450,11.6667,55.9167,240
DK031,DK099,6,Larus marinus,10.6667,55.9,15450,11.1667,55.75,3630
DK121,NO046,6,Larus marinus,9,57.6666,1600000,7.55,57.9667,100
DK031,DK049,6,Larus marinus,10.6667,55.9,15450,8.3167,55.6,2700
DK031,DK038,6,Larus marinus,10.6667,55.9,15450,8.2333,56.35,10890
EE067,FI077,5,Larus marinus,23.25,58.7666,279557,25.6667,60.1667,22570
DK011,DK031,5,Larus marinus,10.6333,57.4833,220,10.6667,55.9,15450
UK025,UK049,5,Larus marinus,-2.5158,53.9815,79978,-0.8706,54.3806,143490
DK005,DK011,5,Larus marinus,10.35,57.55,4480,10.6333,57.4833,220
UK195,UK207,5,Larus marinus,-3.7015,57.5423,1821,-4.0393,57.7255,16262
DK073,DK130,5,Larus marinus,10.8333,55.1667,3470,11.4666,55.0666,135300
DK009,DK128,5,Larus marinus,10.9333,57.3667,2923,11,57.2,580000
DK031,DK128,5,Larus marinus,10.6667,55.9,15450,11,57.2,580000
DK031,DK125,5,Larus marinus,10.6667,55.9,15450,10.6,57.75,1800
DK110,DK128,5,Larus marinus,12.8333,55.6667,7240,11,57.2,580000
DK011,NL013,5,Larus marinus,10.6333,57.4833,220,4.7667,52.9167,6000
DK130,SE049,4,Larus marinus,11.4666,55.0666,135300,18.0167,57.2833,4570
DK047,DK076,4,Larus marinus,9.7167,55.35,35060,10.2167,55.6,13060
BE001,BE004,4,Larus marinus,2.75,51.2,17000,3.1833,51.35,230
DK031,NL001,4,Larus marinus,10.6667,55.9,15450,5.3833,53.3,272100
DK111,SE049,4,Larus marinus,12.5333,55.5833,6210,18.0167,57.2833,4570
DK031,DK088,4,Larus marinus,10.6667,55.9,15450,11.0333,54.8333,8550
FI077,PL012,4,Larus marinus,25.6667,60.1667,22570,18.6167,54.5667,56000
DK031,DK093,4,Larus marinus,10.6667,55.9,15450,11.5833,55.3667,1960
DE040,FI072,4,Larus marinus,14.0833,54.3,333425,27,60.3333,93253
DK125,DK128,4,Larus marinus,10.6,57.75,1800,11,57.2,580000
BE002,BE003,4,Larus marinus,2.6667,51.1333,1415,2.8333,51,5100
DK102,DK128,4,Larus marinus,11.8333,55.9667,4000,11,57.2,580000
UK116,UK233,4,Larus marinus,-3.3923,58.5185,1372,-2.0463,57.6943,154
DK031,DK035,4,Larus marinus,10.6667,55.9,15450,9.8,56.0333,2020
UK226,UK233,4,Larus marinus,-3.0575,58.7431,175,-2.0463,57.6943,154
DK110,SE061,4,Larus marinus,12.8333,55.6667,7240,12.9167,55.4167,20000
UK091,UK096,4,Larus marinus,-3.637,53.3211,10154,-4.0421,53.2551,2694
DK031,SE052,4,Larus marinus,10.6667,55.9,15450,12.2167,57.1167,355
UK048,UK101,4,Larus marinus,-2.2885,54.6466,146795,-3.8106,54.8463,59
DK110,DK124,4,Larus marinus,12.8333,55.6667,7240,12.5333,56.05,800
UK044,UK292,4,Larus marinus,-2.9781,54.104,36859,-4.5143,54.3226,312
DK011,DK075,4,Larus marinus,10.6333,57.4833,220,10.5667,55.5,5060
IE117,UK044,4,Larus marinus,-6.0167,53.6,1,-2.9781,54.104,36859
DK011,DK047,4,Larus marinus,10.6333,57.4833,220,9.7167,55.35,35060
UK226,UK241,4,Larus marinus,-3.0575,58.7431,175,-3.1031,58.8803,25122
DK031,DK041,4,Larus marinus,10.6667,55.9,15450,8.15,56.1833,6910
UK025,UK038,4,Larus marinus,-2.5158,53.9815,79978,-0.9453,53.8633,1088
DK014,DK031,4,Larus marinus,9.1667,56.6667,7590,10.6667,55.9,15450
DK022,DK121,4,Larus marinus,8.6167,57.1167,5110,9,57.6666,1600000
DK031,SE057,4,Larus marinus,10.6667,55.9,15450,12.729,56.2328,1370
DK090,SE049,4,Larus marinus,12.5333,54.9667,1010,18.0167,57.2833,4570
DK031,DK111,4,Larus marinus,10.6667,55.9,15450,12.5333,55.5833,6210
DE045,SE049,4,Larus marinus,14.0166,53.9333,27790,18.0167,57.2833,4570
PL080,SE049,4,Larus marinus,18.2833,54.8166,272500,18.0167,57.2833,4570
LT002,LT003,3,Larus marinus,20.85,55.6333,77000,21.1667,55.4167,9720
FI077,LV018,3,Larus marinus,25.6667,60.1667,22570,23.1833,57.2333,120000
PL012,PL080,3,Larus marinus,18.6167,54.5667,56000,18.2833,54.8166,272500
SE049,SE050,3,Larus marinus,18.0167,57.2833,4570,18.95,57.4,152500
DK113,FI082,3,Larus marinus,12.3333,55.4167,50,24.5,59.9333,11808
