iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
HU026,IT070,75,Larus melanocephalus,20.1666,46.25,29483,12.2667,44.9333,17000
BE011,FR064,44,Larus melanocephalus,4.25,51.3167,7570,1.5833,50.8667,8950
FR064,HU026,31,Larus melanocephalus,1.5833,50.8667,8950,20.1666,46.25,29483
HU026,IT072,28,Larus melanocephalus,20.1666,46.25,29483,12.1667,44.6167,44013
BE011,HU026,25,Larus melanocephalus,4.25,51.3167,7570,20.1666,46.25,29483
IT070,IT072,22,Larus melanocephalus,12.2667,44.9333,17000,12.1667,44.6167,44013
HU026,IT062,22,Larus melanocephalus,20.1666,46.25,29483,13.3167,45.75,32815
FR004,HU026,18,Larus melanocephalus,-3.1167,48.8333,9900,20.1666,46.25,29483
FR033,FR108,15,Larus melanocephalus,-1,46.3333,77900,-0.35,46.2333,14300
FR108,HU026,13,Larus melanocephalus,-0.35,46.2333,14300,20.1666,46.25,29483
IT062,IT070,12,Larus melanocephalus,13.3167,45.75,32815,12.2667,44.9333,17000
HU026,IT064,12,Larus melanocephalus,20.1666,46.25,29483,12.4667,45.3667,68982
FR033,HU026,11,Larus melanocephalus,-1,46.3333,77900,20.1666,46.25,29483
BE004,HU026,9,Larus melanocephalus,3.1833,51.35,230,20.1666,46.25,29483
FR004,FR051,7,Larus melanocephalus,-3.1167,48.8333,9900,1.7,50.2667,5550
FR108,FR114,7,Larus melanocephalus,-0.35,46.2333,14300,-0.5167,46.1167,3500
BE011,NL029,6,Larus melanocephalus,4.25,51.3167,7570,4.2,51.5,1175
BE011,FR004,6,Larus melanocephalus,4.25,51.3167,7570,-3.1167,48.8333,9900
FR114,HU026,6,Larus melanocephalus,-0.5167,46.1167,3500,20.1666,46.25,29483
HU026,IT071,6,Larus melanocephalus,20.1666,46.25,29483,12.25,44.7833,7081
FR045,HU026,6,Larus melanocephalus,0.3,49.4333,21100,20.1666,46.25,29483
IT070,IT071,5,Larus melanocephalus,12.2667,44.9333,17000,12.25,44.7833,7081
