iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL038,NL073,1193,Larus ridibundus,5.25,52.5333,69700,5.0833,52.2167,7040
NL038,NL044,1110,Larus ridibundus,5.25,52.5333,69700,5.2,52.3167,2670
DK111,SE060,753,Larus ridibundus,12.5333,55.5833,6210,13.0063,55.6881,5600
DK110,SE060,537,Larus ridibundus,12.8333,55.6667,7240,13.0063,55.6881,5600
NL048,NL094,350,Larus ridibundus,6.0333,51.8833,6460,5.8333,52.1667,91800
NL011,NL052,316,Larus ridibundus,6.5,53.5333,782,6.4333,53.1833,1450
DK110,DK111,315,Larus ridibundus,12.8333,55.6667,7240,12.5333,55.5833,6210
DK109,DK111,236,Larus ridibundus,12.4167,55.8,1290,12.5333,55.5833,6210
NL001,NL056,220,Larus ridibundus,5.3833,53.3,272100,5.9167,53.0333,1260
NL038,NL071,177,Larus ridibundus,5.25,52.5333,69700,4.9333,52.45,1960
DK109,SE060,174,Larus ridibundus,12.4167,55.8,1290,13.0063,55.6881,5600
NL034,NL038,168,Larus ridibundus,5.45,52.75,109000,5.25,52.5333,69700
NL011,NL056,148,Larus ridibundus,6.5,53.5333,782,5.9167,53.0333,1260
NL044,NL073,140,Larus ridibundus,5.2,52.3167,2670,5.0833,52.2167,7040
NL052,SE060,126,Larus ridibundus,6.4333,53.1833,1450,13.0063,55.6881,5600
NL011,NL038,112,Larus ridibundus,6.5,53.5333,782,5.25,52.5333,69700
NL038,NL094,106,Larus ridibundus,5.25,52.5333,69700,5.8333,52.1667,91800
BE004,BE006,103,Larus ridibundus,3.1833,51.35,230,3.35,51.3333,1820
BE013,BE018,100,Larus ridibundus,4.4333,51.4,2200,5,51.3833,7075
NL038,NL056,96,Larus ridibundus,5.25,52.5333,69700,5.9167,53.0333,1260
NL038,NL068,88,Larus ridibundus,5.25,52.5333,69700,4.85,52.5667,2040
NL001,NL038,88,Larus ridibundus,5.3833,53.3,272100,5.25,52.5333,69700
NL038,NL042,86,Larus ridibundus,5.25,52.5333,69700,5.6667,52.3833,3390
DK111,FI078,81,Larus ridibundus,12.5333,55.5833,6210,24.9333,60.2,1274
BE013,BE014,80,Larus ridibundus,4.4333,51.4,2200,4.5667,51.3833,4100
BE017,NL024,79,Larus ridibundus,4.9333,51.1833,91,4.25,51.7667,10900
DK001,DK117,73,Larus ridibundus,9.5833,57.0333,18530,9.8333,57.2167,6000
PL012,PL080,72,Larus ridibundus,18.6167,54.5667,56000,18.2833,54.8166,272500
NL038,NL070,70,Larus ridibundus,5.25,52.5333,69700,4.8333,52.5167,1940
BE010,BE018,68,Larus ridibundus,4.1,51.05,7923,5,51.3833,7075
NL071,SE060,67,Larus ridibundus,4.9333,52.45,1960,13.0063,55.6881,5600
SE060,SE061,67,Larus ridibundus,13.0063,55.6881,5600,12.9167,55.4167,20000
UK007,UK073,66,Larus ridibundus,0.66666,51.5166,2373,0.53333,51.4666,9357
DK109,DK110,61,Larus ridibundus,12.4167,55.8,1290,12.8333,55.6667,7240
NL009,NL056,60,Larus ridibundus,6.05,53.45,720,5.9167,53.0333,1260
NL052,NL053,60,Larus ridibundus,6.4333,53.1833,1450,6.6833,53.1333,2100
DE331,NL011,59,Larus ridibundus,7,53.3333,5052,6.5,53.5333,782
BE012,BE018,59,Larus ridibundus,4.35,51.2667,194,5,51.3833,7075
FI078,SE060,58,Larus ridibundus,24.9333,60.2,1274,13.0063,55.6881,5600
BE011,BE013,57,Larus ridibundus,4.25,51.3167,7570,4.4333,51.4,2200
BE010,BE011,57,Larus ridibundus,4.1,51.05,7923,4.25,51.3167,7570
NL013,NL038,56,Larus ridibundus,4.7667,52.9167,6000,5.25,52.5333,69700
NL094,SE060,55,Larus ridibundus,5.8333,52.1667,91800,13.0063,55.6881,5600
DK110,SE061,54,Larus ridibundus,12.8333,55.6667,7240,12.9167,55.4167,20000
NL076,NL077,53,Larus ridibundus,4.7833,52.15,2000,4.7833,52.05,1650
DE468,DE470,52,Larus ridibundus,13.75,51.1666,3085,13.7,51.0666,70
NL044,SE060,51,Larus ridibundus,5.2,52.3167,2670,13.0063,55.6881,5600
BE017,BE018,50,Larus ridibundus,4.9333,51.1833,91,5,51.3833,7075
DE456,PL054,49,Larus ridibundus,12.3,51.3666,5738,17.4167,51.5333,25700
NL073,SE060,47,Larus ridibundus,5.0833,52.2167,7040,13.0063,55.6881,5600
NL014,NL056,47,Larus ridibundus,5.75,53.3333,9310,5.9167,53.0333,1260
BE012,BE013,46,Larus ridibundus,4.35,51.2667,194,4.4333,51.4,2200
UK007,UK040,46,Larus ridibundus,0.66666,51.5166,2373,0.66433,51.3996,4668
NL011,NL094,45,Larus ridibundus,6.5,53.5333,782,5.8333,52.1667,91800
DE004,SE060,44,Larus ridibundus,9.6,54.8666,10200,13.0063,55.6881,5600
NL011,NL015,44,Larus ridibundus,6.5,53.5333,782,6.2167,53.3667,7820
NL073,NL076,43,Larus ridibundus,5.0833,52.2167,7040,4.7833,52.15,2000
LT002,LT003,39,Larus ridibundus,20.85,55.6333,77000,21.1667,55.4167,9720
DE330,NL001,38,Larus ridibundus,5.08333,53.4333,1900,5.3833,53.3,272100
NL056,NL057,37,Larus ridibundus,5.9167,53.0333,1260,6.0833,53.05,670
BE017,BE023,37,Larus ridibundus,4.9333,51.1833,91,5.5833,51.1667,13125
BE009,BE010,37,Larus ridibundus,3.7333,51.0833,700,4.1,51.05,7923
LT001,LT002,37,Larus ridibundus,20.8666,55.95,113000,20.85,55.6333,77000
DE058,SE060,37,Larus ridibundus,8.16666,53.55,235071,13.0063,55.6881,5600
UK040,UK073,36,Larus ridibundus,0.66433,51.3996,4668,0.53333,51.4666,9357
UK040,UK068,35,Larus ridibundus,0.66433,51.3996,4668,0.84283,51.3606,6486
BE011,BE012,35,Larus ridibundus,4.25,51.3167,7570,4.35,51.2667,194
LT002,LT009,35,Larus ridibundus,20.85,55.6333,77000,21.3833,55.6833,3000
DK111,SE061,35,Larus ridibundus,12.5333,55.5833,6210,12.9167,55.4167,20000
FI078,NL001,34,Larus ridibundus,24.9333,60.2,1274,5.3833,53.3,272100
NL020,NL028,33,Larus ridibundus,3.5833,51.7167,107000,3.9333,51.5833,36880
ES148,FR167,32,Larus ridibundus,0.7333,40.7167,32000,4.1667,45.7333,80850
BE011,BE017,32,Larus ridibundus,4.25,51.3167,7570,4.9333,51.1833,91
BE011,NL029,31,Larus ridibundus,4.25,51.3167,7570,4.2,51.5,1175
UK016,UK066,31,Larus ridibundus,1.34416,52.0423,977,1.16533,51.9566,3670
DE058,NL011,31,Larus ridibundus,8.16666,53.55,235071,6.5,53.5333,782
NL044,NL071,30,Larus ridibundus,5.2,52.3167,2670,4.9333,52.45,1960
BE011,BE018,30,Larus ridibundus,4.25,51.3167,7570,5,51.3833,7075
FI092,SE060,30,Larus ridibundus,22.1667,60.4167,904,13.0063,55.6881,5600
DE289,SE060,30,Larus ridibundus,8.81666,54.4833,441000,13.0063,55.6881,5600
NL048,SE060,29,Larus ridibundus,6.0333,51.8833,6460,13.0063,55.6881,5600
DE021,DE022,28,Larus ridibundus,10.75,54.0333,2050,10.8666,53.9833,800
NL015,NL056,28,Larus ridibundus,6.2167,53.3667,7820,5.9167,53.0333,1260
FI078,NL071,27,Larus ridibundus,24.9333,60.2,1274,4.9333,52.45,1960
NL001,SE060,27,Larus ridibundus,5.3833,53.3,272100,13.0063,55.6881,5600
UK007,UK042,27,Larus ridibundus,0.66666,51.5166,2373,0.9595,51.6721,22856
DK001,DK121,26,Larus ridibundus,9.5833,57.0333,18530,9,57.6666,1600000
BE004,BE018,26,Larus ridibundus,3.1833,51.35,230,5,51.3833,7075
BE010,BE012,26,Larus ridibundus,4.1,51.05,7923,4.35,51.2667,194
DE021,PL080,25,Larus ridibundus,10.75,54.0333,2050,18.2833,54.8166,272500
DK111,NL071,25,Larus ridibundus,12.5333,55.5833,6210,4.9333,52.45,1960
NL001,UK073,25,Larus ridibundus,5.3833,53.3,272100,0.53333,51.4666,9357
NL071,NL073,25,Larus ridibundus,4.9333,52.45,1960,5.0833,52.2167,7040
NL071,PL080,24,Larus ridibundus,4.9333,52.45,1960,18.2833,54.8166,272500
BE005,BE006,24,Larus ridibundus,3.2167,51.25,9349,3.35,51.3333,1820
NL052,NL056,24,Larus ridibundus,6.4333,53.1833,1450,5.9167,53.0333,1260
NL039,NL040,24,Larus ridibundus,5.75,52.6,3900,5.9667,52.6333,2180
LT030,NL052,24,Larus ridibundus,23.6,54.4667,5442,6.4333,53.1833,1450
NL038,NL052,24,Larus ridibundus,5.25,52.5333,69700,6.4333,53.1833,1450
DE410,LT030,24,Larus ridibundus,14.1333,53.2333,44949,23.6,54.4667,5442
NL013,SE060,23,Larus ridibundus,4.7667,52.9167,6000,13.0063,55.6881,5600
DE058,NL038,23,Larus ridibundus,8.16666,53.55,235071,5.25,52.5333,69700
DK110,FI078,23,Larus ridibundus,12.8333,55.6667,7240,24.9333,60.2,1274
LT002,PL080,23,Larus ridibundus,20.85,55.6333,77000,18.2833,54.8166,272500
BE004,NL038,23,Larus ridibundus,3.1833,51.35,230,5.25,52.5333,69700
DE289,NL011,22,Larus ridibundus,8.81666,54.4833,441000,6.5,53.5333,782
DE205,DE452,22,Larus ridibundus,14.5333,51.3166,35000,14.8,51.2666,1580
DK075,DK098,22,Larus ridibundus,10.5667,55.5,5060,11,55.3333,4920
DE024,SE060,22,Larus ridibundus,9.33333,54.3833,60000,13.0063,55.6881,5600
UK007,UK068,22,Larus ridibundus,0.66666,51.5166,2373,0.84283,51.3606,6486
DE116,SE060,22,Larus ridibundus,8.83333,53.1333,3496,13.0063,55.6881,5600
NL001,NL011,21,Larus ridibundus,5.3833,53.3,272100,6.5,53.5333,782
DK111,FI041,21,Larus ridibundus,12.5333,55.5833,6210,23.0667,63.9333,20340
DK111,NL038,21,Larus ridibundus,12.5333,55.5833,6210,5.25,52.5333,69700
DE058,FI078,21,Larus ridibundus,8.16666,53.55,235071,24.9333,60.2,1274
NL052,PL080,21,Larus ridibundus,6.4333,53.1833,1450,18.2833,54.8166,272500
DK105,DK107,21,Larus ridibundus,12.0833,55.75,13180,11.9833,55.9,1520
UK001,UK066,20,Larus ridibundus,0.86416,51.8251,716,1.16533,51.9566,3670
BE018,NL038,20,Larus ridibundus,5,51.3833,7075,5.25,52.5333,69700
NL028,NL032,20,Larus ridibundus,3.9333,51.5833,36880,3.8333,51.3833,50800
BE013,BE017,20,Larus ridibundus,4.4333,51.4,2200,4.9333,51.1833,91
BE004,NL020,20,Larus ridibundus,3.1833,51.35,230,3.5833,51.7167,107000
BE018,NL073,20,Larus ridibundus,5,51.3833,7075,5.0833,52.2167,7040
NL056,NL094,20,Larus ridibundus,5.9167,53.0333,1260,5.8333,52.1667,91800
FI078,NL073,20,Larus ridibundus,24.9333,60.2,1274,5.0833,52.2167,7040
NL040,SE060,20,Larus ridibundus,5.9667,52.6333,2180,13.0063,55.6881,5600
DK111,NL052,20,Larus ridibundus,12.5333,55.5833,6210,6.4333,53.1833,1450
DK073,DK098,20,Larus ridibundus,10.8333,55.1667,3470,11,55.3333,4920
LT002,NL052,20,Larus ridibundus,20.85,55.6333,77000,6.4333,53.1833,1450
NL052,PL012,19,Larus ridibundus,6.4333,53.1833,1450,18.6167,54.5667,56000
DK110,NL052,19,Larus ridibundus,12.8333,55.6667,7240,6.4333,53.1833,1450
DK111,UK073,19,Larus ridibundus,12.5333,55.5833,6210,0.53333,51.4666,9357
DE456,DE470,19,Larus ridibundus,12.3,51.3666,5738,13.7,51.0666,70
LT054,NL052,19,Larus ridibundus,24.25,54.9166,7600,6.4333,53.1833,1450
BE004,BE005,19,Larus ridibundus,3.1833,51.35,230,3.2167,51.25,9349
LT003,LT006,19,Larus ridibundus,21.1667,55.4167,9720,21.25,55.3,26625
BE018,BE021,19,Larus ridibundus,5,51.3833,7075,5.3333,51.1167,8864
BE003,BE004,19,Larus ridibundus,2.8333,51,5100,3.1833,51.35,230
BE011,BE021,19,Larus ridibundus,4.25,51.3167,7570,5.3333,51.1167,8864
NL038,NL045,18,Larus ridibundus,5.25,52.5333,69700,5.3167,52.2833,1340
BE015,BE018,18,Larus ridibundus,4.5167,51.0167,2263,5,51.3833,7075
DK001,DK116,18,Larus ridibundus,9.5833,57.0333,18530,10.2,57.1167,1500
DK047,DK059,18,Larus ridibundus,9.7167,55.35,35060,9.3833,55.2167,1100
NL053,SE060,18,Larus ridibundus,6.6833,53.1333,2100,13.0063,55.6881,5600
FI078,NL052,18,Larus ridibundus,24.9333,60.2,1274,6.4333,53.1833,1450
DE006,SE060,18,Larus ridibundus,10.0666,54.45,5130,13.0063,55.6881,5600
LV018,PL080,18,Larus ridibundus,23.1833,57.2333,120000,18.2833,54.8166,272500
DK009,DK011,18,Larus ridibundus,10.9333,57.3667,2923,10.6333,57.4833,220
DK106,DK111,17,Larus ridibundus,12.1667,56,4610,12.5333,55.5833,6210
DK130,SE060,17,Larus ridibundus,11.4666,55.0666,135300,13.0063,55.6881,5600
FI072,SE060,17,Larus ridibundus,27,60.3333,93253,13.0063,55.6881,5600
DE036,NL038,17,Larus ridibundus,9.8,53.5333,675,5.25,52.5333,69700
BE010,BE017,17,Larus ridibundus,4.1,51.05,7923,4.9333,51.1833,91
NL056,NL058,17,Larus ridibundus,5.9167,53.0333,1260,5.7667,53.0167,1670
UK001,UK042,17,Larus ridibundus,0.86416,51.8251,716,0.9595,51.6721,22856
CH005,CH006,17,Larus ridibundus,8.5667,47.5333,22700,6.1,46.1833,1100
FI041,NL052,17,Larus ridibundus,23.0667,63.9333,20340,6.4333,53.1833,1450
DE468,PL054,17,Larus ridibundus,13.75,51.1666,3085,17.4167,51.5333,25700
NL013,NL071,17,Larus ridibundus,4.7667,52.9167,6000,4.9333,52.45,1960
DE456,DE468,17,Larus ridibundus,12.3,51.3666,5738,13.75,51.1666,3085
NL002,NL013,17,Larus ridibundus,4.9,53.1333,1600,4.7667,52.9167,6000
NL094,PL080,16,Larus ridibundus,5.8333,52.1667,91800,18.2833,54.8166,272500
BE021,BE023,16,Larus ridibundus,5.3333,51.1167,8864,5.5833,51.1667,13125
UK042,UK073,16,Larus ridibundus,0.9595,51.6721,22856,0.53333,51.4666,9357
BE014,BE018,16,Larus ridibundus,4.5667,51.3833,4100,5,51.3833,7075
DE456,LT030,16,Larus ridibundus,12.3,51.3666,5738,23.6,54.4667,5442
BE001,BE004,16,Larus ridibundus,2.75,51.2,17000,3.1833,51.35,230
NL010,NL011,16,Larus ridibundus,6.25,53.5,2800,6.5,53.5333,782
DE040,DE045,16,Larus ridibundus,14.0833,54.3,333425,14.0166,53.9333,27790
DE021,SE060,16,Larus ridibundus,10.75,54.0333,2050,13.0063,55.6881,5600
DE045,PL001,16,Larus ridibundus,14.0166,53.9333,27790,14.3333,53.8333,4000
DK001,DK007,16,Larus ridibundus,9.5833,57.0333,18530,10.2167,56.8667,7380
FI078,NL094,16,Larus ridibundus,24.9333,60.2,1274,5.8333,52.1667,91800
CH005,DE577,16,Larus ridibundus,8.5667,47.5333,22700,7.61666,47.6166,291
NL001,NL002,16,Larus ridibundus,5.3833,53.3,272100,4.9,53.1333,1600
NL038,NL057,15,Larus ridibundus,5.25,52.5333,69700,6.0833,53.05,670
DK111,FI092,15,Larus ridibundus,12.5333,55.5833,6210,22.1667,60.4167,904
LT003,LT009,15,Larus ridibundus,21.1667,55.4167,9720,21.3833,55.6833,3000
NL001,SE037,15,Larus ridibundus,5.3833,53.3,272100,16.4166,58.5833,3300
BE017,NL056,15,Larus ridibundus,4.9333,51.1833,91,5.9167,53.0333,1260
UK014,UK052,15,Larus ridibundus,-0.9388,50.8056,5795,-0.759,50.7648,627
DE304,NL038,15,Larus ridibundus,12.9,54.4333,203810,5.25,52.5333,69700
FI078,NL044,15,Larus ridibundus,24.9333,60.2,1274,5.2,52.3167,2670
LT003,NL052,15,Larus ridibundus,21.1667,55.4167,9720,6.4333,53.1833,1450
DK130,FI078,15,Larus ridibundus,11.4666,55.0666,135300,24.9333,60.2,1274
BE018,PL080,15,Larus ridibundus,5,51.3833,7075,18.2833,54.8166,272500
DK098,NL052,15,Larus ridibundus,11,55.3333,4920,6.4333,53.1833,1450
DE293,PL080,15,Larus ridibundus,10.7666,53.8666,1200,18.2833,54.8166,272500
DK001,DK053,15,Larus ridibundus,9.5833,57.0333,18530,8.4,55.4333,4370
DK111,PL080,15,Larus ridibundus,12.5333,55.5833,6210,18.2833,54.8166,272500
DK104,SE060,14,Larus ridibundus,12.05,55.5833,220,13.0063,55.6881,5600
DE129,DE456,14,Larus ridibundus,12.0166,51.3833,5819,12.3,51.3666,5738
BE009,BE011,14,Larus ridibundus,3.7333,51.0833,700,4.25,51.3167,7570
NL044,PL080,14,Larus ridibundus,5.2,52.3167,2670,18.2833,54.8166,272500
BE018,NL096,14,Larus ridibundus,5,51.3833,7075,5.1,51.65,4090
AT001,IT072,14,Larus ridibundus,16.9666,47.7333,3729,12.1667,44.6167,44013
DK001,DK004,14,Larus ridibundus,9.5833,57.0333,18530,9.8333,56.8,7420
NL094,PL012,14,Larus ridibundus,5.8333,52.1667,91800,18.6167,54.5667,56000
DK098,DK130,14,Larus ridibundus,11,55.3333,4920,11.4666,55.0666,135300
UK066,UK073,14,Larus ridibundus,1.16533,51.9566,3670,0.53333,51.4666,9357
LT001,LT003,14,Larus ridibundus,20.8666,55.95,113000,21.1667,55.4167,9720
BE010,NL038,14,Larus ridibundus,4.1,51.05,7923,5.25,52.5333,69700
NL034,NL056,14,Larus ridibundus,5.45,52.75,109000,5.9167,53.0333,1260
NL001,NL052,14,Larus ridibundus,5.3833,53.3,272100,6.4333,53.1833,1450
