iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
UK047,UK077,12,Limosa lapponica,0.741,52.9741,7831,0.29,52.9366,69908
NL001,UK077,11,Limosa lapponica,5.3833,53.3,272100,0.29,52.9366,69908
DE289,UK077,10,Limosa lapponica,8.81666,54.4833,441000,0.29,52.9366,69908
PL012,PL013,7,Limosa lapponica,18.6167,54.5667,56000,18.95,54.35,485
NL001,NL009,6,Limosa lapponica,5.3833,53.3,272100,6.05,53.45,720
DE289,UK207,6,Limosa lapponica,8.81666,54.4833,441000,-4.0393,57.7255,16262
NL009,NL010,6,Limosa lapponica,6.05,53.45,720,6.25,53.5,2800
NL001,NL010,5,Limosa lapponica,5.3833,53.3,272100,6.25,53.5,2800
IT070,IT071,5,Limosa lapponica,12.2667,44.9333,17000,12.25,44.7833,7081
NL001,NL058,4,Limosa lapponica,5.3833,53.3,272100,5.7667,53.0167,1670
NL010,UK077,3,Limosa lapponica,6.25,53.5,2800,0.29,52.9366,69908
DK110,DK111,3,Limosa lapponica,12.8333,55.6667,7240,12.5333,55.5833,6210
FR116,NL001,3,Limosa lapponica,0.0667,46.9,6550,5.3833,53.3,272100
DK083,SE055,2,Limosa lapponica,11.7167,54.55,100000,16.4,56.2,1610
DE289,UK096,2,Limosa lapponica,8.81666,54.4833,441000,-4.0421,53.2551,2694
DK038,SE055,2,Limosa lapponica,8.2333,56.35,10890,16.4,56.2,1610
UK077,UK207,2,Limosa lapponica,0.29,52.9366,69908,-4.0393,57.7255,16262
DK111,NL001,2,Limosa lapponica,12.5333,55.5833,6210,5.3833,53.3,272100
DK065,UK077,2,Limosa lapponica,8.5333,55.05,7010,0.29,52.9366,69908
DK111,FR051,2,Limosa lapponica,12.5333,55.5833,6210,1.7,50.2667,5550
DE289,UK049,2,Limosa lapponica,8.81666,54.4833,441000,-0.8706,54.3806,143490
DE288,NL001,2,Limosa lapponica,11.4333,54.0166,102030,5.3833,53.3,272100
DK065,UK207,2,Limosa lapponica,8.5333,55.05,7010,-4.0393,57.7255,16262
NL001,NL014,2,Limosa lapponica,5.3833,53.3,272100,5.75,53.3333,9310
UK039,UK041,2,Limosa lapponica,-2.878,53.6248,120,-2.8301,53.2998,5007
FR051,NL001,2,Limosa lapponica,1.7,50.2667,5550,5.3833,53.3,272100
NL010,UK049,2,Limosa lapponica,6.25,53.5,2800,-0.8706,54.3806,143490
UK049,UK077,2,Limosa lapponica,-0.8706,54.3806,143490,0.29,52.9366,69908
DE288,PL013,2,Limosa lapponica,11.4333,54.0166,102030,18.95,54.35,485
NL020,NL027,1,Limosa lapponica,3.5833,51.7167,107000,4,51.75,13900
RU018,UK077,1,Limosa lapponica,35.5,64.5,200000,0.29,52.9366,69908
NL028,UK077,1,Limosa lapponica,3.9333,51.5833,36880,0.29,52.9366,69908
NL002,UK077,1,Limosa lapponica,4.9,53.1333,1600,0.29,52.9366,69908
NL020,NL028,1,Limosa lapponica,3.5833,51.7167,107000,3.9333,51.5833,36880
DK051,UK049,1,Limosa lapponica,8.7,55.3333,6660,-0.8706,54.3806,143490
FR062,NL028,1,Limosa lapponica,1.5667,50.5333,5050,3.9333,51.5833,36880
DE331,UK049,1,Limosa lapponica,7,53.3333,5052,-0.8706,54.3806,143490
NL001,UK074,1,Limosa lapponica,5.3833,53.3,272100,1.3755,51.3073,2601
DK052,UK077,1,Limosa lapponica,8.5667,55.2833,850,0.29,52.9366,69908
NL009,NL058,1,Limosa lapponica,6.05,53.45,720,5.7667,53.0167,1670
PL012,UK047,1,Limosa lapponica,18.6167,54.5667,56000,0.741,52.9741,7831
NL001,NL002,1,Limosa lapponica,5.3833,53.3,272100,4.9,53.1333,1600
DK057,UK068,1,Limosa lapponica,8.5333,55.2667,115850,0.84283,51.3606,6486
NL001,NL003,1,Limosa lapponica,5.3833,53.3,272100,4.7833,53.1167,3850
NL001,UK068,1,Limosa lapponica,5.3833,53.3,272100,0.84283,51.3606,6486
NL010,PL013,1,Limosa lapponica,6.25,53.5,2800,18.95,54.35,485
DE330,UK077,1,Limosa lapponica,5.08333,53.4333,1900,0.29,52.9366,69908
NL001,NL011,1,Limosa lapponica,5.3833,53.3,272100,6.5,53.5333,782
FR025,UK207,1,Limosa lapponica,-1.9167,46.9,47000,-4.0393,57.7255,16262
BE030,NL001,1,Limosa lapponica,3.7333,50.4833,13715,5.3833,53.3,272100
NL010,UK012,1,Limosa lapponica,6.25,53.5,2800,-2.5203,50.6131,985
DE288,FR030,1,Limosa lapponica,11.4333,54.0166,102030,-1.5,47.3,2700
UK039,UK096,1,Limosa lapponica,-2.878,53.6248,120,-4.0421,53.2551,2694
DE288,NL002,1,Limosa lapponica,11.4333,54.0166,102030,4.9,53.1333,1600
UK195,UK207,1,Limosa lapponica,-3.7015,57.5423,1821,-4.0393,57.7255,16262
DK089,SE055,1,Limosa lapponica,12.25,55.0833,24640,16.4,56.2,1610
UK048,UK207,1,Limosa lapponica,-2.2885,54.6466,146795,-4.0393,57.7255,16262
DE288,FR033,1,Limosa lapponica,11.4333,54.0166,102030,-1,46.3333,77900
UK044,UK048,1,Limosa lapponica,-2.9781,54.104,36859,-2.2885,54.6466,146795
DE288,FR025,1,Limosa lapponica,11.4333,54.0166,102030,-1.9167,46.9,47000
DE366,UK207,1,Limosa lapponica,7.41666,53.7,70000,-4.0393,57.7255,16262
DK049,SE055,1,Limosa lapponica,8.3167,55.6,2700,16.4,56.2,1610
DK065,UK048,1,Limosa lapponica,8.5333,55.05,7010,-2.2885,54.6466,146795
DE288,DE289,1,Limosa lapponica,11.4333,54.0166,102030,8.81666,54.4833,441000
UK075,UK077,1,Limosa lapponica,-0.8993,53.6375,3337,0.29,52.9366,69908
DK103,DK111,1,Limosa lapponica,12.15,55.5667,100,12.5333,55.5833,6210
UK048,UK077,1,Limosa lapponica,-2.2885,54.6466,146795,0.29,52.9366,69908
DE288,FR063,1,Limosa lapponica,11.4333,54.0166,102030,1.6333,50.4667,1500
IE089,NL001,1,Limosa lapponica,-8.0333,51.8167,200,5.3833,53.3,272100
DE289,DK111,1,Limosa lapponica,8.81666,54.4833,441000,12.5333,55.5833,6210
DK051,UK207,1,Limosa lapponica,8.7,55.3333,6660,-4.0393,57.7255,16262
FR045,SE055,1,Limosa lapponica,0.3,49.4333,21100,16.4,56.2,1610
FR025,UK077,1,Limosa lapponica,-1.9167,46.9,47000,0.29,52.9366,69908
DE288,NL010,1,Limosa lapponica,11.4333,54.0166,102030,6.25,53.5,2800
UK040,UK068,1,Limosa lapponica,0.66433,51.3996,4668,0.84283,51.3606,6486
DK113,SE055,1,Limosa lapponica,12.3333,55.4167,50,16.4,56.2,1610
IE004,UK099,1,Limosa lapponica,-7.0833,55.1667,21803,-5.1156,55.2525,99
FR101,SE055,1,Limosa lapponica,-1,45.95,5400,16.4,56.2,1610
NL003,UK207,1,Limosa lapponica,4.7833,53.1167,3850,-4.0393,57.7255,16262
SE055,UK016,1,Limosa lapponica,16.4,56.2,1610,1.34416,52.0423,977
DK038,UK077,1,Limosa lapponica,8.2333,56.35,10890,0.29,52.9366,69908
DK043,DK111,1,Limosa lapponica,8.25,56,27720,12.5333,55.5833,6210
IE089,NL010,1,Limosa lapponica,-8.0333,51.8167,200,6.25,53.5,2800
DE091,DE288,1,Limosa lapponica,7.25,53.4833,2625,11.4333,54.0166,102030
DK051,PL013,1,Limosa lapponica,8.7,55.3333,6660,18.95,54.35,485
DK111,FR176,1,Limosa lapponica,12.5333,55.5833,6210,-1.1167,44.6667,20100
DK057,UK077,1,Limosa lapponica,8.5333,55.2667,115850,0.29,52.9366,69908
DK111,UK012,1,Limosa lapponica,12.5333,55.5833,6210,-2.5203,50.6131,985
UK012,UK077,1,Limosa lapponica,-2.5203,50.6131,985,0.29,52.9366,69908
DE288,DK083,1,Limosa lapponica,11.4333,54.0166,102030,11.7167,54.55,100000
FR025,UK049,1,Limosa lapponica,-1.9167,46.9,47000,-0.8706,54.3806,143490
DE288,NL003,1,Limosa lapponica,11.4333,54.0166,102030,4.7833,53.1167,3850
FR116,UK073,1,Limosa lapponica,0.0667,46.9,6550,0.53333,51.4666,9357
DE288,FR034,1,Limosa lapponica,11.4333,54.0166,102030,-0.95,49.4,2300
IE004,UK077,1,Limosa lapponica,-7.0833,55.1667,21803,0.29,52.9366,69908
ES238,UK077,1,Limosa lapponica,-5.1667,37.4167,62200,0.29,52.9366,69908
DK053,UK039,1,Limosa lapponica,8.4,55.4333,4370,-2.878,53.6248,120
DK005,DK111,1,Limosa lapponica,10.35,57.55,4480,12.5333,55.5833,6210
FR116,NL002,1,Limosa lapponica,0.0667,46.9,6550,4.9,53.1333,1600
DK043,FI083,1,Limosa lapponica,8.25,56,27720,21.6,61.5333,15441
FR116,NL010,1,Limosa lapponica,0.0667,46.9,6550,6.25,53.5,2800
DK001,SE055,1,Limosa lapponica,9.5833,57.0333,18530,16.4,56.2,1610
NL002,PL012,1,Limosa lapponica,4.9,53.1333,1600,18.6167,54.5667,56000
DE288,FR024,1,Limosa lapponica,11.4333,54.0166,102030,-1.6667,47.0833,5600
FR109,UK049,1,Limosa lapponica,-0.5667,46.4,12500,-0.8706,54.3806,143490
DE043,DE288,1,Limosa lapponica,11.6166,53.7833,74800,11.4333,54.0166,102030
FR024,PL013,1,Limosa lapponica,-1.6667,47.0833,5600,18.95,54.35,485
FR024,PL012,1,Limosa lapponica,-1.6667,47.0833,5600,18.6167,54.5667,56000
UK012,UK049,1,Limosa lapponica,-2.5203,50.6131,985,-0.8706,54.3806,143490
