iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
UK066,UK077,15,Limosa limosa,1.16533,51.9566,3670,0.29,52.9366,69908
NL049,NL050,9,Limosa limosa,5.6667,51.95,2480,5.5333,51.9,5940
UK051,UK077,7,Limosa limosa,0.17816,52.4586,2490,0.29,52.9366,69908
NL045,NL075,6,Limosa limosa,5.3167,52.2833,1340,5.4333,52.2333,1460
UK014,UK066,6,Limosa limosa,-0.9388,50.8056,5795,1.16533,51.9566,3670
UK010,UK077,6,Limosa limosa,1.63133,52.5845,2091,0.29,52.9366,69908
UK047,UK077,6,Limosa limosa,0.741,52.9741,7831,0.29,52.9366,69908
NL039,NL041,5,Limosa limosa,5.75,52.6,3900,5.85,52.5,640
UK014,UK077,5,Limosa limosa,-0.9388,50.8056,5795,0.29,52.9366,69908
NL040,NL090,5,Limosa limosa,5.9667,52.6333,2180,6.0833,52.6167,1480
UK014,UK017,5,Limosa limosa,-0.9388,50.8056,5795,-1.9605,50.7618,10577
UK016,UK077,5,Limosa limosa,1.34416,52.0423,977,0.29,52.9366,69908
NL039,NL042,4,Limosa limosa,5.75,52.6,3900,5.6667,52.3833,3390
UK045,UK077,4,Limosa limosa,-0.0533,52.5833,1505,0.29,52.9366,69908
NL038,NL068,4,Limosa limosa,5.25,52.5333,69700,4.85,52.5667,2040
FR239,NL057,4,Limosa limosa,4.6,43.5167,76500,6.0833,53.05,670
NL054,NL055,4,Limosa limosa,5.8667,53.2167,600,5.9167,53.1167,2500
UK041,UK077,3,Limosa limosa,-2.8301,53.2998,5007,0.29,52.9366,69908
NL056,NL057,3,Limosa limosa,5.9167,53.0333,1260,6.0833,53.05,670
UK040,UK077,3,Limosa limosa,0.66433,51.3996,4668,0.29,52.9366,69908
NL045,NL090,3,Limosa limosa,5.3167,52.2833,1340,6.0833,52.6167,1480
NL107,UK077,3,Limosa limosa,6.1333,52.4,11780,0.29,52.9366,69908
FR239,NL056,3,Limosa limosa,4.6,43.5167,76500,5.9167,53.0333,1260
FR115,UK077,3,Limosa limosa,-1.1,45.7667,14800,0.29,52.9366,69908
NL056,NL058,3,Limosa limosa,5.9167,53.0333,1260,5.7667,53.0167,1670
NL001,NL054,3,Limosa limosa,5.3833,53.3,272100,5.8667,53.2167,600
FR239,NL068,3,Limosa limosa,4.6,43.5167,76500,4.85,52.5667,2040
NL056,NL063,3,Limosa limosa,5.9167,53.0333,1260,5.9167,52.85,1920
FR032,NL001,3,Limosa limosa,-0.8167,46.4333,18700,5.3833,53.3,272100
NL009,NL010,3,Limosa limosa,6.05,53.45,720,6.25,53.5,2800
UK002,UK077,2,Limosa limosa,1.55616,52.0045,2520,0.29,52.9366,69908
ES244,NL056,2,Limosa limosa,-5.5833,36.4167,133500,5.9167,53.0333,1260
UK001,UK014,2,Limosa limosa,0.86416,51.8251,716,-0.9388,50.8056,5795
ES244,NL055,2,Limosa limosa,-5.5833,36.4167,133500,5.9167,53.1167,2500
BE018,FR032,2,Limosa limosa,5,51.3833,7075,-0.8167,46.4333,18700
FR032,NL055,2,Limosa limosa,-0.8167,46.4333,18700,5.9167,53.1167,2500
FR032,UK002,2,Limosa limosa,-0.8167,46.4333,18700,1.55616,52.0045,2520
NL001,NL008,2,Limosa limosa,5.3833,53.3,272100,5.75,53.4667,3150
IS048,UK077,2,Limosa limosa,-18.066,65.65,700,0.29,52.9366,69908
FR032,NL068,2,Limosa limosa,-0.8167,46.4333,18700,4.85,52.5667,2040
UK007,UK077,2,Limosa limosa,0.66666,51.5166,2373,0.29,52.9366,69908
FR051,NL071,2,Limosa limosa,1.7,50.2667,5550,4.9333,52.45,1960
IS024,UK045,2,Limosa limosa,-20.416,64.1667,1400,-0.0533,52.5833,1505
FR220,NL056,2,Limosa limosa,3.9667,43.5333,12700,5.9167,53.0333,1260
NL013,UK077,2,Limosa limosa,4.7667,52.9167,6000,0.29,52.9366,69908
FR239,NL001,2,Limosa limosa,4.6,43.5167,76500,5.3833,53.3,272100
