iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DE275,FR239,2,Lymnocryptes minimus,10.9166,49.75,50698,4.6,43.5167,76500
DK008,DK013,2,Lymnocryptes minimus,9.1667,57.0333,1660,9,57.05,4870
DE597,FR121,1,Lymnocryptes minimus,9.16666,49.25,54,1.3333,47.7333,52200
DE288,ES028,1,Lymnocryptes minimus,11.4333,54.0166,102030,-4,42.6667,41000
DE275,FR160,1,Lymnocryptes minimus,10.9166,49.75,50698,4.9,46.3667,12250
DE053,IT091,1,Lymnocryptes minimus,13.7833,53.85,30530,12.0833,43.15,13200
BE006,FR015,1,Lymnocryptes minimus,3.35,51.3333,1820,-2.3167,48.6667,2070
UK007,UK040,1,Lymnocryptes minimus,0.66666,51.5166,2373,0.66433,51.3996,4668
BE004,BE006,1,Lymnocryptes minimus,3.1833,51.35,230,3.35,51.3333,1820
UK062,UK077,1,Lymnocryptes minimus,-1.8673,53.5123,66059,0.29,52.9366,69908
DE275,FR152,1,Lymnocryptes minimus,10.9166,49.75,50698,3.6,46.6,22000
DK008,DK012,1,Lymnocryptes minimus,9.1667,57.0333,1660,9.1667,56.9167,32570
BE018,PT026,1,Lymnocryptes minimus,5,51.3833,7075,-7.2,39.0333,5049
DK111,ES292,1,Lymnocryptes minimus,12.5333,55.5833,6210,-7.3333,39.6667,53000
DK110,FR239,1,Lymnocryptes minimus,12.8333,55.6667,7240,4.6,43.5167,76500
DK017,FR147,1,Lymnocryptes minimus,8.4167,56.95,1430,3.5667,45.0167,52700
ES317,FR220,1,Lymnocryptes minimus,3.1667,39.8667,2500,3.9667,43.5333,12700
DK111,FI028,1,Lymnocryptes minimus,12.5333,55.5833,6210,25.1667,64.9167,81781
FI083,FR052,1,Lymnocryptes minimus,21.6,61.5333,15441,2.5167,49.9,6900
DK017,IE103,1,Lymnocryptes minimus,8.4167,56.95,1430,-6.25,52.5,450
CH010,FR226,1,Lymnocryptes minimus,6.7333,46.8167,690,3.5167,43.3167,561
DE129,FR045,1,Lymnocryptes minimus,12.0166,51.3833,5819,0.3,49.4333,21100
CH011,FR198,1,Lymnocryptes minimus,6.9167,46.8667,6800,-1,45.4333,22250
CH010,FR094,1,Lymnocryptes minimus,6.7333,46.8167,690,6.2,46.85,12500
BE003,FR051,1,Lymnocryptes minimus,2.8333,51,5100,1.7,50.2667,5550
BE006,FR025,1,Lymnocryptes minimus,3.35,51.3333,1820,-1.9167,46.9,47000
FI092,FR046,1,Lymnocryptes minimus,22.1667,60.4167,904,1.6333,49.0333,6150
DE288,ES305,1,Lymnocryptes minimus,11.4333,54.0166,102030,-5.5833,40.0833,73000
FI083,FR051,1,Lymnocryptes minimus,21.6,61.5333,15441,1.7,50.2667,5550
DE122,FR114,1,Lymnocryptes minimus,11,51.4333,1454,-0.5167,46.1167,3500
FR025,UK073,1,Lymnocryptes minimus,-1.9167,46.9,47000,0.53333,51.4666,9357
DK111,FR041,1,Lymnocryptes minimus,12.5333,55.5833,6210,0.85,48.5167,50850
FR063,NL001,1,Lymnocryptes minimus,1.6333,50.4667,1500,5.3833,53.3,272100
FR061,SE055,1,Lymnocryptes minimus,3.4333,50.4333,11150,16.4,56.2,1610
CH028,FR078,1,Lymnocryptes minimus,8.7333,46.25,14700,6.7833,48.8,1660
FR051,SE055,1,Lymnocryptes minimus,1.7,50.2667,5550,16.4,56.2,1610
CH002,FR234,1,Lymnocryptes minimus,6.7333,46.9667,23200,4.3,43.6333,19300
BE018,FR023,1,Lymnocryptes minimus,5,51.3833,7075,-1.8167,47.2667,21400
FI079,FR094,1,Lymnocryptes minimus,24.5833,60.2833,6700,6.2,46.85,12500
FR063,NL075,1,Lymnocryptes minimus,1.6333,50.4667,1500,5.4333,52.2333,1460
DE151,FR031,1,Lymnocryptes minimus,12.2666,52.75,16775,-0.4,47.3,12000
DE040,FR164,1,Lymnocryptes minimus,14.0833,54.3,333425,4.4667,44.4167,46000
DE288,FR239,1,Lymnocryptes minimus,11.4333,54.0166,102030,4.6,43.5167,76500
DE288,FR104,1,Lymnocryptes minimus,11.4333,54.0166,102030,-0.95,46.0167,17550
DE054,FR060,1,Lymnocryptes minimus,13.75,53.65,31510,1.6,50.25,18200
DE205,DE452,1,Lymnocryptes minimus,14.5333,51.3166,35000,14.8,51.2666,1580
