iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
AT055,CH007,4,Mergus merganser,9.66666,47.4333,3652,6.2,46.25,3400
CH007,CH008,4,Mergus merganser,6.2,46.25,3400,6.2833,46.3833,1500
DK092,DK113,2,Mergus merganser,12.2,55.25,1860,12.3333,55.4167,50
CH006,CH007,2,Mergus merganser,6.1,46.1833,1100,6.2,46.25,3400
FI073,RU225,2,Mergus merganser,27.7167,60.5167,195,28.6667,60.6667,6700
CH007,CH009,2,Mergus merganser,6.2,46.25,3400,6.9,46.3667,6600
DE262,DE276,1,Mergus merganser,11.1333,48.0166,7500,11.3,47.9166,5671
CH007,DE055,1,Mergus merganser,6.2,46.25,3400,14.1666,53.6333,31370
FI077,PL013,1,Mergus merganser,25.6667,60.1667,22570,18.95,54.35,485
CH006,FR048,1,Mergus merganser,6.1,46.1833,1100,3.1833,48.4,39900
SE030,UK073,1,Mergus merganser,18.3667,59.1333,1700,0.53333,51.4666,9357
CH007,FR170,1,Mergus merganser,6.2,46.25,3400,6.5167,46.3667,24300
SE064,UK073,1,Mergus merganser,17.9666,58.9166,40100,0.53333,51.4666,9357
CH004,CH006,1,Mergus merganser,7.1833,46.9667,16100,6.1,46.1833,1100
DK110,FI048,1,Mergus merganser,12.8333,55.6667,7240,21.4667,62.2667,200
AT055,CH001,1,Mergus merganser,9.66666,47.4333,3652,6.2667,46.55,31000
FI006,SE073,1,Mergus merganser,24.0667,68.0667,89233,15.15,56.1333,59300
CH002,CH004,1,Mergus merganser,6.7333,46.9667,23200,7.1833,46.9667,16100
UK007,UK073,1,Mergus merganser,0.66666,51.5166,2373,0.53333,51.4666,9357
CH007,NL009,1,Mergus merganser,6.2,46.25,3400,6.05,53.45,720
RU022,UK073,1,Mergus merganser,40.3333,64.5,130000,0.53333,51.4666,9357
CH001,CH007,1,Mergus merganser,6.2667,46.55,31000,6.2,46.25,3400
NL034,UK073,1,Mergus merganser,5.45,52.75,109000,0.53333,51.4666,9357
FI073,SE065,1,Mergus merganser,27.7167,60.5167,195,18.15,56.8666,157900
SE049,SE061,1,Mergus merganser,18.0167,57.2833,4570,12.9167,55.4167,20000
FI073,UA069,1,Mergus merganser,27.7167,60.5167,195,34.5833,46.1667,245000
SE038,SE049,1,Mergus merganser,16.9,58.4167,95,18.0167,57.2833,4570
DK071,FI073,1,Mergus merganser,10.3333,55,38440,27.7167,60.5167,195
SE049,SE050,1,Mergus merganser,18.0167,57.2833,4570,18.95,57.4,152500
FI073,NL034,1,Mergus merganser,27.7167,60.5167,195,5.45,52.75,109000
DK107,DK110,1,Mergus merganser,11.9833,55.9,1520,12.8333,55.6667,7240
DE008,FI081,1,Mergus merganser,10.35,54.4166,9680,22.9,59.8167,11151
DK071,FI071,1,Mergus merganser,10.3333,55,38440,27.2333,60.5667,760
DE248,FI073,1,Mergus merganser,9,49,11878,27.7167,60.5167,195
FI096,NL001,1,Mergus merganser,19.9167,59.8333,2859,5.3833,53.3,272100
DE304,FI083,1,Mergus merganser,12.9,54.4333,203810,21.6,61.5333,15441
DK089,FI077,1,Mergus merganser,12.25,55.0833,24640,25.6667,60.1667,22570
DE335,FI045,1,Mergus merganser,7.93333,52.9333,464,21.0833,63.3333,223652
EE001,FI077,1,Mergus merganser,22.4833,59,4961,25.6667,60.1667,22570
FI081,SE068,1,Mergus merganser,22.9,59.8167,11151,16.5,57.25,9700
EE072,FI077,1,Mergus merganser,25.2333,59.5666,2511,25.6667,60.1667,22570
