iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DE288,NL001,4,Mergus serrator,11.4333,54.0166,102030,5.3833,53.3,272100
DE288,DK083,2,Mergus serrator,11.4333,54.0166,102030,11.7167,54.55,100000
DK079,NL034,2,Mergus serrator,15.1833,55.3167,1257,5.45,52.75,109000
DE043,DE288,2,Mergus serrator,11.6166,53.7833,74800,11.4333,54.0166,102030
DK086,DK130,2,Mergus serrator,11.8333,54.8333,2820,11.4666,55.0666,135300
DK130,FI045,1,Mergus serrator,11.4666,55.0666,135300,21.0833,63.3333,223652
DK102,FI078,1,Mergus serrator,11.8333,55.9667,4000,24.9333,60.2,1274
DK098,FI045,1,Mergus serrator,11,55.3333,4920,21.0833,63.3333,223652
DK047,FI078,1,Mergus serrator,9.7167,55.35,35060,24.9333,60.2,1274
DK089,FI045,1,Mergus serrator,12.25,55.0833,24640,21.0833,63.3333,223652
DK084,DK110,1,Mergus serrator,12,54.9167,8160,12.8333,55.6667,7240
DE288,DK105,1,Mergus serrator,11.4333,54.0166,102030,12.0833,55.75,13180
DK060,DK065,1,Mergus serrator,8.7167,54.9,6520,8.5333,55.05,7010
DE304,DK089,1,Mergus serrator,12.9,54.4333,203810,12.25,55.0833,24640
DK084,DK130,1,Mergus serrator,12,54.9167,8160,11.4666,55.0666,135300
DE043,DK130,1,Mergus serrator,11.6166,53.7833,74800,11.4666,55.0666,135300
BG060,FI077,1,Mergus serrator,27.8925,43.118,8137,25.6667,60.1667,22570
DE304,DK082,1,Mergus serrator,12.9,54.4333,203810,11.95,54.6333,1710
DK001,FI077,1,Mergus serrator,9.5833,57.0333,18530,25.6667,60.1667,22570
DK014,DK024,1,Mergus serrator,9.1667,56.6667,7590,9.3333,56.55,4260
DK084,FI043,1,Mergus serrator,12,54.9167,8160,22.6333,63.7833,17240
DK079,SE071,1,Mergus serrator,15.1833,55.3167,1257,13.6166,55.3833,9160
FI077,NL001,1,Mergus serrator,25.6667,60.1667,22570,5.3833,53.3,272100
DK008,DK112,1,Mergus serrator,9.1667,57.0333,1660,10.8167,56.1333,70
FI083,NL001,1,Mergus serrator,21.6,61.5333,15441,5.3833,53.3,272100
DE288,NL034,1,Mergus serrator,11.4333,54.0166,102030,5.45,52.75,109000
FI010,PL012,1,Mergus serrator,26.7833,69.5833,70075,18.6167,54.5667,56000
DE043,DE304,1,Mergus serrator,11.6166,53.7833,74800,12.9,54.4333,203810
BG038,FI077,1,Mergus serrator,27.2744,43.1719,84030,25.6667,60.1667,22570
DK075,UK065,1,Mergus serrator,10.5667,55.5,5060,1.18366,51.3103,479
FI077,GR085,1,Mergus serrator,25.6667,60.1667,22570,20.55,38.2333,20000
DE289,DK075,1,Mergus serrator,8.81666,54.4833,441000,10.5667,55.5,5060
DK102,FI028,1,Mergus serrator,11.8333,55.9667,4000,25.1667,64.9167,81781
DK110,DK130,1,Mergus serrator,12.8333,55.6667,7240,11.4666,55.0666,135300
FI078,HU026,1,Mergus serrator,24.9333,60.2,1274,20.1666,46.25,29483
DK130,SE061,1,Mergus serrator,11.4666,55.0666,135300,12.9167,55.4167,20000
DE288,DK086,1,Mergus serrator,11.4333,54.0166,102030,11.8333,54.8333,2820
DK076,SE055,1,Mergus serrator,10.2167,55.6,13060,16.4,56.2,1610
DE043,NL034,1,Mergus serrator,11.6166,53.7833,74800,5.45,52.75,109000
DK111,SE057,1,Mergus serrator,12.5333,55.5833,6210,12.729,56.2328,1370
DK031,DK130,1,Mergus serrator,10.6667,55.9,15450,11.4666,55.0666,135300
NL034,SE055,1,Mergus serrator,5.45,52.75,109000,16.4,56.2,1610
DE043,DK031,1,Mergus serrator,11.6166,53.7833,74800,10.6667,55.9,15450
DK007,SE043,1,Mergus serrator,10.2167,56.8667,7380,11.6167,58.0667,8500
DE307,DK079,1,Mergus serrator,13.4333,54.5,21790,15.1833,55.3167,1257
DK001,DK007,1,Mergus serrator,9.5833,57.0333,18530,10.2167,56.8667,7380
DK079,DK105,1,Mergus serrator,15.1833,55.3167,1257,12.0833,55.75,13180
DK065,DK130,1,Mergus serrator,8.5333,55.05,7010,11.4666,55.0666,135300
DE304,NL034,1,Mergus serrator,12.9,54.4333,203810,5.45,52.75,109000
DK111,DK113,1,Mergus serrator,12.5333,55.5833,6210,12.3333,55.4167,50
DK071,DK111,1,Mergus serrator,10.3333,55,38440,12.5333,55.5833,6210
DK009,DK128,1,Mergus serrator,10.9333,57.3667,2923,11,57.2,580000
DE304,DE307,1,Mergus serrator,12.9,54.4333,203810,13.4333,54.5,21790
DK079,DK080,1,Mergus serrator,15.1833,55.3167,1257,14.9667,55.1333,6090
