iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NO010,NO019,5,Morus bassanus,25.3333,71.1667,720,15.6833,69.1667,2800
FR025,UK084,3,Morus bassanus,-1.9167,46.9,47000,-4.4755,51.6696,33294
ES259,UK084,2,Morus bassanus,-6.4167,37,230000,-4.4755,51.6696,33294
UK084,UK091,2,Morus bassanus,-4.4755,51.6696,33294,-3.637,53.3211,10154
FR191,UK084,2,Morus bassanus,-1.6,43.2667,1500,-4.4755,51.6696,33294
FR007,UK084,2,Morus bassanus,-4.9333,48.3667,10900,-4.4755,51.6696,33294
BE001,UK084,2,Morus bassanus,2.75,51.2,17000,-4.4755,51.6696,33294
UK061,UK084,2,Morus bassanus,-4.8778,50.2155,12362,-4.4755,51.6696,33294
UK081,UK084,2,Morus bassanus,-3.485,52.8536,24187,-4.4755,51.6696,33294
ES026,UK084,2,Morus bassanus,-3.75,43.4167,3300,-4.4755,51.6696,33294
UK084,UK085,1,Morus bassanus,-4.4755,51.6696,33294,-3.9845,52.5446,2059
IE102,UK084,1,Morus bassanus,-6.4333,52.3167,5000,-4.4755,51.6696,33294
UK042,UK074,1,Morus bassanus,0.9595,51.6721,22856,1.3755,51.3073,2601
NL013,NO019,1,Morus bassanus,4.7667,52.9167,6000,15.6833,69.1667,2800
UK042,UK084,1,Morus bassanus,0.9595,51.6721,22856,-4.4755,51.6696,33294
DK011,DK128,1,Morus bassanus,10.6333,57.4833,220,11,57.2,580000
FR030,UK084,1,Morus bassanus,-1.5,47.3,2700,-4.4755,51.6696,33294
FR032,UK084,1,Morus bassanus,-0.8167,46.4333,18700,-4.4755,51.6696,33294
ES265,UK220,1,Morus bassanus,-7.0833,37.9167,48000,-1.0165,60.145,342
FR023,NO010,1,Morus bassanus,-1.8167,47.2667,21400,25.3333,71.1667,720
UK020,UK084,1,Morus bassanus,-3.365,50.6696,1409,-4.4755,51.6696,33294
NO048,UK084,1,Morus bassanus,10.8333,59.6667,15000,-4.4755,51.6696,33294
ES244,UK084,1,Morus bassanus,-5.5833,36.4167,133500,-4.4755,51.6696,33294
DE289,UK084,1,Morus bassanus,8.81666,54.4833,441000,-4.4755,51.6696,33294
PT023,UK220,1,Morus bassanus,-8.7167,38.45,24633,-1.0165,60.145,342
UK048,UK084,1,Morus bassanus,-2.2885,54.6466,146795,-4.4755,51.6696,33294
UK065,UK084,1,Morus bassanus,1.18366,51.3103,479,-4.4755,51.6696,33294
