iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
UK047,UK077,9,Numenius arquata,0.741,52.9741,7831,0.29,52.9366,69908
UK007,UK073,8,Numenius arquata,0.66666,51.5166,2373,0.53333,51.4666,9357
NL003,NL013,7,Numenius arquata,4.7833,53.1167,3850,4.7667,52.9167,6000
FI028,UK077,5,Numenius arquata,25.1667,64.9167,81781,0.29,52.9366,69908
NL009,NL015,4,Numenius arquata,6.05,53.45,720,6.2167,53.3667,7820
FI083,UK077,4,Numenius arquata,21.6,61.5333,15441,0.29,52.9366,69908
DK051,FI083,4,Numenius arquata,8.7,55.3333,6660,21.6,61.5333,15441
DK038,FI028,3,Numenius arquata,8.2333,56.35,10890,25.1667,64.9167,81781
BE006,UK077,3,Numenius arquata,3.35,51.3333,1820,0.29,52.9366,69908
UK025,UK044,3,Numenius arquata,-2.5158,53.9815,79978,-2.9781,54.104,36859
UK007,UK068,3,Numenius arquata,0.66666,51.5166,2373,0.84283,51.3606,6486
DE289,FI028,3,Numenius arquata,8.81666,54.4833,441000,25.1667,64.9167,81781
BE006,FR045,3,Numenius arquata,3.35,51.3333,1820,0.3,49.4333,21100
DK051,SE055,3,Numenius arquata,8.7,55.3333,6660,16.4,56.2,1610
DK037,DK043,3,Numenius arquata,8.6833,55.9167,4760,8.25,56,27720
BE006,FR051,3,Numenius arquata,3.35,51.3333,1820,1.7,50.2667,5550
UK044,UK049,2,Numenius arquata,-2.9781,54.104,36859,-0.8706,54.3806,143490
FR040,NL013,2,Numenius arquata,-0.15,49.3667,23100,4.7667,52.9167,6000
FI048,UK077,2,Numenius arquata,21.4667,62.2667,200,0.29,52.9366,69908
FR045,NL090,2,Numenius arquata,0.3,49.4333,21100,6.0833,52.6167,1480
FI078,UK077,2,Numenius arquata,24.9333,60.2,1274,0.29,52.9366,69908
DK053,DK111,2,Numenius arquata,8.4,55.4333,4370,12.5333,55.5833,6210
DK001,FI064,2,Numenius arquata,9.5833,57.0333,18530,24.0667,61.45,1093
DK049,DK111,2,Numenius arquata,8.3167,55.6,2700,12.5333,55.5833,6210
FI064,UK077,2,Numenius arquata,24.0667,61.45,1093,0.29,52.9366,69908
NL065,UK077,2,Numenius arquata,6.05,52.7,9400,0.29,52.9366,69908
UK077,UK096,2,Numenius arquata,0.29,52.9366,69908,-4.0421,53.2551,2694
NL001,NL002,2,Numenius arquata,5.3833,53.3,272100,4.9,53.1333,1600
DE298,SE055,2,Numenius arquata,8.78333,54.8666,4700,16.4,56.2,1610
DK105,DK111,2,Numenius arquata,12.0833,55.75,13180,12.5333,55.5833,6210
FR030,SE055,2,Numenius arquata,-1.5,47.3,2700,16.4,56.2,1610
NL001,NL003,2,Numenius arquata,5.3833,53.3,272100,4.7833,53.1167,3850
FI023,FR051,2,Numenius arquata,24.2333,65.7833,526,1.7,50.2667,5550
NL090,UK017,2,Numenius arquata,6.0833,52.6167,1480,-1.9605,50.7618,10577
DK051,FI023,2,Numenius arquata,8.7,55.3333,6660,24.2333,65.7833,526
DK111,FR110,2,Numenius arquata,12.5333,55.5833,6210,-0.0667,46.8333,12400
BE018,FR014,2,Numenius arquata,5,51.3833,7075,-2.7667,47.5667,18800
DE288,DK051,2,Numenius arquata,11.4333,54.0166,102030,8.7,55.3333,6660
DK088,SE055,2,Numenius arquata,11.0333,54.8333,8550,16.4,56.2,1610
FR060,NL009,2,Numenius arquata,1.6,50.25,18200,6.05,53.45,720
DK057,FI028,2,Numenius arquata,8.5333,55.2667,115850,25.1667,64.9167,81781
NL010,NL011,2,Numenius arquata,6.25,53.5,2800,6.5,53.5333,782
DK043,FI065,2,Numenius arquata,8.25,56,27720,25.5,61.05,913
UK040,UK068,2,Numenius arquata,0.66433,51.3996,4668,0.84283,51.3606,6486
DK051,FI028,2,Numenius arquata,8.7,55.3333,6660,25.1667,64.9167,81781
UK049,UK071,2,Numenius arquata,-0.8706,54.3806,143490,-1.15,54.6333,1246
DK038,FI049,2,Numenius arquata,8.2333,56.35,10890,22.9167,63.1,438
BE004,FR051,2,Numenius arquata,3.1833,51.35,230,1.7,50.2667,5550
FI049,UK096,2,Numenius arquata,22.9167,63.1,438,-4.0421,53.2551,2694
BE018,FR060,2,Numenius arquata,5,51.3833,7075,1.6,50.25,18200
DK100,SE055,2,Numenius arquata,11.3333,55.5833,2890,16.4,56.2,1610
SE065,UK077,2,Numenius arquata,18.15,56.8666,157900,0.29,52.9366,69908
FI028,UK270,2,Numenius arquata,25.1667,64.9167,81781,-1.9791,57.3328,1012
BE023,FR051,2,Numenius arquata,5.5833,51.1667,13125,1.7,50.2667,5550
FI043,UK077,2,Numenius arquata,22.6333,63.7833,17240,0.29,52.9366,69908
BE018,FR025,2,Numenius arquata,5,51.3833,7075,-1.9167,46.9,47000
UK124,UK199,2,Numenius arquata,-2.6805,58.8985,125,-2.8975,59.0428,33
BE018,FR051,2,Numenius arquata,5,51.3833,7075,1.7,50.2667,5550
UK199,UK234,2,Numenius arquata,-2.8975,59.0428,33,-2.6728,59.0846,295
BE018,PT021,2,Numenius arquata,5,51.3833,7075,-8.9333,38.8167,45071
DK001,FI087,1,Numenius arquata,9.5833,57.0333,18530,22.1833,61.0833,2759
BE021,NL099,1,Numenius arquata,5.3333,51.1167,8864,6.1667,51.5167,4030
FR116,UK047,1,Numenius arquata,0.0667,46.9,6550,0.741,52.9741,7831
BE018,FR033,1,Numenius arquata,5,51.3833,7075,-1,46.3333,77900
DE256,PT021,1,Numenius arquata,12.75,48.7333,12754,-8.9333,38.8167,45071
BE018,FR004,1,Numenius arquata,5,51.3833,7075,-3.1167,48.8333,9900
IE103,SE055,1,Numenius arquata,-6.25,52.5,450,16.4,56.2,1610
BE001,FR025,1,Numenius arquata,2.75,51.2,17000,-1.9167,46.9,47000
DK103,SE055,1,Numenius arquata,12.15,55.5667,100,16.4,56.2,1610
BE001,UK077,1,Numenius arquata,2.75,51.2,17000,0.29,52.9366,69908
DE161,UK012,1,Numenius arquata,7.13333,51.8,7349,-2.5203,50.6131,985
BE001,BE003,1,Numenius arquata,2.75,51.2,17000,2.8333,51,5100
SE055,UK287,1,Numenius arquata,16.4,56.2,1610,-7.4893,54.2136,5747
FR239,PT034,1,Numenius arquata,4.6,43.5167,76500,-7.4333,37.2,2147
AT012,ES244,1,Numenius arquata,16.5,48.0166,8156,-5.5833,36.4167,133500
BE021,FR113,1,Numenius arquata,5.3333,51.1167,8864,0.2,46.6667,10250
DE089,UK077,1,Numenius arquata,7.28333,53.0333,8487,0.29,52.9366,69908
UK019,UK068,1,Numenius arquata,0.83,50.9755,9805,0.84283,51.3606,6486
FI023,UK047,1,Numenius arquata,24.2333,65.7833,526,0.741,52.9741,7831
BE023,FR045,1,Numenius arquata,5.5833,51.1667,13125,0.3,49.4333,21100
FI023,UK039,1,Numenius arquata,24.2333,65.7833,526,-2.878,53.6248,120
BE019,FR033,1,Numenius arquata,5.1833,51.2833,5400,-1,46.3333,77900
DE621,FR240,1,Numenius arquata,11.8333,48.9,1674,4.8667,43.6,40100
BE019,FR051,1,Numenius arquata,5.1833,51.2833,5400,1.7,50.2667,5550
DE628,ES244,1,Numenius arquata,10.5833,48.7166,22633,-5.5833,36.4167,133500
BE004,UK001,1,Numenius arquata,3.1833,51.35,230,0.86416,51.8251,716
SE055,SE061,1,Numenius arquata,16.4,56.2,1610,12.9167,55.4167,20000
BE018,UK019,1,Numenius arquata,5,51.3833,7075,0.83,50.9755,9805
DK041,FI052,1,Numenius arquata,8.15,56.1833,6910,29.1667,62.6833,1150
BE014,UK042,1,Numenius arquata,4.5667,51.3833,4100,0.9595,51.6721,22856
DK038,FI071,1,Numenius arquata,8.2333,56.35,10890,27.2333,60.5667,760
BE021,FR108,1,Numenius arquata,5.3333,51.1167,8864,-0.35,46.2333,14300
IE138,SE050,1,Numenius arquata,-7.3333,53.65,1120,18.95,57.4,152500
IT072,IT076,1,Numenius arquata,12.1667,44.6167,44013,12.35,44.25,989
DK043,SE055,1,Numenius arquata,8.25,56,27720,16.4,56.2,1610
BE017,FR176,1,Numenius arquata,4.9333,51.1833,91,-1.1167,44.6667,20100
FI071,FR045,1,Numenius arquata,27.2333,60.5667,760,0.3,49.4333,21100
BE014,FR051,1,Numenius arquata,4.5667,51.3833,4100,1.7,50.2667,5550
FI049,UK049,1,Numenius arquata,22.9167,63.1,438,-0.8706,54.3806,143490
DK025,SE006,1,Numenius arquata,8.5833,56.75,510,22.1167,65.7667,3350
FI023,UK096,1,Numenius arquata,24.2333,65.7833,526,-4.0421,53.2551,2694
SE015,UK006,1,Numenius arquata,16.05,60.3,5030,1.7025,52.3838,468
UK025,UK039,1,Numenius arquata,-2.5158,53.9815,79978,-2.878,53.6248,120
BE004,FR198,1,Numenius arquata,3.1833,51.35,230,-1,45.4333,22250
FI070,UK025,1,Numenius arquata,29.5333,61.5333,519,-2.5158,53.9815,79978
BE019,FR032,1,Numenius arquata,5.1833,51.2833,5400,-0.8167,46.4333,18700
