iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
BE018,NL098,16,Numenius phaeopus,5,51.3833,7075,5.35,51.4833,1190
BE014,BE018,5,Numenius phaeopus,4.5667,51.3833,4100,5,51.3833,7075
BE006,DK001,3,Numenius phaeopus,3.35,51.3333,1820,9.5833,57.0333,18530
BE014,DK057,3,Numenius phaeopus,4.5667,51.3833,4100,8.5333,55.2667,115850
BE006,FR033,3,Numenius phaeopus,3.35,51.3333,1820,-1,46.3333,77900
BE014,DK043,3,Numenius phaeopus,4.5667,51.3833,4100,8.25,56,27720
FR033,NL098,3,Numenius phaeopus,-1,46.3333,77900,5.35,51.4833,1190
BE014,FR033,2,Numenius phaeopus,4.5667,51.3833,4100,-1,46.3333,77900
DE288,FR060,2,Numenius phaeopus,11.4333,54.0166,102030,1.6,50.25,18200
BE018,DK051,2,Numenius phaeopus,5,51.3833,7075,8.7,55.3333,6660
BE006,DK043,2,Numenius phaeopus,3.35,51.3333,1820,8.25,56,27720
FR101,NL098,2,Numenius phaeopus,-1,45.95,5400,5.35,51.4833,1190
BE006,DK057,2,Numenius phaeopus,3.35,51.3333,1820,8.5333,55.2667,115850
BE006,BE014,2,Numenius phaeopus,3.35,51.3333,1820,4.5667,51.3833,4100
BE012,IT063,1,Numenius phaeopus,4.35,51.2667,194,13.5667,45.75,5000
DK128,UK019,1,Numenius phaeopus,11,57.2,580000,0.83,50.9755,9805
BE014,FR055,1,Numenius phaeopus,4.5667,51.3833,4100,3.3833,49.5667,19300
FR051,UK073,1,Numenius phaeopus,1.7,50.2667,5550,0.53333,51.4666,9357
ES138,NL057,1,Numenius phaeopus,3.2167,42.0333,21,6.0833,53.05,670
BE001,FR051,1,Numenius phaeopus,2.75,51.2,17000,1.7,50.2667,5550
DE288,FR101,1,Numenius phaeopus,11.4333,54.0166,102030,-1,45.95,5400
FR116,UK077,1,Numenius phaeopus,0.0667,46.9,6550,0.29,52.9366,69908
BE004,DK111,1,Numenius phaeopus,3.1833,51.35,230,12.5333,55.5833,6210
IT071,PL012,1,Numenius phaeopus,12.25,44.7833,7081,18.6167,54.5667,56000
DK111,FR032,1,Numenius phaeopus,12.5333,55.5833,6210,-0.8167,46.4333,18700
BE018,FR051,1,Numenius phaeopus,5,51.3833,7075,1.7,50.2667,5550
DK047,DK111,1,Numenius phaeopus,9.7167,55.35,35060,12.5333,55.5833,6210
FR116,RU013,1,Numenius phaeopus,0.0667,46.9,6550,34,62.2166,10880
DK111,FR213,1,Numenius phaeopus,12.5333,55.5833,6210,3.1333,43.1667,10400
BE018,FR116,1,Numenius phaeopus,5,51.3833,7075,0.0667,46.9,6550
BE018,DK017,1,Numenius phaeopus,5,51.3833,7075,8.4167,56.95,1430
BE018,PT034,1,Numenius phaeopus,5,51.3833,7075,-7.4333,37.2,2147
BE006,DK049,1,Numenius phaeopus,3.35,51.3333,1820,8.3167,55.6,2700
FR116,NO030,1,Numenius phaeopus,0.0667,46.9,6550,11.75,65.8167,50000
DE288,FR064,1,Numenius phaeopus,11.4333,54.0166,102030,1.5833,50.8667,8950
UK012,UK124,1,Numenius phaeopus,-2.5203,50.6131,985,-2.6805,58.8985,125
DK111,FR045,1,Numenius phaeopus,12.5333,55.5833,6210,0.3,49.4333,21100
BE018,FR025,1,Numenius phaeopus,5,51.3833,7075,-1.9167,46.9,47000
DK028,DK111,1,Numenius phaeopus,8.3333,56.6667,13570,12.5333,55.5833,6210
BE002,FR116,1,Numenius phaeopus,2.6667,51.1333,1415,0.0667,46.9,6550
BE006,IT077,1,Numenius phaeopus,3.35,51.3333,1820,10.3333,43.85,3795
ES118,FR007,1,Numenius phaeopus,-0.1667,42.3333,95000,-4.9333,48.3667,10900
BE006,FR043,1,Numenius phaeopus,3.35,51.3333,1820,0.4167,49.8,5700
BE018,BE019,1,Numenius phaeopus,5,51.3833,7075,5.1833,51.2833,5400
DE288,IT062,1,Numenius phaeopus,11.4333,54.0166,102030,13.3167,45.75,32815
BE006,DK051,1,Numenius phaeopus,3.35,51.3333,1820,8.7,55.3333,6660
DK111,FR071,1,Numenius phaeopus,12.5333,55.5833,6210,4.6333,48.1333,66550
DK043,UK068,1,Numenius phaeopus,8.25,56,27720,0.84283,51.3606,6486
DK057,DK111,1,Numenius phaeopus,8.5333,55.2667,115850,12.5333,55.5833,6210
BE006,BE018,1,Numenius phaeopus,3.35,51.3333,1820,5,51.3833,7075
BE014,RU014,1,Numenius phaeopus,4.5667,51.3833,4100,32.9166,60.9333,18000
FR051,UK017,1,Numenius phaeopus,1.7,50.2667,5550,-1.9605,50.7618,10577
DK111,FR051,1,Numenius phaeopus,12.5333,55.5833,6210,1.7,50.2667,5550
DK053,UK019,1,Numenius phaeopus,8.4,55.4333,4370,0.83,50.9755,9805
BE014,FR040,1,Numenius phaeopus,4.5667,51.3833,4100,-0.15,49.3667,23100
BE014,FR118,1,Numenius phaeopus,4.5667,51.3833,4100,-0.8,45.4333,2580
DE044,DK075,1,Numenius phaeopus,13.5166,54.2166,103155,10.5667,55.5,5060
BE014,FR051,1,Numenius phaeopus,4.5667,51.3833,4100,1.7,50.2667,5550
BE006,UK047,1,Numenius phaeopus,3.35,51.3333,1820,0.741,52.9741,7831
DK057,PL013,1,Numenius phaeopus,8.5333,55.2667,115850,18.95,54.35,485
BE006,FR051,1,Numenius phaeopus,3.35,51.3333,1820,1.7,50.2667,5550
BE014,FR045,1,Numenius phaeopus,4.5667,51.3833,4100,0.3,49.4333,21100
DE043,DE288,1,Numenius phaeopus,11.6166,53.7833,74800,11.4333,54.0166,102030
BE014,DK056,1,Numenius phaeopus,4.5667,51.3833,4100,8.25,55.7,4270
FR039,PT034,1,Numenius phaeopus,-0.2333,49.2667,1000,-7.4333,37.2,2147
BE013,BE014,1,Numenius phaeopus,4.4333,51.4,2200,4.5667,51.3833,4100
IT062,IT082,1,Numenius phaeopus,13.3167,45.75,32815,10.2667,43.7667,7000
FR064,PL012,1,Numenius phaeopus,1.5833,50.8667,8950,18.6167,54.5667,56000
IT070,IT071,1,Numenius phaeopus,12.2667,44.9333,17000,12.25,44.7833,7081
BE014,FR023,1,Numenius phaeopus,4.5667,51.3833,4100,-1.8167,47.2667,21400
BE014,FR192,1,Numenius phaeopus,4.5667,51.3833,4100,-1.3833,43.1667,14500
BE018,DK043,1,Numenius phaeopus,5,51.3833,7075,8.25,56,27720
BE014,FR101,1,Numenius phaeopus,4.5667,51.3833,4100,-1,45.95,5400
BE002,NL097,1,Numenius phaeopus,2.6667,51.1333,1415,5.0333,51.5167,410
BE014,FR060,1,Numenius phaeopus,4.5667,51.3833,4100,1.6,50.25,18200
FI049,NL098,1,Numenius phaeopus,22.9167,63.1,438,5.35,51.4833,1190
